更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,学校法人八潮小澤学園,学習塾・予備校・専門学校,求人なし,埼玉県八潮市大字西袋1218-2,2000,理事長 小澤 正直,,,,,,
2024-08-01,学校法人平岡学園,その他・各種スクール,求人なし,千葉県習志野市谷津5-20-5,1968,理事長 平岡 荘太郎,"1,050 百万円",,,,,
2024-08-01,学校法人ひまわり学園,その他・各種スクール,求人なし,東京都練馬区西大泉1-23-1,2002,理事長 加藤 陽子,848 百万円,,,,,
2024-08-01,学校法人足立芦田学園,その他・各種スクール,求人なし,東京都足立区千住寿町24-2,2003,理事長 芦田 光嗣,533 百万円,,,,,
2024-08-01,学校法人山﨑文化学園,その他・各種スクール,求人なし,東京都葛飾区青戸6-8-3,2002,理事長 山﨑 貞治,,,,,,
2024-08-01,学校法人相模学園,その他・各種スクール,求人なし,神奈川県藤沢市下土棚550,1948,理事長 渡邉 信秀,,,,,,
2024-08-01,学校法人づし学園,その他・各種スクール,求人なし,神奈川県逗子市逗子3-1-17,1951,理事長 森本 惠美,,,,,,
2024-08-01,学校法人岩崎学園,その他・各種スクール,求人なし,千葉県柏市豊四季633-15,1975,理事長 岩崎 雅俊,736 百万円,,,,,
2024-08-01,学校法人高木学園,その他・各種スクール,求人なし,千葉県松戸市五香8-1-9,1976,理事長 椎名 英子,"1,379 百万円",,,,,
2024-08-01,学校法人美鈴学園,学習塾・予備校・専門学校,求人なし,千葉県木更津市八幡台4-2-2,1978,,,,,,,
2024-08-01,学校法人ひなぎく学園,その他・各種スクール,求人なし,千葉県船橋市海神4-29-10,1979,理事長 森島 弘道,,,,,,
2024-08-01,学校法人浅野学園,その他・各種スクール,求人なし,千葉県成田市玉造5-1031-3,1981,理事長 浅野 正博,,,,,,
2024-08-01,学校法人東葛学園,その他・各種スクール,求人なし,千葉県柏市十余二248,1982,理事長 染谷 照夫,,,,,,
2024-08-01,学校法人聖メリー学園,学習塾・予備校・専門学校,求人なし,千葉県千葉市稲毛区天台1-7-17,1984,理事長 村松 重彦,,,,,,
2024-08-01,学校法人いわはま学園,学習塾・予備校・専門学校,無,千葉県松戸市根本190,1984,理事長 山口 勝也,"1,138 百万円",,,,,
2024-08-01,学校法人香林学園,その他・各種スクール,求人なし,千葉県千葉市中央区仁戸名町616,1985,理事長 長谷部 聡,377 百万円,,,,,
2024-08-01,学校法人有馬学園,その他・各種スクール,求人なし,千葉県八千代市高津1516,1985,理事長 有馬 健,303 百万円,,,,,
2024-08-01,学校法人柏こばと学園,その他・各種スクール,求人なし,千葉県柏市十余二287-270,1986,理事長 渡邊 敏行,441 百万円,,,,,
2024-08-01,学校法人野上学園,その他・各種スクール,求人なし,東京都杉並区久我山3-37-24,1986,理事長 野上 宏,"1,464 百万円",,,,,
2024-08-01,学校法人森田学園,その他・各種スクール,求人なし,東京都清瀬市野塩1-340,1989,理事長 森田 正英,,,,,,
2024-08-01,学校法人篠崎学園,その他・各種スクール,無,東京都江戸川区篠崎町2-64-6,1995,理事長 安井 詔明,"2,046 百万円",,,,,
2024-08-01,学校法人精心学園,その他・各種スクール,求人なし,東京都東村山市諏訪町2-14-1,1998,理事長 老沼 靖子,"1,064 百万円",,,,,
2024-08-01,学校法人隆志学園,学習塾・予備校・専門学校,求人なし,東京都北区東田端2-7-10,2001,理事長 多家 広隆,648 百万円,,,,,
2024-08-01,学校法人横浜二ツ橋愛隣学園,その他・各種スクール,求人なし,神奈川県横浜市瀬谷区二ツ橋町144,1974,理事長 梅澤 忠実,30 百万円,,,,,
2024-08-01,学校法人小原台学園,その他・各種スクール,求人なし,神奈川県横須賀市浦上台3-29-3,1975,理事長 蛭田 道春,,,,,,
