更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社ホクエイ,その他メーカー,求人なし,,北海道札幌市北区北四十条西4-1-1ＡＳＡＢＵ ＬＡＮＤ 1Ｆ,312,100 百万円,2018,,,代表取締役社長 小笠原 司,
2024-08-01,リンタツ株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,愛知県名古屋市中区橘1-28-9,311,221 百万円,1950,,,代表取締役 山下 良隆,
2024-08-01,ブリヂストンスポーツ株式会社,スポーツ・アウトドア用品メーカー,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◇ ゴルフボール・ゴルフクラブ等、ゴルフ用品の製造・仕入れ・販売◇ その他スポーツ用品の製造・仕入れ・販売◇ ゴルフイベント、ゴルフスクール、テニススクールの企画・運営◇ 各種スポーツ施設の設計・施工・運営 2021年10月doda掲載求人より引用,東京都中央区京橋3-1-1東京スクエアガーデン 20Ｆ,310,"3,000 百万円",1972,,,代表取締役 磯部 正博,
2024-08-01,カネハツ食品株式会社,食品・飲料メーカー（原料含む）,無,,愛知県名古屋市南区豊3-19-24,309,100 百万円,1942,,,代表取締役 加藤 英敏,
2024-08-01,大日カラー・コンポジット株式会社,石油化学メーカー,求人なし,,埼玉県加須市古川2-2-1,308,100 百万円,1989,,,代表取締役 船田 勝也,
2024-08-01,株式会社桃屋,食品・飲料メーカー（原料含む）,求人なし,,東京都中央区日本橋蛎殻町2-16-2,306,300 百万円,1943,,,代表取締役 小出 雄二,
2024-08-01,神戸天然物化学株式会社,機能性化学（有機・高分子）メーカー,無,有機化学品の研究・開発・生産ソリューション事業＜機能材料＞電子分野での機能性材料(液晶、有機EL 等)、各種化成品の合成＜医薬＞原薬、医薬中間体、治験用原薬の生産代謝物、ペプチド、核酸、糖、ステロイド、抗生物質の合成ドラッグデザイン、リード創出、最適化研究＜バイオ＞遺伝子組み換え体(微生物)による有用物質生産代謝産物や天然物からの有効成分の抽出・分離精製 2024年5月doda掲載求人より引用,兵庫県神戸市中央区港島南町7-1-19,303,"1,995 百万円",1985,41.5,,代表取締役社長 真岡 宅哉,グロース
2024-08-01,日東エフシー株式会社,肥料メーカー,求人なし,,愛知県名古屋市港区いろは町1-23,302,100 百万円,2023,,,代表取締役社長 横山 昌己,
2024-08-01,筑波乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,,茨城県石岡市北府中3-1-20,301,247 百万円,1941,,,代表取締役 堺 弘行,
2024-08-01,株式会社ブルックスブラザーズジャパン,繊維メーカー,求人なし,,東京都品川区上大崎3-1-1ＪＲ東急目黒ビル 17Ｆ,301,125 百万円,1979,,,代表取締役 新倉 修司,
2024-08-01,株式会社アールビー,住宅設備・建材メーカー,求人なし,,茨城県土浦市北神立町1-1,300,88 百万円,1959,,,代表取締役 辻 武志,
2024-08-01,金剛株式会社,その他メーカー,求人なし,,熊本県熊本市西区上熊本3-8-1,300,60 百万円,1951,,,代表取締役 田中 稔彦,
2024-08-01,三菱製鋼室蘭特殊鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,特殊鋼材製造業◆三菱製鋼・日本製鉄の出資により設立◆建設機械メーカーや自動車メーカー向けの特殊鋼鋼材の製造 2024年3月doda掲載求人より引用,北海道室蘭市仲町12,300,"3,000 百万円",1992,,,代表取締役 柴田 淳也,
2024-08-01,株式会社ＫＭＣＴ,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,東京都新宿区西新宿2-7-1小田急第一生命ビル 4Ｆ,300,"6,000 百万円",2021,,,代表取締役 田口 昌利,
2024-08-01,伊藤ハム米久プラント株式会社,食品・飲料メーカー（原料含む）,求人なし,,千葉県柏市根戸1-3,294,400 百万円,1975,,,代表取締役 久次米 忠宣,
2024-08-01,日清紡テキスタイル株式会社,繊維メーカー,求人なし,,東京都中央区日本橋人形町2-31-11,294,"10,000 百万円",2009,,,代表取締役社長 村田 馨,
2024-08-01,株式会社東陽理化学研究所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,新潟県西蒲原郡弥彦村大字大戸761-1,292,855 百万円,1950,,,代表取締役 宮﨑 大晴,
2024-08-01,バイエルクロップサイエンス株式会社,農薬メーカー,無,,東京都千代田区丸の内1-6-5丸の内北口ビル,292,"1,175 百万円",1941,,,代表取締役 坂田 耕平,
2024-08-01,三宝電機株式会社,その他メーカー,求人なし,,大阪府大阪市北区大淀中1-5-1,291,90 百万円,1948,,,代表取締役 嘉納 秀憲,
2024-08-01,セイカ食品株式会社,食品・飲料メーカー（原料含む）,求人なし,,鹿児島県鹿児島市西別府町3200-7,291,48 百万円,1919,,,代表取締役 玉川 浩一郎,
2024-08-01,キャロウェイゴルフ株式会社,ファッション・アパレル・アクセサリーメーカー,無,,東京都港区白金台5-12-7ＭＧ白金台ビル,291,100 百万円,1996,,,代表取締役 ボーズマン・アレックス・ミッチェル,
2024-08-01,富山住友電工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,,富山県射水市奈呉の江10-2,290,490 百万円,1986,,,代表取締役 山本 康夫,
2024-08-01,ネスレネスプレッソ株式会社,食品・飲料メーカー（原料含む）,求人なし,,東京都品川区東五反田2-10-2東五反田スクエア 15Ｆ,290,10 百万円,2008,,,代表取締役 シルヴァン・シマール,
2024-08-01,日本海ガス株式会社,その他メーカー,求人なし,,富山県富山市城北町2-36,289,100 百万円,1942,,,代表取締役 土屋 誠,
2024-08-01,曽田香料株式会社,香料メーカー,求人なし,,東京都中央区日本橋馬喰町1-12-3Ｄａｉｗａ日本橋馬喰町ビル,288,"1,490 百万円",1972,,,代表取締役社長 石村 昭彦,
2024-08-01,富士チタン工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,,大阪府大阪市西区江戸堀1-3-15新石原ビル 11Ｆ,288,450 百万円,1936,,,代表取締役 野喜日出雄,
2024-08-01,北海道糖業株式会社,食品・飲料メーカー（原料含む）,求人なし,,北海道札幌市中央区北一条西5-2札幌興銀ビル,286,100 百万円,1968,,,代表取締役 亀田 喜郎,
2024-08-01,株式会社シマヤ,食品・飲料メーカー（原料含む）,求人なし,,山口県周南市都町1-57,285,100 百万円,1950,,,代表取締役 原田 道太,
2024-08-01,株式会社トウペ,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,無,塗料全般（各種合成樹脂塗料・ラッカー類・水系塗料・油性塗料・シンナー類）、接着剤合成樹脂加工剤、合成ゴムの製造販売、塗料関連設備および機器類の販売等 2024年2月doda掲載求人より引用,大阪府堺市西区築港新町1-5-11,285,490 百万円,1919,,,代表取締役 水越 博信,
2024-08-01,株式会社ダイイチ,その他メーカー,求人なし,,熊本県荒尾市増永1850,285,200 百万円,1954,,,代表取締役 田中 信雄,
2024-08-01,パイロットインキ株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,,愛知県名古屋市昭和区緑町3-17,282,220 百万円,1950,,,代表取締役 木村 勉,
