更新日,名称,業界(小分類),求人有無,事業内容,所在地,従業員数,資本金,設立,平均年齢,企業URL,代表者,上場市場名
2024-08-01,ハルナプロデュース株式会社,食品・飲料メーカー（原料含む）,11,■事業内容： 商品企画開発・営業・ハルナブランド・貿易・購買・生産・SCM・物流・情報・研究開発,群馬県高崎市足門町39-1,465,40百万円,,,http://harunabev.co.jp/,,
2024-08-01,富士山の銘水株式会社,食品・飲料メーカー（原料含む）,3,■事業内容：富士山の麓標高1000m（開発限界地域）から採水される、新鮮で貴重なバナジウム入りの天然水を、ウォーターサーバーにて家庭に宅配する事業を展開しています。 HOD（ホームアンドオフィスデリバリー）と呼ばれるこの業態は、従来ボトルを使った配送・回収が必要な2Way方式が主流でしたが、同社ではウォーターパックを採用することで1Way方式を実現。全国（一部地域を除く）の顧客にスピーディに最高品質のナチュラルミネラルウォーターを届けています。,山梨県富士吉田市上吉田4961-1,350,100百万円,2010,,http://fuji-meisui.co.jp/,,
2024-06-01,株式会社共同スチール,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： 金属・軽量鉄骨の製造■特徴：ＣＮＣビームワーカーの導入により、精度の高い商品を安定供給し、各ＦＡＢ（鉄工所）の要望にかなりの範囲で応えられています。Ｃ形鋼・Ｌ形鋼・溝形鋼等を加工。主に母屋・胴縁の加工。■創業理念：「自利利他」を実践できる会社を目指します。,秋田県秋田市土崎港相染町字浜ナシ山113-1,14,2百万円,2003,,なし,,
2024-07-01,北海道新進アグリフーズ株式会社,食品・飲料メーカー（原料含む）,1,■事業内容：ポテト等の野菜チルド製品製造、冷凍食品製造,北海道函館市港町2-13-6,159,10百万円,1990,,なし,,
2024-08-01,木幡興業株式会社,金属・製綱・鉱業・非鉄金属メーカー,3,■事業内容： ・再生重油製造、販売・産業廃棄物収集、運搬、処理・工業用薬品販売・オート事業 等,埼玉県三郷市早稲田2-13-3,110,15百万円,1981,,https://kowatakogyo.jp/,,
2024-08-01,株式会社日榮,金属・製綱・鉱業・非鉄金属メーカー,1,＜企業の特徴＞・当社は産業廃棄物収集運搬および中間処理、砂利採取生産販売、建造物解体等を生業にしている。・当社は都内・神奈川・埼玉の中間処理業者が分別できない産業廃棄物を収集運搬し、当施設内で改めて再利用可能な資源とそうでないものを「分別」し、破砕機や圧縮機、溶融機等により減量化後に、有害物質が溶け出さない状態にする中間処理行っている。・具体的には、受入れた産業廃棄物は関東で展開する産業廃棄物処分業を手掛ける業者の中でも、他社にない独自の大型プラントを使用して改めて「分別」、90％再生可能で10%が仙台市の管理型最終処分場に搬出できることから、同業中間処理業者からのニーズは高い。,栃木県那須塩原市共墾社1-2-21,50,13百万円,1967,58.0,http://nichiei-eco.com,,
2024-07-01,株式会社ＹＡＭＡＧＩＷＡ,家具・インテリア・生活雑貨メーカー,7,■事業内容： (1)照明器具の企画、開発、製造、販売 (2)照明・インテリア計画の実施 (3)照明・家具の輸入、販売,東京都港区芝3-16-13,134,100百万円,2011,,http://www.yamagiwa.co.jp/,,
2024-07-01,株式会社レスタス,文房具・事務・オフィス用品メーカー,2,■technologyと独自のマーケティング理論を用いて、オーダーメイド商品を制作、販売するECサイトを企画・開発・運営■各種紙販促商品印刷販売■名入れカレンダー製作所、名入れタオル製作所、オリジナルうちわ製作所、年賀状印刷製作所、お名前シール製作所の運営,大阪府大阪市北区中之島3丁目2-18 住友中之島ビル4階,,1000万円,2011,33.0,https://corp.lestas.jp/,代表取締役 大脇 晋,
2024-07-01,株式会社ニッケンエンジ,石油化学メーカー,1,■事業内容：当社は、1993年(平成5年)4月の創業以来、鹿島東部ｺﾝﾋﾞﾅｰﾄを中心に石油化学プラント・鋼構造物･機械設備類の非破壊検査を通じて、社会資本の安全管理に貢献してきました。今日の厳しい経済情勢の中、当社は、非破壊検査の品質向上とお客様から更なる信頼を得るため、2009年2月、ISO9001・品質マネジメントシステムの認証を取得しました。 今後もより一層、石油化学工業・プラント建設業界の品質管理に寄与し人と地域の安全のためにその一翼を担って参ります。,茨城県神栖市知手中央3-8-16,21,10百万円,1993,35.0,http://www.nikken-eng.jp/,,
2024-08-01,株式会社チヨダパック,石油化学メーカー,5,■事業内容プラスチック容器の製造・販売■経営理念社会が必要とするオンリーワン企業を目指す■基本理念１．私たちは仕事を通じ心身（魂）を磨き人に優しく、地球・環境に優しい企業・人間になる為成長し続けます。２．私たちはプラスチック容器製造のプロとして最先端のパッケージを研究開発し、提案し続けます。３．私たちはオンリーワン企業を目指し、スキル向上に研鑽し続けます。■社訓・顧客の幸せなくして社員の幸せなし・社員の幸せなくして企業なし・企業の幸せなくして社会貢献なし,広島県山県郡北広島町木次307,,16百万円,1992,,https://c-pack.jp/,,
2024-06-01,株式会社さわた,食品・飲料メーカー（原料含む）,1,■会社概要大正3年に創業、昭和60年5月に法人化しました。店舗での洋菓子、和菓子、焼き菓子販売及びケータリング事業を行っております。■事業概要・食品製造業務・ケータリング事業（機内食部門・ホテル部門）,茨城県潮来市あやめ1-8-1,200,30百万円,1985,38.0,http://s-sawata.co.jp/,,
2024-07-01,株式会社大津中央食品,食品・飲料メーカー（原料含む）,2,■事業内容： 食品の製造販売 ※製造はグループ会社である株式会社富士フーズにて行っております。,静岡県富士市原田126-8,8,5百万円,2011,,なし,,
2024-07-01,株式会社ＭＯＧＵ,家具・インテリア・生活雑貨メーカー,2,■事業内容： （1）パウダービーズ(R)・製品MOGU(R)・クッション・枕・ソファー等の製造販売 （2）発泡スチロール製品の企画販売 （3）インテリア・ファニチャー・ヘルシーグッズなどの製造販売 衣料用繊維製品の製造・加工・販売,兵庫県三木市吉川町西奥1173,46,28百万円,1976,,https://mogus.jp/,,
2024-08-01,株式会社プロラボホールディングス,食品・飲料メーカー（原料含む）,10,■商品事業（インナービューティプロダクトの開発）■インナービューティサロン事業■マシン事業（プロフェッショナル品質のマシン開発）■医療事業プロデュース（クリニックの総合プロデュース）■教育事業（インナービューティのスペシャリスト養成）■メディカルスパ事業（再生医療機関と連携した会員制メディカルスパ）■無農薬ファーム事業■飲食事業■温活事業■フェムテック事業,東京都港区三田3-7-18 THE ITOYAMA TOWER 7F,276,3300万円（グループ合計8990万円）,2002,29.6,https://prolabo.co.jp/,代表取締役会長 兼 CEO 佐々木 広行,
2024-07-01,株式会社東京運城製版,製紙・パルプメーカー,1,■事業内容：弊社は、世界で最大のグラビア印刷製版グループ（中国山西運城製版グループ）傘下の製版会社です。上海運城製版の日本支社として、以下の事業を行っています。グラビア製版加工全般をおこなっている。グラビア製版とは・・・コンビニやスーパーマーケットで売っている食品や飲料などのラベルのほとんどが、グラビア印刷で作られていて、その元となる版をグラビア製版で作製しています。営業の業務とは・・・主に営業の業務は、取引のあるお客様から預かったデザインデータを希望通りのイメージで印刷できるように打ち合わせを行い、それを現場に忠実に伝える作業です。,埼玉県上尾市大字領家1160,25,99百万円,2007,,http://yuncheng.jp/,,
2024-08-01,株式会社東華,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,■事業内容：・再生プラスチック原料製造業：当社は、廃ペットボトルを、独自開発した設備と生産技術で、再生プラスチック原料にリサイクルする「資源循環リサイクル」の先進企業です。・環境機材販売：当社は、PETボトルリサイクルの効率化を目指し、自社使用の「PETボトル粉砕洗浄ライン」を独自に開発し、販売もいたしております。■当社について：当社は廃ペットボトルの資源循環リサイクルを担う会社として2010年に設立。リサイクルニーズに応えて急成長し、現在は6工場をフル稼働させ洗浄・粉砕・ペレット造粒により1万トン／年⇒2万トン／年の廃ペットボトルを再生(資源化)しています。,茨城県桜川市真壁町東矢貝208-9,23,8百万円,2010,40.0,https://touka-recycle.com/,,
2024-07-01,株式会社未来,化粧品メーカー,1,■事業内容：自社商品（化粧品）の通信販売事業を行っています。商品コンセプト開発から、マーケティング、お客様窓口（お客様おもてなし窓口）、商品梱包を自社で行っています。顔が見えない通信販売だからこそ、対面販売以上のおもてなしで生涯の顧客になってもらうための電話対応などを行っています。■主要商品：・ピンチ肌化粧品「I’m PINCH（アイムピンチ）」※2013年、2014年「モンドセレクション最高金賞」受賞・美の素エキス「女王のコラーゲン」・99％高純度の油で作った洗顔石鹸「SHIWAZA」,愛知県名古屋市中区錦1-17-26ラウンドテラス伏見,77,10百万円,2008,27.8,http://mirai-japan.co.jp/,,
2024-05-01,中央有機化学株式会社,化粧品メーカー,1,■事業内容： ・パーマ剤、シャンプー、トリートメント、ヘアスタイリング剤、ヘアスプレー、薬用化粧品の企画・製造と販売・医薬部外品および業務用総合化粧品の製造販売・医薬部外品・化粧品の相手先ブランドによる製造委託（OEM製造）,愛知県名古屋市中川区万場5-1512,27,80百万円,1964,,https://chuoyuki.co.jp,,
2024-07-01,冨田工業株式会社,住宅設備・建材メーカー,7,■事業内容鋼構造物の設計・製作および施工,福井県坂井市丸岡町北横地46-4-1,44,10百万円,1990,40.0,http://www.tomitakougyo.co.jp/,,
2024-08-01,有限会社カスターニャ,食品・飲料メーカー（原料含む）,6,■事業内容： 菓子製造及び販売食品製造及び販売ー製造の心得ー食していただくお客様に、感謝します原材料の恵みに、感謝します機械・機具・備品の働きに、感謝します働けるこの場所とこの体に、感謝します,広島県広島市東区福田4-4018-2,30,8百万円,1978,,https://www.castagna.co.jp/,,
2024-08-01,オゴー産業株式会社,繊維メーカー,1,■事業内容：学校制服・学校体育衣料の企画・製造・販売,岡山県倉敷市児島田の口1-11,84,10百万円,2006,47.0,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社カワカミ蓮根,食品・飲料メーカー（原料含む）,1,■事業内容： 熊本県熊本市と玉名市に40ha以上のレンコン畑を持つ、熊本県内最大のれんこん専業の農業法人です。商品の安全性・よりよい労働環境・環境保全を実践し、九州のみならず全国様々なスーパーさんなどに卸しております。元々料亭向けに製造していたレンコンを、より多くの人に届けたいと考え現社長が立ち上げた会社です。味や品質には自信があり扱い数量も年々拡大しております。農業コンクールにおいても農林水産省から表彰を頂き農業事業としても高く評価頂いてます。,熊本県熊本市西区沖新町4871-4,20,14百万円,1992,34.0,"Failed to retrieve page, status code: 410",,
2024-07-01,株式会社日向屋,食品・飲料メーカー（原料含む）,1,■事業内容： レトルト食品の企画・開発・製造・販売,宮崎県東臼杵郡門川町庵川西6-180,81,10百万円,2007,43.4,https://hyugaya-miyazaki.co.jp/,,
2024-07-01,背戸水産株式会社,食品・飲料メーカー（原料含む）,1,わたしたち背戸水産は、創業６０年。事業拡大に伴い、新たな仲間を募集しています。どこにも負けない豊かな自然があるこの街は、わたしたちの財産です。この街で「じぶんの居場所」を見つけませんか？景気に左右されない安定したお仕事がここにはあります。,北海道紋別郡興部町字沙留452-1,,,,,なし,,
2024-06-01,日本エアポートデリカ株式会社,食品・飲料メーカー（原料含む）,1,【関連会社／株式会社JALUX・日本空港ビルデング株式会社】羽田空港および、空港外マーケットにおける食料品（日配惣菜類）の企画・開発・製造および卸売事業（食品安全マネジメントシステム認証修得）,東京都大田区羽田空港1-8-2,,1億円,2011,,https://www.airdeli.co.jp/,代表取締役社長 日比野 重太,
2024-08-01,株式会社TENGA,その他メーカー,20,■事業概要：・安全で機能的かつ衛生的な「セクシャルウェルネス商品」の研究開発及びその販売・性にまつわる身体的・精神的課題を解消するための商品・サービスの開発及び提供・性教育や不妊治療をはじめとする、性に関する正しい知識、情報の普及・デリケートゾーンケアを中心とした衛生用品の研究開発及びその販売・性に対する認識変容を促すアパレルや雑貨の開発及び販売・障がい者向け就労継続支援B型事業所の運営,東京都中央区晴海1-8-12晴海トリトンスクエア Z棟 11F,189,43百万円,2005,36.6,http://www.tenga.co.jp/,,
2024-07-01,株式会社ヒューネット,家具・インテリア・生活雑貨メーカー,4,■事業内容：雑貨全般の企画、デザイン、生産、検品、物流・企画…キャラクター雑貨、服飾雑貨、生活雑貨の商品企画・生産…中国、東南アジア等、協力工場65社・検品…雑貨全般、アパレル、玩具、家具など,愛媛県松山市和泉南6-4-26,200,30百万円,1991,,https://www.hunet-corp.co.jp/,,
2024-07-01,株式会社元気,食品・飲料メーカー（原料含む）,1,■事業内容： 「無添加・無加水・自己発酵」熟成黒にんにくの製造、卸。製薬会社はじめ各種お取引先様との商品開発共同作業、熟成加工技術を用いた青果物の熟成。■組織風土： 無添加、無加水、自己発酵によって」得られるものは我々の想像を遥かに超える。にんにくが元々持っている有効成分の多くが激増する事実、驚くべき甘い味。生のにんにくからは絶対に想像することはできない。パワフル満タン企業「株式会社元気」はその名に恥じることなく、毎日元気いっぱいの会社です。この幸せを皆様と分かち合いたい。皆様の健康が私たちにとって何よりの励みです。,三重県北牟婁郡紀北町河内2-1,28,35百万円,2003,43.0,http://www.genki-kun.jp/,,
2024-08-01,株式会社高本コーポレーション,住宅設備・建材メーカー,3,■事業内容：外壁や断熱に関する製造・輸入及び販売／内外装材販売＜オリジナル開発商品＞ウッドブリース外断熱工法,大阪府四條畷市大字下田原1364-1,8,40百万円,1999,40.0,https://takamoto-kenzai.com/,,
2024-06-01,ＮＪＴ銅管株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■新規事業について：そしてこれまでの銅管製造で培った知見を活かし、2021年8月よりアルミ管ソリューション事業を開始いたしました。これからもＮＪＴ銅管は熱交換関連製品の高機能化を追求するお客様に対して、長年の歴史で培った技術力と加工力で課題解決に貢献します。,愛知県豊川市大木町新道100,600,100百万円,2011,,https://www.njt-copper.com/,,
2024-07-01,ゴッドハンド株式会社,その他メーカー,1,■事業内容：・ニッパーの開発、製造・作業工具の企画開発、製造、販売,新潟県燕市物流センター2-34,40,14百万円,2010,36.0,https://www.godhandglobal.com/,,
2024-08-01,エイエフティー株式会社,その他メーカー,6,■自動車部品・樹脂外板部品の製造（ダイハツ工業株式会社向けバックドア、フェンダー、フューエルリッド、リヤーフィラーなど）,滋賀県蒲生郡竜王町大字鏡2293,419,"1,500百万円",2011,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010637106/: 'NoneType' object has no attribute 'get',代表取締役 吉川 孝文,
2024-08-01,コスメカンパニー株式会社,化粧品メーカー,14,■事業内容： ・美容商材の製造販売、企画・美容商材のマーケティング・コスメブランドの提供,東京都港区北青山3-5-17はる木ビル7F,157,10百万円,2011,,http://cosmecompany.jp/,,
2024-06-01,株式会社YAMATO,食品・飲料メーカー（原料含む）,1,■事業内容：水産物の輸入・加工・販売,宮城県塩竈市新浜町3-13-14,32,30百万円,2005,,http://uminosachi-yamato.com/,,
2024-08-01,株式会社環境科学,試薬メーカー・受託合成・受託分析,1,■事業概要： 平成15年設立、長野県松本市に本社を置く株式会社環境科学では環境試料、食品、農作物、製品、飲料水、土壌、汚泥、焼却炉などの検査・測定を行っています。,長野県松本市大字笹賀7170-3,6,10百万円,2003,,http://kankyo-kagaku.net/,,
2024-08-01,リグナイト株式会社,機能性化学（有機・高分子）メーカー,2,■事業内容： フェノール樹脂製品 および プレス成形による樹脂加工品の製造,大阪府堺市西区築港新町2-5,72,10百万円,1939,,"Failed to retrieve page, status code: 410",,
2024-07-01,フォルダ株式会社,食品・飲料メーカー（原料含む）,1,高い自由度と機動性を兼ね備える完全独立型の日用品や飲料のベンチャーメーカーです。100%の株式を社内で保有していますので、方針や戦略など会社に関わる全ての物事を社内だけでスピーディに決定できることが最大の強みであり、短期的な売り上げだけを追い求めることなく長期目標での「ファン創り」「仕組み創り」「会社創り」に挑戦できる環境です。,東京都渋谷区渋谷3-10-15,42,10百万円,2006,34.0,https://folda.com/,,
2024-08-01,株式会社川口金属工業,金属・製綱・鉱業・非鉄金属メーカー,9,■事業内容：鋳造製造販売事業及び金属加工事業,埼玉県川口市宮町18-19,101,10百万円,1948,,http://www.kawakinkk.co.jp/,,
2024-07-01,株式会社ティ・ツウ・オー,ファッション・アパレル・アクセサリーメーカー,2,■バック企画・製造（市場調査／コンセプト立案／デザイン提案／製造）■自社取扱ブランドのデザイン・販売Admiral・moz・LARKINS・LISA LARSON・LAURA ASHLEY etc…バック・カバン・財布・アパレル・ODM・OEM企画対応■オンラインショップ「T2O ONLINE STORE」の運営,東京都台東区蔵前4-7-5 AKビル,,1000万円,1987,,https://www.t-two-o.com/,代表取締役社長 佐藤 公祐,
2024-06-01,株式会社サプリメントジャパン,食品・飲料メーカー（原料含む）,3,■事業内容： 健康食品・健康飲料のＯＥＭ受託製造（営業許可：乳製品製造業、菓子製造業、添加物製造業、調味料等製造業）,東京都西多摩郡瑞穂町長岡3-7-6,158,50百万円,2012,48.0,http://www.supplement-j.co.jp,,
2024-08-01,パウダーフーズフォレスト株式会社,食品・飲料メーカー（原料含む）,13,■事業内容：パウダーフーズフォレストという名前の通り、高品質な粉末食品をメインとして展開しています。主力商品は、お湯を注ぐだけで淹れたてドリップコーヒーの味わいと香りを楽しめるドリップド・コーヒーパウダーブランド「INIC coffee」。他にはフレッシュフルーツ果汁100％のパウダー「KUKKU」や、美味しさを徹底的に追求した青汁、プロテイン、経口補水液の「ME/NU」などを展開しています。これらの企画から製造、販売までを一括で行っています。,愛知県名古屋市名東区猪子石2-1607,40,10百万円,2012,34.0,http://pfforest.com/,,
2024-07-01,株式会社タイヨーボー,繊維メーカー,1,■事業内容：テキスタイル製造販売（企画した服地を中国において生産、国内外にて販売）,岐阜県岐阜市柳津町本郷4-1-1,10,20百万円,1994,,http://www.taiyobo.co.jp/,,
2024-08-01,キューオーエル・ラボラトリーズ株式会社,食品・飲料メーカー（原料含む）,1,■事業内容・自社商品販売・OEM事業・海外事業・通販事業,東京都文京区湯島3-37-4,,,2004,,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社Ｗａｔｅｒ　Ａｉｒ,ファッション・アパレル・アクセサリーメーカー,27,■事業内容：衣料品の企画生産、通信販売事業,広島県広島市西区三篠町3-24-19,37,,2010,32.4,https://waterair.jp/,,
2024-08-01,ブロコロ紀元株式会社,食品・飲料メーカー（原料含む）,1,｢いのち｣を次の世代へつないでいく。「いただきます」「ごちそうさま」。家で、会社で、学校で、当たり前のように話すこの言葉は、食材への感謝の気持ちから生まれています。私たちサンシャイングループは、日々お届けするお弁当を通じて皆さまの幸せを応援していきます。,広島県広島市安佐北区深川2-49-23,,,,,http://sunshinegroup.co.jp/group/,,
2024-07-01,千葉製鋼株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,事業内容：製鋼原料 非鉄金属加工卸 一般廃棄物処分業 産業廃棄物処分業 産業廃棄物収集運搬業 建設資材販売,東京都足立区島根1-2-3,26,92百万円,1983,48.0,https://www.chibaseikou.co.jp/,,
2024-07-01,株式会社Dクリエイツ,食品・飲料メーカー（原料含む）,5,■事業内容：・食品の製造、加工、卸及び販売・前各号に付帯する一切の業務■事業の特徴：名古屋および東海地区をメインとして展開するラーメンチェーン店「藤一番」のセントラルキッチンが分社化し、2012年に設立された食品製造メーカーです。中華麺、生パスタ、冷凍生餃子、惣菜、洋菓子の開発、製造を行っております。飲食店のメニューやPB商品、販売用のOEM（委託製造）商品の開発に特化しています。各生産者との提携による厳選食材、ISO22000認証工場での生産体制により、安全・安心でこだわりの美味しさを届けています。,愛知県小牧市弥生町135,47,50百万円,2012,36.0,http://www.dcreates.jp,,
2024-08-01,王子マネジメントオフィス株式会社,製紙・パルプメーカー,28,■王子マネジメントオフィス（配属予定会社）について王子グループの経営支援に関わる業務（人事・経理等）を行い、各事業をサポートしています。歴史ある企業でありつつも、若いうちから責任のある仕事を任され、様々なチャンスや経験が与えられる環境です。 2014年から働き方改革に力を入れており、全社の平均残業時間は12時間程度、年休も取得しやすい環境です。,東京都中央区銀座4-7-5,81,10百万円,2012,,https://www.ojiholdings.co.jp/,,
2024-08-01,株式会社AXES,ファッション・アパレル・アクセサリーメーカー,1,■事業内容：ネット・カタログ通販の「株式会社スクロール（東証プライム上場）」のグループ企業として、バッグ、小物（財布等）、アクセサリー、アパレル、コスメなど、海外ラグジュラリーブランド商品の輸入・販売を行っています。,東京都品川区東品川2-2-24天王洲セントラルタワー4F,64,95百万円,2012,33.0,http://www.axes-net.com,,
2024-06-01,株式会社ナカミ,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： 鋼板の切断、剪断、溶断、切削、穴あけをはじめ、曲げ加工、機械加工、組立・溶接、作図・原寸など、あらゆる金属加工に対応。街のシャッターの補修パーツから原子力発電所の一部の部品製造まで、業務の幅が広がっています。└厚い鋼板、薄い鋼板、ステンレス等のシャーリング加工をはじめ、穴加工、開先加工、溶接、組立加工まで幅広く対応いたします。└看板などに用いる金属製文字や、壁・天井などの内装材などデザインを施した製品加工も承ります。,大阪府堺市西区鳳南町3-220-54,31,10百万円,2012,38.0,https://nakami1111.jp/,,
2024-07-01,アイアンレイ株式会社,金属・製綱・鉱業・非鉄金属メーカー,2,■事業内容： （1）鋼板加工（レーザ切断、パイプ・型鋼レーザ3D加工、プラズマ3D開先、ガス溶断、ドリル孔加工、ショット加工、機械開先）（2）各種型鋼の溶接加工（3）鉄鋼一次製品（一般鋼材、鋼板、鋼管、軽量型鋼、特殊鋼）及び鉄鋼二次製品の加工・販売,群馬県高崎市東中里町81-1,20,28百万円,1963,,https://www.iron-ray.co.jp/,,
2024-05-01,株式会社オガワ,その他メーカー,1,■事業内容： 金属・樹脂装飾サイン・LEDサインおよびその関連製品の企画、設計、製作、施工,広島県広島市安佐北区安佐町久地2854-21,193,100百万円,1977,,https://www.sign21.co.jp/,,
2024-06-01,株式会社日本エコネット,住宅設備・建材メーカー,1,■事業内容：太陽光発電・蓄電池・燃料電池に係る製品の販売・施工・保守・管理業務用・住宅用の給湯機器、空調機器の販売電気工事、屋根工事全般,長崎県佐世保市卸本町6-2,36,25百万円,2007,,https://www.jp-econet.com/,,
2024-07-01,ＫＯＥＩ　ＴＯＯＬ株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容：・自動車の運転席周りのプラスチック部品や家電用の射出成形金型設計／製造・成形機を用いプラスチック製品の製造,大阪府東大阪市本庄2-3-7,28,50百万円,2012,,https://www.koeitool.com/,,
2024-08-01,株式会社イーストメモリー,ファッション・アパレル・アクセサリーメーカー,無,■紳士・婦人・子ども向けの衣類・雑貨等の企画・デザイン■生産・検品・検針・アソート組み・包装業務・出張検品業務等 2024年6月doda掲載求人より引用,東京都中央区八重洲2-10-12国際興業第二ビル 2Ｆ,,3 百万円,2002,,"Failed to retrieve page, status code: 410",代表取締役 中川 弦拓,
2024-08-01,株式会社ｍｉｇｈｔｙ,ファッション・アパレル・アクセサリーメーカー,2,■事業内容：同社は、レディース、メンズの衣料品や衣料雑貨の販売をしています。アパレルショップ「osharewalker（オシャレウォーカー）」を主力事業に、新しい事業にも今後積極的に挑戦していきます。,大阪府和泉市池上町2-1-15,184,10百万円,2005,,https://www.osharewalker.jp/,,
2024-06-01,株式会社高崎ダイカスト工業社,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： 自動車、産業機械等の部品を中心とした非鉄金属（主にアルミニウム）ダイカスト部品の製造。,群馬県高崎市上豊岡町571-1,55,25百万円,1950,42.0,http://www.sunfield.ne.jp/~tkd-kmwd/index.htm,,
2024-08-01,株式会社グッドスマイルカンパニー,玩具メーカー,10,■事業内容： ・玩具・フィギュア・グッズの企画、開発、製造、販売、宣伝・販売コンサルティング、業務代行・玩具・フィギュア・グッズのパッケージ・広告デザイン、Webデザイン請負業務・ゲームの企画・開発・運営・アニメーションの企画・製作・プロデュース・映像・音楽の企画、制作・モータースポーツ事業・投資支援・飲食店経営,東京都千代田区外神田3-16-12アキバCOビル8F,197,3百万円,2001,35.0,https://www.goodsmile.com/ja,,
2024-08-01,株式会社Ａ３,通信販売・ネット販売,4,■会社概要私たち株式会社A3は、コンテンツを通して、楽しさを作り出し提供することにより、人々の生活に潤いを与え、人生を豊かにしていく、といったコンセプトを元に事業を展開しています。大手IPフォルダー中心に400社以上の会社と年間1500以上の企画立案を行い、ユーザーへ楽しさを提供しています。【事業内容】Joy Creation Platform eeo事業toBアライアンス事業Momentum Base事業,東京都豊島区南池袋1-11-22山種池袋ビル2F・4F,220,12百万円,2012,28.0,https://athree3.com/,,
2024-08-01,積水ポリマテック株式会社,機能性化学（有機・高分子）メーカー,4,～ 極める素材と加工技術のリーディングカンパニー ～積水化学工業グループ■事業内容：有機高分子化合物（ポリマー）を主材料とした精密機械・電気機器等の開発、製造および販売を行う積水ポリマテックグループ。 用途は自動車関連部品、コンピューター、音響機器、スマートフォン等の通信機器、家庭用電子機器など幅広い分野にわたります。 世界に広がるネットワークで、エレクトロニクス業界・モビリティ業界のお客様と一緒にモノづくりをしながら、世界中の人々の暮らしや地球環境の向上等、様々なニーズにお応えする企業です。,埼玉県さいたま市桜区田島8-10-1,220,990百万円,1947,,http://www.polymatech.co.jp/,,
2024-08-01,株式会社シーズンテック,その他メーカー,1,■事業内容： セキュリティ製品を開発・製造,愛知県名古屋市緑区徳重3-104,7,60百万円,2003,,"Failed to retrieve page, status code: 410",,
2024-08-01,松尾ハンダ株式会社,鉱業・金属製品・鉄鋼 （商社）,無,はんだ、やに入りはんだ、ソルダペースト、各種フラックス成型はんだ、特殊合金の製造販売 2024年6月doda掲載求人より引用,神奈川県大和市下鶴間2775,,15 百万円,1961,,"Failed to retrieve page, status code: 410",代表取締役 松尾 卓,
2024-07-01,シマブンスチールパートナーズ株式会社,金属・製綱・鉱業・非鉄金属メーカー,3,■事業内容：弊社は株式会社シマブンコーポレーションの関連会社として、神戸製鋼所 加古川製鉄所内／神戸線条工場内にて生産ラインの一部を担っております。創業24年の 歴史の中で培った高い技術力と安全・労務管理のノウハウにより、 これからもお客様のニーズに社員一丸となって全力でお応えして参ります。神戸製鋼所の製鉄所内におけるコイル梱包作業、クレーン運転作業、厚板加工作業、線材精製作業など,兵庫県神戸市灘区岩屋中町4-2-7,380,10百万円,1999,48.0,https://www.shimabun.co.jp/company/group.html,,
2024-08-01,シールドエアージャパン合同会社,石油化学メーカー,3,■事業概要：包装システム機器、包装用資材および関連商品の輸入・製造・開発・販売・リース,東京都中央区日本橋小伝馬町1-7スクエア日本橋,92,300百万円,1978,47.0,http://www.sealedair-japan.com/,,
2024-05-01,株式会社山崎化成,石油化学メーカー,1,■事業内容樹脂フィルム製品メーカーとして、汎用プラスチックフィルム製品の製造販売を行っています。■特徴・会社創業以来、業界で40年以上の歴史があり、様々な分野で取引があります。・少数精鋭な組織で、堅実な経営で安定成長を続けています。,愛知県西尾市戸ケ崎5-2-14,33,10百万円,1975,50.0,なし,,
2024-07-01,株式会社上武,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,■概要：1969年に設立し、主にガラス＆カガミの加工、施工、販売を行っております。■事業内容： ガラス＆カガミの加工、施工、販売、ケミカル強化硝子加工、各種ガラス強度テスト、フィルムラミネート、商用車・レースカーマーキング、各種オリジナルステッカー（制作、施工、販売）,埼玉県本庄市小島6-5-39,22,10百万円,1969,39.5,https://www.jo-bu.co.jp/,,
2024-06-01,マルヒ食品株式会社,食品・飲料メーカー（原料含む）,1,■事業内容： マルヒ食品は自社保有の工場メーカーによるメーカー機能と、自社物流を活かした問屋機能により、製造・販売・物流においてお客様へ最適なサポートをさせて頂いております。,宮城県大崎市鹿島台木間塚字西沢172-1,110,"4,200百万円",,,https://www.azi-sai.com/,,
2024-06-01,株式会社Ｂｅ－ｆｒｅｓｈ,食品・飲料メーカー（原料含む）,3,■事業内容： Be-freshは焼肉用精肉商品を専門に取り扱っている会社です。工場で、輸入・国産原料を加工し、焼肉チェーン店を中心に出荷・販売しています。機械及び包丁を使用しており、いずれも「経験」や「技術」を必要としています。当社では、ベテランスタッフを中心に、大切な原料を迅速丁寧に加工を行っています。,茨城県猿島郡五霞町元栗橋4668,140,3百万円,2003,,http://www.befresh.co.jp,,
