更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,昭和KDE株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,1,■事業内容：（1）グラスファイバー原料事業（ガラス長繊維用原料）…プリント配線基板には、特殊な技術によって細く加工されたグラスファイバーが使われています。このわずか数ミクロンという細さの特殊なグラスファイバーの原料として使用されているのが、同社の「ガラス繊維用原料」です。業界でもトップクラスを誇るその優れた品質が高く評価されていることを糧として、安定供給に努めます。,東京都品川区東五反田1-2-33白雉子ビル6F,1934,,226,100百万円,47.0,https://www.showa-hp.co.jp/,
2024-07-01,白石工業株式会社,石油化学メーカー,6,■事業内容：同社は明治42年「白石式軽微性炭酸カルシウムの製造方法」を完成し創業した「白石兄弟商会」をバックボーンに、炭酸カルシウムをはじめ各種無機粉体の研究（株式会社白石中央研究所）・製造（同社）・販売（白石カルシウム株式会社）を展開する「白石グループ」の中核企業として、炭酸カルシウムの製造・開発・研究・管理・営業を行っています。,大阪府大阪市北区中之島2-2-7中之島セントラルタワー9F,1919,,198,550百万円,43.1,http://www.shiraishi.co.jp,
2024-07-01,オリヱント化学工業株式会社,機能性化学（有機・高分子）メーカー,1,■事業内容： 工業用着色剤、情報記録材料、機能性材料の製造販売,大阪府大阪市中央区南本町1-7-15明治安田生命堺筋本町ビル11F,1949,,232,91百万円,44.0,https://www.orientchemical.com/,
2024-07-01,昭和西川株式会社,家具・インテリア・生活雑貨メーカー,1,■概要：私たち昭和西川は、お客さま一人ひとりの生活に寄り添い、”良質な眠り”と”健康”をプロデュースする企業です。睡眠を通してお客さまの健康をサポートし、健やかな毎日と豊かな暮らし、そして豊かな社会の創造に貢献していきます。上質な天然素材を用いた商品と、科学に基づいた機能性商品、誠実をモットーとした、品質の追求。あらゆるサービスで良質な眠りを提供します。快眠寝具とライフスタイル提案を通して健康と皆さまの豊かな人生に貢献し、すべての「快眠ある暮らし」をもたらすために、私たちは歩み続けています。,東京都中央区日本橋浜町1-4-15,1942,,460,40百万円,49.0,http://www.showanishikawa.co.jp,
2024-07-01,共和ライフテクノ株式会社,機能性化学（有機・高分子）メーカー,1,※自動車内装合成皮革表皮材／国内シェアNo.1／世界No.2のシェアを誇る共和レザーグループ※■事業内容：ファッション、インテリア素材としての塩ビ製品、ウレタン製品の製造、販売,徳島県鳴門市里浦町里浦字花面85,1950,,240,150百万円,,https://www.kyowalt.co.jp/,
2024-08-01,三陽物産株式会社,食品・飲料メーカー（原料含む）,1,事業内容：酒類食品総合商社（酒類の卸営業販売など）「お酒のプロフェッショナル」として、酒類・飲料の提案から販売までのあらゆる役割を務め、ニーズに応じた様々な形でのサービスとしてお届けしております。◆全国トップクラスの売上を誇る酒類商社創業開始から現在に至るまで業績を伸ばしており、2023年度には売上1750億円突破いたしました。（社員1人あたりに換算すると約「7.5億円」の売上）,大阪府大阪市北区松ケ枝町1-3,1973,,244,670百万円,35.2,http://www.sanyo-bussan.co.jp/,
2024-08-01,三菱商事プラスチック株式会社,石油化学メーカー,3,■事業内容：（1）合成樹脂原料・製品ならびに関連商品の国内取引、輸出入取引（2）汎用樹脂分野：生活に密着したプラスチック包装資材、その原料取引（3）工業樹脂分野：自動車、電機電子等のプラスチック製の原料取引、合成ゴムの原料取引。液晶、パネルなど電子機器の部品、原材料取引等（4）PET樹脂分野：ペットボトルの原料取引（5）パレット・コンテナ・ラック等の物流関連資材、器材の販売・賃貸借及び管理業（6）コンビニエンスストア等リテイラー向け用度品、物販商品の国内取引、輸出入取引（7）成形加工機械、包装機械及びこれら機器部品の販売・輸出入・賃貸借,東京都千代田区丸の内1-8-3丸の内トラストタワー本館11F,1989,,210,647百万円,40.0,http://www.mcplas.co.jp,
2024-08-01,ロイヤルカナン　ジャポン合同会社,文房具・事務・オフィス用品メーカー,4,■事業内容：フランスに本社を置くペットフードメーカー「ロイヤルカナン」日本法人です。私たちのミッションは、犬と猫の専門家と協働して、栄養や、犬と猫に関する知識・知見を広めることで、一頭一頭の犬と猫を“真に健康な状態”へと導くことです。そのために大学や獣医師、ブリーダーといった犬と猫の専門家と綿密に連携し、「科学と観察」を通して、個々の犬と猫の栄養ニーズにきめ細やかに応える製品を開発しています。,東京都港区港南1-2-70品川シーズンテラス 7F,1991,,210,,,https://royalcanin.jp,
2024-08-01,日本製紙木材株式会社,製紙・パルプメーカー,1,■事業内容： 私たち日本製紙木材は、日本製紙グループの中で木材の全てを扱っており、まさにグループの根幹・グループ会社の川上事業を行っております。木を利用される場面は非常に幅が広く、家具や建築用材、紙パルプの原料にとどまらず、近年ではバイオマス発電の燃料としても使用用途は拡大し、地球環境保全にも貢献しております。さあ、あなたも「木材を扱うプロフェッショナル」として、当社で活躍しながら社会貢献してみませんか。,東京都千代田区神田駿河台4-6御茶ノ水ソラシティ,1970,,230,440百万円,,https://www.np-l.co.jp/company/about.html,
2024-08-01,仙台小林製薬株式会社,トイレタリーメーカー,3,■事業内容： 小林製薬株式会社の100％子会社として、小林製薬等でで販売している、家庭用医薬品、生活衛生関連製品の製造を行っています,宮城県黒川郡大和町松坂平4-3,1993,,300,200百万円,,http://sendaikobayashi.co.jp/index.html,
2024-08-01,株式会社九十九島グループ,食品・飲料メーカー（原料含む）,2,1948年、佐世保の小さなお菓子屋さんから始まった私たちは、世の中に無い新しい名物を作りたいという思いを掲げ「九十九島せんぺい」や「Ivirish」、「I'm LILY」といった唯一無二のブランドを続々と展開し、長崎から九州へとその美味しさを広げてきました。そんな九十九島グループは創業75年を迎えた今、大きな変革期を迎えています。卸売メインの経営スタイルから現場中心の製造小売型経営へと大転換し、お菓子を通して皆様にさらなる笑顔と喜びをお届けしていきます。,長崎県佐世保市日宇町2566,1948,,450,99百万円,39.0,https://www.99grp.co.jp/,
2024-08-01,株式会社七彩,ファッション・アパレル・アクセサリーメーカー,6,■事業内容：・マネキン及び各種ボディの製造、販売、レンタル・各種陳列什器の製造、販売及び成型物の制作、販売・店舗、商業施設の企画、デザイン、設計、施工・展示会、催事の企画、デザイン、設計、施工・衣服及び雑貨、室内装飾品、身の回り品の製造、販売・病医院空間のデザイン、設計、施工／住空間インテリアコーディネート,京都府京都市南区吉祥院中島町29,1947,,199,90百万円,44.0,https://www.nanasai.co.jp,
2024-08-01,ヘインズブランズ ジャパン株式会社,繊維メーカー,7,■事業内容：・アパレル商品の企画、製造と日本での販売・自社ブランドのライセンスビジネス,東京都新宿区信濃町35信濃町煉瓦館3F,1992,,204,80百万円,,http://www.hanesbrands.co.jp/,
2024-08-01,アモーレパシフィックジャパン株式会社,化粧品メーカー,11,I. Amorepacific のミッションA MORE BEAUTIFUL な世界を目指してAMOREPACIFICは1945年に創業し、「ETUDE」「innisfree」「LANEIGE」「HERA」「AESTRA」などの人気ブランドを有する韓国化粧品業界のリーディングカンパニーです。 2023年にWWDが発表した、「世界のビューティ企業TOP100」の中で、アモーレパシフィックは17位にランクインしています。,東京都渋谷区広尾1-13-7恵比寿イーストビル2F,2005,,180,10百万円,37.8,http://www.apgroup.com/jp/ja,
2024-08-01,株式会社名古屋食糧,食品・飲料メーカー（原料含む）,1,■米穀製品の企画・開発・製造・販売■米飯加工製品の企画・開発・製造・販売（冷凍、レトルト、日配）■米粉・米粉加工製品の企画・開発■直販店舗の運営（玄米・精米・加工米・おにぎり・お弁当販売、レストラン）■インターネット直販サイトの運営■給食受託■仕出し料理、ケータリングサービスの企画・運営,愛知県名古屋市中区栄2-1-1 日土地名古屋ビル4階,1949,,570,1億円,,https://meisyoku.co.jp/,代表取締役社長 則竹 功雄
2024-08-01,株式会社アルミネ,金属・製綱・鉱業・非鉄金属メーカー,13,■事業内容：アルミ線・棒・板・条製造販売 ■製造品目：ワイヤーロッド（荒引線）、合金ロッド、鍛造用合金、高純度アルミ線、溶射用アルミ線、蒸着用アルミ線、異形線、高強度・耐摩耗性合金、電極ワイヤー（MIG）、溶接棒（TIG）、切削用鋳造用合金棒、アルミニウム板・条、トランス用アルミ条、アルマイト板,大阪府大阪市西区阿波座2-3-24,1960,,152,490百万円,36.8,http://www.almine.co.jp/,
2024-07-01,ＰＨ　ＰＡＲＩＳ　ＪＡＰＯＮ株式会社,食品・飲料メーカー（原料含む）,1,■洋菓子の製造、販売業、喫茶経営■デリバリーサービス■ライセンス事業,東京都港区北青山3-10-18 北青山本田ビル2F,2004,,120,"7,000万円",31.0,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010613282/: 'NoneType' object has no attribute 'get',代表取締役社長 RICHARD LEDU (リシャール ルデュ)
2024-08-01,株式会社谷沢製作所,ファッション・アパレル・アクセサリーメーカー,4,■企業概要： 創業以来80年以上、「働く人の生命を守る」総合防具メーカーとして、産業用安全衛生保護具や防災用具を扱っています。1932年の創業以来長きにわたり、“働く人々の安全”を守り続けてきました。■事業内容：1.産業用安全衛生保護具（保護帽、安全帯、換気用風管など）及び標識などの製造・販売、ならびに賃貸／2.防災用具、用品の製造販売／3.携帯用無線機の製造販売、賃貸／4.医療機器の製造販売および賃貸／5.乗車用ヘルメットの製造販売／6.上記各号に付帯する一切の事業,東京都中央区新富2-8-1キンシビル,1950,,200,100百万円,43.0,http://www.tanizawa.co.jp/,
2024-08-01,三星金属工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■営業品目：鉄筋コンクリート用棒鋼,新潟県燕市小関736,1951,,217,480百万円,41.8,https://www.mitsuboshi-scon.co.jp/,
2024-07-01,株式会社イーパック,製紙・パルプメーカー,1,■事業概要：包装用マテリアル・メーカーとして時代に先駆けた製品開発をすすめ、産業や社会に新しい価値を提供してきました。,大阪府豊中市日出町1-6-22,1953,,200,21百万円,,http://www.e-pack.co.jp/,
2024-08-01,菱光石灰工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,4,■事業内容：・石灰石その他各種鉱物、土石の採取、加工および販売・生石灰、消石灰、炭酸カルシウム、排ガス浄化剤の製造および販売・土木建築用原料の生産、加工、運送および販売・肥料や飼料の製造ならびに販売・生コンクリート、セメントおよびセメント二次製品の販売,東京都千代田区神田富山町10-2アセンド神田ビル2F,1973,,142,490百万円,44.0,http://www.ryokolime.co.jp/ja/index.html,
2024-07-01,ＡＧＣプライブリコ株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,10,■パーパス独自のライニングソリューションとpliable（しなやか）な発想で“やさしい未来”を支えます＊業務内容(1)不定形耐火材の製造販売(2)各種工業窯炉の設計施工(主要鉄鋼メーカー、セメントメーカー、プラントメーカー等への窯炉炉壁の設計施工)(3)建設用器具の製造販売(不定型耐火材施工用吹き付け機他の設計・製作・販売) ■社名の由来「Plibrico」はPLIABLE FIREBRICK COMPANY（可塑性のある耐火レンガ＝不定形耐火物）に由来します。,東京都港区芝4-1-23三田NNビル 6F,1954,,200,360百万円,46.0,http://www.plibrico.co.jp/,
2024-08-01,株式会社ザイエンス,住宅設備・建材メーカー,4,■事業内容：・防腐防虫木材並びに一般木材の生産、販売・住宅資材／産業用資材の生産、販売・防腐、防虫、防蟻、防カビ剤の生産、販売並びに白蟻防除工事・公園施設の設計、生産、販売、施工・建築及び土木工事の設計、施工並びに請負,東京都千代田区丸の内2-3-2,1931,,,220百万円,,https://www.xyence.co.jp/,
2024-08-01,カルビーポテト株式会社,食品・飲料メーカー（原料含む）,5,■事業内容：馬鈴薯およびその他の農産物の購入、貯蔵、物流、販売馬鈴薯加工およびその他の農産物加工品の商品開発、製造販売■当社について：当社はポテトチップスの原料を安定的に供給する為、1980年Calbeeの原料部門から分社化してできた会社となります。現在は新品種の開発から契約生産者さんへの栽培指導・収穫サポート・調達、そしてCalbeeへの原料供給をしており、じゃがいもに特化した会社です。じゃがいも業界のリーディングカンパニーとして、今後もじゃがいもの新たな「食」文化創造を目指し、高品質・高鮮度のじゃがいも商品を提供していきます。,北海道帯広市別府町零号31-4,1980,,253,100百万円,,https://www.calbee-potato.co.jp/,
2024-08-01,株式会社リファインバースグループ,その他メーカー,1,■事業概要：当社の事業領域は幅広く、資源開発から素材化、それらを包括するソリューション事業と多岐に渡ります。脱炭素・サーキュラーエコノミーへの移行は全世界的な課題であり、多くの企業がその実現に向けて動き始めています。自社の新規事業拡大だけでなく、三菱ケミカルとの提携事業のように当社の技術・ノウハウを活用してパートナーとの新たなビジネスを幅広く柔軟に展開していきます。,東京都千代田区有楽町2-2-1,2021,グロース市場,210,152百万円,,"Failed to retrieve page, status code: 410",
2024-06-01,焼津水産化学工業株式会社,香料メーカー,2,■事業内容： 天然調味料・健康機能成分の製造■事業詳細カツオ、カニ、ホタテ、昆布等の魚介類を原料とする天然調味料の製造販売を主力としており、他に機能性食品用の素材、香辛料等の製造販売を行っております。また連結子会社をつうじて冷凍マグロ、水産物の加工品等の製造販売も行っています。,静岡県焼津市小川新町5-8-13,1959,,183,"3,617百万円",,http://www.yskf.jp/,
2024-08-01,株式会社明治ゴム化成,石油化学メーカー,2,【明治33年創立／工業用ゴム製品、プラスチック製品の開発・製造・販売をしています】,東京都新宿区西新宿7-22-35西新宿三晃ビル2Ｆ,1900,,260,692百万円,44.1,http://www.meiji-rubber.co.jp/,
2024-05-01,株式会社アーレスティ山形,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： ダイカスト製品製造・機械加工・部品組付,山形県西置賜郡白鷹町大字荒砥乙65,1960,,240,151百万円,,https://www.ahresty.co.jp/company/ayc/,
2024-08-01,株式会社サティス製薬,化粧品メーカー,7,■概要：同社は1999年に開発ベンチャーとして創業し、これまで沢山の化粧品を開発しています。同社の柱となる化粧品、医薬部外品、石鹸、医科向け外用剤の企画、処方開発及び受託(OEM)製造においては、現在取引先企業数は約700社を超えるなど毎年安定した増加傾向となっており、業界トップクラスを誇ります。■事業内容： (1)化粧品・医薬部外品・石鹸・医科向け外用剤の企画、処方開発および受託(OEM)製造 (2)基礎研究および開発,埼玉県吉川市中井57-1,1999,,145,51百万円,,http://www.saticine-md.co.jp/,
2024-08-01,八木通商株式会社,繊維メーカー,8,■事業概要：同社は貿易業務を主体とする専門商社。服飾品の輸入及び卸、OEM、ライセンス業務、直営店運営などを行っています。具体的には世界一流のインポート･カジュアルを国内の有名セレクトショップ･百貨店に卸販売。欧州などの多様な素材を活用してOEM生産を提案。どちらも顧客の厚い信頼を得ています。常に国際的な視野に立った最先端のマーケティングやマーチャンダイジングを積極的に推進。迅速かつ的確に市場環境に対応できる高度に専門化されたワールドトレードカンパニーです。輸出事業からはじまった会社でもあり、食品の輸入なども行っています。,大阪府大阪市中央区北浜3-1-9,1946,,189,100百万円,45.3,http://www.yagitsu.co.jp/,
2024-08-01,株式会社アクシージア,化粧品メーカー,6,■事業内容：化粧品／サプリメントの企画、製造、販売、卸■当社の特徴：当社が考える「東洋の美」は、肌も心も「凛と研ぎ澄まされた美しさ」を持っていることです。外側のケアにとどまらず、内面まで充実させるような化粧品を目指し、ホームケアプロダクトとサロンケアプロダクトを開発しています。また、化粧品原料の研究や、原料となる植物の保護・育成活動など、幅広い取り組みを予定しています。,東京都新宿区西新宿2-6-1新宿住友ビル35F,2011,プライム市場,185,"2,147百万円",33.4,http://axxzia.co.jp/,
2024-06-01,キユーピー醸造株式会社,食品・飲料メーカー（原料含む）,1,■事業内容： 醸造酢、穀物酢、果実酢の製造販売。漬物、惣菜向け調味酢、調味液の製造販売。食品添加物（品質保持用）などの製造販売。食品用品質改良剤の製造販売。肥料、飼料の製造販売。発酵調味料、粉末酢などの調味料、果汁などの食品原料素材の販売。食品製造の管理に関する技術、情報の提供。,東京都調布市仙川町2-5-7仙川キユーポート,1962,,300,100百万円,40.0,https://www.kewpie-jyozo.co.jp/,
2024-08-01,第一石鹸株式会社,化粧品メーカー,3,■事業内容：・洗剤、石鹸、各種トイレタリー類、 並びに化粧品／医薬部外品の製造販売■当社について：・豊田通商（株）のグループ会社で、創業70周年を迎えました。・PB（プライベートブランド）製品の企画段階から携わることができます。顧客ニーズに応じたアイデアをどんどん発信できる環境であり、挑戦できるやりがいのある職場です。,群馬県邑楽郡板倉町大字海老瀬7208,1998,,271,100百万円,,https://www.daiichisekken.co.jp/,
