更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,帝研化工株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,愛知県名古屋市南区要町5-20-1,1947,代表取締役 高澤 曜宏,45 百万円,,,,◎鋳物用副資材の製造・販売◎各種生産設備の販売＜主な事業所＞■本社／愛知県名古屋市南区要町5-20-1■碧南営業所・明石工場／愛知県碧南市明石町49-11 2023年11月doda掲載求人より引用,
2024-08-01,株式会社三栄シリカ,金属・製綱・鉱業・非鉄金属メーカー,無,愛知県岡崎市鉢地町字三山13,1960,代表取締役 原田 雅樹,40 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 【鋳物砂関係】人造珪砂、再生砂、シェルモールド鋳型及びRCSの製造販売【建材関係】建材用珪石粉末の製造販売【商事関係】ダスト分級プラント設計販売、耐熱耐摩耗部品の販売、ドライアイス洗浄機の販売 2023年1月doda掲載求人より引用,
2024-08-01,新日本化学工業株式会社,化粧品メーカー,無,愛知県安城市昭和町19-10,1959,代表取締役 中村 哲久,96 百万円,,,,■主に食品・飲料業界で使用される「酵素」の製造【主要取引先企業】Welch's、Danone、Dupont、Walmart、昭和産業、名糖産業、その他国内外大手食品・香料・飲料メーカー、他 2023年11月doda掲載求人より引用,
2024-08-01,株式会社ホウトク,家具・インテリア・生活雑貨メーカー,求人なし,愛知県小牧市大字上末3509-190,1949,代表取締役 大山 富生,100 百万円,,,,,
2024-08-01,イマヰゴム株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県名古屋市瑞穂区大喜新町1-3,1948,代表取締役 今井 広一郎,10 百万円,,,,,
2024-08-01,日本モウルド工業株式会社,製紙・パルプメーカー,無,愛知県安城市三河安城町2-20-1,1956,代表取締役 石原 雄大,260 百万円,,,,,
2024-08-01,中央紙器工業株式会社,製紙・パルプメーカー,求人なし,愛知県清須市春日宮重町363,1957,代表取締役社長 山下 雅司,"1,077 百万円",,,,,地方上場
2024-08-01,株式会社長登屋,食品・飲料メーカー（原料含む）,無,愛知県名古屋市西区城西1-5-7,1953,代表取締役 加藤 裕之,96 百万円,,,,,
2024-08-01,株式会社ナカガワ,その他メーカー,無,愛知県名古屋市南区明治1-6-5,1951,代表取締役 中川 雅夫,10 百万円,,,,,
2024-08-01,豊臣熱処理工業株式会社,その他メーカー,求人なし,愛知県知立市牛田町遠新切21-8,1959,代表取締役 宅間 浩一,21 百万円,,,,,
2024-08-01,トヨセット株式会社,文房具・事務・オフィス用品メーカー,求人なし,愛知県名古屋市熱田区金山町1-6-18バイオレットビル,1964,代表取締役 川原田 淳,39 百万円,,,,,
2024-08-01,竹新製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県知多市岡田字太郎坊109-3,1961,代表取締役 新美 範恭,48 百万円,,,,,
2024-08-01,株式会社キングコーポレーション,文房具・事務・オフィス用品メーカー,求人なし,愛知県名古屋市中区丸の内3-7-23,1950,代表取締役 棚橋 泰仁,94 百万円,,,,,
2024-08-01,いずみ製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県安城市和泉町中本郷73,1958,代表取締役 沓名 哲志,100 百万円,,,,,
2024-08-01,株式会社岩福セラミックス,住宅設備・建材メーカー,求人なし,愛知県高浜市二池町4-5-28,1963,代表取締役 岩月 明仁,20 百万円,,,,,
2024-08-01,九重味淋株式会社,食品・飲料メーカー（原料含む）,無,愛知県碧南市浜寺町2-11,1945,代表取締役 石川 総彦,72 百万円,,,,,
