更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,有限会社パール金属,その他メーカー,求人なし,愛知県名古屋市瑞穂区大喜新町2-28,1973,代表取締役 堀口 武人,10 百万円,,,,,
2024-08-01,ニチフリ食品株式会社,食品・飲料メーカー（原料含む）,求人なし,静岡県静岡市清水区蒲原5190-2,1960,代表取締役社長 野村 恵理子（塩坂恵理子,21 百万円,,,,,
2024-08-01,花王製紙富士株式会社,製紙・パルプメーカー,求人なし,静岡県富士市南松野2329,1969,代表取締役 萬條司,100 百万円,,,,,
2024-08-01,サカイ産業株式会社,繊維メーカー,求人なし,静岡県島田市細島1349-1,1955,代表取締役 酒井 昌浩,20 百万円,,,,,
2024-08-01,河田製帽株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,岐阜県岐阜市美園町2-1,1973,代表取締役 河田 尚明,10 百万円,,,,,
2024-08-01,艶榮工業株式会社,繊維メーカー,求人なし,愛知県蒲郡市宝町2-29,1948,代表取締役 嶋田 義男,20 百万円,,,,,
2024-08-01,ハリマ化成グループ株式会社,石油化学メーカー,求人なし,東京都中央区日本橋3-8-4日本橋さくら通りビル 5Ｆ,1947,代表取締役社長 長谷川 吉弘,"10,012 百万円",,,,プライム,
2024-08-01,富山製紙株式会社,製紙・パルプメーカー,求人なし,富山県富山市下新西町3-14,1948,代表取締役 寺﨑 敏治,100 百万円,,,,,
2024-08-01,有田食品株式会社,食品・飲料メーカー（原料含む）,無,和歌山県有田市箕島743,1971,代表取締役 永井大善,40 百万円,,,,,
2024-08-01,ソックコウベ株式会社,繊維メーカー,求人なし,兵庫県神戸市東灘区向洋町中6-9神戸ファッションマート 5Ｆ,1991,代表取締役 日ノ本 欽也,50 百万円,,,,,
2024-08-01,カーツ株式会社,その他メーカー,求人なし,岡山県岡山市東区西大寺五明387-1,1979,代表取締役 勝矢 雅一,100 百万円,,,,,
2024-08-01,中山石灰工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,岡山県真庭市宮地2252,1959,代表取締役 中山 尚啓,30 百万円,,,,,
2024-08-01,株式会社水内ゴム,その他メーカー,求人なし,岡山県岡山市中区下461,1963,代表取締役 水内 雄一,20 百万円,,,,,
2024-08-01,株式会社高木牧場,食品・飲料メーカー（原料含む）,求人なし,滋賀県近江八幡市宮内町35,1970,代表取締役 髙木 潔,10 百万円,,,,,
2024-08-01,平喜酒造株式会社,食品・飲料メーカー（原料含む）,求人なし,岡山県浅口市鴨方町鴨方1283,1960,代表取締役 戸塚 堅二郎,27 百万円,,,,,
2024-08-01,オタライト株式会社,石油化学メーカー,求人なし,福岡県春日市桜ヶ丘7-79,1939,代表取締役 梅野 千秋,180 百万円,,,,,
2024-08-01,丸大大金畜産株式会社,食品・飲料メーカー（原料含む）,無,北海道札幌市中央区北四条西11-3,1950,代表取締役 大金 弘武,38 百万円,,,,,
2024-08-01,サンダイヤ株式会社,食品・飲料メーカー（原料含む）,無,東京都中央区日本橋浜町1-1-12プラザＡＮＳビル 8Ｆ,1954,代表取締役 木村 徹,90 百万円,,,,,【主な取扱い製品】・食品添加物・香料および染料・医薬品、工業薬品、医薬部外品および医療機器・酒類■上記各製品の製造、販売および輸出入■食品の加工、販売および輸出入■食品製造施設の衛生管理に関する助言、指導および評価 など 2024年2月doda掲載求人より引用
2024-08-01,札幌電鉄工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,北海道札幌市西区発寒十三条13-1-10,1976,代表取締役 川合 信正,97 百万円,,,,,
2024-08-01,くみあい乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,北海道旭川市永山北二条10-1-6,1980,代表取締役 池浦 二郎,200 百万円,,,,,
2024-08-01,株式会社六花亭,食品・飲料メーカー（原料含む）,求人なし,北海道帯広市西二十四条北1-3-19,1975,代表取締役 小田 文英,42 百万円,,,,,
2024-08-01,山形化成工業株式会社,石油化学メーカー,求人なし,山形県西村山郡河北町谷地字真木160-3,1966,代表取締役 後藤 拓也,24 百万円,,,,,
2024-08-01,レンソール株式会社,石油化学メーカー,求人なし,新潟県見附市今町7-3-19,1984,代表取締役 中村 博也,181 百万円,,,,,
2024-08-01,オグラ金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,栃木県足利市川崎町1310足利東部工業団地内,1969,代表取締役 小倉勝興,99 百万円,,,,,
2024-08-01,株式会社内田商会,製紙・パルプメーカー,求人なし,茨城県土浦市中央2-6-4,1949,代表取締役 内田 典宏,10 百万円,,,,,
2024-08-01,菊地工業株式会社,その他メーカー,求人なし,静岡県榛原郡吉田町住吉3315,1950,代表取締役 菊地 洋太郎,80 百万円,,,,,
2024-08-01,株式会社信明産業,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,東京都大田区平和島6-1-1東京流通センタービル 531,1966,代表取締役 岡山 信之,30 百万円,,,,,
2024-08-01,大平洋金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,東京都千代田区大手町1-6-1大手町ビルヂング 5Ｆ,1949,代表取締役社長 青山 正幸,"13,922 百万円",,,,プライム,
2024-08-01,全農チキンフーズ株式会社,食品・飲料メーカー（原料含む）,求人なし,東京都港区港南2-12-33品川キャナルビル 4Ｆ,1972,代表取締役 山下 武彦,"2,307 百万円",,,,,
2024-08-01,東洋リントフリー株式会社,繊維メーカー,無,東京都杉並区和泉3-60-14,1970,代表取締役 山田 裕治,80 百万円,,,,,
2024-08-01,株式会社丸善,食品・飲料メーカー（原料含む）,求人なし,東京都台東区上野3-5-9,1956,代表取締役 原 壮太,100 百万円,,,,,
2024-08-01,株式会社フルハートジャパン,その他メーカー,無,東京都大田区中央3-20-8,1968,代表取締役 國廣 愛彦,10 百万円,,,,,
2024-08-01,株式会社やおきん,食品・飲料メーカー（原料含む）,求人なし,東京都墨田区横川5-3-2,1981,代表取締役 角谷 昌彦,10 百万円,,,,,
2024-08-01,コスモ石油ルブリカンツ株式会社,石油化学メーカー,求人なし,東京都港区芝浦1-1-1浜松町ビルディング 7Ｆ,1986,代表取締役 工藤 孝浩,"1,620 百万円",,,,,
2024-08-01,株式会社大崎総合研究所,試薬メーカー・受託合成・受託分析,求人なし,東京都千代田区内幸町2-2-2富国生命ビル 27Ｆ,1982,代表取締役 佐藤 俊明,10 百万円,,,,,
2024-08-01,昭和化学工業株式会社,その他メーカー,求人なし,埼玉県ふじみ野市大井武蔵野1369,1960,代表取締役 鈴木 雅晶,72 百万円,,,,,
2024-08-01,テクノ工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,神奈川県横浜市金沢区福浦2-8-13,1972,代表取締役 青柳 忠輝,60 百万円,,,,,
2024-08-01,尾張製粉株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県半田市成岩本町1-70,1932,代表取締役 榊原 総一郎,74 百万円,,,,,
2024-08-01,ユータック株式会社,その他メーカー,求人なし,愛知県名古屋市中川区柳川町14-23,1959,代表取締役 加藤 真由美,40 百万円,,,,,
2024-08-01,岡崎椅子株式会社,家具・インテリア・生活雑貨メーカー,求人なし,愛知県岡崎市井ノ口新町8-11,1975,代表取締役 太田 隼行,20 百万円,,,,,
2024-08-01,株式会社サンワールドコマース,文房具・事務・オフィス用品メーカー,求人なし,愛知県名古屋市東区徳川町2601サンワールドビル 1Ｆ,1982,代表取締役社長 科野 榮蔵,20 百万円,,,,,
2024-08-01,サンポッカサービス株式会社,食品・飲料メーカー（原料含む）,無,愛知県名古屋市守山区小幡宮ノ腰8-21,1981,代表取締役 佐々木 功,10 百万円,,,,,自動販売機による清涼飲料の販売、自動販売機の管理及び設置メンテナンス自動販売機による食品の販売、自動販売機の管理及び設置メンテナンスオフィス用給茶機の販売、設置及びメンテナンス、原料の販売オフィス用コーヒーメーカーの販売、メンテナンス、原料の販売その他のオフィスサービス（タオルディスペンサー、観葉植物のレンタル） 2023年9月doda掲載求人より引用
2024-08-01,ニチアスセラテック株式会社,住宅設備・建材メーカー,求人なし,長野県上水内郡飯綱町大字牟礼396,1959,代表取締役 深瀬 宗彦,420 百万円,,,,,
2024-08-01,株式会社ウチゲン,その他メーカー,求人なし,静岡県浜松市中央区幸4-4-3,1948,代表取締役 内山 照章,85 百万円,,,,,
2024-08-01,東海ダイカスト工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岐阜県各務原市金属団地38,1952,代表取締役社長 下村 祐介,12 百万円,,,,,
2024-08-01,不二精工株式会社,その他メーカー,求人なし,岐阜県羽島市福寿町平方13-60,1960,代表取締役 髙木 力,48 百万円,,,,,
2024-08-01,一般財団法人岐阜県公衆衛生検査センター,試薬メーカー・受託合成・受託分析,求人なし,岐阜県岐阜市曙町4-6,1973,代表理事 中村 弘揮,,,,,,
2024-08-01,太陽化学株式会社,食品・飲料メーカー（原料含む）,求人なし,三重県四日市市山田町800,1946,代表取締役社長 山崎 長宏,"7,730 百万円",,,,地方上場,
2024-08-01,ティビーアール株式会社,その他メーカー,求人なし,愛知県豊川市小田渕町4-63,1960,代表取締役 福井 宏海,30 百万円,,,,,
2024-08-01,永真工業株式会社,その他メーカー,求人なし,愛知県豊川市小田渕町3-43-2,1980,代表取締役 伊藤 成一,11 百万円,,,,,
2024-08-01,旭電機化成株式会社,石油化学メーカー,求人なし,大阪府大阪市東成区神路4-3-18,1950,代表取締役 原 直宏,75 百万円,,,,,
2024-08-01,シルバー株式会社,その他メーカー,求人なし,大阪府八尾市北亀井町2-7-15,1957,代表取締役 平松 直人,75 百万円,,,,,
2024-08-01,株式会社山喜,その他メーカー,求人なし,大阪府大阪市天王寺区清水谷町19-7,1956,代表取締役 山本 晋平,30 百万円,,,,,
2024-08-01,株式会社クリオ・エアー,その他メーカー,求人なし,大阪府堺市西区築港浜寺町4,1991,代表取締役 入江 俊和,480 百万円,,,,,
2024-08-01,パナソニックエコシステムズ共栄株式会社,その他メーカー,求人なし,大阪府門真市大字門真1048ＥＷ社構内Ｂ22棟 1Ｆ,1980,代表取締役 池川 直人,30 百万円,,,,,
2024-08-01,株式会社エフシーシー,金属・製綱・鉱業・非鉄金属メーカー,無,大阪府大阪市港区磯路1-6-8,1975,代表取締役 折口 哲也,15 百万円,,,,,
2024-08-01,イゲタサンライズパイプ株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,大阪府大阪市中央区伏見町4-2-14ＷＡＫＩＴＡ藤村御堂筋ビル,2000,代表取締役 鶴見 吉晴,270 百万円,,,,,
2024-08-01,中川製紙株式会社,繊維メーカー,求人なし,石川県白山市相川新町718,1952,代表取締役 柴田 明彦,95 百万円,,,,,
2024-08-01,株式会社北陸化成工業所,試薬メーカー・受託合成・受託分析,求人なし,富山県高岡市石瀬1928,1941,代表取締役 中山 浩光,62 百万円,,,,,
2024-08-01,八田工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,無,大阪府堺市中区八田西町2-18-40,1979,代表取締役 隅谷 賢三,10 百万円,,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 金属熱処理加工（真空焼入れ、真空熱圧着、真空ろう付等）金属加工（ワイヤーカット放電加工、細穴放電加工、研摩加工等）金属材料販売・管理（ZDP189、ZDP189＋ATS34三層鋼等） 2023年1月doda掲載求人より引用
2024-08-01,白光金属工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,大阪府堺市西区浜寺石津町東1-1-23,1988,代表取締役 吉村 加代子,30 百万円,,,,,
2024-08-01,岡山金属株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岡山県岡山市東区上道北方350,1984,代表取締役 佐藤 治男,30 百万円,,,,,
2024-08-01,カモ井食品工業株式会社,食品・飲料メーカー（原料含む）,求人なし,岡山県倉敷市中島1138,1948,代表取締役 鴨井 恒夫,30 百万円,,,,,
2024-08-01,上田昆布株式会社,食品・飲料メーカー（原料含む）,求人なし,広島県広島市西区商工センター7-1-35,1951,代表取締役 上田 祐士,45 百万円,,,,,
2024-08-01,株式会社コトブキ,食品・飲料メーカー（原料含む）,求人なし,広島県広島市南区京橋町2-24,1976,代表取締役 山根 由裕,10 百万円,,,,,
2024-08-01,鳴門塩業株式会社,食品・飲料メーカー（原料含む）,求人なし,徳島県鳴門市撫養町黒崎字松島53,1966,代表取締役 安藝 順,476 百万円,,,,,
2024-08-01,三葉電機工業株式会社,その他メーカー,求人なし,福岡県福岡市博多区東那珂1-15-71,1958,代表取締役 忍田 武人,36 百万円,,,,,
2024-08-01,南日本酪農協同株式会社,食品・飲料メーカー（原料含む）,求人なし,宮崎県都城市姫城町32街区3号,1960,代表取締役 有村 義昭,480 百万円,,,,,
2024-08-01,熊本森永乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,熊本県熊本市東区鹿帰瀬町431-1,1937,代表取締役 村松 健,50 百万円,,,,,
2024-08-01,太洋食品株式会社,食品・飲料メーカー（原料含む）,求人なし,長崎県島原市高島1-365,1955,代表取締役 髙山 弘人,80 百万円,,,,,
2024-08-01,株式会社リョーユーパン,食品・飲料メーカー（原料含む）,無,福岡県大野城市旭ケ丘1-7-1,1950,代表取締役 北村 俊策,30 百万円,,,,,
2024-08-01,三州産業株式会社,その他メーカー,求人なし,鹿児島県鹿児島市南栄4-11-2,1948,代表取締役 竹之内 浩樹,80 百万円,,,,,
2024-08-01,北海道三井化学株式会社,その他メーカー,求人なし,北海道砂川市豊沼町1,2000,代表取締役 安藤 和徳,490 百万円,,,,,
2024-08-01,岩手ニッカン株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,岩手県紫波郡紫波町赤沢字木戸脇121-133,1991,代表取締役 渡邉 潤,100 百万円,,,,,
2024-08-01,山形科学薬品株式会社,試薬メーカー・受託合成・受託分析,求人なし,山形県山形市立谷川2-449-5,1971,代表取締役 今井 利夫,10 百万円,,,,,
2024-08-01,丸彦製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,栃木県日光市芹沼1989-1,1983,代表取締役 山田 邦彦,39 百万円,,,,,
2024-08-01,日本化学塗料株式会社,その他メーカー,求人なし,神奈川県綾瀬市上土棚北4-10-43,1934,代表取締役 石垣 良一,36 百万円,,,,,
2024-08-01,トモヱ乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,茨城県古河市下辺見1955,1941,代表取締役 中田 俊之,23 百万円,,,,,
2024-08-01,香榮興業株式会社,食品・飲料メーカー（原料含む）,無,東京都千代田区神田淡路町2-23,1946,代表取締役 岡本 聡志,54 百万円,,,,,◆香料、化粧品原料、食品原料の製造・販売並びに輸出入◆ユーザーとの共同開発製品の製造・販売◆その他関連事業＜拠点＞大阪営業所（大阪府）、加須工場（埼玉県）、富山工場（富山県） 2023年11月doda掲載求人より引用
2024-08-01,紅忠スチール株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,東京都中央区日本橋1-4-1日本橋一丁目ビルディング 16Ｆ,1960,代表取締役社長 柳井 直樹,400 百万円,,,,,
2024-08-01,エア・ウォーター・メカトロニクス株式会社,石油化学メーカー,無,神奈川県平塚市田村3-3-32,1962,代表取締役 荒川 秩,300 百万円,,,,,
2024-08-01,日本ウォーターシステム株式会社,その他メーカー,無,東京都中央区八丁堀4-9-4西野金陵ビル 4Ｆ,1986,代表取締役 滑川 治男,98 百万円,,,,,
2024-08-01,ナノテック株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,千葉県柏市柏インター南4-6ナノテクノプラザ,1989,代表取締役 中森 秀樹,99 百万円,,,,,
2024-08-01,きんまる星醤油株式会社,食品・飲料メーカー（原料含む）,求人なし,埼玉県熊谷市妻沼372-1,1947,代表取締役 我妻 健治,24 百万円,,,,,
2024-08-01,妙中鉱業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,千葉県茂原市大芝452,1954,代表取締役 妙中 信太郎,69 百万円,,,,,
2024-08-01,多田機工株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,千葉県船橋市鈴身町754-14,1965,代表取締役 小林 剛,277 百万円,,,,,
2024-08-01,大和千葉製罐株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,千葉県千葉市中央区新浜町1,1982,代表取締役社長 庄子 尚志,300 百万円,,,,,
2024-08-01,株式会社大直,製紙・パルプメーカー,求人なし,山梨県西八代郡市川三郷町高田184-3,1974,代表取締役 一瀬 美教,10 百万円,,,,,
2024-08-01,交易食品株式会社,食品・飲料メーカー（原料含む）,無,神奈川県横浜市港南区大久保1-5-18,1952,代表取締役 中村 せりか,30 百万円,,,,,カレー粉、ルウ製品、スパイス、香辛調味料の製造販売 2024年2月doda掲載求人より引用
2024-08-01,森永エンゼルデザート株式会社,食品・飲料メーカー（原料含む）,求人なし,神奈川県大和市西鶴間6-22-10,1965,代表取締役 島添 健郎,450 百万円,,,,,
2024-08-01,神鋼商事株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,神奈川県平塚市大神4-17-16,1973,代表取締役 山口 賢一郎,100 百万円,,,,,
2024-08-01,株式会社日本デリカサービス,食品・飲料メーカー（原料含む）,求人なし,東京都品川区東五反田2-20-4ＮＭＦ高輪ビル 5Ｆ,1998,代表取締役 社長執行役員 奥村 英世,"1,948 百万円",,,,,
2024-08-01,株式会社中條製缶,食品・飲料メーカー（原料含む）,無,長野県須坂市大字小河原3954-6,1960,代表取締役 中條 英幸,25 百万円,,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■食缶の製造・販売■パッケージ缶の製造・販売 2022年6月doda掲載求人より引用
2024-08-01,住岡食品株式会社,食品・飲料メーカー（原料含む）,求人なし,静岡県浜松市中央区和合町85-1,1965,代表取締役社長 住岡 豊彦,28 百万円,,,,,
2024-08-01,エリエールテクセル株式会社,製紙・パルプメーカー,求人なし,岐阜県可児市今東山677-1,1992,代表取締役 前原 文孝,30 百万円,,,,,
2024-08-01,株式会社奥岡技研,金属・製綱・鉱業・非鉄金属メーカー,求人なし,三重県鈴鹿市三日市町1820-38,1990,代表取締役 奥岡 卓美,10 百万円,,,,,
2024-08-01,フジオ塗装工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,大阪府東大阪市川俣1-18-24,1980,代表取締役 小屋敷 藤雄,30 百万円,,,,,
2024-08-01,オーセラ株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,大阪府大阪市北区芝田1-1-4,1989,代表取締役 福田 匡洋,60 百万円,,,,,
2024-08-01,株式会社近畿分析センター,試薬メーカー・受託合成・受託分析,求人なし,滋賀県大津市別保1-15-4増田ビル 2Ｆ,1972,代表取締役 吉岡 丈晴,10 百万円,,,,,
2024-08-01,ダイオーペーパーテクノ株式会社,製紙・パルプメーカー,求人なし,岡山県津山市川崎200-1,1979,代表取締役 奥谷 浩之,30 百万円,,,,,
2024-08-01,山陽乳業株式会社,食品・飲料メーカー（原料含む）,求人なし,広島県三原市南方1-2-1,1971,代表取締役 砂内 修治,100 百万円,,,,,
2024-08-01,麻生商事株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,福岡県福岡市早良区百道浜2-4-27ＡＩビル 10Ｆ,1936,代表取締役社長 麻生 将豊,450 百万円,,,,,
2024-08-01,イフジ産業株式会社,食品・飲料メーカー（原料含む）,無,福岡県糟屋郡粕屋町戸原東2-1-29,1972,代表取締役社長 藤井 宗徳,455 百万円,,,,スタンダード,
2024-08-01,株式会社山忠,食品・飲料メーカー（原料含む）,求人なし,大分県佐伯市鶴谷町1-4-30,1964,代表取締役 山城 繁樹,20 百万円,,,,,
2024-08-01,株式会社大分県畜産公社,食品・飲料メーカー（原料含む）,求人なし,大分県豊後大野市犬飼町田原1580-29,1972,代表取締役 壁村 雄吉,"2,574 百万円",,,,,
2024-08-01,株式会社丸金佐藤造船鉄工所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長崎県長崎市土井首町510-2,1943,代表取締役社長 木庭 康博,60 百万円,,,,,
2024-08-01,沖繩製粉株式会社,食品・飲料メーカー（原料含む）,求人なし,沖縄県那覇市通堂町1-1,1955,代表取締役 竹内 一郎,100 百万円,,,,,
2024-08-01,永柳工業株式会社,その他メーカー,求人なし,東京都墨田区東向島2-11-17,1952,代表取締役 丹羽 浩之,100 百万円,,,,,
2024-08-01,株式会社キングジム,文房具・事務・オフィス用品メーカー,無,東京都千代田区東神田2-10-18,1948,代表取締役社長 宮本 彰,"1,978 百万円",,,,プライム,
2024-08-01,プラスセイコー株式会社,石油化学メーカー,求人なし,神奈川県大和市深見東2-1-12,1952,代表取締役 尾田 威彦,100 百万円,,,,,
2024-08-01,株式会社善興社,その他メーカー,求人なし,東京都江東区亀戸4-11-9ＡＨＡＶＡビル 7Ｆ,1953,代表取締役 川北 孝,26 百万円,,,,,
2024-08-01,株式会社東京プロダクツ,石油化学メーカー,求人なし,東京都墨田区千歳2-12-7,1959,代表取締役 茂呂 克之,40 百万円,,,,,
2024-08-01,株式会社共立理化学研究所,試薬メーカー・受託合成・受託分析,求人なし,神奈川県横浜市緑区白山1-18-2ジャーマンインダストリーパーク,1959,代表取締役 岡内 俊太郎,40 百万円,,,,,
2024-08-01,エイコウ製菓株式会社,食品・飲料メーカー（原料含む）,求人なし,東京都中央区新富2-13-3,1974,代表取締役 外海 隆史,20 百万円,,,,,
2024-08-01,株式会社スワロースキー,スポーツ・アウトドア用品メーカー,求人なし,長野県飯山市大字静間1382-1,1953,代表取締役 丸山 哲,73 百万円,,,,,
2024-08-01,大日製紙株式会社,製紙・パルプメーカー,求人なし,静岡県富士市新橋町9-1,1965,代表取締役 谷岡 俊司,70 百万円,,,,,
2024-08-01,アラフカゴム工業株式会社,機能性化学（有機・高分子）メーカー,求人なし,岐阜県山県市岩佐888,1976,代表取締役 荒深 喜晴,10 百万円,,,,,
2024-08-01,守田屋塗料株式会社,その他メーカー,求人なし,愛知県豊橋市問屋町24-1,1952,代表取締役 藤田 泰弘,18 百万円,,,,,
2024-08-01,共立興産株式会社,製紙・パルプメーカー,求人なし,大阪府大阪市北区与力町4-8末広センタービル 303,1973,代表取締役 森井 賢一,30 百万円,,,,,
2024-08-01,株式会社てつでん,その他メーカー,求人なし,大阪府豊中市原田中1-7-55,1950,代表取締役 大串 裕郁,100 百万円,,,,,
2024-08-01,株式会社美貴本,その他メーカー,求人なし,大阪府大阪市西区京町堀3-9-8,1956,代表取締役 米倉 彦之,45 百万円,,,,,
2024-08-01,田中精機株式会社,その他メーカー,求人なし,大阪府柏原市円明町217-25,1979,代表取締役 田中 淳史,67 百万円,,,,,
2024-08-01,阪神化成工業株式会社,石油化学メーカー,求人なし,富山県富山市小中163,1972,代表取締役 高田 健,90 百万円,,,,,
2024-08-01,淀川真空株式会社,石油化学メーカー,無,奈良県生駒郡安堵町大字西安堵474-3,1967,代表取締役 田中 一次,50 百万円,,,,,【有名ブランドの化粧品の塗装を手がける老舗企業】■プラスチック成形品への真空蒸着加工および塗装 他・蒸着製品：化粧品容器、弱電部品、自動車関係部品・塗装製品：化粧品容器、携帯電話、自動車関係部品・成形品：化粧品容器、弱電部品、蒸着・塗装治具 2024年3月doda掲載求人より引用
2024-08-01,株式会社矢野園,食品・飲料メーカー（原料含む）,求人なし,京都府綴喜郡宇治田原町大字南小字並木3,1949,代表取締役 矢野 芳巳,10 百万円,,,,,
2024-08-01,マツイカガク株式会社,石油化学メーカー,求人なし,京都府京都市伏見区治部町130,1974,代表取締役 湯川 真次,465 百万円,,,,,
2024-08-01,西善商事株式会社,ファッション・アパレル・アクセサリーメーカー,求人なし,京都府京都市下京区間之町通上珠数屋町上る天神町398,1961,代表取締役 西島 宏和,30 百万円,,,,,
2024-08-01,カイハラ株式会社,繊維メーカー,求人なし,広島県福山市新市町大字常1450,1951,代表取締役 貝原 護,80 百万円,,,,,
2024-08-01,金秀アルミ工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,沖縄県中頭郡西原町字掛保久217,1971,代表取締役 坂上 勉,100 百万円,,,,,
2024-08-01,株式会社山恭製紙所,製紙・パルプメーカー,求人なし,静岡県富士市川成島213,1954,代表取締役 山田 信英,16 百万円,,,,,
2024-08-01,姫路鐵鋼リフアイン株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,兵庫県姫路市飾磨区中島1598,1974,代表取締役 南 昭彦,36 百万円,,,,,
2024-08-01,株式会社虎屋本舗,食品・飲料メーカー（原料含む）,求人なし,広島県福山市曙町1-11-18,1952,代表取締役 高田 海道,40 百万円,,,,,
2024-08-01,株式会社ベルデイ,ナノテク・バイオメーカー,求人なし,愛知県豊橋市若松町字北ケ谷244,1975,代表取締役 水谷 朱美,98 百万円,,,,,
2024-08-01,株式会社東洋電制製作所,その他メーカー,求人なし,富山県中新川郡上市町横越41,1973,代表取締役 川野 幸夫,94 百万円,,,,,
2024-08-01,山吉青果食品株式会社,食品・飲料メーカー（原料含む）,求人なし,福島県伊達市箱崎字上川原41,1985,代表取締役 芳賀 勝男,25 百万円,,,,,
2024-08-01,株式会社シンコーテック,金属・製綱・鉱業・非鉄金属メーカー,求人なし,新潟県糸魚川市大字能生1408,1962,代表取締役 大山 健二郎,50 百万円,,,,,
2024-08-01,水戸工機株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,茨城県水戸市大塚町1845,1961,代表取締役 成田 浩明,46 百万円,,,,,
2024-08-01,江戸崎共栄工業株式会社,家具・インテリア・生活雑貨メーカー,求人なし,茨城県稲敷市佐倉2100,1991,代表取締役 国松 一彦,100 百万円,,,,,
2024-08-01,株式会社柳屋本店,食品・飲料メーカー（原料含む）,求人なし,東京都中央区日本橋馬喰町1-10-6プレクシードビル,1948,代表取締役 外池 榮一郎,100 百万円,,,,,
2024-08-01,株式会社第一,石油化学メーカー,求人なし,東京都港区浜松町1-7-3第一ビル 5Ｆ,2011,代表取締役 田村 茂,100 百万円,,,,,
2024-08-01,株式会社日本ファインケム,石油化学メーカー,求人なし,東京都千代田区内幸町1-3-2内幸町東急ビル 9Ｆ,1959,代表取締役 大塚裕之,274 百万円,,,,,
2024-08-01,株式会社ｂ－ｅｘ,食品・飲料メーカー（原料含む）,求人なし,東京都世田谷区用賀4-10-5世田谷ビジネススクエアヒルズ4－1Ｆ,1974,代表取締役 結城 俊,100 百万円,,,,,
2024-08-01,株式会社丸正商店,文房具・事務・オフィス用品メーカー,求人なし,東京都豊島区東池袋1-39-1三善ビル 1Ｆ,1953,代表取締役 内田 勇二郎,10 百万円,,,,,
2024-08-01,共栄テクノ株式会社,その他メーカー,求人なし,東京都足立区千住1-4-1,1987,代表取締役 中村 行宏,30 百万円,,,,,
2024-08-01,埼玉日清食品株式会社,食品・飲料メーカー（原料含む）,求人なし,埼玉県羽生市大字上村君294,1988,代表取締役 長谷川 吉信,30 百万円,,,,,
2024-08-01,サンフーズ株式会社,食品・飲料メーカー（原料含む）,求人なし,山梨県笛吹市御坂町金川原867-2,1977,代表取締役 志村 孝,10 百万円,,,,,
2024-08-01,株式会社生駒化学工業,石油化学メーカー,求人なし,神奈川県横浜市戸塚区平戸町559-6ＩＫビル5,1969,代表取締役 生駒 哲也,95 百万円,,,,,
2024-08-01,名古屋製酪株式会社,食品・飲料メーカー（原料含む）,求人なし,愛知県名古屋市天白区中砂町310,1952,代表取締役 日比 治雄,100 百万円,,,,,
2024-08-01,野田化学工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,愛知県名古屋市東区東大曽根町37-9,1963,代表取締役 野田 勝美,10 百万円,,,,,
2024-08-01,丹羽包装株式会社,製紙・パルプメーカー,求人なし,愛知県名古屋市瑞穂区平郷町2-11,1966,代表取締役 大坪 伸年,10 百万円,,,,,
