更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,株式会社ミドリ樹脂,石油化学メーカー,求人なし,長野県千曲市大字上徳間733,1974,代表取締役 緑川 典秀,10 百万円,,,,,
2024-08-01,株式会社ルート,その他メーカー,求人なし,群馬県藤岡市鬼石346-1,1992,代表取締役 永田 透,10 百万円,,,,,
2024-08-01,東京精密管株式会社,金属・製綱・鉱業・非鉄金属メーカー,求人なし,群馬県高崎市吉井町神保1295,1952,代表取締役 三木 成道,90 百万円,,,,,
2024-08-01,三進工業株式会社,石油化学メーカー,求人なし,群馬県高崎市吉井町本郷595-1,1970,代表取締役 賀川 映之,10 百万円,,,,,
2024-08-01,株式会社エフビーエス,食品・飲料メーカー（原料含む）,求人なし,北海道札幌市白石区本通7-南5-1,1992,代表取締役 板垣 幸彦,91 百万円,,,,,
2024-08-01,株式会社千鳥饅頭総本舗,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市博多区上川端町9-157,1997,代表取締役 原田 浩司,10 百万円,,,,,
2024-08-01,嶋屋種苗株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県佐久市臼田1706-3,1972,代表取締役 井出 浩司,10 百万円,,,,,
2024-08-01,株式会社アサヒ緑健,食品・飲料メーカー（原料含む）,求人なし,福岡県福岡市博多区博多駅東3-5-15アサヒ緑健ビル 5Ｆ,1997,代表取締役 古賀 良太,10 百万円,,,,,
2024-08-01,ツルタのタネ株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県伊勢崎市赤堀今井町2-1098-10,1979,代表取締役 鶴田 敏行,10 百万円,,,,,
2024-08-01,中村製袋株式会社,石油化学メーカー,求人なし,群馬県甘楽郡南牧村大字砥沢208-2,2018,代表取締役 中村 友子,99 百万円,,,,,
2024-08-01,株式会社柴田合成,その他メーカー,求人なし,群馬県甘楽郡甘楽町大字天引2500-8,1969,代表取締役 齋藤 篤,12 百万円,,,,,
2024-08-01,株式会社ウイング,金属・製綱・鉱業・非鉄金属メーカー,求人なし,群馬県甘楽郡甘楽町大字白倉394-2,1975,代表取締役 黒澤 翼,10 百万円,,,,,
2024-08-01,株式会社札幌協和,その他メーカー,求人なし,北海道札幌市白石区北郷二条4-3-5北郷メディカル 1Ｆ,1970,代表取締役 沼田 元基,10 百万円,,,,,
2024-08-01,株式会社沢屋,食品・飲料メーカー（原料含む）,求人なし,長野県北佐久郡軽井沢町大字長倉塩沢702,1980,代表取締役 古越 道夫,12 百万円,,,,,
2024-08-01,石見食品株式会社,食品・飲料メーカー（原料含む）,求人なし,島根県浜田市下府町388-60,1963,代表取締役 石田 浩志,30 百万円,,,,,
2024-08-01,妙義プレスウッド株式会社,家具・インテリア・生活雑貨メーカー,求人なし,群馬県安中市松井田町高梨子100,1963,代表取締役 中村 仁,11 百万円,,,,,
2024-08-01,碓氷製糸株式会社,繊維メーカー,求人なし,群馬県安中市松井田町新堀909,1959,代表取締役 土屋 真志,25 百万円,,,,,
2024-08-01,株式会社ヤッホーブルーイング,食品・飲料メーカー（原料含む）,求人なし,長野県北佐久郡軽井沢町大字長倉2148,1996,代表取締役 井手 直行,10 百万円,,,,,
2024-08-01,ひかり食品株式会社,食品・飲料メーカー（原料含む）,求人なし,北海道札幌市白石区中央二条3-7-20,1986,代表取締役 下飼 光彦,10 百万円,,,,,
2024-08-01,玄洋電機株式会社,その他メーカー,求人なし,福岡県福岡市博多区井相田1-9-4,1972,代表取締役 秀島 拓夫,30 百万円,,,,,
2024-08-01,株式会社八風,食品・飲料メーカー（原料含む）,求人なし,長野県佐久市佐久平駅東3-1,1992,代表取締役 中里 喜子,10 百万円,,,,,
2024-08-01,カルエンタープライズ株式会社,石油化学メーカー,求人なし,長野県北佐久郡立科町大字山部1289-1,1989,代表取締役 木村 英志,10 百万円,,,,,
2024-08-01,株式会社エス・アイ・エンジニアリング,その他メーカー,求人なし,長野県佐久市塩名田229-6,1999,代表取締役 國分 秀俊,10 百万円,,,,,
2024-08-01,浅尾繊維工業株式会社,その他メーカー,無,島根県出雲市常松町393-1,1947,代表取締役 浅尾 大介,35 百万円,,,,,■機能性の高い寝具の製造・販売OEM生産にも対応し、多品種小ロット生産にて短納期対応を行っています。 2023年12月doda掲載求人より引用
2024-08-01,浅間酒造株式会社,食品・飲料メーカー（原料含む）,求人なし,群馬県吾妻郡長野原町大字長野原30-8,1953,代表取締役 櫻井 武,12 百万円,,,,,
2024-08-01,株式会社柳原製作所,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県上田市東内2170,1961,代表取締役 柳原 幸生,90 百万円,,,,,
2024-08-01,島根森紙業株式会社,製紙・パルプメーカー,求人なし,京都府京都市南区西九条南田町61,1957,代表取締役 若林 充央,11 百万円,,,,,
2024-08-01,エフディフューチャー株式会社,食品・飲料メーカー（原料含む）,求人なし,長野県上田市腰越1544,1961,代表取締役 小島 桂一,30 百万円,,,,,
2024-08-01,昭和セメント工業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,求人なし,島根県出雲市上塩冶町2775-5,1957,代表取締役 矢田 斉,10 百万円,,,,,
2024-08-01,株式会社ナカザワ,金属・製綱・鉱業・非鉄金属メーカー,求人なし,長野県上田市塩川630-21,1969,代表取締役 中沢 誠,10 百万円,,,,,
2024-08-01,須山木材株式会社,住宅設備・建材メーカー,求人なし,島根県出雲市白枝町139,1963,代表取締役 須山 政樹,99 百万円,,,,,
2024-08-01,太陽ゴム工材株式会社,石油化学メーカー,求人なし,長野県上田市御嶽堂2515-10,1976,代表取締役 田村 卓也,10 百万円,,,,,
