更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,東京窯業株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,31,世界8ヶ国で鉄鋼メーカーや自動車メーカー向けにレンガなどの耐火物や先端材料などを提供している耐火物・セラミックスメーカーです。特に高級耐火物分野においては、市場のシェア約50%の特定商品を多数もつメーカーとしての圧倒的な技術力を活かし、耐火物・先端材料・環境創造事業を展開しています。,東京都港区港南2-11-1,1947,42.8,372,"2,398百万円",http://www.tyk.co.jp,スタンダード市場,
2024-07-01,東海物産株式会社,食品・飲料メーカー（原料含む）,2,■事業内容：業務用調味料・健康機能性食品原料の製造・販売,東京都千代田区岩本町1-10-5TMMビル 2F,1954,40.7,185,95百万円,http://www.tokaibsn.co.jp/,,
2024-05-01,株式会社ハリガイ工業,その他メーカー,3,■事業内容：・ゴム成型事業（ゴムプレス成型品の製造販売、ゴム製品の試作および開発）・製造受託事業（事務機器を中心とした精密機器部品の受託量産加工、各種製品およびユニットの組立／検査／梱包等）・物流支援事業（製品保管、在庫管理、流通加工、入出庫管理等）,茨城県常総市大生郷町6139-1大生郷工業団地内,1996,,150,19百万円,http://www.harigai-kogyo.com/,,
2024-07-01,株式会社くらもち,食品・飲料メーカー（原料含む）,1,■事業内容：・鶏卵（平飼いたまご）、鶏卵加工品（温泉たまご）、液卵の製造、販売・直営農場での養鶏＜取扱商品＞配合飼料、各種鶏卵、液卵、温泉たまご、動物薬品、畜産器具機材、環境資材,茨城県常総市菅生町683-1,1961,,140,30百万円,http://www.kuramochisangyo.jp/,,
2024-08-01,アカオアルミ株式会社,金属・製綱・鉱業・非鉄金属メーカー,6,【会社について】・当社は1947年にアルミニウムの圧延素材の製造・販売を中核事業として創業いたしました。・その他、圧延素材だけでなく、ヤカンや鍋、トレーなどの製品の製造・販売も行っています。・現在はプロパーの社長が会社を引き継ぎ、100年企業を目指しています。・中小規模だからこそ出来る柔軟な機動力とチームワークを活かして挑戦を続けています。【事業内容】・溶解～鋳造から一貫した生産ラインでアルミ圧延素材を製造・販売。・自社製造のアルミ素材を加工した業務用キッチンウェアの製造・販売。,東京都練馬区旭町3-33-1,1960,41.0,140,100百万円,https://www.akao.co.jp/,,
2024-06-01,第一熱処理工業株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容： ・熱処理・機械加工■会社特徴：熱処理”という分野に特化し、長年に渡って培ってきた世界に誇る高い技術で日本のものづくりを支えてまいりました。さまざまな分野において熱処理された金属が使われており、現代の社会基盤を支える重要な技術として、熱処理は大きな注目を集めています。,千葉県船橋市潮見町16-2,1959,,165,30百万円,http://www.ichi-netsu.co.jp,,
2024-07-01,船橋レミコン株式会社,機能性化学（無機・ガラス・カーボン・セラミック・セメント・窯業）メーカー,7,■事業内容： 生コンクリートの製造並びに販売、関連製品の製造並びに販売など,千葉県船橋市海神町南1-1599,1963,45.0,55,30百万円,https://www.d-s-s.co.jp/funabashi/,,代表取締役社長 藤本 朋二
2024-07-01,有限会社佐々木食品,食品・飲料メーカー（原料含む）,2,■事業内容：・業務用冷凍菓子や餅類の製造販売・米を主原料とした主力商品「揚げもち」をライン化された製造設備を用いて大量生産を行っています。■当社について：・食品会社としては珍しく基本土日祝休み、長期連休有りとなっております。製造・品質の向上を目指し業務拡大を目指しています。,茨城県北茨城市中郷町日棚字宝壷644-45,1966,,,,なし,,
2024-07-01,横関油脂工業株式会社　東京支店,食品・飲料メーカー（原料含む）,1,■食用・化粧品用・工業用の油脂の製造■天然ワックス・エステル・界面活性剤の製造■油脂・樹脂・化学品の委託加工■試作品・共同研究・技術相談等★国内外の食品業界、化粧品業界、化学品業界等幅広く取引きをしています★,【東京支店】東京都台東区東上野3-18-4 常陽上野ビル4F〒319-1556【本社】茨城県北茨城市中郷町日棚字宝壺644-49 中郷工業団地,1948,34.0,115,"5,000万円",https://yokozeki-yushi.jp/,,代表取締役 伊藤 幸一郎
2024-07-01,株式会社ウィンターハルター・ジャパン,その他メーカー,2,■事業内容： 業務用厨房洗浄機の輸入・販売業務,埼玉県春日部市緑町6-4-3,1989,39.6,62,80百万円,http://www.winterhalter.co.jp/,,
