更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,日幸ライト工業株式会社,石油化学メーカー,9,～ 今年(2024年)で創業71年目を迎える自動車・精密機械の部品メーカー ／ EV化に対応し次世代のモノづくりを支える安定企業 ／ 高い技術力を持つ優良メーカー ～■事業内容：自動車・精密機械等のプラスチック電装品製造■同社の特徴：最先端の自動車・精密機械等におけるプラスチック成形部品の製造を手がけています。熱硬化性樹脂・熱可塑性樹脂という二つの異なった性質のプラスチック材料で主に自動車、産業機械、電力等の部品を製作。主な製造品目は自動車用ハーネスのコネクターや車内ACコンセント。多種多様な精密コネクター製品を自動成形及び自動組立システムにて製造しています。,愛知県常滑市久米字西仲根185,1962,360,10百万円,39.8,http://www.nikko-lite.co.jp/,,
2024-07-01,二明精機株式会社,金属・製綱・鉱業・非鉄金属メーカー,1,■事業内容：鋳鉄鋳物、アルミニウム鋳物の製造・加工・販売,岐阜県土岐市泉町久尻1431-55,1961,50,10百万円,39.7,http://www.nimeiseiki.co.jp/,,
2024-06-01,株式会社ハセガワ,ファッション・アパレル・アクセサリーメーカー,1,■事業内容： 日本を代表する紳士服製造工場です。昭和46年に伊万里市に進出して以来、40年以上高級紳士服一筋にやってまいりました。素材やデザインの対応力に優れ、量産品からパターンオーダーなどの一点物までこなせる工場として、商社やアパレルメーカーから高い評価を受けております。・百貨店や専門店向けのジャケット、スーツ、コート、タキシードなどを製造しています。■会社の特徴：ＣＡＤ、ＣＡＭ両システムの導入を始めとして縫製ラインの数々の省力化によって低原価のクイック生産が可能となったため、輸入低価格品とも十分対抗し企業センスと合わせ好評を得ています。,大阪府大阪市鶴見区徳庵2-3-11,1963,90,48百万円,46.0,なし,,
2024-07-01,サンケイ化学株式会社,石油化学メーカー,1,■事業内容： ・農薬（稲作用・果樹園芸畑作用・森林用）・木材防虫防カビ剤及び農業用副資材等の製造並びに販売・その他病害虫及び雑草防除業,鹿児島県鹿児島市南栄2-9,1941,131,664百万円,45.3,http://www.sankei-chem.com/,,
2024-08-01,株式会社コジット,文房具・事務・オフィス用品メーカー,3,■事業内容：生活雑貨商品、アイデア商品、美容・健康商品の企画開発、製造販売を致しております。,大阪府大阪市西区西本町1-12-20,1972,100,98百万円,39.9,https://www.cogit.co.jp/,,
2024-08-01,株式会社テイモー,その他メーカー,3,■事業内容：同社は、物流容器・環境商品の製造販売を行っています。,大阪府大阪市鶴見区今津南3-4-10,1937,72,50百万円,,http://www.teimo.co.jp/,,
2024-05-01,株式会社オートヨ,スポーツ・アウトドア用品メーカー,1,■事業内容： 優れた縫製技術を用いてスポーツ、 医療用、ワーク、インナー各種ウェアを提供■理念：物造り企業として社会的責任を果たします。健全な経営により生み出された利益は、地域社会、従業員に還元します■基本方針：お客様の目線での活動を徹底します。お客様や社会、地域及び従業員に対しての安心・安全をモットーとします,高知県長岡郡大豊町東土居200-6,1968,170,30百万円,,https://www.otoyo.org/,,
2024-06-01,三菱ケミカルインフラテック株式会社,住宅設備・建材メーカー,2,■事業内容： ・土木資材、防水補強、物流資材、アルミ樹脂複合板、工業用プレート、樹脂フィルム積層鋼板、住宅資材用途の合成樹脂製品、ウレタンシステム及び設備システム（受水槽、冷却塔、温水式床暖房システム）の製造・販売,東京都千代田区丸の内1-1-1パレスビル,2013,,400百万円,,https://mchem-infratec.com/,,
2024-07-01,南海食品株式会社,食品・飲料メーカー（原料含む）,3,■事業内容：・魚肉練製品製造業。事業としては、空港、高速道路、駅、鹿児島県内外の店舗卸業務等の「観光事業」、百貨店、GMS、CVS、量販店等での中元・歳暮等の「ギフト事業」、郵政頒布会の「郵政事業」、当社が運営するカタログやインターネットの「通信販売事業」、飲食店等食材として供給する「業務事業」の5事業部で展開しています。,鹿児島県鹿児島市谷山港3-4-17,1966,85,10百万円,,http://www.tsukiagean.co.jp/,,
2024-08-01,株式会社アクシー,住宅設備・建材メーカー,5,■事業内容：エアフィルタを通して、快適な空調環境のインフラをご提案しています。 エアフィルタとは空気中からごみ、塵埃などを取り除き、洗浄空気にする目的で使用するものです。当社の事業領域は「空気クオリティーの創造を通じて最適環境をひらく」です。エアフィルタを通じ地球資源の循環型活用を促し、汚染の予防と環境保護を積極的に推進することで、さらに最適な環境を創造することを意味します。環境に配慮した活動と、環境マネジメントシステムの継続的改善により、環境創造企業としてのブランド力を強めます。,大阪府大阪市住之江区南港北1-2-29,1968,150,50百万円,,なし,,
