更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,丸島運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,神奈川県平塚市下島1059-4,1975,代表取締役 江藤 博一,10 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 貨物自動車運送事業 2022年5月doda掲載求人より引用,
2024-08-01,春日井運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県春日井市篠木町7-6-7,1950,代表取締役 奥村 高博,40 百万円,,,,,
2024-08-01,株式会社キサ運輸,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市元浜町4-88,1990,代表取締役 村上 明,14 百万円,,,,,
2024-08-01,四国合同通運株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,徳島県阿波市吉野町五条字北原452-1,1988,代表取締役 佐藤 るみ,50 百万円,,,,,
2024-08-01,大川自動車株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,香川県さぬき市長尾西1061,1948,代表取締役 佐藤 邦明,15 百万円,,,,,
2024-08-01,株式会社速水運輸,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県春日井市美濃町3-63,1989,代表取締役 速水 敬志,14 百万円,,,,,
2024-08-01,株式会社フジ流通,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県春日井市東野町9-19-9,1973,代表取締役社長 吉田 正信,10 百万円,,,,,
2024-08-01,安全タクシー株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市名神町2-19-35,1960,代表取締役 大城 政司,13 百万円,,,,,
2024-08-01,愛媛エフ・エー・ゼット株式会社,倉庫業・梱包業,求人なし,愛媛県松山市大可賀2-1-28アイテムえひめ 1Ｆ,1993,代表取締役 髙塚眞志,"3,427 百万円",,,,,
2024-08-01,株式会社ビッグプランナー,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県平塚市四之宮2-15-36,2000,代表取締役 大樂 浩幸,10 百万円,,,,,
2024-08-01,梶本運輸倉庫株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市神崎町12-28,1954,代表取締役 梶本 健,80 百万円,,,,,
2024-08-01,株式会社カントウ流通,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県尼崎市稲葉荘4-20-1,1989,代表取締役 山田 大介,21 百万円,,,,,
2024-08-01,日の丸自動車興業株式会社,道路貨物運送業（宅配便・トラック運送など）,無,東京都文京区後楽1-1-8本社ビル 7Ｆ,1963,代表取締役社長 富田 哲史,100 百万円,,,,,
2024-08-01,アーク引越センター株式会社,道路貨物運送業（宅配便・トラック運送など）,無,愛知県春日井市小野町2-18-1,1995,代表取締役 長井 政造,20 百万円,,,,,
