更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-07-01,日本郵便株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■郵便業務■銀行窓口業務■保険窓口業務■印紙の売りさばき■地方公共団体からの受託業務■前記以外の銀行業■生命保険業および損害保険業の代理業務■国内・国際物流業■ロジスティクス事業■不動産業■物販業など,東京都千代田区大手町2-3-1,2007,代表取締役社長 千田 哲也,171804,4000億円,,https://www.post.japanpost.jp/index.html,
2024-08-01,佐川急便株式会社,道路貨物運送業（宅配便・トラック運送など）,8,宅配便など各種輸送にかかわる事業,■本社／京都府京都市南区上鳥羽角田町68番地■東京本社／東京都江東区新砂2丁目2番8号,1965,代表取締役社長 本村 正秀,54076,"112億7,500万円",,https://www.sagawa-exp.co.jp/,
2024-08-01,ＳＧホールディングス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,,京都府京都市南区上鳥羽角田町68,2006,代表取締役社長 松本 秀一,52309,"11,882 百万円",37.6,"Failed to retrieve page, status code: 410",プライム
2024-07-01,日本航空株式会社,航空運輸業,1,【明日の空へ、日本の翼】 ■定期航空運送事業及び不定期航空運送事業 ■航空機使用事業 ■その他附帯する又は関連する一切の事業,東京都品川区東品川2-4-11 野村不動産天王洲ビル,1951,代表取締役社長 鳥取 三津子,13883,,,https://www.job-jal.com/career/,プライム市場
2024-08-01,日本通運株式会社,道路貨物運送業（宅配便・トラック運送など）,6,■事業内容：各種インフラの重量品輸送及び建設■特徴：「運べないものは、ない」プロジェクト毎に、一般的な車両では運べない超大型品・超重量品・精密機器を、企画・設計・施工・調整・メンテナンスまで一貫して手掛けます。フィールドは、風力発電所・発変電所・石油化学プラント・橋梁架設・半導体精密装置・都市インフラ再開発・鉄道車両輸送・テーマパーク・万国博覧会など幅広い分野になります。国内風力発電輸送建設、新幹線輸送、大型変圧器など取り扱いNo.１企業です。興味のある方ご連絡お待ちしております。,東京都千代田区神田和泉町2NXグループビル,1937,,34449,"70,175百万円",,http://www.nittsu.co.jp/,
2024-08-01,鴻池運輸株式会社,倉庫業・梱包業,11,～東証プライム上場の物流会社／売上右肩上がりに上昇中～■事業内容：複合ソリューション事業、国内物流事業、国際物流事業,大阪府大阪市中央区伏見町4-3-9,1945,,24000,"1,723百万円",42.0,"Failed to retrieve page, status code: 410",プライム市場
2024-07-01,日本交通株式会社,道路旅客運送業,4,一般乗用旅客自動車運送事業／タクシー車両台数6372台（グループ・提携含）★業界最大手＆売上高14年連続No.1の日本交通グループ（出典元：サービス業総合調査／2010～2023年） 日経MJ「第41回サービス業調査」ハイヤー・タクシー部門ランキング1位。,東京都板橋区板橋2-4-41,1928,代表取締役 徳山 正敏,11246,1億円,,https://www.nihon-kotsu.net/,
2024-07-01,北海道旅客鉄道株式会社,鉄道業,3,■旅客鉄道事業■旅客鉄道事業に附帯する事業■その他の関連事業【安全な鉄道サービスで、北海道を支える使命】JR北海道は安全な鉄道輸送サービスの提供を通じて、北海道を支えるという重要な使命を担っています。将来にわたり持続可能な形で安全最優先の鉄道事業を運営する社会的使命を果たし、より便利で快適な交通サービスの提供をこれからも目指します。,北海道札幌市中央区北11条西15-1-1,1987,代表取締役社長 綿貫 泰之,6100,90億円,36.0,https://www.jrhokkaido.co.jp/index.html,
2024-07-01,第一貨物株式会社,道路貨物運送業（宅配便・トラック運送など）,1,貨物自動車運送事業／貨物利用運送事業／物流システムの設計、運用および管理の受託に関する事業／航空運送代理店業／通関業／倉庫業／荷造梱包業／警備業／労働者派遣事業／損害保険代理業／情報処理サービス業／不動産賃貸業／食料品・衣料品・日用雑貨およびこれに関する物品の販売業／など,山形県山形市諏訪町二丁目1番20号,1941,代表取締役社長 米田 総一郎,5640,1億円,,https://www.daiichi-kamotsu.co.jp/,
2024-06-01,ＡＳＫＵＬ　ＬＯＧＩＳＴ株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■一般貨物自動車運送事業■貨物利用運送事業■倉庫業■その他関連事業【プライム市場上場企業／アスクル株式会社100％出資】,東京都江東区豊洲3-2-3 豊洲キュービックガーデン12階,2009,代表取締役社長 天沼 英雄,3607,9000万円,42.0,https://www.askullogist.co.jp/,
2024-08-01,カリツー株式会社,道路貨物運送業（宅配便・トラック運送など）,42,■企業概要：当社は簡単にいうと、「自動車部品を運ぶ」会社です。■事業内容：・貨物自動車運送事業 ・利用運送事業〈JR貨物〉 ・運送取次事業 ・倉庫業 ・荷造包装業 ・代行納入業 ・加工組付け業 ・自家用自動車管理業 ・不動産賃貸業 ・カリツー安全教育研修センター ・作業請負事業 ・特定信書便事業 ・貨物軽自動車運送事業 ・旅行業 ・太陽光発電売電事業 ・通関業 ・産業廃棄物収集運搬業,愛知県安城市三河安城町1-4-4,1950,,2767,75百万円,,http://www.karitsu.co.jp/,
2024-08-01,名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,1,名鉄運輸株式会社は、1943年（昭和18年）に設立し、特別積み合わせ貨物自動車運送事業をコア事業として、全国の名鉄運輸グループのネットワークを基盤に国内物流を展開しております。■企業理念：高品質の運輸・物流サービスの提供を通じ、より豊かな地域社会の実現に貢献する。■事業内容： ◎混載便◎付加価値配送◎メーカー直送業務◎流通倉庫～北海道から九州までの倉庫を活用した名鉄運輸グループの流通ネットワーク～上記のほか引越（オフィス、ご転勤対応）、3PL、JITBOXをご提供しています。,愛知県名古屋市東区葵2-12-8,1943,,2823,100百万円,,https://www.meitetsuunyu.co.jp/,
2024-07-01,株式会社サンファミリー,道路貨物運送業（宅配便・トラック運送など）,2,・一般区域貨物自動車運送事業・貨物運送取扱事業・梱包荷造りおよび仕分け作業の引受業務・コンビニエンスストア運営業務,埼玉県三郷市上口891-1（三郷営業所内／本社事務所）,2003,代表取締役社長 大江 勝利,2830,9950万円,,https://www.sanfamily.jp/,
2024-07-01,ＤＨＬサプライチェーン株式会社,倉庫業・梱包業,1,・倉庫業・自動車運送取扱業・一般貨物自動車運送事業・物流システムに関するコンサルティング業務,東京都品川区北品川4-7-35 御殿山トラストタワー8F,1970,代表取締役社長 ジェローム ジレ,1800,5000万円,,https://www.dhl.com/jp-ja/home/supply-chain.html,
2024-08-01,株式会社ＪＡＬスカイ,航空運輸業,1,東京国際空港（羽田）、成田国際空港における・JALグループ便・JALが受託する外国航空会社便の旅客サービス業務、およびステーションオペレーション業務,（羽田事業所）東京都大田区羽田空港3-3-2 第1旅客ターミナル4階（成田事業所）千葉県成田市古込字古込1-1 成田国際空港内JALオペレーションセンター6階,1982,代表取締役社長 斉藤 久美子,3505,1億円,,https://www.jalsky.co.jp/,
2024-08-01,株式会社流通サービス,倉庫業・梱包業,3,■梱包業■倉庫業（一般倉庫及び保税倉庫）■運輸業（貨物自動車運送事業)■紙器、梱包用材料の販売業■食品、衣料品、日用雑貨の販売業■不動産の賃貸業■労働者派遣事業■前各号の事業に付帯又は関連する事業,埼玉県草加市遊馬町769-1,1974,代表取締役社長 神田 隆,4953,2億4000万円,40.0,https://www.ryutsu.co.jp/index.html,
2024-08-01,株式会社 ゼロ,道路貨物運送業（宅配便・トラック運送など）,21,■概要：自動車の物流・輸送を中心に整備、オークション関連など周辺事業を全国100拠点展開。自動車流通の川上から川下までトータルでサービスを提供し、クルマというモノの流れを多角的に支える、自動車輸送業界のリーディングカンパニー。,神奈川県川崎市幸区堀川町580ソリッドスクエア西館6F,1961,,1121,"3,390百万円",43.5,http://www.zero-group.co.jp/,スタンダード市場
2024-06-01,株式会社ランテック,倉庫業・梱包業,1,・貨物自動車運送事業・通運事業・自動車運送取扱事業・倉庫業・自動車整備業・損害保険代理業・食品加工業☆★YouTubeランテック配信中★☆,福岡県福岡市博多区古門戸町4-26,1953,代表取締役社長 舛元 健了,2817,"5億1,980万円",,http://www.runtec.co.jp/,
2024-08-01,両備ホールディングス株式会社,鉄道業,24,"■両備グループの特徴：1910年に現在の岡山県岡山市に西大寺鐵道として創立しました。以来、100年を越える歴史の中で水平に垂直に事業展開を進め、現在は40社以上、従業員数約9,500名を擁する企業グループです。両備グループを構成する事業セグメントは、様々な交通モードに対応し旅と移動を楽しく演出する「トランスポーテーション＆トラベル部門」、新たな技術で次代を創る「ICT部門」、暮らしを支え暮らしを楽しくする「くらしづくり部門」、都市再生と新時代のまちづくりに挑む「まちづくり部門」の4つです。",岡山県岡山市錦町6-1,1910,,2000,400百万円,,https://www.ryobi-holdings.jp/,
2024-08-01,Ｐｅａｃｈ・Ａｖｉａｔｉｏｎ株式会社,航空運輸業,13,■事業内容：航空運送事業（国内線・国際線）Peachは、2012年3月に日本初のLCCとして関西空港を拠点とし運航を開始しました。現在、関西空港に加え、新千歳空港、仙台空港、成田空港、中部空港、福岡空港、那覇空港を拠点空港とし、34機の機材で、国内線33路線・国際線17路線に就航しています。「アジアのリーディングLCC」を目指し、2019年11月にバニラエアと統合、国内第3位の航空会社・国内No.1のLCCとなり2022年3月には就航10周年を迎えます。,大阪府泉南郡田尻町泉州空港中1,2011,,1915,100百万円,,https://corporate.flypeach.com/,
2024-08-01,ディー・エイチ・エル・ジャパン株式会社,航空運輸業,1,DHLグループの日本支社として、1972年に日本初となる国際エクスプレス（国際航空貨物輸送）のサービスを開始。現在では、世界規模のあらゆる輸送ニーズに対応するため、世界220以上の国・地域をカバーするグローバルネットワークを有し、集荷から輸出通関、フライト、輸入通関、配達までのプロセスをすべて行う確実な輸送を実現。国際航空貨物の世界のリーディングカンパニーとしてサービスを展開しています。,東京都品川区東品川1-37-8,1979,代表取締役社長 トニー カーン,1900,50百万円,,https://www.logistics.dhl/jp-ja/home.html,
2024-08-01,生活協同組合コープこうべ,特殊法人・財団法人・その他団体・連合会,無,＜創業103周年を迎えたコープこうべ＞■店舗事業（コープ・コープデイズ・シーア・コープミニ・コープリビング）■宅配事業（協同購入、個人宅配、夕食サービスなど）■商品開発・生産事業■福祉事業■「協同学苑」「生活文化センター」運営、生活情報誌発行、共済事業など 2024年7月doda掲載求人より引用,兵庫県神戸市東灘区住吉本町1-3-19,1921,代表理事 馬場 一郎,1866,"40,814 百万円",,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社ギオン,道路貨物運送業（宅配便・トラック運送など）,1,■一般区域貨物自動車運送事業（特別積合せ貨物運送に係るもの）■自動車運送取扱事業■倉庫の賃貸および倉庫保管業務■一般貨物の梱包に関する業務■特定旅客自動車運送事業■自動車整備に関する事業■一般廃棄物収集運搬業■産業廃棄物収集運搬業■警備業（認定番号神奈川県公安委員会 第45001095号）■通関業許可 税関様式Ｂ 第1020号■宅地建物取引業（神奈川県知事（1）第29833号）,神奈川県相模原市中央区南橋本1-5-1,,代表取締役社長 祇園 彬之介,5000,"4,672万円",,https://kk-gion.co.jp/,
2024-08-01,Ｆ－ＬＩＮＥ株式会社,道路貨物運送業（宅配便・トラック運送など）,1,2019年4月に味の素（株）、ハウス食品グループ本社（株）、カゴメ（株）、（株）日清製粉ウェルナ、日清オイリオグループ（株）5社の出資により誕生した会社です。※味の素物流（株）、カゴメ物流（株）、ハウス物流サービス（株）＜事業の一部＞の物流事業を統合■貨物自動車運送事業■貨物利用運送事業■倉庫業■通関業■港湾運送事業 など,東京都中央区晴海一丁目8番1号 晴海トリトンスクエアオフィスタワーY棟30階,1952,代表取締役社長 坂本 次郎,2160,"24億8,000万円",44.5,https://www.f-line.tokyo.jp/,
2024-08-01,大新東株式会社,道路旅客運送業,無,◆車両運行管理事業◆旅客自動車運送事業 2024年5月doda掲載求人より引用,東京都江東区東雲2-11-22ニイチクビル 5Ｆ,1962,代表取締役 森下 哲好,1783,100 百万円,,"Failed to retrieve page, status code: 410",
2024-08-01,ＳＢＳ三愛ロジスティクス株式会社,倉庫業・梱包業,1,1) 一般貨物自動車運送事業2) 貨物運送取扱事業3) コンピューター・事務用機器類及びその消耗品の回収・リサイクル事業4) 倉庫業及び保税上屋業5) 産業廃棄物の収集運搬業及び処理業6) 包装・梱包業7) 事務用機器類その他の古物販売業8) その他定款に定める事業,東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー 25階,1977,代表取締役社長 蛭間 博信,1660,"3,000万円",,https://www.sbs-ricohlogistics.co.jp/rlsc/sbs-sanai/,
2024-08-01,池田興業株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容： ・土木建築設計並びにプラント建設保全・総合請負業（生産・管理・出荷）・人材派遣業・貨物自動車運送業 ・倉庫業・通関業・内航運送取扱業・梱包資材改修補修業（包装材、ボビン類の回収補修）・機械器具の製造販売業（省力機械の設計・製造・販売）・国内及び輸出梱包業（JIS規格木枠梱包ほか）・ロータリーキルン設備事業・燻蒸作業及び薬品販売・輸入家電製品販売・宅地建物取引業,福岡県北九州市門司区大里本町2-2-5,1904,,1650,100百万円,44.9,https://www.ikeda-kogyo.co.jp/,
2024-08-01,遠州鉄道株式会社,鉄道業,14,"■事業内容：（1）鉄道部門…新浜松駅から西鹿島駅間（18駅）に列車を運行し、年間およそ1000万人の顧客が利用しています。近年は省エネタイプの新型車両の導入や高架駅へのエレベーター・エスカレーターの設置、非接触ICカードの導入等積極的な投資を行っています。（2）乗合バス部門…浜松市を中心とする静岡県西部地域を事業区域とし、年間約3,000万人の顧客を輸送しています。全国で初めてオムニバスタウンに指定されました。また、2004年には、こちらも全国初のバス電車共通ICカード「ナイスパス」を導入したほか、様々なバス利用を促進しています。",静岡県浜松市中央区旭町12-1,1943,,1975,"3,800百万円",43.0,http://www.entetsu.co.jp,
2024-08-01,丸紅ロジスティクス株式会社,倉庫業・梱包業,16,■事業内容：3PL事業、国際複合一貫輸送、海上貨物取扱業・海運仲立業・船舶貸渡業、航空運送代理店業、クーリエ貨物取次業務・海外引越貨物取次業務、一般貨物自動車運送業、貨物利用運送事業、物流業に関するコンサルタント業、倉庫業、通関業、物流システムおよび物品管理システムの販売、不動産の管理および賃貸、貿易関係事務手続の受託・代行,東京都千代田区神田錦町3-13竹橋安田ビル,2004,,1494,200百万円,,http://www.marubeni-logi.com/,
2024-07-01,三菱ケミカル物流株式会社,海運業,1,■事業内容：貨物利用運送事業、内航海運業、海運代理店業、通関業、サード・パーティ・ロジスティクス事業、港湾運送事業、倉庫業、タンク・倉庫等の賃貸借・管理並びにこれらの斡旋業、荷造梱包業、輸装用機器・荷役用機器・物品保管用機器の製造・販売・賃貸借・管理並びにこれらの斡旋業、海運仲立業、石油製品・各種化学工業製品の販売並びに輸出入業、包装資材・包装関連機器の販売・賃貸借・輸出入並びに修理業、包装資材の生産・加工・回収・洗浄業,東京都港区芝大門1-1-30芝NBFタワー2F,1956,,1375,"1,500百万円",,http://www.mclc.co.jp/,
2024-07-01,阪神電気鉄道株式会社,鉄道業,1,■事業内容■・都市交通事業 愛され続ける「みなさまの足」として、安全・便利・快適な輸送サービスを提供します。・不動産事業 阪神沿線を中心に、魅力溢れる都市環境の創造に取り組んでいます。・スポーツ･エンタテインメント事業 伝統と感動の「甲子園」、美しい自然に抱かれた「六甲山」で事業を展開しています。・情報･通信事業 より安心・快適な暮らしを実現するために情報や通信を用いたサービスを提供しています。,大阪府大阪市福島区海老江1-1-24,1899,,1525,"29,384百万円",41.5,https://www.hanshin.co.jp/,
2024-08-01,京成バス株式会社,道路旅客運送業,2,◆一般乗合旅客自動車運送事業◆一般貸切旅客自動車運送事業◆特定旅客自動車運送事業◆その他◎安全で安心なバス輸送サービスを提供するため「乗務員教育」「車両安全対策」「安全啓発」の3つのテーマを推進。◎ハイブリッドバス、アイドリングストップバス、新長期排出ガス規制適合車を低公害車両を導入。公共車両優先システム、太陽光発電システム導入や照明のLED化など施設設備にも最先端システムを取り入れています。,千葉県市川市八幡三丁目3番1号,2003,代表取締役社長 齋藤 隆,1497,1億円,,http://www.keiseibus.co.jp/,
2024-08-01,株式会社ヒガシトゥエンティワン,倉庫業・梱包業,17,■□物流をコアに13事業を展開/物流業界の中で成長を続ける総合物流会社/創業78年、大手顧客との取引多数、安定した事業基盤□■同社は昭和19年に設立後、輸送事業、事務所移転引越事業、倉庫保管事業を基幹として事業を展開。そのノウハウを基に、物流だけじゃない「運送プラスα」のサービスを社会のニーズに合わせて柔軟に創り出し、現在では13事業を展開しています。これらの事業は全て、「お客様の期待や要望に応えたい」という現場社員の声から生まれており、風通しの良い社風が根付いています。,大阪府大阪市中央区内久宝寺町3-1-9,1944,,1394,"1,000百万円",43.6,https://www.e-higashi.co.jp/,スタンダード市場
2024-07-01,名鉄バス株式会社,道路貨物運送業（宅配便・トラック運送など）,17,■事業内容：当社は、名鉄グループにおいて最大規模の愛知県を地盤とするバス事業者です。（1）高速乗合バス事業（2）空港アクセスバス事業（3）契約輸送バス事業（4）貸切バス事業,愛知県名古屋市中村区名駅4-26-25,2004,,1573,1百万円,49.0,http://www.meitetsu-bus.co.jp/company/profile/index.html,
2024-08-01,奈良交通株式会社,道路旅客運送業,6,～奈良交通は2023年7月23日に創立80周年を迎えました～■事業内容： ・自動車運送事業等（乗合バス事業／貸切バス事業／旅行事業／乗用事業）・生活創造事業（不動産事業／不動産事業／飲食事業※レストラン経営、ミスタードーナツ等のフランチャイズ経営／自動車教習所事業／その他※指定管理者制度による施設等の運営受託、ダスキン店舗の運営）,奈良県奈良市大宮町1-1-25,1929,,1461,"1,285百万円",,https://www.narakotsu.co.jp/,
2024-07-01,大和物流株式会社,道路貨物運送業（宅配便・トラック運送など）,12,■概要：同社は1959年に大和ハウス工業の物流部門として誕生した会社です。以来、建築・建材物流のエキスパートとして事業を展開、現在では「建築・建材物流」を主軸に「電設産業機器物流」「アパレル日用雑貨物流」「海外物流」「物流ITシステム」など、様々な分野で高付加価値なロジスティクスサービスを展開しています。近年では外販比率が65%を占めるなど、大和ハウスグループ外のお客様からも高い評価をいただき、順調に事業を拡大しています。,大阪府大阪市西区阿波座1-5-16,1959,,1491,"3,764百万円",45.0,https://www.daiwabutsuryu.co.jp/,
2024-08-01,株式会社ナカノ商会,倉庫業・梱包業,6,■物流に関するトータルサービス・3PL事業・貸倉庫事業（サブリース事業）・輸送サービス,東京都江戸川区中葛西3-18-5,1988,代表取締役社長 沼澤 宏,3055,1億円,,https://nakanoshokai.jp/,
2024-08-01,朝日航洋株式会社,航空運輸業,1,■事業内容：ヘリコプターとビジネスジェット機を軸とした「航空事業」、国内屈指の計測技術を駆使した「空間情報事業」という2つの事業を核に展開しています。,東京都江東区新木場4-7-41,1955,,1315,"3,192百万円",43.4,"Failed to retrieve page, status code: 410",
2024-08-01,株式会社近鉄エクスプレス,航空運輸業,21,"■概要：グループ全体で約18,500名のスタッフが在籍する国内第2位のシェアを誇るフォーワーダーとなります。国際航空貨物輸送を中心に内外輸送会社の代理店業、貨物利用運送事業、通関業、運送取次事業、その他関連ある一切の事業を行っています。",東京都港区港南2-15-1品川インターシティA棟24F,1970,,1253,"7,216百万円",38.1,http://www.kwe.co.jp/,
2024-07-01,小田急バス株式会社,道路旅客運送業,4,■一般乗合旅客自動車運送事業（乗合バス） ■一般貸切旅客自動車運送事業（貸切バス）■特定旅客自動車運送事業（スクールバスなど）■不動産業,【本社】東京都調布市仙川町2-19-5,1950,取締役社長 早川 弘之,1242,1億円 （小田急電鉄100%出資）,47.9,https://www.odakyubus.co.jp/,
2024-08-01,株式会社エーアイテイー,海運業,4,■事業概要：中国、ASEAN諸国（東南アジア各国）をはじめとする世界各国との国際物流業務（フォワーダー業／通関業）を行っています。顧客に対し、最適かつ効率の良い、スピーディな輸送を実現するためのコンサルティングおよびITシステムを提供しています。,大阪府大阪市中央区本町2-1-6堺筋本町センタービル15F,1988,,274,500百万円,37.0,https://www.ait-jp.com/,プライム市場
2024-07-01,株式会社ホンダロジスティクス,道路貨物運送業（宅配便・トラック運送など）,1,陸上・海上輸送(完成車・部品)、梱包、保管、部品納入代行、二輪・四輪SUB-ASSY業務、物流機器商品開発・販売、システム開発、航空貨物代理店、通関業、引越、その他,東京都千代田区一番町6番地 一番町SQUARE 4階,2006,取締役社長 清水 宏,1160,13億円（本田技研工業株式会社100％）,45.0,https://www.honda-logistics.co.jp,
2024-08-01,鈴与株式会社,倉庫業・梱包業,31,■地に根差し、世に出す1801年 静岡県清水港にて廻船問屋として創業以来、時代の変化・要請に応じてさまざまな事業を展開。現在は鈴与（株）、鈴与商事（株）、鈴与建設（株）、鈴与自動車運送（株）、清水食品（株）、エスエスケイフーズ（株）、（株）フジドリームエアラインズをはじめ、約140社が集うグループに成長しました。,静岡県静岡市清水区入船町11-1,1801,,1138,"1,000百万円",39.5,http://www.suzuyo.co.jp/,
2024-08-01,株式会社ロジスティクス・ネットワーク,道路貨物運送業（宅配便・トラック運送など）,15,■事業内容：１.貨物利用運送事業２.３ＰＬ（サードパーティーロジスティクス）事業３.冷蔵および凍結事業４.倉庫業５.物流センターの運営事業６.物流効率化に関するコンサルティング業７.惣菜製造および農畜水産物の加工ならびに売買８.総合リース業９.前各号の事業に付帯または関連する事業,東京都千代田区神田三崎町3-3-23ニチレイ水道橋ビル,1986,,1003,100百万円,38.5,http://logi-nt.nichirei.co.jp,
2024-06-01,神奈中タクシー株式会社,道路旅客運送業,1,◆一般乗用旅客自動車運送業（タクシ－業）◆宅地建物取引業及び不動産の賃貸、管理業◆自動車運行管理請負業◆特定旅客自動車運送事業◎営業所：15カ所◎整備工場：4カ所◎配車センター：2カ所◎車両台数：662台,神奈川県厚木市栄町1-1-7,2009,代表取締役 金子 茂浩,1943,1億円,,https://kanachu-taxi.co.jp/,
2024-08-01,スイスポートジャパン株式会社,航空運輸業,34,■事業内容：空港グランドハンドリング事業※航空機の離発着に伴う地上支援サービスを総合的に提供しています。,大阪府泉佐野市りんくう往来北1SiSりんくうタワー12F,2006,,1264,50百万円,,http://www.swissport.co.jp/,
2024-07-01,トヨタ輸送株式会社,道路貨物運送業（宅配便・トラック運送など）,4,■会社概要：トヨタ輸送は、1952年(昭和27年)の創立以来、トヨタ自動車やトヨタ販売店、更には中古車・輸入車・部品輸送など自動車ビジネスにおける「生産」から「販売」、そして「消費」に至るまでの全てのロードサプライチェーンが事業領域の会社です。新車輸送をはじめ、生産工場の構内作業も受託しており、トヨタ自動車の生産体制を支える部品供給システムの運営・管理なども行っています。,愛知県豊田市元町2,1952,,1048,"1,200百万円",45.0,https://www.toyotayusou.co.jp/,
2024-08-01,関東バス株式会社,道路旅客運送業,2,■旅客運送業■旅行斡旋業■不動産業■自動車分解整備業【車輌数】一般路線バス・コミュニティバス376輌夜行高速バス10輌空港連絡バス5輌貸切バス8輌,東京都中野区東中野5-23-14,1931,代表取締役社長 阿部 末広,956,1億円,,https://www.kanto-bus.co.jp/,
2024-07-01,神鋼物流株式会社,海運業,1,■港湾運送事業■内航海運業■通関業■海運仲立業■貨物自動車運送事業■貨物運送取扱事業■倉庫業■工場構内諸作業請負業■船舶代理店業■土木工事業■鋼構造物工事業■しゅんせつ工事業■とび･土工工事業■管工事業■産業廃棄物処理業の収集および運搬業■通運業■荷造梱包業■自動車分解整備業■労働者派遣事業■前各項に附帯する一切の業務,兵庫県神戸市中央区脇浜海岸通2丁目2番4号,2000,代表取締役社長 岡 欣彦,1003,24億7900万円,,https://www.kobelco-logis.co.jp/,
2024-08-01,三菱電機ロジスティクス株式会社,航空運輸業,12,■事業内容：貨物自動車運送事業、鉄道運送事業、海上運送事業、航空運送代理店業および利用航空運送事業、通関業、倉庫業、物流に関するソフトウェアの企画・開発・販売および保守に関する事業、重量物の運搬・組立・据付ほかスピード、正確性、省力化、低コスト化…などお客様のご要望に的確にお応えする「一貫物流体制」が整っています。,東京都中野区中野4-10-1,1958,,976,"1,735百万円",43.0,http://www.mdlogis.co.jp/,
2024-07-01,トランコムＤＳ株式会社,道路貨物運送業（宅配便・トラック運送など）,1,プライム市場（旧東証一部上場）、トランコムグループの宅配部門です。■生協（コープ）の個人宅配■一般貨物運送事業,愛知県名古屋市東区葵1-19-30（本社）,2006,代表取締役 上手 淳,1158,9400万円,,https://www.trancom-ds.co.jp/,
2024-07-01,日本貨物航空株式会社,航空運輸業,12,■企業概要：1978年海運6社及びANA出資のもとに設立され、1985年に東京～サンフランシスコ～ニューヨーク間で初便就航を果たした、国際航空貨物専門の航空会社です。現在はボーイング747-8F×8機体制で運航しております。スピーディかつ高品質に、航空貨物輸送への期待に応え、物流の可能性を広げていきます。■事業詳細：(1)定期航空運送事業(2)不定期航空運送事業及び航空機使用事業(3)その他付帯事業,千葉県成田市成田国際空港内NCAライン整備ハンガー,1978,,941,"10,000百万円",,https://www.nca.aero/main.html,
2024-08-01,ブリヂストン物流株式会社,道路貨物運送業（宅配便・トラック運送など）,7,■事業内容：同社は常に変化し続ける物流に合わせた最適なソリューションを提供しています。同社は、業務をCS（お客様満足）、ES（従業員満足）、LEAN（体質強化）の視点で捉え、輸送業務、保管業務、荷役業務、管理業務といったあらゆるサービスを網羅した総合物流に取り組まれています。それぞれのサービスを総合的に行うことにより、コストの削減ならびにスピードアップ、きめ細かな対応を可能にしています。,東京都小平市小川東町3-1-1B-Trinityビル3F,1995,,995,400百万円,,http://www.bsb.co.jp/,
2024-06-01,NRS株式会社,海運業,1,■事業内容：（1）国内バルク輸送事業（2）タンクターミナル事業（3）倉庫事業（4）コンテナ事業（5）フォワーディング事業,東京都千代田区神田錦町3-7-1興和一橋ビル8F,1946,,766,"2,000百万円",41.0,https://www.nrsgr.com/,
2024-07-01,コウノイケ・エアポートサービス株式会社,航空運輸業,1,●国際／国内貨物・手荷物取扱業務●貨物搬送・手荷物搬送・PBB装着業務●客室業務●宅配・Wi-Fi取扱業務,東京都大田区蒲田4-22-3 住友生命蒲田ビル7階,1991,代表取締役 佐藤 大,1086,,37.0,https://www.konoike-aps.net,
2024-07-01,中日本航空株式会社,航空運輸業,9,■事業内容：（1）航空事業（2）調査測量事業,愛知県西春日井郡豊山町大字豊場字殿釜2,1953,,814,120百万円,43.9,https://www.nnk.co.jp/,
2024-06-01,三輪運輸工業株式会社,倉庫業・梱包業,1,■総合物流サービス・製鉄所・工場構内一貫物流・環境・美化・重量物輸送・建設■製造・販売サービス・産業用車両・製缶・溶接■移動式クレーン・建設機械車両サービス■環境関連サービス・PCB廃棄物収集運搬・産業廃棄物処理業,本社／兵庫県神戸市中央区脇浜町2丁目1番16号,1888,代表取締役 木東 徳幸,832,1億2000万円,38.0,https://www.miwa-gr.co.jp/,
2024-07-01,東京空港交通株式会社,道路旅客運送業,2,●航空事業者、航空旅客及びその関係者の自動車運送に関する事業●航空手荷物の運送及び保管に関する事業●一般乗合旅客自動車運送に関する事業他■車両数：457両■事業所・営業所：本社（中央区日本橋）、羽田運行事業所、箱崎運行事業所、成田運行事業所、羽田ランプ課、成田ランプ課、羽田空港運行事業所 ※計7カ所【株主】成田国際空港（株）ANAホールディングス（株）日本空港ビルデング（株）他,東京都中央区日本橋箱崎町22-1 東京シティエアターミナル本館3Ｆ,1954,代表取締役社長 内波 謙一,860,1億円,,http://www.limousinebus.co.jp/,
2024-07-01,成田国際空港株式会社,航空運輸業,2,成田国際空港の運営,千葉県成田市古込字古込1-1,2004,代表取締役社長 田村 明比古,842,1197億3680万円,,https://www.naa.jp/jp/index.html,
