更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-08-01,向島運送株式会社　栃木営業所,道路貨物運送業（宅配便・トラック運送など）,3,■貨物自動車運送事業 ■貨物運送取扱事業 ■倉庫業＜営業区域＞ 東北圏区域、関東甲信越圏区域、中部圏区域、近畿圏区域創立：昭和19年3月1日==当社独自の斬新な配送システムを駆使し、大手企業を中心に厚い信頼と高いニーズを寄せられております==着実に成長を続ける中、さらなる業務拡大に備え、新しいスタッフを募集します。,東京都墨田区堤通2丁目12番2号（本社） ■栃木県芳賀郡市貝町赤羽３０６６-３ （栃木営業所）,1944,代表取締役社長 佐藤 惇,,,,http://www.muk.co.jp/,
2024-07-01,冨士自動車株式会社,道路旅客運送業,2,■ハイヤー・タクシー事業■観光バス事業■邦人旅行斡旋業■ビル・駐車場賃貸業■運行管理請負業＜系列会社＞■鐘淵商事株式会社■鐘和モータース株式会社＜関連会社／向島運送グループ＞■向島運送株式会社■足立自動車学校■向島流通サービス株式会社■橋本運輸株式会社■株式会社シージーエス■向島産商株式会社,東京都墨田区墨田2-9-5,1941,代表取締役社長 佐藤 要一,400,"8,000万円",57.0,http://www.fuji-j.co.jp,
2024-08-01,ＳＢＳホールディングス株式会社,倉庫業・梱包業,7,1．グループ全体の経営戦略の策定・推進、グループ経営の監査、その他経営管理2．グループ全体のLT（Logistics Technology)とITの企画・開発,東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー25階,1987,代表取締役社長 鎌田 正彦,23562,39億20百万円,32.0,http://www.sbs-group.co.jp/,
2024-07-01,株式会社アシスト,道路貨物運送業（宅配便・トラック運送など）,3,■生協の個人宅配の請負■一般貨物自動車運送■低料金タクシー■飲食店経営■介護事業,本社／東京都足立区竹の塚2‐32-13 八重洲竹ノ塚ビル5階,1995,代表取締役 新堂 聡,1400,"70,000千円",35.0,http://assist-japan.co.jp/,
2024-06-01,園田陸運株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■事業内容： 一般貨物自動車運送事業(特別積合せ貨物運送に係るもの)第一種利用運送事業第二種利用運送事業(鉄道貨物運送）貨物軽自動車運送■特徴：当社は九州を拠点に物流サービスを提供する物流会社です。3PL+共同配送で物流の効率化を推進し、オーダーメイドの食品物流でお客様の経営をサポートいたします。,鹿児島県垂水市本城3705-2,1958,,400,47百万円,,https://www.sonoda-gp.co.jp/,
2024-07-01,中部急配株式会社,倉庫業・梱包業,2,＜企業概要＞■事業内容：貨物自動車運搬事業、第一種利用運搬事業、倉庫業請負業務事業、産業廃棄物収集運搬業（愛知県、兵庫県）人材派遣事業,愛知県名古屋市瑞穂区甲山町1-60,1983,,131,,,https://www.chubukyuhai.com/,
2024-07-01,大和グループ合同募集,倉庫業・梱包業,1,＜各社共通＞◆貨物取扱業 乳製品並びに冷凍食品の製造◆一般貨物自動車運送事業◆貨物利用運送事業◆倉庫業◆荷役作業請負業◆貨物取扱業◆労働者派遣事業大和ムービング 派27-302887東和流通産業 派27-302765,大阪府大阪市北区芝田2-8-11 共栄ビル6階（大和綜合株式会社）,1999,代表取締役社長 佐々木 洋二（代表者代表／大和綜合株式会社）,750,3億840万円（グループ合算）,,http://yamato-org.jp/,
2024-06-01,港大宝運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,2,■企業概要：当社は、一般区域貨物自動車の運送・自動車運送取扱等の事業を行っております。愛知県に本社がある他、名港営業所、東濃営業所、大阪営業所の全4か所に営業所があり、事業区域は中部圏・関西圏と幅広く展開をしています。貨物自動車の中でも液化石油ガス(LPG)を消費者に届けることが事業の核となっており、安全確保が最優先に求められます。■事業内容： 1.一般区域貨物自動車運送事業2.自動車運送取扱事業3.上記に付帯する一切の業務■事業所：本社営業所、名港営業所、大阪営業所■事業区域：中部圏（愛知・岐阜・三重・静岡・福井・石川・富山）関西圏（大阪・奈良・京都・和歌山・兵庫）,愛知県海部郡蟹江町大字蟹江新田字道東12,1982,,80,27百万円,,https://www.minato-taiho.co.jp/,
2024-08-01,日進陸運株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容： 東海地方を中心に愛知県、三重県、岐阜県等に家具類をはじめ、自動車部品、機械類や雑貨等の輸送事業を行っております。※主な輸送品目…自動車部品、家具類、機械類、雑貨等※営業種目…専属輸送、婚礼家具・荷物の輸送、配送代行、一般引越、荷造・梱包作業及び資材販売,愛知県名古屋市中川区福住町9-32,1970,,32,10百万円,,https://itp.ne.jp/info/243302350102840140/,
2024-07-01,サントリーロジスティクス株式会社,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容：（1）物流マネジメント事業：在庫配置、配車推進、受注・出荷、輸出入、原料・包材（2）輸送事業：調達物流、拠点間輸送、得意先配送、その他輸送（空容器、パレット、焙煎豆、自動販売機輸送など）（3）倉庫事業：入出庫・保管、流通加工、工場配送センター管理など,大阪府大阪市北区堂島浜2-2-28堂島アクシスビル6F,1960,,612,100百万円,,http://www.suntorylogistics.co.jp/,
2024-07-01,有限会社中間モータース,道路貨物運送業（宅配便・トラック運送など）,1,■事業内容： 大型自動車・特殊自動車・小型自動車・軽自動車、車検・点検・一般整備・板金塗装、事故車救出・高速自動車道レッカー排除業務、新車・中古車販売、各種部用品販売、法人・個人向リース、損害保険代理店業務、高所作業車・フォークリフト特定自主検査業、航空機地上支援機材整備及び管理業務、小型クレーン認定、X線荷物検査機保守点検、航空機支援業務（給水空調汚水処理）、空港関連機械資材点検製造販売、一般貨物自動車運送事業■ビジョン： 信念を貫け 誠実を尽くせ 行動を起こせ,鹿児島県姶良市加治木町港町131-4,1949,,26,,,https://www.nakamamotors.com/,
2024-07-01,丸善株式会社,倉庫業・梱包業,6,■事業内容： （1）タンクターミナル部門貯蔵タンクでの液体化学品の保管と入出庫、及び化学的分析等の品質管理（2）倉庫部門化学品の倉庫保管及び入出庫、輸出入関連代行業務、3PL事業（3）輸送部門国内及び輸出入に係る輸送代行業務,東京都江東区大島2-31-6,1919,,110,100百万円,35.0,https://www.maruzeng.co.jp/,
2024-08-01,株式会社丹沢交通　小松営業所,道路旅客運送業,6,■一般乗合旅客自動車運送事業■一般貸切旅客自動車運送事業■一般乗用旅客自動車運送事業■旅行業※登録番号神奈川県知事登録旅行業第2-1019号,本社／神奈川県足柄上郡松田町松田惣領2348,,代表取締役 田中 博志,70,1200万円,,https://tanzawa-bus.jp/,
2024-06-01,株式会社フコックス,道路貨物運送業（宅配便・トラック運送など）,1,■一般貨物自動車運送事業■倉庫事業■梱包事業■加工事業■産業廃棄物の収集運搬処理事業■特定建設業（とび、土木工事業・建設工事業・内装工事仕上げ業）■食品製造事業■上記に付帯する一切の関連業務,東京都江東区佐賀1-1-12,1936,代表取締役社長 鎮目 隆雄,420,9350万円,,https://www.fucox.co.jp/,
