更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,株式会社ムービング,道路貨物運送業（宅配便・トラック運送など）,求人なし,埼玉県戸田市美女木東2-5-1,1960,代表取締役 伊賀山 真行,311,100 百万円,,,,
2024-08-01,北陸鉄道株式会社,道路旅客運送業,求人なし,石川県金沢市割出町556,1943,代表取締役社長 宮岸 武司,310,100 百万円,,,,
2024-08-01,豊鉄バス株式会社,道路旅客運送業,無,愛知県豊橋市植田町字新津田38,2007,代表取締役社長 岩ケ谷 光晴,310,50 百万円,,,路線バス・高速バス・貸切（観光）バス事業・旅行事業 2024年2月doda掲載求人より引用,
2024-08-01,日ノ丸自動車株式会社,運輸・物流業界,求人なし,鳥取県鳥取市古海620,1930,代表取締役社長 中島 文明,307,100 百万円,,,,
2024-08-01,三重近鉄タクシー株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,三重県四日市市久保田1-2-23,1938,代表取締役 末吉 利敎,305,100 百万円,,,,
2024-08-01,ブルーエキスプレス株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府堺市堺区大浜西町10,1991,代表取締役社長 坂 喜代憲,305,350 百万円,,,【東証プライム市場上場企業「ステラケミファ株式会社」の100％出資子会社です】■一般貨物自動車運送事業■国際複合一貫輸送事業■倉庫業■通関業■輸出梱包業■コンテナ・タンク等の販売、レンタル及びリース業■化学工業薬品（輸出入含む）の卸売業■不動産賃貸業■作業請負業■中古自動車の卸売業■自動車整備業■生命保険に関する業務及び損害保険代理店業 2024年3月doda掲載求人より引用,
2024-08-01,近畿福山通運株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,奈良県葛城市西室125-1,1987,代表取締役 池田 敦美,304,31 百万円,,,,
2024-08-01,広菱倉庫運輸株式会社,倉庫業・梱包業,無,広島県広島市南区宇品海岸3-10-23,1943,代表取締役 北 徳之,302,49 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■倉庫業■港湾運送事業 2021年9月doda掲載求人より引用,
2024-08-01,トピー海運株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛知県豊橋市神野ふ頭町3-15,1940,代表取締役 飯塚 剛,302,225 百万円,,,,
2024-08-01,東洋運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,滋賀県大津市栄町1-5,1984,代表取締役 廣瀬 貴晴,302,100 百万円,,,(1) 一般貨物自動車運送事業(2) 貨物利用運送事業(3) 普通倉庫業(4) 工場製品倉庫入出庫事業(5) ボビン・荷資材の回収業務 他 2024年3月doda掲載求人より引用,
2024-08-01,株式会社小田急箱根,鉄道業,無,神奈川県小田原市城山1-15-1小田急箱根ビル,2004,代表取締役 水上 秀博,302,100 百万円,,,,
2024-08-01,株式会社二葉,海運業,求人なし,東京都港区高輪3-19-15二葉高輪ビル,1948,代表取締役 鈴木 宏,299,626 百万円,,,,
2024-08-01,旭タンカー株式会社,海運業,求人なし,東京都千代田区内幸町1-2-2日比谷ダイビル 3Ｆ,1951,代表取締役 春山 茂一,298,600 百万円,,,,
2024-08-01,防長交通株式会社,道路旅客運送業,求人なし,山口県周南市松保町7-9,1935,代表取締役 東田 成民,294,100 百万円,,,,
2024-08-01,泉北高速鉄道株式会社,鉄道業,求人なし,大阪府和泉市いぶき野5-1-1和泉中央駅駅ビル,1965,代表取締役 西尾 和明,294,"4,000 百万円",,,,
2024-08-01,株式会社トランスメイト,道路貨物運送業（宅配便・トラック運送など）,無,東京都新宿区若松町33-8,1978,代表取締役 古坂 範佳,294,40 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◆一般貨物自動車運送業◆貨物自動車運送取扱事業◆倉庫業◆前各号に付帯する一切の業務 2021年8月doda掲載求人より引用,
2024-08-01,株式会社栗林商会,海運業,求人なし,北海道室蘭市入江町1-19栗林ビルヂング 3Ｆ,1919,代表取締役 栗林 和徳,286,150 百万円,,,,
2024-08-01,名阪近鉄バス株式会社,道路旅客運送業,無,愛知県名古屋市中村区名駅3-21-7,1929,代表取締役 谷口 弘幸,286,90 百万円,,,,
2024-08-01,エフピコイーストロジ株式会社,倉庫業・梱包業,無,茨城県結城郡八千代町大字平塚4448-1,1997,代表取締役 湊 祐二,285,26 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 食品容器トレイの保管管理、入出荷業務荷役業 2023年2月doda掲載求人より引用,
2024-08-01,南九州センコー株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,熊本県水俣市港町1-3-12,1979,代表取締役 木田 浩二,283,25 百万円,,,,
2024-08-01,日本チルド物流株式会社,道路貨物運送業（宅配便・トラック運送など）,無,神奈川県川崎市川崎区浮島町12-3,2002,代表取締役 中西純司,283,80 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・ニッポンハムグループが国内外で生産・輸入する食肉商品を量販店・食肉店・外食産業などへ集配する輸送事業。・ニッポンハムグループの国内家畜農場向けの家畜用飼料を集配する輸送事業。 2023年5月doda掲載求人より引用,
2024-08-01,株式会社西武総合企画,道路旅客運送業,無,東京都豊島区南池袋1-16-15,2012,代表取締役 山内 智矢,283,30 百万円,,,,
2024-08-01,株式会社じょうてつ,道路貨物運送業（宅配便・トラック運送など）,求人なし,北海道札幌市白石区東札幌一条1-1-8じょうてつビル 1Ｆ,1915,代表取締役社長 原田 寛,282,200 百万円,,,,
2024-08-01,北海道センコー株式会社,道路貨物運送業（宅配便・トラック運送など）,無,北海道札幌市白石区米里二条2-1-1,1993,代表取締役 朝倉 学,279,30 百万円,,,,
2024-08-01,名古屋近鉄タクシー株式会社,道路貨物運送業（宅配便・トラック運送など）,無,愛知県名古屋市中区栄1-15-3,1953,代表取締役 山根 真哉,279,100 百万円,,,,
2024-08-01,三陸運輸株式会社,海運業,求人なし,宮城県塩竈市貞山通3-11-28,1941,代表取締役 髙城 崇充,279,93 百万円,,,,
2024-08-01,澁澤陸運株式会社,道路貨物運送業（宅配便・トラック運送など）,無,東京都江東区永代2-37-28渋澤シティプレイス永代 3Ｆ,1963,代表取締役 本橋 昌臣,278,80 百万円,,,■陸上運送■荷役・荷造り■引越■流通加工などの各種物流に関わる事業 2023年9月doda掲載求人より引用,
2024-08-01,三井倉庫サプライチェーンソリューション株式会社,倉庫業・梱包業,求人なし,東京都港区西新橋3-20-1,1962,代表取締役 関取 高行,277,"1,550 百万円",,,,
2024-08-01,川崎近海汽船株式会社,海運業,求人なし,東京都千代田区霞が関3-2-1霞が関コモンゲート西館 25Ｆ,1966,代表取締役社長 久下 豊,276,"2,368 百万円",,,,
2024-08-01,小名浜海陸運送株式会社,倉庫業・梱包業,求人なし,福島県いわき市小名浜字高山312-2,1955,代表取締役 大曲 一行,276,150 百万円,,,,
2024-08-01,箱根登山バス株式会社,道路貨物運送業（宅配便・トラック運送など）,無,神奈川県小田原市東町5-33-1,1998,代表取締役 野村 尚廣,276,100 百万円,,,,
2024-08-01,北陸名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,石川県金沢市間明町2-121,1988,代表取締役 生駒 信之,273,60 百万円,,,,
2024-08-01,杉村運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府大阪市港区福崎1-1-57株式会社杉村倉庫本社内,1961,代表取締役 松﨑 力満,273,20 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■一般貨物自動車運送事業■自動車運送取扱事業■荷役業■物流加工業■一般乗用旅客自動車運送事業■自家用自動車管理請負事業■貨物軽自動車運送事業■産業廃棄物収集運搬業■古物売買及びその受託販売■労働者派遣事業■物流情報システムの企画、開発、販売及び運営管理業■一般リネン及び医療リネンの配送、管理業■前記各号に付随する一切の業務 2023年1月doda掲載求人より引用,
2024-08-01,株式会社ＪＡＬグランドサービス九州,航空運輸業,求人なし,福岡県福岡市博多区大字下臼井778-1福岡空港第3ターミナルビル,1995,代表取締役 齊藤 和美,273,10 百万円,,,,
2024-08-01,株式会社シーゲートコーポレーション,海運業,求人なし,広島県広島市南区出島2-22-37,1956,代表取締役 西山 寛,272,270 百万円,,,,
2024-08-01,大阪センコー運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府高槻市芝生町1-51-2,1988,代表取締役 八巻 達也,271,90 百万円,,,,
2024-08-01,太平洋フェリー株式会社,海運業,求人なし,愛知県名古屋市中村区名駅4-24-8いちご名古屋ビル,1982,代表取締役 猪飼 康之,270,100 百万円,,,,
2024-08-01,関西名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,和歌山県和歌山市中33,1990,代表取締役 片山 正樹,269,20 百万円,,,,
2024-08-01,大阪第一交通株式会社,道路旅客運送業,求人なし,大阪府河内長野市寿町7-22,2016,代表取締役 芝辻 徹,269,10 百万円,,,,
2024-08-01,東京ベイシティ交通株式会社,道路貨物運送業（宅配便・トラック運送など）,無,千葉県浦安市千鳥12-5,1976,代表取締役 山田 考一,268,30 百万円,,,,
2024-08-01,トヨフジ海運株式会社,海運業,求人なし,愛知県東海市新宝町33-3,1964,代表取締役 武市 栄司,268,120 百万円,,,,
2024-08-01,近江タクシー株式会社,道路旅客運送業,無,滋賀県彦根市駅東町15-1近江鉄道ビル 1Ｆ,1975,代表取締役 磯谷 淳,268,60 百万円,,,,
2024-08-01,株式会社日本空港ロジテム,航空運輸業,無,東京都大田区羽田空港3-3-2第1旅客ターミナルビル,1972,代表取締役 田中 一仁,268,150 百万円,,,東京国際空港、成田国際空港等で販売する商品の検品・保管及び配送運送業通関業倉庫業営業用消耗品の販売不動産の賃貸、駐車場の運営管理 2024年4月doda掲載求人より引用,
2024-08-01,株式会社ヤスダワークス,道路貨物運送業（宅配便・トラック運送など）,無,神奈川県横浜市神奈川区守屋町3-9安田倉庫内,1962,代表取締役 鵜飼 厳,267,20 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ＜プライム市場上場 安田倉庫株式会社のグループ企業＞■港湾運送事業■倉庫荷役並びに保管管理請負事業■労働者派遣事業の適切な運営の確保及び派遣労働者の就業条件の整備に関する法律に定める労働者派遣事業（派13－314466）■前各号に付帯関連する一切の事業 2022年12月doda掲載求人より引用,
2024-08-01,三重西濃運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,三重県鈴鹿市白子4-8-12,1955,代表取締役 田口 義隆,267,11 百万円,,,,
2024-08-01,株式会社オーナミ,倉庫業・梱包業,1,大阪府大阪市西区江戸堀2-6-33江戸堀フコク生命ビル2F,1949,,271,525百万円,,,■事業内容： センコーグループの一員として半世紀以上にわたる歴史を誇る総合物流企業です。同社は、陸／海輸送はもちろん、倉庫・港湾荷役・保管・通関・梱包及び据付といったサービスを安全かつ合理的に提供する海陸一貫輸送体制をもった企業です。主要取引先には、関連会社である日立造船株式会社をはじめ、大手鉄鋼メーカーがあります。とくに重量闊大物、鋼材の輸送には長年の経験に基づいたノウハウを蓄積しています。,
2024-08-01,株式会社後藤回漕店,海運業,無,兵庫県神戸市中央区海岸通3-2-1,1921,代表取締役 後藤 平八郎,263,300 百万円,,,1）港湾運送事業2）通関業3）貨物利用運送事業4）倉庫業5）国際複合一貫輸送業6）内航運送業7）労働者派遣事業8）海上コンテナーの販売業9）木材の販売業10）不動産の賃貸、売買及び管理11）建設業（機械器具設置工事）12）損害保険代理業13）生命保険の募集に関する業務14）前各項に附帯する一切の業務 2024年1月doda掲載求人より引用,
2024-08-01,株式会社大森廻漕店,海運業,無,兵庫県神戸市中央区東町123-1貿易ビル 201,1921,代表取締役 須藤 明彦,263,400 百万円,,,（1）一般港湾運送業（2）港湾荷役業（3）倉庫業（4）通関業（5）貨物利用運送業（6）損害保険代理店業（7）船舶代理店業（8）航空運送取扱業（9）船舶、不動産の売買、賃貸借、仲介及び管理業（10）有価証券の保有、売買及び運用（11）各種物品の輸出入業（12）酒類販売業（13）前各号に関連する附帯事業 2024年6月doda掲載求人より引用,
2024-08-01,新潟名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,新潟県新潟市中央区姥ケ山435,1961,代表取締役 齋藤 昭彦,262,90 百万円,,,,
