更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,社会福祉法人悠々会,福祉・介護関連サービス,求人なし,東京都町田市能ヶ谷4-30-1,2001,理事長 陶山 慎治,"3,050 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人紫苑の会,福祉・介護関連サービス,求人なし,東京都町田市金森東1-25-20,2003,理事長 山田 啓史,488 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人八丁堀福祉会,福祉・介護関連サービス,求人なし,広島県広島市中区八丁堀6-11505,1977,理事長 中村 義文,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人未来,福祉・介護関連サービス,1,東京都小平市大沼町2-1-3,2003,,10百万円,,168,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■事業内容：障がい者福祉を展開しています。障がい者の就労支援から生活介護まで法人内で幅広く支援しています。利用者のために必要な施設を提供していくという考えの下、小平市内で支援施設を拡大中です。■事業理念:・一人ひとりの自己実現 ・互いの尊厳の尊重と信頼関係の構築 ・安心と希望を持てる生活 これらの理念をもとに、社会福祉法人未来は様々な困難や不自由を抱えた方の現在、また将来にわたる生活を支援していく事を目的としています。国から認められている社会福祉法人として、利益を追求せずに、利用者が毎日楽しく暮らせますよう、日々業務を行っています。
2024-08-01,社会福祉法人梨世会,福祉・介護関連サービス,求人なし,東京都東村山市恩多町1-39-1,2004,理事長 寺嶋 桂子,257 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人睦月会,福祉・介護関連サービス,求人なし,東京都大田区下丸子4-6-16,2000,理事長 綿 祐二,"1,949 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人セント・ジョセフ会,福祉・介護関連サービス,求人なし,東京都西東京市保谷町4-12-7,1952,理事長 宮田 浩明,"2,126 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人三育ライフ,福祉・介護関連サービス,求人なし,東京都東久留米市南沢5-18-36,1991,理事長 東海林 正樹,"1,434 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人森の会,福祉・介護関連サービス,求人なし,東京都東久留米市大門町2-13-11,2001,理事長 松矢 勝宏,419 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人東保育会,福祉・介護関連サービス,求人なし,東京都稲城市矢野口2065,1976,理事長 富岡 孝幸,"1,669 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人稲城青葉会,福祉・介護関連サービス,求人なし,東京都稲城市向陽台6-4,1992,理事 城所 真人,950 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人はる,福祉・介護関連サービス,求人なし,東京都世田谷区等々力2-36-2エクセル等々力 201,2001,理事長 井上 義,387 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人三宅島あじさいの会,福祉・介護関連サービス,求人なし,東京都三宅島三宅村阿古807-1,1993,理事長 長谷川 靖子,750 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人天寿会,福祉・介護関連サービス,求人なし,広島県呉市焼山町字打田623,1990,理事長 神田 耕作,"1,704 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人的場会,福祉・介護関連サービス,求人なし,広島県竹原市港町4-5-1,1980,理事長 中川 康子,"1,523 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人慈照会,福祉・介護関連サービス,求人なし,広島県三次市山家町597,1973,理事長 和泉 一子,"2,400 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人佐伯さつき会,福祉・介護関連サービス,求人なし,広島県廿日市市津田854,1995,理事長 畠中 典一,"1,893 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人誠心福祉会,福祉・介護関連サービス,求人なし,広島県江田島市江田島町宮ノ原3-20-1,1971,理事長 平野 典子,"1,941 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人まほろばの里沖美,福祉・介護関連サービス,求人なし,広島県江田島市沖美町岡大王2332-2,1999,理事長 古澤 英三郎,768 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人新生福祉会,福祉・介護関連サービス,求人なし,広島県尾道市瀬戸田町林1288-6,1998,理事長 山中 康平,"1,806 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人読売光と愛の事業団,福祉・介護関連サービス,求人なし,東京都千代田区大手町1-7-1読売新聞東京本社内,2001,理事長 水田 邦雄,"2,081 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人むつみ会,福祉・介護関連サービス,求人なし,広島県尾道市向島町15644,1993,代表理事長 青山 一雄,"2,840 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人立華学苑,福祉・介護関連サービス,求人なし,東京都台東区谷中5-4-19,1972,理事長 菊田 貫俊,260 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人花川戸保育園,福祉・介護関連サービス,求人なし,東京都台東区花川戸2-11-13,1977,理事長 荻野 順雄,262 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人藤田長生会,福祉・介護関連サービス,求人なし,広島県広島市東区牛田新町1-18-1,1974,理事長 藤田 一憲,646 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人輝き奉仕会,福祉・介護関連サービス,求人なし,広島県広島市南区北大河町39-1,1993,理事長 植竹 信吾,605 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人燈心会,福祉・介護関連サービス,求人なし,広島県広島市西区三滝本町2-1-127号,1995,理事長 野村 眞幸,"1,270 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人正仁会,福祉・介護関連サービス,求人なし,広島県広島市安佐北区落合南町196-1,2000,理事長 二宮 正則,"2,070 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,社会福祉法人可部大文字会,医薬品・医療機器・ライフサイエンス・医療系サービス,求人なし,広島県広島市安佐北区大林町162-2,2001,理事長 梶原 澄子,"1,462 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
