更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-05-01,夢のメガネ株式会社～天神愛眼グループ～,専門店（アパレル・アクセサリー）,1,【夢のレンズ魔法のメガネのCMで有名～明治12年創業の老舗企業の天神愛眼グループ優良企業～】■事業内容： メガネ・補聴器の販売が主な事業内容です。メガネ・補聴器の販売を通して、お客様の生活をより豊かなものになるように、本気でお客様の事を考えて日々業務に邁進しております。お客様を幸せにするという目的に向かって、自分たちの精神（心）、技術をお客様のために日々磨いています。,福岡県福岡市中央区天神1-7-15,1967,16,138百万円,49.3,https://www.tenjin-aigan.co.jp/,,
2024-07-01,株式会社ＹＥＳ,専門店・その他小売,2,■代表挨拶株式会社YESのホームページをご覧いただきありがとうございます。当社は、2016年に設立し、武雄市を中心に新中古車販売やガソリンスタンドと幅広く営業しております。まだまだ出来たばかりの、新しい会社でありますが、社名のYES（you get exellent service）のように、地域の皆様へ最高のサービスを提供できるよう社員一丸となって努力しております。「地域と暮らしのパートナー」を念頭に、皆様の生活や地元にとって無くてはならない存在になれるよう精進して参ります。今後も『株式会社YES』をよろしくお願い致します。,佐賀県武雄市北方町大字大崎1207-1,,,,,http://www.yes-2016.com/,,
2024-07-01,株式会社ＴＷＯ,食品・GMS・ディスカウントストア,1,■企業概要：人々の健康にフォーカスし身体や精神だけでなく人間関係や生活環境など、社会的にも満たされた“真の健康=wellbeing”をデザインするココロとカラダの健康に資するサービスやプロダクトを世に広める企業です。■事業内容：・植物由来食品（プラントベースフード）のフード、ドリンクを提供するカフェ『2foods』の運営 2foodsはやみつきになるほどの美味しさと、食べれば食べるほどカラダを整える健やかさを併せ持つ 「ヘルシージャンクフード」をコンセプトとする全く新しい食品レーベルです。,東京都渋谷区神宮前6-35-3JUNCTIONspace,2015,60,100百万円,33.0,http://two2.jp/,,
2024-08-01,株式会社バルコムモータース,自動車ディーラー,31,■事業内容：輸入自動4輪（BMW・MINI）及び、輸入自動2輪（BMW・Harley Davidson、Indian PIAGGIO）の販売・修理。他、損害保険業務。広島県の他、岡山県、山口県、福岡県、東京都にて、BMW・MINIの輸入、Harley Davidsonなどの輸入モーターサイクルを扱う正規ディーラーとなります。,広島県広島市安佐南区中筋3-8-10,2016,558,10百万円,,http://www.balcom.jp/,,
2024-06-01,Ｓｔｅｌｌａｎｔｉｓジャパン販売株式会社,自動車ディーラー,1,■企業概要：フランス・オートモービルブジョー100％出資のプジョー・シトロエンジャパン株式会社が販売拠点として設立した直営ディーラーです。■事業内容： 創業100周年を超えるフランスのオートモービルプジョー社製自動車の販売・アフターサービス及び部品・アクセサリーの販売。,東京都目黒区碑文谷5-1-3,2004,60,100百万円,44.0,http://www.pctokyo.jp/,,
2024-07-01,株式会社柊樟,コンビニエンスストア,2,■事業内容：愛知県尾張エリアを中心に、ローソンを8店舗展開。当社は地域に密着した多店舗経営を行い、ローソンの本部機能を持たせ、本部とともに成長を目指す事業経営者として、より強いパートナーシップを持つ、ローソン公式認定マネジメントオーナー（MO）企業です。地域の皆様がより快適に暮らしていただける様、店舗内で経営・戦略を共有することでフランチャイズとは違う本格的な経営を行います。,愛知県一宮市伝法寺4-4-5,2016,9,3百万円,38.0,https://www.toushou-l.com/,,
2024-05-01,株式会社Ｋ・バロウ（GLIONグループ）,自動車ディーラー,2,■事業内容：プジョー・シトロエン車の福井県下唯一の正規販売店として、プジョー・シトロエン車の新車、中古車の販売及び同車両の点検整備を行っています。神戸に本社を持つ、ＧＬＩＯＮグループに属しています。ＧＬＩＯＮグループは、輸入車、国産車ディーラーを中心に全国に約７０社（４０００名）を展開しています。,京都府京都市右京区西院六反田町39,2016,,75百万円,50.0,https://kyoto.peugeot-dealer.jp/cgi-bin/WebObjects/11333b15457.woa/wa/read/11333b15489/,,
2024-08-01,株式会社Ｓｏｎｉｃ　Ｍｏｔｏｒｓ,自動車ディーラー,1,■事業内容： モーターサイクルブランド「トライアンフ」の大規模正規販売店を展開！Matsumoto BMWのエーワンオートイワセグループである当社。,東京都武蔵野市吉祥寺南町5-3-18,,29,30百万円,42.0,"Failed to retrieve page, status code: 410",,
2024-07-01,太陽堂漢方株式会社,通信販売・ネット販売,1,高品質な漢方薬をオーダーメイドで患者さん1人ひとりにご提案する漢方薬局の運営や、漢方の考えを更に多くの人に知っていただく事業を展開しています。■漢方薬の調剤、販売、相談など■漢方の考えを取り入れた飲食店の経営■薬膳茶・和漢食材の通信販売,東京都新宿区愛住町19-16 富士ビル2F,2015,40,5百万円,34.0,https://tokyo-taiyodo.jp/,代表取締役 林 泰太郎,
2024-07-01,アレクサンドル・ドゥ・パリ・ジャパン株式会社,専門店（アパレル・アクセサリー）,5,■事業内容：フランスを代表するヘアアクセサリーブランド＜ALEXANDRE DE PARIS（アレクサンドル ドゥ パリ）＞の販売,東京都港区芝公園3-1-38芝公園三丁目ビル3F,2016,40,100百万円,,https://alexandredeparis.co.jp/,,
