更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-07-01,株式会社西友,食品・GMS・ディスカウントストア,8,■事業内容： ・全国300店以上展開の食料品、衣料品、住居用品などの小売チェーンの運営・国内トップクラスの楽天西友ネットスーパーを運営,東京都武蔵野市吉祥寺本町1-12-10,1963,29000,100百万円,,"Failed to retrieve page, status code: 410",,
2024-08-01,まいばすけっと株式会社,食品・GMS・ディスカウントストア,12,■企業概要：小売業NO.1の売上８兆円超のイオングループ中核子会社で都市型小型食品スーパー「まいばすけっと」を運営しています。イオンの戦略的小型店事業会社として、2012年1月21日に分社化しました。東京・川崎・横浜で1000店以上（2022年2月1日現在）を展開しています。イオングループの都市部シェア拡大を牽引する伸び盛りの会社です。2005年12月に1号店がオープンして以来、試行錯誤を重ねながら、急速に店舗網を拡大してきました。競合他社が徐々に小型店事業に参入する中、イオングループとして他社に負けないスピード感で市場シェアを高めています。,千葉県千葉市美浜区中瀬1-5-1,2011,29264,"3,600百万円",35.0,"Failed to retrieve page, status code: 410",,
2024-08-01,イオンリテール株式会社,食品・GMS・ディスカウントストア,5,総合小売業367店舗（2024年2月末現在）※本州、四国エリア（東北除く）を6つのカンパニーに分割し、経営,千葉県千葉市美浜区中瀬1-5-1,2008,73317,1億円,45.0,https://www.aeonretail.jp/saiyo/pharmacist/,代表取締役社長 井出 武美,
2024-08-01,株式会社カインズ,ホームセンター,21,＝＝TOPIX／プレスリリース＝＝・2021.12 東急ハンズの株式譲渡契約を締結しパートナーへ 傘下に都市型店舗を持つ事で郊外店舗が多いCAINZとの相互補完を見込む／CAINZ店舗の為に開発導入を進めてきたデジタルソリューションを東急ハンズにも展開し物流・店舗内体験等のDX化を図る・日経コンピュータ主催「IT Japan Award 2021」 グランプリにカインズのシステム内製化・高速開発の取り組みが決定■事業内容：ホームセンターチェーンの経営,埼玉県本庄市早稲田の杜1-2-1,1989,13651,"3,260百万円",36.2,http://www.cainz.co.jp/,,
2024-08-01,ウエルシア薬局株式会社,ドラッグストア・調剤薬局,3,■事業内容：2016年9月1日、グループ会社の株式会社CFSコーポレーションと合併し、名実ともに日本一のドラッグストアを目指して新たなスタートをきりました。「お客様の豊かな社会生活と健康な暮らしを提供します」という企業理念の実現に向け、お客様視点の接客、予防・医療・介護の専門性と豊富な品揃えで、地域のお客様に、より便利で、安心して生活していただける超高齢社会のインフラとしての調剤併設型ドラッグストアを運営してまいります。,東京都千代田区外神田2-2-15,1974,37951,100百万円,35.0,http://www.welcia-yakkyoku.co.jp/,,
2024-08-01,アマゾン ジャパン合同会社,通信販売・ネット販売,98,■企業概要：【地球上で最もお客様を大切にする企業】米国の本社、Amazon.comは、米国ワシントン州シアトル市を本拠地とするフォーチュン500の一企業であり、 eコマースにおける世界的なリーディングカンパニーです。1995年に創業して以来、Amazon.comは商品の品揃え、インターナショナル・サイト、そして世界中に位置する物流センターおよびカスタマーサービスセンターにおいて著しい拡大を行ってきました。現在では、世界50ヵ所を超える物流センターを設置し、数億点以上の品揃えを誇る総合オンラインストアを展開。,東京都目黒区下目黒1-8-1,2000,,,,http://www.amazon.co.jp/,,
2024-07-01,株式会社ビックカメラ,専門店（家電量販店）,6,■事業内容： カメラ、ビジュアル製品、オーディオ製品、パソコン、OA機器、携帯電話、家電製品、時計、ゲーム、メガネ・コンタクト、医薬品、玩具、スポーツ用品、寝具、酒類等の販売,東京都豊島区高田3-23-23,1980,9466,"25,929百万円",,http://www.biccamera.com/,,プライム市場
2024-07-01,株式会社セブン-イレブン・ジャパン,コンビニエンスストア,37,"■企業概要：コンビニエンスストア「セブン‐イレブン」を、フランチャイズシステムにより国内47都道府県に21,000店以上展開する業界No．1企業です。1974年に日本初の「セブン‐イレブン豊洲店」が誕生し、社会や人々の生活の移り変わりに合わせて公共料金支払い、銀行ATM等を次々と開始しました。物を売るだけの存在ではなく、身近な生活のインフラを支える役割を果たしています。",東京都千代田区二番町8-8,1973,8549,"17,200百万円",34.5,http://www.sej.co.jp,,
2024-08-01,株式会社ネクステージ,自動車ディーラー,79,■事業内容：売上高が4年連続25%以上UPという成長率を誇り、2030年に自動車小売業界“初”となる、1兆円企業を目指している自動車ディーラー,愛知県名古屋市中区新栄町1-1明治安田生命名古屋ビル14F,1998,6282,"8,036百万円",29.3,https://www.nextage.jp/,,プライム市場
2024-06-01,Ｊ．フロントリテイリング株式会社,百貨店,2,■事業内容：百貨店業等の事業を行う子会社及びグループ会社の経営計画・管理並びにそれに付帯する業務百貨店事業は、全国主要都市に「大丸」「松坂屋」を15店舗、またSC事業でもショッピングセンター「PARCO」を16店舗展開し、両事業を合わせたグループ全社売上収益に占める割合はおよそ73％となっています。その他にもデベロッパー事業、決済・金融事業、卸売業などを展開しています。,東京都中央区銀座6-10-1,2007,7369,"31,974百万円",,"Failed to retrieve page, status code: 410",,プライム市場
2024-07-01,株式会社サンベルクス,食品・GMS・ディスカウントストア,1,■地域密着型スーパーマーケット「BeLX」の運営■スポーツクラブ運営■青果仲卸 ほか＜グループ会社＞■株式会社サンベルクスホールディングス（グループ会社の経営管理）■株式会社カシマコーポレーション（設計・不動産仲介業）■ベルクススポーツクラブ（スポーツクラブ事業）■青果仲卸会社（数社経営）,■本社：東京都足立区花畑5-14-1■店舗数：46店舗（東京16店、千葉19店、埼玉11店）,1983,4852,"5,000万円",36.0,https://sunbelx.com/,代表取締役社長 鈴木 秀夫,
2024-08-01,『眼鏡市場』『レンズスタイル』（株式会社メガネトップ）,専門店・その他小売,1,メガネ、コンタクトレンズ、補聴器の販売、その他関連商品の販売,静岡県静岡市葵区伝馬町8-6 トップセンタービル8F,1980,4773,1億円,,https://www.meganetop.co.jp/,代表取締役社長 冨澤 昌宏,
2024-07-01,株式会社ツルハ,ドラッグストア・調剤薬局,19,"～地域に愛され、喜ばれる、「日本一のドラッグストアチェーン」を目指して～ツルハグループは「お客様の生活に豊かさと余裕を提供する」という理念のもと、地域医療の担い手として、より身近で、安心できるサービスをお届けすべく、お客様の視点に立った店づくりを展開しています。現在、北海道・東北・関東・甲信越・中部・関西・四国およびタイに1,513店舗（うち調剤薬局460店舗）、グループ合計2,653店舗を展開しています。",北海道札幌市東区北24条東20-1-21,1975,26043,"4,252百万円",36.1,http://www.tsuruha.co.jp/,,プライム市場
2024-08-01,株式会社ロフト,専門店（アパレル・アクセサリー）,2,■雑貨専門小売事業国内：直営店舗 138店舗、FC店舗 26店舗海外：直営店舗 5店舗、FC店舗 2店舗（2024年5月末時点）,＜本部事務所＞東京都千代田区九段北4-2-6 市ヶ谷ビル3.4.6.7F,1996,5321,7億5000万円,,http://www.loft.co.jp/,代表取締役社長 安藤 公基,
2024-08-01,株式会社クリエイトエス・ディー,ドラッグストア・調剤薬局,4,■事業内容：ドラッグストア、調剤薬局の経営および運営■詳細：・「クリエイトエス・ディー」…住宅街立地、地域密着型のドラッグストアで、医薬品／健康食品／化粧品／ベビー用品／食料品／日用雑貨等の販売を行っています。首都圏を中心に753店舗を展開しています。・出店地域…神奈川県、東京都、千葉県、埼玉県、群馬県、茨城県、静岡県、愛知県に展開しており、今後も新たな出店を見込んでいます。,神奈川県横浜市青葉区荏田西2-3-2,1983,11825,"1,305百万円",,http://www.create-sd.co.jp/,,
2024-08-01,株式会社ニトリ,ホームセンター,12,【TOPIX】■2022.4にDX新会社「株式会社ニトリデジタルベース」の設立を発表■「製造物流IT小売業」という独自のビジネスモデルで小売業界において高い利益率を誇り、好不況に左右されない安定した収益構造を成し遂げる総合力を持っています。,北海道札幌市北区新琴似七条1-2-39,1972,3566,"1,000百万円",34.3,http://www.nitori.co.jp/,,プライム市場
2024-08-01,株式会社大丸松坂屋百貨店,百貨店,13,■事業内容：百貨店事業,東京都江東区木場2-18-11,2010,2724,"10,000百万円",,http://www.j-front-retailing.com/index.php,,
2024-08-01,株式会社 マルエツ,食品・GMS・ディスカウントストア,4,■事業内容：食料品を主体に家庭用品、衣料、レジャーなどの生活関連商品を販売する首都圏最大級のスーパーマーケットチェーンです。■店舗の特徴・マルエツ…毎日楽しく便利に買い物ができる、生鮮食品を中心としたスーパーマーケット。食料品の他、日用雑貨など、幅広く品揃えしています。・マルエツプチ…都市部で生活する顧客に生鮮食品をはじめ、できたての総菜やサービスを届ける都市型スーパーマーケット。約40坪から150坪の売場で、普段の生活に必要な商品を取り揃えています。・リンコス…ハイクオリティな品揃えとサービス機能を取り揃えて、顧客のより高いニーズに応える高品質スーパーマーケット。,東京都豊島区東池袋5-51-12,1952,15572,100百万円,,http://www.maruetsu.co.jp/,,
2024-08-01,オーケー株式会社,食品・GMS・ディスカウントストア,51,■事業内容：ディスカウントセンター・ディスカウントスーパーマーケットの経営※取扱商品…一般食品・米・菓子・飲料・酒・日配食品・消耗雑貨・ペット用品・家庭雑貨・文具・医薬品・精肉・水産・青果・花卉・総菜・寿司・ベーカリー・生活レジャー用品（家電・玩具・衣料・靴・スポーツ等）■同社が大切にしていること：「高品質・Everyday Low Price」という経営方針のもと、出来るだけ正確で、正直な商品情報を顧客に知らせるよう心掛けています。「極めて謙虚で、極めて誠実、極めて勤勉」、同社は、こう評価されたいと日々心がけ、顧客に不満がないよう、常に努力しています。,神奈川県横浜市西区みなとみらい6-3-6,1967,16284,"2,868百万円",,https://ok-corporation.jp/,,
2024-08-01,株式会社ヤナセ,自動車ディーラー,7,■新車事業■中古車事業■アフターセールス事業■金融保険事業■モビリティ事業【取り扱いブランド】メルセデス・ベンツ、BMW、アウディ、フォルクスワーゲン、ポルシェ、キャデラック、シボレー、フェラーリ,東京都港区芝浦1-6-38,1920,3544,69億7587万2000円,,"Failed to retrieve page, status code: 410",代表取締役社長執行役員 森田 考則,
2024-06-01,サミット株式会社,食品・GMS・ディスカウントストア,1,■食品スーパーマーケット及びその他生活関連商品の小売チェーン【 店舗 】関東1都3県に、スーパーマーケット124店舗を展開（2024年4月末現在）※東京都91店舗、神奈川県16店舗、埼玉県11店舗、千葉県6店舗（その他に衣料品チェーン「コルモピア」も展開）,本社／東京都杉並区永福3-57-14店舗／関東1都3県にスーパーマーケット124店舗を展開（2024年4月末現在）※東京都91店舗、神奈川県16店舗、埼玉県11店舗、千葉県6店舗,1963,3305,39億2000万円,35.7,http://www.summitstore.co.jp/,代表取締役社長 服部 哲也,
2024-07-01,株式会社ＪＲ東日本クロスステーション,百貨店,5,■JR東日本クロスステーションについて： 2021年4月、「NewDays」などの小売事業、「BECK'S COFFEE SHOP」などの飲食事業、「acure」の自販機運営・オリジナル飲料開発事業、「ecute」などのエキナカ商業施設運営事業、を展開する4社が統合して誕生しました。統合によって、これまで以上の強い連携や商品・サービスの開発により、より一層エキナカを進化させて行くことを目指しています。■事業内容： ウォータービジネスカンパニーリテールカンパニーフーズカンパニーデベロップメントカンパニー,東京都渋谷区千駄ケ谷5-33-8サウスゲート新宿ビル6F,,2753,411百万円,,https://www.jr-cross.co.jp/,,
