更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-08-01,株式会社せのや,専門店・その他小売,求人なし,,大阪府大阪市中央区難波1-7-2,1974,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福岡 武志,
2024-08-01,ヂヤストリー株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区船場中央1-3-2Ｂ158,1966,14 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 奥井 謙治,
2024-08-01,株式会社オーシャンフーズ,専門店・その他小売,求人なし,,東京都江東区牡丹3-28-5オーシャンビル 2Ｆ,1986,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 中田 善久,
2024-08-01,株式会社長堀堂,専門店・その他小売,求人なし,,大阪府大阪市中央区東心斎橋1-3-10長堀堂ビル,1984,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 岡田 善三,
2024-08-01,株式会社ザマイラ,専門店・その他小売,求人なし,,東京都江東区佐賀1-1-14ハラリバーサイドビル,1991,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 原 京子,
2024-08-01,株式会社菱屋,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区谷町6-18-5,1950,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 廣田 嘉秀,
2024-08-01,田口産業株式会社,専門店・その他小売,求人なし,,東京都江東区新木場3-8-10,1988,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 田口 将士郎,
2024-08-01,株式会社エイ・ネット,専門店・その他小売,求人なし,,東京都江東区新大橋1-1-11,1996,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 日下部 智彦,
2024-08-01,株式会社富士商会,専門店・その他小売,求人なし,,大阪府大阪市中央区南船場3-7-20,1951,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤井 博美,
2024-08-01,ロータス大阪株式会社,自動車ディーラー,求人なし,,大阪府大阪市中央区城見2-2-53大阪東京海上日動ビルディング Ｂ1,1975,23 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 落合 貢宏,
2024-08-01,有限会社福田,専門店・その他小売,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ロレックス正規品販売店の運営チューダー正規品販売店の運営 2023年5月doda掲載求人より引用,大阪府大阪市中央区東心斎橋1-16-12,1966,36 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福田 直介,
2024-08-01,有限会社西岬自動車,自動車ディーラー,求人なし,,東京都江東区辰巳1-6-7,1968,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 野条 雅子,
2024-08-01,株式会社イウチ,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区船場中央3-2-8321,1973,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 井内 照博,
2024-08-01,三栄食品株式会社,食品・GMS・ディスカウントストア,求人なし,,大阪府大阪市中央区日本橋2-15-4ラフォルテ日本橋 1Ｆ,1949,63 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉田 怜子,
2024-08-01,株式会社コジマ,専門店（アパレル・アクセサリー）,求人なし,,大阪府大阪市中央区西心斎橋1-5-5千代田生命御堂筋ビル 5Ｆ,1960,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 近藤 佑介,
2024-08-01,株式会社天正堂,専門店・その他小売,求人なし,,大阪府大阪市中央区東心斎橋1-13-12天正堂ビル 4Ｆ,1968,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 鎌田 眞彰,
2024-08-01,株式会社店研創意,専門店・その他小売,求人なし,,大阪府大阪市中央区久太郎町3-4-20,1975,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役社長 大西 寛,
2024-08-01,大寅蒲鉾株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区難波3-2-29,1958,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小谷 公穂,
2024-08-01,小林繊維株式会社,専門店・その他小売,求人なし,,大阪府大阪市中央区南船場1-15-2,1965,41 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 小林 周平,
2024-08-01,株式会社ローブ,専門店（アパレル・アクセサリー）,無,婦人服製造・卸売業 2023年12月doda掲載求人より引用,大阪府大阪市中央区南船場2-2-25,1972,66 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 日比 弘四,
2024-08-01,株式会社ウスクラ,通信販売・ネット販売,求人なし,,東京都江東区亀戸3-29-16,1996,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 臼倉 利明,
