更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,吉田工業株式会社,その他,求人なし,広島県広島市安佐南区祇園6-12-17,1962,代表取締役 吉田 昌弘,20 百万円,,,,
2024-08-01,土屋ブルドーザー工事株式会社,その他,求人なし,静岡県富士市伝法3236-8,1965,代表取締役 内藤真典,10 百万円,,,,
2024-08-01,株式会社平野製作所,その他,求人なし,埼玉県越谷市川柳町2-175-1,1960,代表取締役 平野 雄一,16 百万円,,,,
2024-08-01,株式会社丸猫,その他,求人なし,広島県広島市安佐南区中筋3-27-26ビルＡ,1979,代表取締役 猫島 充識,35 百万円,,,,
2024-08-01,松崎紙工株式会社,その他,求人なし,埼玉県越谷市大字下間久里1325,1961,代表取締役 松﨑 義一,35 百万円,,,,
2024-08-01,青森東邦運輸倉庫株式会社,その他,求人なし,青森県青森市大字野木字野尻37-340青森総合流通団地内,1974,代表取締役 黒川 久,30 百万円,,,,
2024-08-01,株式会社長妻寝装,その他,求人なし,埼玉県越谷市伊原2-6-8,1980,代表取締役 長妻 浩吉,10 百万円,,,,
2024-08-01,野口酸素株式会社,専門店（アパレル・アクセサリー）,求人なし,静岡県富士市島田町1-46-1,1953,代表取締役 野口 栄一,10 百万円,,,,
2024-08-01,医療法人信愛会,その他,求人なし,広島県広島市安佐南区伴東7-9-2,1994,理事長 日比野 誠一郎,735 百万円,,,,
2024-08-01,ユニプレス精密株式会社,自動車部品メーカー,求人なし,静岡県富士市中里2608-25,1960,代表取締役 久保田 昌,353 百万円,,,,
2024-08-01,フジ生コンクリート株式会社,その他,求人なし,静岡県富士市沼田新田8,1960,代表取締役 木内 藤男,32 百万円,,,,
2024-08-01,一般社団法人青森県薬剤師会,特殊法人・財団法人・その他団体・連合会,求人なし,青森県青森市浪打1-16-17,1949,,,,,,
2024-08-01,東武圧送株式会社,その他,求人なし,埼玉県越谷市瓦曽根2-11-30,1972,代表取締役 寺田 信男,12 百万円,,,,
2024-08-01,富士靴下工業株式会社,その他,求人なし,静岡県富士市檜新田282-1,2002,代表取締役 小貫 和俊,10 百万円,,,,
2024-08-01,生活協同組合コープあおもり,特殊法人・財団法人・その他団体・連合会,求人なし,青森県青森市柳川2-4-22,1976,代表理事 小池 伸二,"2,608 百万円",,,,
2024-08-01,株式会社ミヨマル,その他,求人なし,広島県広島市安佐南区伴中央4-8-23,1974,代表取締役 生西 健司,34 百万円,,,,
2024-08-01,株式会社サン・ショウ,その他,求人なし,青森県青森市浜田1-2-2,1988,代表取締役 三上 志津子,10 百万円,,,,
2024-08-01,丸茂製紙株式会社,その他,求人なし,静岡県富士市今泉2-6-19,1967,代表取締役 猿渡 公洋,88 百万円,,,,
2024-08-01,株式会社丸啓鉄工所,その他,求人なし,静岡県富士市松岡336,1953,代表取締役 加藤 正広,10 百万円,,,,
2024-08-01,松岡紙業株式会社,その他,求人なし,静岡県富士市蓼原110,1943,代表取締役 佐藤 元彦,50 百万円,,,,
2024-08-01,有限会社千代田化工,その他,求人なし,埼玉県越谷市大字小曽川943-5,1971,取締役 中島 猛,3 百万円,,,,
2024-08-01,有限会社佐藤製本所,その他,求人なし,青森県青森市大字石江字三好120-19,1971,代表取締役 佐藤 隆宣,3 百万円,,,,
2024-08-01,株式会社テジマ,金属・製綱・鉱業・非鉄金属メーカー,求人なし,青森県青森市大字野木字山口245-2,1989,代表取締役 手島 正人,20 百万円,,,,
2024-08-01,波佐見陶磁器工業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,長崎県東彼杵郡波佐見町井石郷2239,1949,代表理事 太田 一彦,66 百万円,,,,
2024-08-01,望月紙業株式会社,その他,求人なし,静岡県富士市原田313,1965,代表取締役 望月 昭宏,10 百万円,,,,
2024-08-01,株式会社矢部商店,その他,求人なし,静岡県富士市平垣109-3,1947,代表取締役 矢部 顕男,18 百万円,,,,
2024-08-01,株式会社ティーエス・ハマモト,その他,求人なし,広島県広島市安佐南区長束4-16-2,1970,代表取締役 濵本 利寿,50 百万円,,,,
2024-08-01,大平商事株式会社,その他,求人なし,広島県広島市安佐南区緑井3-5-31,1984,代表取締役 坪井 宏彰,50 百万円,,,,
2024-08-01,株式会社山豊,その他,求人なし,広島県広島市安佐南区伴東町79-2,1962,代表取締役 山本 千曲,50 百万円,,,,
2024-08-01,株式会社渡辺自動車工業,その他,求人なし,静岡県富士市大淵2635-4,1975,代表取締役社長 渡辺 宏次,10 百万円,,,,
2024-08-01,株式会社シンセー,レジャー・アミューズメント,求人なし,広島県広島市安佐南区祇園3-19-17,1972,代表取締役 山川 信三,85 百万円,,,,
2024-08-01,有限会社山下商店,その他,無,埼玉県越谷市花田1-13-21,1976,代表取締役 山下 慎一,5 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 冠婚葬祭具用品卸業 2021年9月doda掲載求人より引用
2024-08-01,照見工業株式会社,その他,求人なし,広島県広島市安佐南区八木9-21-8,1980,代表取締役 宮部 範久,10 百万円,,,,
