更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,事業内容,上場市場名
2024-08-01,安全ガス株式会社,その他,求人なし,長野県飯田市大瀬木4122,1963,代表取締役 新美 良夫,,,,10 百万円,,
2024-08-01,丸石産業株式会社,その他,求人なし,鳥取県鳥取市商栄町221-7,1947,代表取締役 安木 恭次,,,,18 百万円,,
2024-08-01,木下水引株式会社,その他,求人なし,長野県飯田市上殿岡8-1,1969,代表取締役 木下 茂,,,,16 百万円,,
2024-08-01,株式会社新栄,その他,求人なし,福岡県北九州市八幡西区楠橋南1-1-5,1981,代表取締役 滑石 俊章,,,,40 百万円,,
2024-08-01,医療法人香林会,特殊法人・財団法人・その他団体・連合会,求人なし,福岡県北九州市八幡西区香月中央1-14-18,1992,理事長 白石 昌之,,,,493 百万円,,
2024-08-01,山野商事株式会社,その他,求人なし,鳥取県鳥取市商栄町160-4,1962,代表取締役 嶋田 耕一,,,,50 百万円,,
2024-08-01,有限会社清田工業,その他,求人なし,群馬県太田市内ケ島町1025-1,1974,代表取締役 清田 公志,,,,10 百万円,,
2024-08-01,鳥取県生活協同組合,その他,求人なし,鳥取県鳥取市河原町布袋597-1,1951,代表理事 井上 約,,,,"1,779 百万円",,
2024-08-01,有限会社道都デンタル・ラボ,その他,求人なし,北海道札幌市東区北十条東3-2-10ブリストル 103,1986,代表取締役 小西 功一,,,,10 百万円,,
2024-08-01,菌興椎茸協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,鳥取県鳥取市富安1-84,1952,代表理事 下田 秀一,,,,27 百万円,,
2024-08-01,株式会社スガヌマ,その他,求人なし,長野県飯田市鼎東鼎31-1,1966,代表取締役 菅沼 英文,,,,10 百万円,,
2024-08-01,株式会社田中造園土木,その他,求人なし,鳥取県鳥取市国府町宮下1130,1980,代表取締役 田中 静雄,,,,10 百万円,,
2024-08-01,株式会社ダイシン,その他,求人なし,長野県飯田市上郷別府3324-1,1972,代表取締役 平栗 哲夫,,,,10 百万円,,
2024-08-01,シンヨー電機株式会社,その他,求人なし,福岡県北九州市八幡西区御開2-1-32,1982,代表取締役 五郎丸 左千重,,,,10 百万円,,
2024-08-01,龍共印刷株式会社,その他,求人なし,長野県飯田市上郷黒田121,1949,代表取締役 大島 章,,,,10 百万円,,
2024-08-01,株式会社グンサン,その他,求人なし,群馬県太田市緑町808-1,1989,代表取締役 鎌田 恵,,,,5 百万円,,
2024-08-01,サンプラザー株式会社,その他,求人なし,長野県飯田市八幡町2152-3,1974,代表取締役 小笠原 秀人,,,,20 百万円,,
2024-08-01,株式会社折園,その他,求人なし,福岡県北九州市八幡西区大膳1-14-22,1979,代表取締役 門司 大介,,,,20 百万円,,
