更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,福井テレビジョン放送株式会社,その他,求人なし,福井県福井市問屋町3-410,1969,代表取締役 酒井 美樹男,111,300 百万円,,,,
2024-08-01,株式会社福井アクティー,その他,無,石川県金沢市専光寺町レ3-18,1972,代表取締役 松田 晶晴,111,30 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 物流構内業務、配送業務 2023年3月doda掲載求人より引用,
2024-08-01,ハウスコム埼玉株式会社,その他,求人なし,埼玉県さいたま市大宮区桜木町1-1-4,2022,代表取締役 塚田 敦志,111,20 百万円,,,,
2024-08-01,ホシデン九州株式会社,その他,求人なし,福岡県鞍手郡鞍手町大字中山3024-38,1968,代表取締役 古橋 健士,110,90 百万円,,,,
2024-08-01,パルティール債権回収株式会社,その他,無,東京都品川区西五反田7-17-3,2007,代表取締役 朝倉 英雄,110,500 百万円,,,法務大臣の許可を得て、国民経済の再生及び活性化に貢献するという使命に基づいた以下事業を展開しています。- 法務省特定金銭債権の買取- 債権管理- 回収- 管理・回収受託- 金融関係 2024年4月doda掲載求人より引用,
2024-08-01,株式会社京阪流通システムズ,その他,求人なし,大阪府大阪市中央区天満橋京町1-1ＫＥＩＨＡＮ ＣＩＴＹ ＭＡＬＬ 3Ｆ,2002,代表取締役 松下 靖,109,100 百万円,,,,
2024-08-01,ＤＯＷＡエレクトロニクス株式会社,その他,求人なし,東京都千代田区外神田4-14-1秋葉原ＵＤＸビル 22Ｆ,2006,代表取締役 鈴木 健彦,108,"1,000 百万円",,,,
2024-08-01,株式会社長谷工管理ホールディングス,その他,求人なし,東京都港区芝2-6-1長谷工芝二ビル,2017,代表取締役 谷 信弘,108,100 百万円,,,,
2024-08-01,株式会社サンコー食品,その他,求人なし,山形県山形市北町4-15-5,1990,代表取締役 古山 利昭,107,70 百万円,,,,
2024-08-01,株式会社農業総合研究所,その他,求人なし,和歌山県和歌山市黒田99-12寺本ビルⅡ 4Ｆ,2007,代表取締役社長 堀内 寛,107,50 百万円,35.6,,,グロース
2024-08-01,フォルシア・ニッパツ九州株式会社,その他,求人なし,福岡県京都郡苅田町新浜町9-9,2001,代表取締役社長 小野 達朗,106,499 百万円,,,,
2024-08-01,カンノ・トレーディング株式会社,その他,求人なし,福島県福島市岡部字上条63-1,2004,代表取締役 鹿目 昭広,106,10 百万円,,,,
