更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社細野鉄工所,その他,求人なし,埼玉県川口市飯塚1-1-28,1948,代表取締役 細野 博隆,100 百万円,,,,,
2024-08-01,株式会社はりせいクリーニング,その他,求人なし,岐阜県関市富本町19,1960,代表取締役 丹羽 克彦,10 百万円,,,,,
2024-08-01,有限会社早島設備,その他,求人なし,岡山県倉敷市茶屋町1789-9,1989,代表取締役 木ノ上 昇,3 百万円,,,,,
2024-08-01,大和陸運倉庫株式会社,その他,求人なし,千葉県市川市上妙典1606-3,1964,代表取締役 今井 均,20 百万円,,,,,
2024-08-01,株式会社丸石工業所,その他,求人なし,岐阜県関市志津野2580,1974,代表取締役 笠輪 悠佑,10 百万円,,,,,
2024-08-01,大成産業株式会社,その他,求人なし,福岡県柳川市蟹町37-1,1966,代表取締役 溝上 仁子,20 百万円,,,,,
2024-08-01,関チョーサー株式会社,その他,求人なし,岐阜県関市肥田瀬345,1995,代表取締役 渡邉 隆子,10 百万円,,,,,
2024-08-01,株式会社建硝,その他,求人なし,埼玉県川口市大字安行領家1052-1,1974,代表取締役 沼田 憲昭,20 百万円,,,,,
2024-08-01,医療法人清和会,その他,求人なし,福岡県柳川市下宮永町523-1,1988,理事長 長田 英輔,611 百万円,,,,,
2024-08-01,北海水産株式会社,その他,求人なし,埼玉県川口市領家4-8-17,1966,代表取締役 武内 真理子,20 百万円,,,,,
2024-08-01,株式会社宝栄工業,その他,求人なし,福岡県柳川市上宮永町413,1979,代表取締役 待鳥 景子,35 百万円,,,,,
2024-08-01,伊藤鉄工株式会社,その他,求人なし,埼玉県川口市元郷3-22-23,1957,代表取締役 伊藤 暢宏,60 百万円,,,,,
2024-08-01,株式会社トーカイ,その他,求人なし,岐阜県中津川市千旦林200,1990,代表取締役 齊藤 隆,10 百万円,,,,,
2024-08-01,社会福祉法人学正会,特殊法人・財団法人・その他団体・連合会,求人なし,福岡県柳川市金納425,1965,理事 金納 學,"6,478 百万円",,,,,
2024-08-01,株式会社高野土木重機興業,その他,求人なし,北海道旭川市東鷹栖六線12,1990,代表取締役 高野 達也,10 百万円,,,,,
2024-08-01,中津川市森林組合,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県中津川市かやの木町2-3,2004,代表理事 磯貝 和人,92 百万円,,,,,
2024-08-01,有限会社岡野園芸,その他,求人なし,岡山県倉敷市児島味野4-6-8,1980,代表取締役 岡野 健二,10 百万円,,,,,
2024-08-01,株式会社タダノ,その他,求人なし,北海道旭川市東光五条4-2-20,1979,代表取締役 黒田 隆一,10 百万円,,,,,
2024-08-01,東美濃農業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県中津川市茄子川1646-19,1998,代表理事組合長 細江 成徳,"2,711 百万円",,,,,
2024-08-01,株式会社旭川振興公社,その他,求人なし,北海道旭川市七条通10-旭川市役所第2庁舎 6Ｆ,1960,代表取締役 赤岡 昌弘,10 百万円,,,,,
2024-08-01,株式会社昭和企画,その他,求人なし,埼玉県川口市川口2-13-19,1950,代表取締役 中村 友和,10 百万円,,,,,
2024-08-01,船田産業株式会社,その他,求人なし,岡山県倉敷市東塚6-5-1,1993,代表取締役 天野 忠芳,50 百万円,,,,,
2024-08-01,株式会社ｄｏｃｏ,放送・新聞・出版,求人なし,北海道旭川市九条通8-2486-21,1983,代表取締役 米内山 勝継,10 百万円,,,,,
2024-08-01,株式会社砂金本店,その他,求人なし,埼玉県川口市並木1-13-10,1951,代表取締役 砂金 雅之,10 百万円,,,,,
2024-08-01,大五興業株式会社,その他,求人なし,埼玉県川口市大字道合24-2,1969,代表取締役 川井 美加,20 百万円,,,,,
2024-08-01,株式会社ハラモク,建築設計事務所,求人なし,岐阜県中津川市駒場町1-78,1949,代表取締役 原 靖明,20 百万円,,,,,
2024-08-01,マルボシフーズ株式会社,その他,求人なし,福岡県嘉麻市熊ヶ畑2332-1,1998,代表取締役 髙田橋 寛,10 百万円,,,,,
2024-08-01,株式会社Ｍｏｃａｌ　Ｃｏｒｐｏｒａｔｉｏｎ,その他,求人なし,岡山県倉敷市玉島上成855-6,1997,代表取締役 岡部 大輔,5 百万円,,,,,
2024-08-01,矢島鋳工株式会社,その他,求人なし,埼玉県川口市並木2-9-2,1958,代表取締役 林 市太郎,49 百万円,,,,,
2024-08-01,岐阜県恵那生コンクリート協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,岐阜県中津川市茄子川1990-5,1974,代表理事 吉川 幸輝,5 百万円,,,,,
2024-08-01,株式会社山田商店,その他,求人なし,岐阜県中津川市太田町1-4-34,1990,代表取締役 山田 幸吉,10 百万円,,,,,
2024-08-01,有限会社渡辺レッカー,その他,求人なし,岐阜県中津川市落合26-138,1989,取締役 鈴木 順治,3 百万円,,,,,
2024-08-01,株式会社イワビシ,その他,求人なし,岐阜県中津川市苗木4586-50,1973,代表取締役 丸山 大知,40 百万円,,,,,
2024-08-01,株式会社斎忠土木,その他,求人なし,埼玉県川口市江戸1-9-20,1967,代表取締役 斎藤 忠,10 百万円,,,,,
2024-08-01,株式会社ハラダ,その他,求人なし,福岡県朝倉市小田2129,1975,代表取締役 羽野 修二,30 百万円,,,,,
2024-08-01,九州住宅工業株式会社,その他,求人なし,福岡県朝倉市屋形原314-1,1973,代表取締役 大隈 賢一郎,50 百万円,,,,,
2024-08-01,サンキョー株式会社,その他,求人なし,埼玉県川口市西青木4-1-3,1951,代表取締役 阿部 恭久,50 百万円,,,,,
2024-08-01,大蔵屋商事株式会社,その他,無,埼玉県川口市青木1-4-26,1976,代表取締役社長 植木 康守,17 百万円,,,,,
2024-08-01,株式会社三協製作所,その他,求人なし,岐阜県美濃市片知81-1,1969,代表取締役 猿渡 弘之,11 百万円,,,,,
2024-08-01,株式会社ベルテクノプラント工業,その他,求人なし,岐阜県美濃市須原650,1975,代表取締役 鈴木 洋,100 百万円,,,,,
2024-08-01,株式会社菊地機械製作所,その他,求人なし,埼玉県川口市朝日1-13-10,1942,代表取締役 菊地 浩久,20 百万円,,,,,
2024-08-01,株式会社タカイコーポレーション,その他,求人なし,岐阜県美濃市棚洞3189-1,1990,代表取締役 岩田 誠,10 百万円,,,,,
2024-08-01,有限会社吉原エンジニアリング,その他,求人なし,岡山県倉敷市水島川崎通1-1川鉄物流ビル 106,1993,代表取締役 吉原 健夫,5 百万円,,,,,
2024-08-01,筑前あさくら農業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,福岡県朝倉市甘木221-1,1994,代表理事 深町 琴一,"3,851 百万円",,,,,
2024-08-01,株式会社大瀬化成,その他,求人なし,岐阜県美濃市乙狩1473-1,1987,代表取締役 瀬口 弘樹,12 百万円,,,,,
2024-08-01,株式会社瀬戸内菱光,その他,求人なし,岡山県倉敷市連島町鶴新田2293-1,1992,代表取締役 富樫 英一,30 百万円,,,,,
2024-08-01,医療法人福嶋医院,その他,求人なし,福岡県朝倉市三奈木3111-2,2014,理事長 福嶋 正孝,33 百万円,,,,,
2024-08-01,弘友設備工業株式会社,住宅設備・建材,求人なし,北海道旭川市旭町二条5-12-198,1980,代表取締役 長谷川 充,20 百万円,,,,,
2024-08-01,株式会社九州発破工事,その他,求人なし,福岡県朝倉市下渕397-1,1986,代表取締役 渡邉 尚哉,10 百万円,,,,,
2024-08-01,昭栄建設株式会社,その他,求人なし,北海道旭川市神楽岡十五条5-814-84,1978,代表取締役 佐々木 端,20 百万円,,,,,
2024-08-01,株式会社東光設備,その他,求人なし,北海道旭川市永山十三条2-2-16,1981,代表取締役 藏田浩貴,20 百万円,,,,,
2024-08-01,だいりき産業株式会社,その他,求人なし,北海道旭川市東光一条1-2-12,1985,代表取締役 古屋 薫,10 百万円,,,,,
2024-08-01,株式会社昌和,その他,求人なし,埼玉県川口市青木4-18-5,1978,代表取締役 九里 順子,13 百万円,,,,,
2024-08-01,株式会社研電,その他,求人なし,岡山県倉敷市粒浦3-10,1996,代表取締役 田中 大己,12 百万円,,,,,
2024-08-01,社会福祉法人クムレ,特殊法人・財団法人・その他団体・連合会,求人なし,岡山県倉敷市栗坂8,1956,理事長 財前 民男,"1,724 百万円",,,,,
2024-08-01,美濃酪農農業協同組合連合会,特殊法人・財団法人・その他団体・連合会,無,岐阜県美濃市生櫛472,1962,代表理事 朝日 修,449 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■牛乳、乳飲料、発酵乳、菓子類等の製造販売■生乳の販売■飼料、酪農機材器具の販売■乳質改善事業、乳群改良事業、酪農ヘルパー事業 2023年2月doda掲載求人より引用,
2024-08-01,株式会社ダイヤモンドマーク,その他,求人なし,埼玉県川口市芝下2-16-1,1976,代表取締役 間野 旭,30 百万円,,,,,
2024-08-01,渡邉金属運輸株式会社,その他,無,栃木県小山市大字犬塚32,1962,代表取締役 渡邉 英一,60 百万円,,,,,
2024-08-01,株式会社マルイ,その他,求人なし,岡山県倉敷市児島下の町10-376-152,1987,代表取締役 香川 昇三,10 百万円,,,,,
2024-08-01,株式会社千代田技研,その他,求人なし,埼玉県川口市大字安行原162-1,1977,代表取締役 日野 利則,10 百万円,,,,,
2024-08-01,社会福祉法人みゆき会,特殊法人・財団法人・その他団体・連合会,求人なし,岡山県倉敷市幸町8-27,1988,理事長 浅野 弘孝,400 百万円,,,,,
2024-08-01,株式会社明晃,その他,求人なし,岡山県倉敷市福田町浦田501-162,1986,代表取締役 篠原 良介,10 百万円,,,,,
2024-08-01,株式会社大正興業,その他,求人なし,北海道旭川市工業団地四条1-2-7,1985,代表取締役 山口 洋平,10 百万円,,,,,
2024-08-01,株式会社由加屋,その他,求人なし,岡山県都窪郡早島町早島4529,1986,代表取締役 大西 竜市,10 百万円,,,,,
2024-08-01,株式会社ヤマショウフーズ,その他,無,埼玉県上尾市日の出2-8-5,1978,代表取締役 山田 和弘,50 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■鶏肉の加工処理・販売事業(全国9拠点)■物流・運送事業(雑貨・チルド食品)■飲食事業(埼玉県内に6店舗展開) 2022年12月doda掲載求人より引用,
2024-08-01,白木運送有限会社,その他,求人なし,福岡県筑後市大字長浜1583-1,1955,代表取締役 黒木 正史,6 百万円,,,,,
2024-08-01,株式会社末広ボデー,その他,求人なし,北海道旭川市末広一条9-1-29,1970,代表取締役 佐々木 浩一,36 百万円,,,,,
2024-08-01,株式会社武田建商,その他,求人なし,北海道旭川市神居五条11-1-16,1983,代表取締役 武田 信克,10 百万円,,,,,
2024-08-01,医療法人社団慶仁会,その他,求人なし,福岡県八女市津江538,1991,理事長 川崎 裕司,"1,200 百万円",,,,,
2024-08-01,株式会社フジワラケミカルエンジニアリング,その他,無,岡山県倉敷市福江7-1,1989,代表取締役 杉本 剛久,15 百万円,,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 樹脂の精密加工、半導体製造装置、塩ビ処理槽の溶接組立などを総合的に行っています。部品単体から装置、カバー、アクリル加工、塩ビダクト製作など幅広く対応しています。 2021年8月doda掲載求人より引用,
2024-08-01,株式会社丸新,内装・インテリア・リフォーム,求人なし,岐阜県瑞浪市稲津町萩原1213-3,1978,代表取締役 塚本 哲也,60 百万円,,,,,
2024-08-01,株式会社エイペックスジャパン,その他,求人なし,北海道旭川市忠和四条2-1-7,1992,代表取締役 柳口 恵,10 百万円,,,,,
2024-08-01,福岡八女農業協同組合,特殊法人・財団法人・その他団体・連合会,求人なし,福岡県八女市本村420-1,1996,代表理事組合長 野中 公彦,"3,739 百万円",,,,,
2024-08-01,医療法人社団杏仁会,その他,求人なし,北海道旭川市永山三条7-1-5,2001,理事長 尾崎 信彦,92 百万円,,,,,
2024-08-01,有限会社後藤掘削工業,その他,求人なし,北海道旭川市忠和八条4-4-43,1992,代表取締役 後藤 孝之,3 百万円,,,,,
2024-08-01,株式会社サンフロロ,その他,求人なし,埼玉県川口市東本郷1-8-7,1984,代表取締役 吉原 俊夫,20 百万円,,,,,
2024-08-01,興和瀬戸内コンクリート株式会社,その他,求人なし,岡山県倉敷市南畝2-71-4,1977,代表取締役 浅田 耕祐,20 百万円,,,,,
2024-08-01,株式会社アンビエンテ丸大,その他,求人なし,北海道旭川市神居町共栄493-1,1989,代表取締役 西野尾 孝子,60 百万円,,,,,
2024-08-01,株式会社南海,その他,求人なし,岡山県倉敷市水島西千鳥町1-25,1967,代表取締役 田中 安彦,15 百万円,,,,,
2024-08-01,有限会社かねやす,その他,求人なし,埼玉県川口市東領家1-14-15,1985,代表取締役 清水 重芳,3 百万円,,,,,
2024-08-01,日電サービス株式会社,その他,求人なし,岡山県倉敷市中島2020,1978,代表取締役 竹内 輝夫,10 百万円,,,,,
2024-08-01,埼京化成株式会社,その他,求人なし,埼玉県蕨市塚越3-13-15,1987,代表取締役 久津 岡浩,10 百万円,,,,,
2024-08-01,セントラルインターナショナル株式会社,その他,求人なし,埼玉県川口市末広1-11-2セントラルグループ本社ビル,1971,代表取締役 田中 德兵衞,95 百万円,,,,,
2024-08-01,イヅミック株式会社,その他,求人なし,岡山県倉敷市福江547-6,1977,代表取締役 岡田 光司,40 百万円,,,,,
2024-08-01,大高電器株式会社,その他,求人なし,岡山県倉敷市西富井1289-8,1975,代表取締役 井上 照子,10 百万円,,,,,
2024-08-01,公益財団法人大原芸術財団,特殊法人・財団法人・その他団体・連合会,求人なし,岡山県倉敷市中央1-1-15,1935,代表理事 大原 あかね,,,,,,
2024-08-01,岡山県西部生コン協同組合,その他,求人なし,岡山県倉敷市玉島乙島54,1981,代表理事 富樫 一清,6 百万円,,,,,
2024-08-01,丸勝南谷建設株式会社,その他,求人なし,岐阜県羽島市小熊町東小熊3393-2,1973,代表取締役 南谷 義司,27 百万円,,,,,
2024-08-01,株式会社ジャスト,その他,求人なし,岡山県倉敷市児島上の町1-8-8,1998,代表取締役 酒井 一貴,10 百万円,,,,,
