更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社内田商店,サブコン,求人なし,静岡県浜松市中央区米津町524,1982,代表取締役 内田 大,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,丸善建設株式会社,建築設計事務所,求人なし,岐阜県各務原市川島松倉町2370-15,1994,代表取締役 青木堅悟,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アイプランニング,不動産金融,求人なし,京都府京都市伏見区醍醐御陵西裏町23,1990,代表取締役 石井 聡,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,洛陽工業株式会社,サブコン,求人なし,京都府京都市伏見区小栗栖北谷町86-4,1987,代表取締役 笹田 秀治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関西ビルサービス株式会社,設備管理・メンテナンス,求人なし,京都府京都市南区吉祥院中河原西屋敷町43,1979,代表取締役 山極 学,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社竹村商会,サブコン,求人なし,京都府京都市中京区蛸薬師通御幸町西入蛸屋町157,1979,代表取締役 竹村 慎吾,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社豊和商事,不動産仲介,求人なし,京都府京都市山科区竹鼻竹ノ街道町50-2,1971,代表取締役 木村 孝宣,65 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,近畿環境サービス株式会社,サブコン,無,京都府京都市伏見区下鳥羽東芹川町50環協グループ,1982,代表取締役 今井 亨,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,総合管財株式会社,不動産仲介,求人なし,兵庫県神戸市中央区中山手通2-10-20リュウセイビル 2Ｆ,1991,代表取締役 山本 隆夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ケージーアイ,設備管理・メンテナンス,無,兵庫県神戸市中央区下山手通2-13-3建創ビル 5Ｆ,1983,代表取締役 角田 孝行,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 防犯、防災警報機器の販売、取付工事及び保守点検、損害保険代理店(東京海上日動) 2022年8月doda掲載求人より引用
2024-08-01,株式会社エイチエム,内装・インテリア・リフォーム,求人なし,大阪府大阪市西成区天下茶屋3-6-12,1995,代表取締役 脇長 敬治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社カズコーポレーション,不動産仲介,無,兵庫県尼崎市立花町1-14-17,1996,代表取締役 岡 洋一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,1. 不動産の売買、賃貸業並びに不動産仲介業2. 不動産の所有並びに管理及びコンサルタント業3. 土木工事業、建築工事並びに設計、施工4. 損害保険代理業、少額短期保険代理店業務5. 住宅リフォーム業6. 住宅リノベーション業7. 前各号に付帯関連する一切の業務 2024年5月doda掲載求人より引用
2024-08-01,有限会社ヤマト,設備管理・メンテナンス,求人なし,兵庫県尼崎市東園田町9-9-1ナイトービル 201,1998,代表取締役 田岡 淳次,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
