更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-07-01,株式会社島田設計コンサルタント,建設コンサルタント,1,■事業内容： 測量・設計・調査■ビジョンお客様の要望を速やかにキャッチし、誠意をもって業務を遂行できるよう一層の努力をし、皆様に愛される建設コンサルタントを目指しております。■組織風土： なんといっても我が社の自慢はチームワークが良いことです。オフィスは、いつもにぎやかな雰囲気です。40歳代の社長を筆頭に若手20歳代から上は70歳代の熟練技術者まで、みんなが和気あいあいと雑談して、お互いに声を掛け合うことが当たり前の光景です。このようにコミュニケーションを大切にする姿勢は、会社全体に浸透しています。測量現場も課を問わずに人員を整えて、円滑な業務を行っています。,宮崎県延岡市大貫町6-150,1962,,25,10百万円,https://shimada-consultant.com/index.html,,
2024-07-01,株式会社旭総合コンサルタント,建築設計事務所,1,■事業内容： ・測量業・公共事業に伴う補償に関するコンサルタント業・建築設計、積算並びに構造計算業務・不動産鑑定業■経営理念： 1.顧客のニーズに応える為、誠意をもって業務を遂行する。2.全従業員で連携を密にし、技術の向上を目指し信頼される良質の製品・サービスを提供。3.常に新技術に挑戦し、最高の技術を確保する。,宮崎県都城市安久町6338-5,1976,,50,10百万円,https://www.asahi-so-go-con.com/,,
2024-08-01,株式会社和建設計事務所,建築設計事務所,18,■事業内容：・河川、砂防施設整備事業の調査、計画、設計・公園、道路、橋梁、下水道 その他一般土木施設整備事業の調査、計画、設計,東京都新宿区西新宿3-2-11新宿三井ビル2号館7F,1971,35.0,55,30百万円,http://www.wsnet.co.jp/,,
2024-06-01,有限会社脇本電気工事,住宅設備・建材,1,■会社の特徴：・生活インフラの1つである電気工事・空調設備工事を生業として、地域に根差した事業展開を行っております。太陽光発電システム、エコキュートやオール電化・工場の電気設備案件に至るまで、様々な商品、案件に対応できることが強みで、常に地元のお客様から安定した案件受注をいただいております。将来的には事業拡大に伴う公共案件への参入も検討しており、成長性も見込めます。・今後についても、地元の皆様の生活インフラを陰で支える立場として、常に顧客志向で事業を進めて参りたく考えています。ご入社いただきましたら、事業の拡大や多様化するニーズに適応できる会社作り・技術向上に貢献をいただきたいです。,岡山県倉敷市中島2584,2006,,7,3百万円,https://wakiden-kurashiki.com/,,
2024-08-01,株式会社ユニマット不動産,不動産仲介,7,"■事業内容：グループ売上高約1,500億円「ユニマットグループ」の総合不動産会社です。〇プロパティマネジメント事業〇ビルメンテナンス事業 〇仲介事業 〇駐車場事業 〇トランクルーム事業 ○内装工事業",東京都港区南青山2-12-15ユニマット外苑ビル9F,2000,39.0,30,20百万円,https://www.unimatrealty.co.jp/,,
2024-07-01,株式会社木の花ホーム,住宅（ハウスメーカー）,2,■事業内容： 栃木県を中心に木造注文住宅の設計・施工・販売を行っています。同社の家造りは「高品質」「低価格」はもちろん、お客様へ引き渡し後の「アフター」までしっかりとした「保証体制」で臨みます。「家は建てるだけのものじゃない」同社が掲げる木造注文住宅への「こだわり」のすべてが、木の花ホームが示す『家づくり』なのです。,栃木県栃木市西方町本城62-3,1992,,53,50百万円,http://www.konohanahome.com/,,
2024-07-01,有限会社　ビルチェック,建築設計事務所,5,■事業内容：総合設備設計事務所として、電気設備･給排水衛生設備・空調設備全般にわたり「環境への配慮、省エネ性、安全性、機能性」を考慮し、お客様の期待と要望にお応えできるよう確かな知識と技術を持って誠実に対応しています。建築設備においては、各種補助金・助成金をお客様が有効に活用できる設計を行っています。これまで培った経験・技術を駆使し、よりよい住環境を創造していきます。,奈良県大和郡山市城北町5-47,1997,,9,3百万円,http://www.bilcheck.com/index.html,,
2024-08-01,千葉エンジニアリング有限会社,サブコン,2,■事業内容：土木・舗装・造園工事の設計、施工、管理業務,神奈川県横浜市保土ケ谷区西谷3-21-7アバンテビル 3F,2002,53.0,5,10百万円,http://www.chiba-e.com/,,
2024-08-01,ティ・エム設計株式会社,建設コンサルタント,3,■事業内容： 土木設計、測量、各種構造物調査、土地家屋調査士事務所※これまで代表者1名、パート4名でパートさんと共に事業を行ってまいりました。この度事業拡大につき正社員の募集となります。＜土木設計＞官公庁から発注される公共施設（河川・砂防・道路・治山）の設計業務を行っています。＜測量＞官公庁から発注される各種測量業務（基準点測量・地形測量・縦横断測量・用地測量）を行っています。＜各種構造物調査＞官公庁から発注される橋梁点検、トンネル点検、各種構造物（河川構造物・砂防構造物・道路構造物等）を行っています。,滋賀県彦根市蓮台寺町343-3,2002,,1,5百万円,なし,,
2024-08-01,株式会社四国ビルメンテック,設備管理・メンテナンス,1,当社はオフィスビルや商業施設の清掃・メンテナンス事業を行う会社です。■事業概要：・清掃業務：オフィスビルや商業施設を対象に日常清掃をはじめ、定期清掃、 高所ガラス清掃等の特別清掃、外壁清掃、フィルター清掃、 エアコンの分解洗浄、エレベーターの保守メンテナンス等、幅広く対応しております。・環境衛生業務：貯水槽の清掃・管理・修繕や 空気環境の測定、害虫防除、グリストラップ清掃等の対応を行い、常に衛生的で快適な環境づくりに貢献いたします。,香川県高松市春日町679-4,1999,,9,10百万円,https://sbm-cs.co.jp/,,
2024-06-01,株式会社アンドエス,内装・インテリア・リフォーム,2,■事業内容：総合建設業、店舗企画、設計、施工別注家具、製作■同社の特徴：主にカフェやダイニングレストランなど、店舗や空間の施工を事業としている会社です。飲食店を経営している企業と取引しており、高いデザイン性を強みとしています。,大阪府東大阪市七軒家19-45,2004,,17,20百万円,http://and-s.co.jp/,,
2024-06-01,藤原環境株式会社,サブコン,1,■事業内容： ・一般廃棄物および産業廃棄物収集運搬処理業・ガソリンスタンド業・一般建設業（土木工事、石工事、鋼構造物工事、舗装工事、水道施設工事等）,大阪府泉北郡忠岡町忠岡北1-6-8,2004,,30,10百万円,なし,,
2024-08-01,青山株式会社,不動産仲介,3,■事業内容：当社は在日中国人にとって信頼できるブランドに影響力のあるビジネスパートナーであり、在日中国人向けにカスタマイズされた独占的なサービスを提供いたします。2021年の第1四半期の時点で、合計100万人以上のユーザーにサービスを提供いたしました。,東京都新宿区西新宿3-7-30フロンティアグラン西新宿902,2013,,3,,https://aym.co.jp/,,
