更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社アイシン,住宅設備・建材,求人なし,大阪府高槻市梶原中村町5-1,1973,代表取締役 林 浩成,98 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社高木工業所,設備管理・メンテナンス,求人なし,大阪府高槻市城西町11-16,1968,代表取締役 髙木 祐樹,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社東和製作所,住宅設備・建材,無,大阪府高槻市唐崎北3-37-1,1976,代表取締役 宮原 明雄,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 建築用金物（セパレーター）の製造・販売／建築資材全般の卸販売 2022年11月doda掲載求人より引用
2024-08-01,株式会社小林工務店,住宅（ハウスメーカー）,求人なし,大阪府高槻市辻子3-75-7,1984,代表取締役 二見 辰伯,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本都市開発株式会社,不動産管理,無,東京都大田区蒲田4-22-15ふじビル 2Ｆ,1993,代表取締役 冨倉 太,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■不動産総合コンサルタント■貸宅地の管理■資産運用アドバイス業務 2023年8月doda掲載求人より引用
2024-08-01,株式会社土屋,住宅（ハウスメーカー）,無,大阪府高槻市芥川町2-18-6,1987,代表取締役 土屋 宏文,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,山吉工業株式会社,ゼネコン,求人なし,大阪府豊中市日出町2-1-27,1974,代表取締役 山崎 宏行,52 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社明豊ハウジング,不動産仲介,求人なし,東京都台東区上野6-1-6御徒町グリーンハイツ上野シックスロード 103,1995,代表取締役 宮本 芳成,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三善工業株式会社,プラントメーカー・プラントエンジニアリング,求人なし,大阪府大阪市淀川区西中島3-10-12サムティ西中島ビル 8Ｆ,1974,代表取締役 保田 英司,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社行武電機,設備管理・メンテナンス,無,東京都大田区西馬込1-2-10,1971,代表取締役 行武 義人,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大起工業株式会社,サブコン,求人なし,大阪府高槻市野見町4-16,1982,代表取締役 藤田 史郎,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サガミ,内装・インテリア・リフォーム,求人なし,東京都大田区蒲田3-3-20サガミビル,1977,代表取締役 渡部 一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社イワサ電気,住宅設備・建材,無,大阪府高槻市名神町3-16,1995,代表取締役 岩浅 浩晃,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■電気通信工事業 ■電気工事業 ■土木工事業 ■とび・土工工事業 ■鋼構造物工事業 2021年8月doda掲載求人より引用
2024-08-01,株式会社クリーンサポート,設備管理・メンテナンス,無,東京都荒川区東日暮里5-32-10月安第二ビル 7Ｆ,2001,代表取締役 大山 浩樹,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社菊池電設,設備管理・メンテナンス,求人なし,東京都大田区東矢口2-4-18メゾン・ド・アンフィニ 1Ｆ,1993,代表取締役 菊池 盛夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,カネコ興発株式会社,不動産仲介,求人なし,東京都大田区上池台2-33-5,1971,代表取締役 小林 雅尚,11 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サンユー開発,ゼネコン,求人なし,大阪府茨木市郡4-2-24,1987,代表取締役 大島 隆夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大伸開発株式会社,不動産仲介,無,大阪府高槻市郡家本町12-1大伸ビル 3Ｆ,1986,代表取締役 皇甫 澄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大昌,サブコン,求人なし,東京都大田区仲池上1-7-9,1967,代表取締役 渡辺 政弥,14 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,植松建設株式会社,建築設計事務所,求人なし,東京都大田区南久が原2-19-29,1976,代表取締役 植松 孝徳,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社丸菱,内装・インテリア・リフォーム,求人なし,東京都大田区千鳥2-39-5,1978,代表取締役 渡邉 啓介,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,タイホーハウジング株式会社,不動産管理,求人なし,大阪府高槻市明野町39-13,1990,代表取締役 林 英司,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,住光建設株式会社,サブコン,求人なし,大阪府高槻市城北町1-5-25ＦＪＹビル 1Ｆ,1998,代表取締役 能間 英明,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,サンキ工業株式会社,設備管理・メンテナンス,求人なし,大阪府高槻市土室町29-1,1984,代表取締役 森 浩平,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サンライフホームサービス,住宅（ハウスメーカー）,求人なし,大阪府高槻市富田町2-1-21,1984,代表取締役 田中 末弘,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,共同通信電設株式会社,設備管理・メンテナンス,無,東京都世田谷区代沢4-1-2,1969,代表取締役 服部 一男,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■下記各種システム等の販売及び設計・施工・保守管理業務■下記各号に附帯する一切の業務・音響システム・ＩＴＶ映像システム・テレビ共聴システム・電話・インターホンシステム・ナースコールインターホン・セキュリティシステム・電気時計 2021年12月doda掲載求人より引用
2024-08-01,株式会社大明建設,建築設計事務所,求人なし,東京都世田谷区奥沢5-28-10,1964,代表取締役 田中 継明,300 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サウンドシステム,サブコン,無,東京都世田谷区太子堂1-4-24萩藤ビル 2Ｆ,1966,代表取締役 渡邉 隆司,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■AV・ICTシステム（音響・映像、制御管理）・防犯カメラシステム企画・設計・制作・施工・管理・メンテナンス■AV・ICTシステムのコンサルティング業務■映像配信システム・遠隔会議・講義システム企画・設計・制作・施工・管理■デジタル・サイネージ企画施工■タッチパネル、AV・ICTシステムコントロール企画開発■各種ソフトウェア・コンテンツ企画・開発・制作■建築付帯設備の設計・工事監理 2023年12月doda掲載求人より引用
2024-08-01,レイモンド不動産株式会社,不動産仲介,求人なし,東京都世田谷区成城2-33-15レイモンドビル 1Ｆ,1962,代表取締役 大島 まや,64 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,関東電設株式会社,設備管理・メンテナンス,求人なし,東京都世田谷区尾山台3-5-3アルハンブラ尾山台 1Ｆ,1961,代表取締役 宮原 茂,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社吉岡電化サービス,住宅設備・建材,求人なし,大阪府高槻市東和町1-16,1976,,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ダイイチ,ゼネコン,無,東京都世田谷区喜多見5-1-7,2010,代表取締役 谷中 万里子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ○X線、RCレーダーによるコンクリート内部調査○とび土木工事及び管工事○鉄筋コンクリートの孔あけ及び切断工事○アンカーボルト打設工事○鉄筋コンクリート構造物の解体工事○上記以外の構造物解体工事 2022年3月doda掲載求人より引用
2024-08-01,有限会社みのりや,内装・インテリア・リフォーム,求人なし,東京都世田谷区南烏山5-12-9グローリィセブンナガイビル 101,1961,代表取締役 樋野 竜彦,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,長谷川設備工業株式会社,建築設計事務所,無,東京都世田谷区池尻3-25-17,1966,代表取締役 長谷川 利明,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社高橋組興業,サブコン,求人なし,東京都世田谷区喜多見7-27,1966,代表取締役 高橋 利明,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,阿佐建築工務株式会社,ゼネコン,無,大阪府高槻市京口町8-7シティコーポ京口 1Ｆ,1964,代表取締役 阿佐 泰一郎,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社蛭田植物園,サブコン,求人なし,東京都世田谷区北沢5-1-4Ａ,1953,代表取締役 蛭田 佐智子,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,上中産業株式会社,住宅設備・建材,無,大阪府高槻市緑が丘1-3-8,1966,代表取締役 上中 治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,浪速商事株式会社,不動産仲介,求人なし,大阪府高槻市安岡寺町1-16-3,1969,代表取締役 松本 栄志,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,太陽エンジニヤ株式会社,設備管理・メンテナンス,求人なし,大阪府高槻市大塚町5-4-9,1972,代表取締役 河合 一人,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,白本電気工事株式会社,設備管理・メンテナンス,求人なし,大阪府高槻市大畑町23-6,1972,代表取締役 白本 淳子,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ジョスコム,ゼネコン,求人なし,東京都世田谷区船橋6-5-19,1971,代表取締役 川上 一三,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
