更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,ディーデザイン株式会社,建築設計事務所,求人なし,,大阪府大阪市西区阿波座1-4-4野村不動産四ツ橋ビル,1980,代表取締役 田井 紀行,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社プロスタイル,建設・プラント・不動産業界,求人なし,,三重県伊勢市岩渕2-5-37,2004,代表取締役 木山 幸宏,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新田水道,設備管理・メンテナンス,求人なし,,奈良県奈良市神功3-7-25,1973,代表取締役 新田 晋也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社石吉組,ゼネコン,求人なし,,三重県志摩市阿児町鵜方1233,1962,代表取締役 橋爪 吉生,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社林不動産,不動産仲介,求人なし,,愛知県名古屋市守山区森宮町53,1972,取締役 林 政輝,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社梅田工務店,ゼネコン,求人なし,,奈良県奈良市西大寺国見町3-3-25,1987,代表取締役 梅田 宗春,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サガテクノ,住宅設備・建材,求人なし,,京都府京都市右京区嵯峨中山町35-1,1987,代表取締役 妹尾 和正,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社紀陽商会,設備管理・メンテナンス,求人なし,,神奈川県横浜市都筑区中川5-40-31,1986,代表取締役 嶋田 洋三,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社栄林建設,ゼネコン,無,,奈良県奈良市菅原町268-10,1988,代表取締役 髙田 寿雄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ドゥサイエンス,設備管理・メンテナンス,求人なし,,東京都港区六本木4-1-16六本木ハイツ 511,1986,代表取締役社長 大﨑 健至,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社マイホーム日建,不動産仲介,求人なし,,大阪府大阪市中央区上本町西5-1-10,1985,代表取締役 中村 保生,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社愛工油化設備工業所,設備管理・メンテナンス,求人なし,,愛知県名古屋市守山区西川原町226,1988,取締役 加藤 彰,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日積設計監理株式会社,建築設計事務所,求人なし,,大阪府大阪市西区京町堀1-10-8福岡ビル 104,1981,代表取締役 藪野 芳隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社巴山通信,設備管理・メンテナンス,求人なし,,兵庫県神戸市兵庫区中道通9-1-7,1989,代表取締役 巴山 正人,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,太洋エンジニアリング株式会社,建築設計事務所,無,,大阪府大阪市中央区瓦町2-3-10瓦町中央ビル 4Ｆ,1983,代表取締役 池上 博明,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ヤマト商行株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市西区西本町1-13-20,1978,代表取締役 別宮 仁明,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アルファー通信,住宅設備・建材,求人なし,,大阪府大阪市西区江之子島2-2-11,1997,代表取締役 島田 潔,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社住,不動産仲介,求人なし,,奈良県奈良市学園北1-3-2,1992,代表取締役 鈴木 守,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アーキネット,住宅（ハウスメーカー）,求人なし,,奈良県奈良市大安寺2-8-1,1991,代表取締役 向井 克隆,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ひまわり塗装株式会社,内装・インテリア・リフォーム,求人なし,,兵庫県神戸市兵庫区荒田町2-15-17,1994,代表取締役 藤之原 和郎,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,岩崎造園株式会社,サブコン,求人なし,,神奈川県横浜市都筑区牛久保東1-12-10,1976,代表取締役 岩崎 忠幸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社クワイス,住宅設備・建材,無,,愛知県名古屋市守山区小幡太田16-22ライムヴィラ 203,1994,取締役 清水 佐知郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ノアデザインインク,ディベロッパー,求人なし,,東京都港区虎ノ門3-23-15大手第二ビル 4Ｆ,1993,代表取締役 小玉 修,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アスカ電工,サブコン,求人なし,,奈良県奈良市六条2-20-35,1987,代表取締役 和田 敬司,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社安井秀夫アトリエ,建築設計事務所,求人なし,,東京都新宿区中落合3-12-4,1988,代表取締役 安井 秀夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社タミー・コーポレーション,不動産仲介,求人なし,,大阪府大阪市北区曾根崎新地2-2-6,1990,代表取締役 志水 讓二,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社木村住建,サブコン,求人なし,,愛知県名古屋市守山区新守山1913,1998,代表取締役 木村 義弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社環境美装,設備管理・メンテナンス,求人なし,,東京都港区北青山1-3-6ＳＩビル青山 5Ｆ,1993,代表取締役 関口 晃弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アビール,ディベロッパー,求人なし,,兵庫県尼崎市玄番北之町1-141,1998,代表取締役 横山 博之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社オー・エヌ・イー,設備管理・メンテナンス,求人なし,,京都府京都市右京区嵯峨野秋街道町13-3,2000,代表取締役 内藤 克敏,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社堀木エリ子アンドアソシエイツ,内装・インテリア・リフォーム,求人なし,,京都府京都市右京区太秦森ケ前町18ヴィラ太秦 1Ｆ,2000,代表取締役 堀木 エリ子,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ジャック,建築設計事務所,求人なし,,愛知県名古屋市天白区保呂町603,1993,代表取締役 森野 雅憲,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社新都市二十一,建設コンサルタント,求人なし,,奈良県奈良市二条大路南1-2-7松岡ビル 2Ｆ,1976,代表取締役 榮長 文之助,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社八秀,建築設計事務所,求人なし,,愛知県尾張旭市大塚町3-7-9,1996,代表取締役 林 亮,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アルスデザインアソシエイツ株式会社,建築設計事務所,求人なし,,東京都港区麻布台2-2-1麻布台ビル南館 5Ｆ,1991,,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社セラテック青木,住宅設備・建材,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■建築・内装・リフォーム業・タイル工事・レンガ工事・テラコッタ工事 2022年1月doda掲載求人より引用,大阪府大阪市西区川口4-1-7タカトクビル 3Ｆ,1995,代表取締役 青木 慎介,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アークビル株式会社,不動産仲介,求人なし,,大阪府大阪市西区北堀江1-1-15堀江新ビル 33,1993,代表取締役 鎌苅 剛,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ディ・オーホールディングス,建築設計事務所,求人なし,,兵庫県神戸市兵庫区中道通3-3-1ＮＯＡビル,2015,代表取締役 野瀬 一吉,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社北斗工業,内装・インテリア・リフォーム,求人なし,,神奈川県横浜市港北区綱島西6-6-13,1979,代表取締役 斗光 良介,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ライム商会,内装・インテリア・リフォーム,求人なし,,神奈川県横浜市中区元町5-198,1987,代表取締役 依田 宇弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エイユツール,設備管理・メンテナンス,求人なし,,兵庫県神戸市西区北別府2-15-3,1999,代表取締役 上阪 裕之,11 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ハーツ,サブコン,求人なし,,愛知県名古屋市守山区森孝2-707,1993,代表取締役 堀好髙,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アルベック,不動産仲介,求人なし,,大阪府大阪市中央区安堂寺町2-2-11ＮＴビル 7Ｂ,1987,代表取締役 明石 貴和子,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コーケン,設備管理・メンテナンス,求人なし,,愛知県名古屋市守山区天子田1-806,1984,代表取締役 餅原 幹也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社古尾工務店,内装・インテリア・リフォーム,無,,奈良県奈良市大安寺西3-7-14,1988,代表取締役 古尾 貴志,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社横浜都市みらい,不動産管理,求人なし,,神奈川県横浜市都筑区荏田東4-10-4,1989,代表取締役 椿 真吾,850 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＴＢＳサンワーク,設備管理・メンテナンス,求人なし,,東京都港区赤坂5-4-7ＴＨＥ ＨＥＸＡＧＯＮ 4Ｆ,1990,代表取締役 岩田 栄一,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
