更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者
2024-06-01,リブラフ株式会社,不動産仲介,2,■事業内容：・投資用不動産の売買、仲介 →ワンルームマンションの仕入れを専門で行っています。■顧客視点を重視し、お客様の理想とする不動産の購入・売却の一番の相談役として心掛けております。■当社は自社買取から仲介業全般をおこなっております。・自社で買い取り土地もしくは建物建設後販売・お客様⇒お客様へ仲介・お客様⇒業者へ仲介・業者⇒業者へ仲介など様々です。,埼玉県志木市柏町4-1-12,2013,,,50百万円,http://live-l.co.jp/,
2024-07-01,株式会社東宝ハウスホールディングス,不動産仲介,1,・不動産経営コンサルタント業・総合経理代行業・システムインテグレーション業・不動産売買仲介,東京都新宿区西新宿2-6-1 新宿住友ビル29F,1976,,641,【単独】2000万円 【グループ全体】3億1000万円,https://thg.ne.jp/,代表者 佐井川 稔
2024-08-01,株式会社フカサワ,サブコン,2,■事業内容： 土木一式工事、建築一式工事、電気一式工事、管工事、舖装工事、上下水道施設工事、造園工事、太陽光発電システム設置、オール電化業務、不動産業務、天然水宅配事業,山梨県北杜市須玉町藤田363-1,1976,,13,20百万円,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社エコグリーン,サブコン,1,■事業内容のり面緑化工事（崩落防止及び緑化工事など）■営業品目吹付緑化工事・植物誘導吹付工事・湛水のり面工事(ダム・湖緑化)・スタンドドライブ(ＳＤ)工事(ロックボルト)・法枠工事・簡易法枠工事・モルタルコンクリート吹付工事・ロックネット工事・種子吹付工事・空石積モルタル注入工事・セーフティークライマー工事（斜面機械掘削整形）,高知県南国市東崎791-1,2006,,14,10百万円,http://ecogreen-k.com/,
2024-08-01,ペーパレススタジオジャパン株式会社,建設コンサルタント,8,■事業内容： ・BIMパートナーサービス・BIMデータマネージメントサービスペーパレススタジオジャパンは建築業務のIT化および効率化を推進する会社です。導入コンサルティング事業、プラットフォーム事業、教育事業、受託事業などを通じて、多角的にBIMの普及に努めています。,東京都港区赤坂2-9-11オリックス赤坂2丁目ビル10F,1998,,13,87百万円,https://www.paper-less-studio.net/toplp/,
2024-05-01,株式会社ミマステクノシステム,住宅設備・建材,2,■事業内容： ・電気設備工事 ・空調設備工事 ・換気設備工事・消防施設工事 ・太陽光設備工事・ 防犯システム工事 ・通信システム工事■代表挨拶：当社は、昭和５５年の創業以来、福岡市を中心に民間及び官公庁の電気設備に係る設計施工の実績を積んでまいりました。これも偏にお客様ならびに関係各社のご支援の賜と感謝いたしております。 安心、安全、高い技術力で、お客様に信頼される会社であることを目標にこれまで以上に意識向上に努め、より良いサービスの提供を追求してまいります。今後ともどうぞ変わらぬご愛顧のほど、よろしくお願い申し上げます。,福岡県福岡市南区花畑2-6-8,1980,,11,10百万円,http://www.mimasu-ts.co.jp/,
2024-06-01,株式会社エネ・グリーン,建設コンサルタント,12,■事業内容： ・建築設備設計 建築設計・省エネルギー計算 CASBEE支援 各種計算業務・特殊建築物・建築設備の定期点検業務,広島県広島市南区稲荷町4-1,1999,,142,28百万円,http://www.enegreen.co.jp/,
2024-07-01,株式会社興栄電気,住宅設備・建材,2,■事業内容： 商業施設、マンション、物流センター、工場・倉庫、福祉施設等の電気設備工事の設計、施工管理や各種施設の新築工事、改修工事、リニューアル工事等の大規模工事まで幅広く行っております。 ・屋内・屋外電気設備工事設計施工・電気通信設備工事設計施工・消防設備工事設計施工・電気機械・器具の販売,北海道札幌市白石区平和通17南1-9,1987,46.0,16,10百万円,http://kouei-d.com/,
2024-07-01,株式会社ＪＳＣコーポレーション,建設コンサルタント,2,■事業内容： ・土木・建築業■当社の特長：官公庁及び大手民間業者の受注を主とし順調に業績を伸ばしています。■案件について：案件の割合としては官公庁と民間の案件の割合は9：１でほとんどが官公庁案件です。100％元請けの案件です。案件としては役所の建物・病院・団地などの建築工事と、道路・下水道・橋梁等の土木工事で、民間の案件は造成工事などです。,大阪府和泉市伯太町2-5-35-202,1998,,3,40百万円,なし,
2024-08-01,株式会社Ｃ＆Ｃ,土地活用,2,【事業内容】戸建住宅用地の宅地開発・販売を主力事業とする。その他、マンション・ビル・事業用地等の売買、仲介業務を営む。福岡都市圏の宅地需要は旺盛であり、今後も積極的な物件仕入を展開し、業容の拡大を図る方針。【特徴】大手都市銀行出身の現代表が不動産事業にとって重要である財務戦略及び資金調達を担当。不動産事業部長及び課長に大手マンションデベロッパー及び大手ハウスメーカー出身者を置き、強固な仕入・販売ルートを確立。同事業において重要なファクターである資金調達・仕入・販売能力が高い水準でバランスしていることが同業他社比、特徴であり強みである。,福岡県福岡市博多区古門戸町5-1,2012,50.0,18,10百万円,なし,
