更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社FDS,建築設計事務所,10,■事業概要:土地の購入＞設計・デザイン＞施工＞管理・サポートまでトータルサポートを行っております。■資産運用FDSグループでは不動産を安心の自社一貫体制でご提供できるよう、まずは不動産及び、周辺の調査やマーケットリサーチから募集戦略の査定や賃貸条件の設定などお客様の快適な住まいの提供、不動産投資によるお客様の収益確保できるような物件をご紹介いたします。,大阪府大阪市中央区徳井町2-4-8,2001,39.0,52,99百万円,http://fds.gr.jp/,
2024-05-01,株式会社プロネット,住宅（ハウスメーカー）,4,■事業内容： 建築工事の請負ならびに設計施工、建築資材の販売、不動産の売買および仲介業務■当社について：当社は、少数チームのハウスメーカーながら、設計～施工～アフターサービスまでをワンストップで行う企業です。グループ会社に建築資材の総販売店や不動産コンサルティング会社を持つことで、ローコストかつクオリティの高い注文住宅を提供し、神奈川・東京23区を中心に数え切れないほどの理想の住まいを提供しています。,神奈川県横浜市西区平沼1-3-17宮方ビル 2F,2001,46.0,12,20百万円,https://www.pronet-home.com/,
2024-08-01,株式会社ティ・シー・シー,サブコン,6,■建築事業お客様の「想い」を反映したコンセプトを基に、木造・鉄骨造・RC造で幅広くご提案しています。■空間デザイン施工事業大型商業施設から路面店舗・ホテル・オフィス・クリニックに至るまで、あらゆる空間づくりに携わっています。■イベント事業「集客イベント」と「コンサートイベント」をメインで企画提案を行います。■プロモーション事業総合広告代理店として、コミュニケーション領域全般の戦略・企画提案から各種制作・メディア作業・マーケティング・ブランディングに至るまで行います。■まちづくり事業遊休地の有効活用策を行っています。,岡山県岡山市北区本町6-36第一セントラルビル2F,2008,,100,100百万円,https://www.tcc.works/,
2024-08-01,フィリックス株式会社,建設コンサルタント,18,■投資用アパートメントの開発・販売■ガレージアパートフランチャイズ■賃貸管理■2×4（ツーバイフォー）工法の加工・販売・施工・開発■建築設計・構造設計■IT■建築資材・住宅設備機器販売■保険代理,名古屋市中村区名駅一丁目1番1号 JPタワー名古屋15F,2008,40.0,90,"3,000万円",https://www.felix-group.jp/,代表取締役 水野 秀則
2024-08-01,株式会社Ｇｏｏｄ不動産,不動産仲介,9,"■事業内容：福岡都市圏を中心に総合不動産事業を展開し、賃貸管理・仲介・売買、コンサル事業から相続・遺言まで行なっています。福岡・東京・大阪・愛知にて約24,000戸の管理実績とノウハウを活かし、現在もその管理戸数を着実に伸ばしています。2012年8月には社名をGood不動産に改め、新たなスタートを切りました。テレビCMなどの露出を高め、その知名度を高めています。今まで業界で積み上げた実績は高く、独自のネットワークを持つのも同社の大きな強みです。",福岡県福岡市中央区大名1-14-45QizTENJIN9F,2009,36.0,107,100百万円,http://www.good-fudousan.co.jp/,
2024-08-01,株式会社ジェクトワン,不動産仲介,13,■企業概要創業15年目、100名で売上200億円を達成。メディアでも話題の「社会課題である空き家問題を解決する事業」も展開中！大物有名人を起用したTVCMや動画の配信などマーケにも注力。企業の成長は社員の成長あってこそ、良い仕事はプライベートの充実あってこそという考えを大切にしています。やりたいことにチャレンジでき、不要な残業は無く、オン・オフにメリハリを持てます。年間休日125日、不動産事業でも土日祝休み、フリーアドレス制、保養所、企業年金や退職金制度等、就業環境を整えています。,東京都渋谷区渋谷2-12-19東建インターナショナルビル本館1F,2009,34.0,110,100百万円,https://jectone.jp/,
2024-08-01,株式会社東京アセットソリューション,ディベロッパー,6,■弊社は、収益物件再生事業・開発事業・不動産賃貸業・アセットコンサルティング業を軸に事業を展開している不動産デベロッパーです。 2009年の創業から15年を迎え、近年では、新築賃貸レジデンスの開発事業、物流倉庫事業、太陽光・風力発電事業など事業展開を広げております。 なかでも、新築賃貸レジデンスの開発においては、マンションブランド「Nifit」をリリースし、住まい手、街、環境に配慮した賃貸マンションづくりに力を入れております。 私たちは、手がける事業や社風を通じ、自社役職員から、関係先から、社会から大きな期待を集める集団となることを目指しています。,東京都港区虎ノ門1-16-4,2009,44.0,55,200百万円,https://www.to-as.com/,
2024-08-01,株式会社川村工営,サブコン,7,■事業内容： 当社は総合建設業者としてマンション、オフィスビル、旅館、ホテル、病院、工場、クアハウスなど、さまざまな分野の建築を手がけています。多田建設株式会社の戸建て住宅部門として1971年に設立され、その後独立し、現在まで業容を大きく拡大させてきました。施主様や設計者などから高い評価を得る建造物も多く、日本の建築産業の発展に貢献してきたという自負があります。「堅固で使いよく、美しい完成度の高い作品」は当社の特徴です。,東京都墨田区江東橋2-3-10倉持ビルディング第一2F,1971,34.0,68,90百万円,http://www.kawamurakouei.co.jp/,
2024-07-01,株式会社ヒーバックシステム,住宅設備・建材,1,■事業内容： ・管工事業・機械器具設置工事業・消防設置工事業■事業の特徴：・2004年4月設立、空調・換気設備、恒温恒湿室、高低温機能試験機等 様々な冷熱事業全般のシステム設計から、施工・メンテナンスまでトータルサポートしています。・工場やクリーンルーム等、温度・湿度を一定に保つ技術がある（空間を作る、オンリーワン技術）ため、大手企業から口コミで仕事の依頼があります。※主要工事実績…ＩＨＩ、日立造船、豊田自動織機、住友電気工業、島津製作所、 デンソー、ファナック、三菱電機等多数,静岡県静岡市駿河区小鹿813-1,2004,,10,1百万円,http://www.hvac-system.com/,
2024-08-01,上野グリーンソリューションズ株式会社,建築設計事務所,4,■概要：上野グループの一員である当社は再生可能エネルギー事業と総合建築事業を主体とする会社です。再生可能エネルギー事業では国内外での発電事業およびソーラーシステム販売サービスを提供しており、建築事業では東京メトログループとのお取引を主として駅内清掃および建設・塗装工事を請け負っています。また、近年は新規事業開発の取組みとして東京地下鉄様との協創で「列車混雑計測システム」を開発し、路線拡大と他社向け販売を推進しています。,神奈川県横浜市中区山下町46,1983,,23,50百万円,https://www.uyeno-group.co.jp/group/green/,
2024-08-01,株式会社ザイマックス関西,不動産管理,44,当社は、2000年にリクルートからザイマックスへと独立。「日本株式会社の不動産部」として、不動産に関わる様々なニーズに応えるべく、当社ならではの発想で不動産マネジメント/ファシリティマネジメントを行っております。また、「不動産投資のあり方」や「かしこい不動産の使い方」などの経営戦略の立案・実行をサポートするサービスを推進する企業として、「わたしたちは日本株式会社の不動産部をめざします」という言葉を将来のビジョンに掲げ、国内事業会社のニーズに対し役立つサービスを提供しつつ、日本の不動産マーケットの健全な発展に寄与する事業を展開しています。,大阪府大阪市北区堂島1-1-5ザイマックス梅田新道ビル,2009,40.5,777,100百万円,https://www.xymax.co.jp/xy-k/,
2024-06-01,株式会社リヴ,不動産仲介,3,■事業概要：建設工事の請負並びに企画・建設。管理及びコンサルティング業務。不動産の売買・仲介、賃貸、損害保険代理業、福祉事業、宿泊業。,京都府向日市寺戸町七ノ坪141,1998,39.0,108,30百万円,http://www.liv-r.co.jp/index.php,
2024-07-01,株式会社システム技研,設備管理・メンテナンス,3,■事業内容： ・空調自動制御設備の設計／施工／メンテナンス・電気設備の設計／施工【建設業許可】電気工事業 大阪府知事 般-1 第123395号,大阪府大阪市鶴見区諸口1-1-19,1999,36.5,13,10百万円,https://www.system-giken.co.jp/,
2024-07-01,株式会社アクティス,建築設計事務所,6,■事業内容：工作機械の設計、3DCADによる開発・検討、半導体関連装置、フィルム加工機の設計、舞台機構設備の設計、塗装プラント設備の設計 等,愛知県名古屋市西区名駅2-9-14第15平松OFFICE 5F,2008,32.8,29,5百万円,http://actiss-eng.jp/,
2024-08-01,株式会社Ａ＆Ｆソリューション,不動産金融,7,■不動産(Asset)と金融(Finance)領域におけるAM・コンサルティング事業を展開する会社。■国内及び海外投資家/金融機関/事業法人/個人富裕層等、多種多様なクライアント様に対して不動産金融サービスを提供。,東京都千代田区神田淡路町2-105ワテラスアネックス1208,2009,40.0,11,50百万円,https://www.af-solution.com/index.html,
2024-08-01,株式会社ユウキ建設,建材 （商社）,1,■足場工事業■足場材・建築資材リース業■建築一般■建築設計,愛知県一宮市千秋町浮野竹腰40番地,2000,,70,,https://yuuki-kensetsu.com,代表者 西岡 正秀
2024-08-01,株式会社ダイマルヤアネックス,不動産仲介,4,■事業内容：1953年4月（昭和28年）創立、60年以上の歴史を持つ建設会社です。・建設業：京都府知事（特-24）第37075号・宅地建物取引業：国土交通大臣（1）第9964号地域に密着した建設・不動産会社として下記の事業を展開しています。（1）新築マンション・戸建住宅の企画・販売（2）投資用賃貸マンションの企画販売（3）土地オーナーに対する資産活用の提案（サ高住、グループホーム、学生マンション等）（4）不動産の売買および仲介（5）賃貸マンション・賃貸ガレージ等の受託運営,京都府京都市山科区椥辻平田町184,1953,,19,60百万円,http://www.daimaruya-kyoto.co.jp/annex,
2024-08-01,株式会社エムホーム,不動産仲介,1,■不動産賃貸仲介■不動産売買仲介■不動産管理■ホテル事業■パーソナルジム業■サブリース事業,愛知県名古屋市中区大須3-9-18 片岡ビル1F,2009,,35,1000万円,https://www.mhome.nagoya/,代表取締役社長 柳谷 昌宏
2024-06-01,株式会社マリンサポートエンジニアリング,サブコン,1,■事業内容： ・調査：潜水・海上・陸上目視調査、水中・陸上・空中撮影、肉厚測定、コンクリート試験・中コア抜き、浮桟橋・海岸・橋梁・河川点検・調査、法面調査・長寿命化計画作成：港湾維持管理・漁港機能保全・海岸長寿命化・測量：地上測量調査一式、深浅測量一式・設計：補修設計、基本設計、細部設計、実施設計、防潮堤設計・ドローン空撮・3次元計測：点群データ作成、3次元モデル作成、UAV測量、農業分野、土地造成でのUAV活用,福岡県福岡市博多区博多駅東1-16-8ITビル3F,2009,,11,10百万円,なし,
2024-05-01,エクシード株式会社,建築設計事務所,1,・建築設計業務・生産設計業務（施工図の作成など）・意匠設計業務・建物の改修・改装・増改築に関する企画・設計・施工・監理・仮設計画図（総合仮設・足場等）の作成【主要取引先】日本設計、鹿島建設、五洋建設、清水建設、大成建設、竹中工務店、前田建設工業ほか,神奈川県横浜市戸塚区川上町197-3 2F,2009,,59,1000万円,http://www.exceed-s.com/,代表取締役社長 鷲澤 茂
2024-08-01,株式会社未来,サブコン,5,「輝く未来づくり 安心安全に一歩一歩」を掲げ、下記事業を行っております。■事業内容： 1. 建物解体（木造・Ｓ造・ＲＣ造）2. 改修工事3. 既存杭引抜工事4. アスベスト・ダイオキシン除去工事※一般家屋住宅の解体工事も行っています。,東京都多摩市関戸2-32-1901,2011,,15,20百万円,http://mirai-9.com/,
2024-08-01,株式会社コスモビルマネジメント,設備管理・メンテナンス,無,,兵庫県川西市鼓が滝1-4-13,2009,,,10 百万円,"Failed to retrieve page, status code: 410",代表取締役 武村 辰美
2024-08-01,株式会社シェアテック,内装・インテリア・リフォーム,5,■事業内容：総合建設業、外装（エクステリア）事業、中古住宅再生事業、リフォームに関するWebサイトの企画・制作・更新及びメンテナンス,千葉県木更津市文京5-11-16ST×BASE,2009,,30,30百万円,http://www.sharetech.co.jp/,
2024-07-01,株式会社アース設計事務所,建設コンサルタント,1,■事業内容：・一般土木に関する設計（道路設計、河川設計、農業土木、構造物設計、下水道設計）・測量調査（基準点測量、水準測量、現況測量、路線測量、用地測量、その他地上測量全般）・橋梁健全度調査（衝撃振動試験）■会社の特徴：農業基盤整備を得意とする建設コンサルタントです。農地を調査し、使いやすさの向上や収穫物の品質を高める設計を行います。,北海道札幌市東区北二十四条東16-1-4ロイヤル元町6F,1989,42.0,13,10百万円,http://www.earth-po.co.jp/,
2024-07-01,技研測量設計株式会社,建築設計事務所,2,■事業内容：道路、河川、農業土木等に関する測量・設計等■当社について：【公共事業中心の安定した業績】1975年の創業以来、公共事業を中心に国土の強靭化を担う仕事を行なってきた当社。信頼と実績から案件も増加し業績が伸びています。地上型レーザースキャナーやドローンなどの最新技術を用いた機器を導入し、加速度的な成長を見込んでいます。,北海道深川市北光町2-2-41,1975,,27,10百万円,なし,
2024-06-01,株式会社ビューテック,建設コンサルタント,4,■事業内容：土木構造物のメンテナンス事業(定期点検、詳細調査、補修設計)コンサルタント業務(コンクリート構造物の調査、診断、補修設計),北海道旭川市東三条6-1-36,2003,40.0,31,10百万円,http://www.veu.jp/06outline/index.html,
2024-07-01,株式会社山口建装,住宅設備・建材,1,■事業内容：旭川市内を中心に主に工務店様に対しての建築資材の卸売、内装、外装、硝子サッシ工事業を行っております。現場への材料納入は、自社で所有しているトラックで行っております。■会社の特長：建築に関わる幅広いお客様からのニーズにお応えし、高い評価をいただいてます。広々とした事務所の中で仕事が出来る環境です。また、当社は札幌に本社を置く肥料や飼料の専門商社である丹波屋の100％子会社です。,北海道旭川市流通団地二条5-14,2005,,12,10百万円,なし,
2024-08-01,エイベルホーム株式会社,住宅（ハウスメーカー）,7,■事業内容：・新築住宅（新在来外断熱ネオマフォーム工法）・企画、監理、施工、新築アパート、マンション企画・不動産取引（賃貸アパート、売買）,北海道恵庭市京町71-2,1973,,21,20百万円,http://avele.jp/index.html,
2024-07-01,仙台卸業商事株式会社,不動産仲介,1,■事業内容：1969創立の協同組合仙台卸商センターの関連会社で、仙台卸団地内メンバー約250社を組合員として発足した会社です。不動産の賃貸・管理・仲介業務および損害保険の取扱を行っています。主に仙台東部エリアの事業用の貸倉庫・工場・事務所・店舗・駐車場・貸地のほか居住用アパート、マンションも行っております。■主な取扱物件：貸事務所・店舗 駐車場 貸工場・倉庫、売土地 売工場・倉庫 売事務所・店舗、貸アパート・マンション 貸戸建、売新築マンション 売中古マンション 売中古一戸建など,宮城県仙台市若林区卸町2-15-2卸町会館1F,1969,38.5,7,10百万円,https://www.ogs-sendai.co.jp,
2024-06-01,株式会社ケーテック,ゼネコン,3,■企業概要：各種施設及び一般住宅の建設、コンサルタント、土地・建物の資産活用等の事業を全国展開しております。■事業内容：・住宅設計／施工、店舗設計／施工、リフォーム・医療、福祉施設設計／建築・コンサルタント・ファイシャンナルプランニング・マンション(賃貸)、アパート経営他■特徴：・建築部門においては、特に「大型木造建築」を得意としており、取引先からの評判が高く、全国より相談・注文をいただいています。,岩手県盛岡市西仙北1-34-13,2005,42.0,11,80百万円,http://www.k-tec-iwate.jp/,
2024-08-01,メタルファンテック株式会社,ゼネコン,1,■事業内容金属素材を生かした製品の設計施工をメインに行う専門工事業を行っております。具体的には下記工事を対応しております。・製作金物工事・規格金物工事・金属製建具工事・硝子工事・杭工事,福島県郡山市安積北井1-47,2005,48.0,9,10百万円,https://mftk.co.jp/,
2024-08-01,株式会社上田工業,住宅設備・建材,2,■空調設備工事■ダクト工事■冷媒工事,神奈川県横浜市鶴見区尻手3-5-13,1975,,19,1000万円,https://ueda-ind.co.jp/,代表取締役社長 上田 洋介
2024-06-01,株式会社カナコー,ゼネコン,2,■事業内容： ・建築業新築工事、大規模改修工事、リフォーム、リニューアル工事・土木業道路工事、造成・外溝工事、擁壁工事、下水道工事、一般土木工事・遺跡発掘埋蔵文化財発掘調査、小規模試掘調査・大規模遺跡発掘調査、調査報告整理業務、土器の復元作業,神奈川県相模原市南区麻溝台8-12-5,1960,,255,47百万円,https://kanako1960.jp/,
2024-07-01,株式会社エレテックコーポレーション,設備管理・メンテナンス,1,■エレベーターの保守点検・リニューアル工事■機械式駐車装置の保守点検・リニューアル工事■マンション・ビルの管理人業務・清掃業務（巡回清掃・定期清掃）■建物の電気工事・空調工事■防犯カメラの設置・施工,神奈川県横浜市中区山下町74-1 大和地所ビル2F,1977,,47,"5,000万円",https://www.eletec.ne.jp/,代表取締役社長 山崎 光太
2024-07-01,株式会社創研,内装・インテリア・リフォーム,1,■リフォーム、屋根・外壁塗装､内装工事,千葉県船橋市新高根1-9-14,1988,33.0,100,1000万円,https://www.web-soken.co.jp/,代表取締役 鈴木 優
2024-07-01,株式会社和興,サブコン,3,■事業内容：オフィス内装工事全般／店舗内装工事一式／マンション造作工事／企画／設計,東京都港区東新橋1-1-21今朝ビル8F,1995,35.2,49,20百万円,https://www.k-wakoh.co.jp/,
2024-08-01,クレストホーム株式会社,土地活用,8,■事業内容： 土地の有効活用を提案する総合建設業。,千葉県市川市相之川4-11-19,2005,,9,40百万円,http://www.crest-home.com/index.html,
2024-08-01,株式会社コーケン,建設コンサルタント,5,当社は1983年に千葉県茂原市萩原にて石塚測量株式会社として設立されました。その後、2005年に社名を株式会社コーケンに変更し、創業より40年以上の間、測量設計事業を行っております。,千葉県茂原市長尾2683-28,1983,34.0,51,20百万円,https://koken.cc,
2024-06-01,Ｍテクノ株式会社,サブコン,1,■会社概要：当社は、昭和61年に宇都宮市にて設立以来、電気・通信工事事業を行っており、地域への貢献と技術の向上に努めています。■事業内容：電気工事業、電気通信工事業、消防施設工事業、電力発電事業（太陽光、風力）■特徴・強み：・「お客様のニーズを第一に考え､安全かつ敏速対応し1つ上の技術を提供する」をテーマに、お客様の立場になって、気持ちよく、使いやすい、環境保全に留意し、お客様に喜ばれる設備を提供するため日々取り組んでいます。・他社に負けない優秀なスタッフを多く有していると自負しております。当社の財産は優秀な社員と協力会社です。,栃木県宇都宮市西刑部町2476-5,1986,,19,20百万円,http://m-techno.jp/index.html,
2024-05-01,株式会社アユサワ,ゼネコン,1,■事業内容：同社は1963年、宇都宮で創業し、半世紀にわたり、建築工事を中心に設計・施工を営む会社です。特に鉄骨組立の技術を強みとし、県内外の案件を獲得しており、最近では国立競技場などを手掛けた実績があります。なお、案件については、首都圏を中心に県内外の案件を手掛けています。,栃木県宇都宮市東峰町3029,1963,,10,80百万円,http://www.ayusawa.co.jp/,
2024-08-01,株式会社鐵建,住宅設備・建材,6,■事業内容：建築用鉄骨加工業■営業品目：鉄骨ファブリケーター■当社について：地震国である日本では、「 耐震性に優れた建物 」が、強く求められています。その骨格となる鉄骨は、人命に関わる重要な構造体です。高耐震性に適応した建造物の需要に応えるため、平成17年現在地に移転し、生産体制の拡充を図って参りました。そして、社会とお客様から、真に「信頼されるファブリケーター」になるため、努力を重ねております。後世に残る仕事を手掛け、社員がプライドを持って働ける企業を目標に、「鉄骨メーカー」 として、研鑽を積んでいく所存です。,群馬県藤岡市東平井1410-4,1954,36.5,82,50百万円,https://tekken-k.com,
2024-07-01,株式会社フケタ都市開発,プラントメーカー・プラントエンジニアリング,1,■会社概要・当社は1994年に設立し、主にサーキットコース・キャンプ場・コンビニエンス等の様々な設計・監理を行っております。■事業内容・各種許認可申請業務、開発許可設計、測量全般（ドローン測量・境界測量・現況測量等、登記関係業務・土木設計一般（公園設計、運動施設設計、道路設計、上下水道設計等）・工事の監理業務・非破壊試験による弾性波診断業務（道路構造物の腐食・劣化・根入れ調査）,栃木県宇都宮市みどり野町16-4,1994,49.0,11,10百万円,https://www.fuketatoshi.com/,
2024-08-01,高富建設株式会社,ゼネコン,2,当社は創業以来33年にわたり、JR東日本の駅舎や施設などの建築、メンテナンスを主力とするゼネコンです。駅舎など鉄道構築物の建設には、関連法令・規定や鉄道会社の安全基準等のコンプライアンスに加えて、様々な関連書類の詳細な作成が求められるため、新規参入が困難な分野です。当社は、この分野で永年培った特殊技術とノウハウに、店舗・オフィスデザイン等の新たな視点を織り込んだ提案力も強みで、業績は堅調に推移しています。この他、高い安全性が求められる大手化学メーカーからも技術力が認められ、今後さらなる業務拡大を見込んでいます。,群馬県高崎市上中居町1472-22,1989,44.0,11,28百万円,https://takatomi-construction.co.jp/,
2024-07-01,株式会社坂巻電気工事,設備管理・メンテナンス,1,■会社概要・2006年設立、栃木県佐野市に本社を置き、大型工事なども請け負う、電気工事全般を行う企業です。・少人数のアットホームな会社です。■事業内容・電気工事一式（特別高圧変電設備工事・幹線設備工事・動力設備工事・電灯コンセント工事・弱電工事）,栃木県佐野市吉水駅前3-9-7,2006,,10,10百万円,なし,
2024-06-01,栗原工業株式会社,サブコン,2,■事業内容： 東京・神奈川・千葉などの建築用金物 製作・施工を行っています。└アルミニウム└ステンレス└一般鋼板└他曲げ物加工■建設業許可：茨城県知事（般-2）第15434号■社風：風通しがよく、福利厚生も充実しており働きやすい環境を整備しております。,茨城県守谷市緑1-5-1,1978,33.6,31,40百万円,なし,
2024-08-01,株式会社群馬建水,サブコン,5,■事業内容：建築工事業・防水工事・塗装工事業を通して、「防水･塗装の可能性」を追求し、独自の直営方式で顧客の大切な「財産」の維持保全をサポートしています。,群馬県佐波郡玉村町樋越799-7,1973,,63,20百万円,http://ken-sui.jp/,
2024-08-01,トウショウレックス株式会社,不動産仲介,14,■会社概要・2002年設立、群馬県高崎市に本社を置く、LIXIL不動産ショップ（本店・高崎問屋町駅前プラザ・大宮支店）を運営しています。■事業内容（1）不動産の売買・仲介業務（2）不動産の賃貸・仲介・管理業務（3）リフォーム業建築一式・大工・左官・石・屋根・タイル・レンガ・ブロック・鋼構造物・板金・ガラス・塗装・防水・内装仕上げ・熱絶縁・建具工事,群馬県高崎市上中居町17-1,2002,,77,20百万円,https://www.tousyou7.co.jp/,
2024-07-01,株式会社リソー,サブコン,1,■事業内容建築物総合リニューアル業…防水工事、塗装工事、内装工事、左官工事、建築工事、建物調査診断業務上記工事に関わる改修リニューアル企画・設計・監理コンサルティング（主な施工実績）広尾ガーデンヒルズサウスヒル大規模修繕工事、フォレストヒルズ港南台大規模修繕工事、マイキャッスル湘南逗子サン・ヴェロ－ナ壱番館大規模修繕工事明治学院大学横浜校地外壁等改修工事、聖マリアンナ医科大学横浜市西部病院大規模改修工事、西武東戸塚店外壁改修工事,神奈川県横須賀市山科台10-14,2000,38.9,27,100百万円,https://k-riso.com/companyprofile/,
2024-08-01,株式会社イースト,住宅設備・建材,1,■事業内容：・街づくり事業・エクステリア事業※その他、成長が見込まれる当社の新規事業「守る水」,神奈川県横浜市戸塚区柏尾町825-11RKビル1F,2002,35.0,20,10百万円,https://www.ew-east.com/index.html,
2024-07-01,有限会社たばやし,サブコン,1,■事業内容：・土木、とび工事・管工事・舗装工事・水道施設工事・解体工事,茨城県桜川市真壁町山尾455,2005,,8,5百万円,なし,
2024-05-01,株式会社千葉地曳,住宅設備・建材,2,■事業内容： 当社は、木材、建具、キッチン、ユニットバス、サッシ、外壁材などの住宅建設に必要な資材を一括して販売する建材・資材商社として、創業約40年の歴史を持つ会社です。商社といっても、ただ商品を卸すだけでなく、住宅ローンの取得、長期優良住宅の認定、補助金取得などの支援といった幅広いサービスを提供。お客様である建設会社・ビルダー様の売上アップに向けたサポート・アドバイスできることを強みにお客様の数を着実に増やしています。■営業種目：・内外木材 ・銘木・合板・外壁工事等・輸入建材 ・集成材特注加工・プレカット(木造軸組工法部材)・住宅設備機器,千葉県八街市八街へ214-9,1973,,15,72百万円,https://www.chibajibiki.jp/,
2024-07-01,有限会社イケヤ建築設計,建築設計事務所,2,■事業内容： ・建築の設計／管理、住宅の設計／施工・耐震診断／補強工事、リフォーム工事・外装工事、水回り工事■同社について：創業34年の住宅新築・リフォーム会社です。豊富な施工実績と顧客基盤を有する新築工事に加えて、近年はリフォーム事業が年々成長しております。大手リフォーム会社紹介サイトで高い評価を受けるなど、顧客満足度が非常に高い会社です。代取は他社でサラリーマン経験長く、従業員の立場に立った経営を行っています。,埼玉県坂戸市清水町46-40,1987,,7,6百万円,https://www.ikeya-style.jp/,
2024-07-01,東京メカトロサービス株式会社,設備管理・メンテナンス,1,■事業内容： 自家発電設備のメンテナンス業／食品生産機械及び設備のメンテナンス／一般機械設備に関る業務整備の技術を極めるプロのエンジニアの会社である当社は、船乗りエンジニアをしていた商船学校時代の仲間が集まり発足しました。時代を遡っても財産であるディーゼル、ガスタービンエンジンなどの大規模発電設備のメンテナンスは、職人も減少しつつあり貴重な存在であります。,埼玉県川口市弥平4-9-12,1990,,14,25百万円,http://tmskyushu.co.jp/,
2024-06-01,株式会社NEAT（ニート）,ゼネコン,1,■建築工事一式（新築 木造・RC造・鉄骨造）■増改築 工事（内部改修・外部改修塗装・耐震補強）■リフォーム工事 外壁・内部・水まわり（浴室・キッチン他）■木造耐震診断・補強工事■建築計画・設計施工■建物メンテナンス 特殊建物定期報告業務・保守業務（月契約）など,埼玉県さいたま市南区大字太田窪2861-40,1998,,9,2000万円,http://neat-kk.jp/,代表取締役 野崎 真治
2024-06-01,有限会社小林塗装工業,サブコン,2,■事業内容： ・鋼構造塗装工事…橋梁・鉄塔塗装、ブラント、水門、設備塗装・コンクリート構造物工事…剥落防止工、ひび割れ注入工、断面修復工・ビル、建物補修工事…内外壁塗装、防水工、リノベーション工・その他塗装工事,埼玉県さいたま市岩槻区徳力954-1,1993,,12,3百万円,https://www.koba-tosou.com/,
2024-07-01,株式会社永井建設,住宅（ハウスメーカー）,1,■事業内容： 住宅建設・リフォーム業、不動産業■3つの想い：・理想の完全自設計（創業130年で培った新潟の地域に合った建築技術と理想のライフスタイルをカタチにするプランニング）・アフターメンテナンスお客様満足への取り組み・予算、性能、デザイン性のバランスを重視,新潟県新潟市南区上下諏訪木829-9,2006,41.7,33,10百万円,https://www.nagaikensetu.jp/,
2024-08-01,株式会社サンプロ,建築設計事務所,6,■事業内容・新築住宅／設計・施工・住宅リフォーム／設計・施工・店舗・オフィス／設計・施工・古民家再生／設計・施工・特殊建築物／設計・施工・医療・福祉施設／設計・施工・マンション事業／設計・施工・ガーデニング／設計・施工・ハウスクリーニング・インテリア用品・家具販売・住宅店舗設備機器販売・建物総合管理・不動産売買,長野県塩尻市広丘吉田662-9,2000,37.2,158,20百万円,https://sunpro36.co.jp/,
2024-06-01,株式会社おうちＬＡＢＯ,サブコン,2,～西武線・所沢エリアを中心に理想のマイホームを提供する「家の専門家集団」／住まいの総合カンパニー『おうちパーク・グループ』～■事業内容： 建築一式工事の請負及び施工内装工事の請負及び施工 一級建築士事務所 損害保険の代理業 宅地建物取引業,埼玉県所沢市けやき台2-20-2,2005,,25,20百万円,https://ouchilabo.co.jp,
2024-06-01,株式会社エイコーテック,サブコン,1,■一般建築工事■各種塗装工事■各種防水工事■建物下地補修工事■シーリング工事■外壁タイル改修工事（浮き補修・貼替え）■外壁石材工事■エクステリア工事など,愛知県名古屋市西区上堀越町2丁目9-1 TREエイコービル,1951,,8,"10,000千円",https://www.eikohtec.co.jp/index.html,代表取締役 陰地 豪
2024-08-01,株式会社プラス設計開発,建設コンサルタント,1,■事業内容： 【建設コンサルタント ・ 測量業 ・ 補償コンサルタント】社会インフラ事業の調査・設計・道路、橋梁、河川の調査・計画・設計・上下水道施設等の調査・計画・設計■業務内容：建設コンサルタント部門・建設（道路、橋梁、消雪、河川等）・上下水道（管路施設、ポンプ場等）測量部門・地上、河川、砂防測量補償コンサルタント部門・土地調査その他・占用申請手続代行、構造物の設計,福井県鯖江市平井町1-8-8,1992,50.0,13,20百万円,"Failed to retrieve page, status code: 410",
2024-08-01,レイテック株式会社,プラントメーカー・プラントエンジニアリング,1,■事業内容：医療施設の建築設計及び電磁波シールド設備の設計・コンサルタント業務,愛知県名古屋市中区大井町3-15,1999,45.0,15,20百万円,https://www.ray-tech.jp/index.html,
2024-07-01,靜高建設株式会社,サブコン,1,■事業内容： 総合建設業として、 建築工事を行っています。1940年に個人創業以来、静岡市の発展と人々の豊かな生活環境整備に努めてまいりました。施工実績としては、静岡県内を中心とする商業施設や大手コンビニエンスストア、医療介護施設や公共施設、マンションや一般住宅など多岐に渡っております。■企業理念：めざす「創注型」「提案型」建設業■許可・登録：静岡県知事許可 特定建設業 第1255号建築工事業 鋼構造物工事業 土木工事業 舗装工事業とび土工工事業 しゅんせつ工事業 石工事業内装仕上工事業 解体工事業一級建築士事務所登録 3332号,静岡県静岡市駿河区敷地2-25-6,1962,,11,20百万円,http://www.seiko-ken.co.jp,
