更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,金剛不動産株式会社,不動産金融,求人なし,千葉県市原市五井金杉1-7,1990,代表取締役 文田 貞子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,長谷部開発株式会社,設備管理・メンテナンス,求人なし,東京都渋谷区広尾5-23-6長谷部第10ビル 6Ｆ,1967,代表取締役 長谷部 亮平,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社セイズホーム,住宅（ハウスメーカー）,無,東京都葛飾区立石8-25-3,2004,代表取締役 松田 勝也,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◇住宅の施工業務◇＜許可免許：建築業許可 東京都知事許可（般-2）第123970号＞ 2021年10月doda掲載求人より引用
2024-08-01,株式会社吉田農材,サブコン,求人なし,栃木県宇都宮市元今泉6-8-7エーデルハイツ 101,2007,代表取締役 吉田 智,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アトムグループ,ゼネコン,求人なし,東京都杉並区高円寺南2-15-1,1992,代表取締役 並木 壮一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＴＰ測量設計,建設コンサルタント,求人なし,群馬県太田市東新町263-1,1998,代表取締役 有坂 壮史,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ミズコーポレーション,不動産管理,求人なし,神奈川県横浜市緑区十日市場町871-10,1997,代表取締役 黒田 信治,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,藤木建設株式会社,ゼネコン,求人なし,大阪府和泉市鍛治屋町190,1973,代表取締役 藤木 謙委,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サイマツコーポレーション,不動産仲介,求人なし,東京都板橋区小茂根2-24-7,1985,代表取締役 齋藤 美惠子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ビー・アイ・エスデザイン研究所,内装・インテリア・リフォーム,求人なし,東京都中野区中央5-38-13メゾンドール臼井Ｂ 702,1998,代表取締役 赤星 義彰,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社関根工務店,内装・インテリア・リフォーム,求人なし,茨城県水戸市常磐町2-3-17,1967,代表取締役 関根 貴雄,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社総住工房カトウ電器,内装・インテリア・リフォーム,求人なし,大阪府池田市鉢塚3-13-3,1992,代表取締役 山﨑 勝弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ヤナ・コーポレーション,設備管理・メンテナンス,求人なし,長野県長野市大字高田472-6,2008,代表取締役 柳沢 満,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,システムパーク株式会社,不動産金融,求人なし,東京都武蔵野市吉祥寺東町3-1-22パレス石川 Ｂ1Ｆ,2000,代表取締役 小泉 一志,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アプローズ不動産販売,不動産仲介,求人なし,兵庫県尼崎市武庫之荘2-21-16,2000,代表取締役 横山 広幸,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社コーヨークリエイティヴ,不動産仲介,求人なし,東京都港区赤坂9-7-2東京ミッドタウン・レジデンシィズ2010号,1981,代表取締役 郷 宗廣,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社若林,建築設計事務所,求人なし,山梨県甲府市上石田4-13-7,1971,代表取締役 若林 孝至,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ヨシウダ建築,建築設計事務所,求人なし,東京都葛飾区奥戸1-24-14,2006,代表取締役 吉宇田 明宏,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社立石工務店,内装・インテリア・リフォーム,求人なし,愛知県名古屋市緑区文久山1137,1998,代表取締役 立石 浩一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
