更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名
2024-08-01,株式会社ヤマヒロ,住宅設備・建材,無,建築ファスナーおよび関連製品の製造販売と付帯する業務及び貿易業務 2024年6月doda掲載求人より引用,大阪府河内長野市上原西町4-1,1951,代表取締役 木全 章仁,390 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,山形電気株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市北区大淀南3-7-10,1955,代表取締役 植木 直史,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,山本窯業化工株式会社,住宅設備・建材,求人なし,,大阪府吹田市豊津町41-20,1961,代表取締役 上野 泰志,97 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,横手産業株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府大阪市淀川区西中島4-2-21ミツフ新御堂筋ビル 8Ｆ,1947,代表取締役 横手 治彦,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,安積建設株式会社,建築設計事務所,求人なし,,大阪府枚方市田口4-59-8,1973,代表取締役 安積 輝義,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,興亜電機株式会社,住宅設備・建材,求人なし,,大阪府大阪市淀川区田川北2-5-80,1939,代表取締役 吉田 靖夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,大阪特殊硝子株式会社,住宅設備・建材,求人なし,,大阪府大阪市北区同心1-7-2,1947,代表取締役 石木 広之,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,尼崎都市開発株式会社,不動産管理,求人なし,,兵庫県尼崎市南塚口町2-1-2塚口さんさんタウン2番館 2Ｆ,1977,代表取締役 若竹 保,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社近畿建物管理,不動産管理,求人なし,,大阪府大阪市西区新町1-4-21大幸ビル 5Ｆ,1979,代表取締役 丸杉 智之,23 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三協サービス株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市西区西本町1-13-6西本町第一魚矢ビル,1972,代表取締役 木村 正龍,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本エンジニア株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,大阪府大阪市都島区毛馬町5-6-14,1967,代表取締役 横山 洋一郎,14 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,京阪神ビルディング株式会社,ディベロッパー,求人なし,,大阪府大阪市中央区瓦町4-2-14京阪神瓦町ビル 5Ｆ,1948,代表取締役社長 若林 常夫,"9,827 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,プライム
2024-08-01,中谷機工株式会社,建設コンサルタント,無,1. 電気工事2. 機械器具設置工事3. 電気通信工事4. 管工事5. とび・土工工事6. 工場での構内運搬ならびに資材、製品の保管・管理出荷業務7. 自動車運送業ならびに自動車運送取扱事業8. 荷造・梱包業9. 産業廃棄物収集運搬業10.情報処理業11.労働者派遣事業12.前各号に付帯する一切の事業 2024年2月doda掲載求人より引用,兵庫県尼崎市塚口本町6-8-18,1949,代表取締役 中谷 憲正,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社三宅製作所,プラントメーカー・プラントエンジニアリング,求人なし,,東京都台東区寿3-17-7,1949,代表取締役 三宅 秀和,96 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,協和築炉工業株式会社,プラントメーカー・プラントエンジニアリング,求人なし,,兵庫県尼崎市北初島町16-7,1961,代表取締役 古賀 敏史,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社下村工務店,サブコン,求人なし,,大阪府大阪市中央区北浜3-3-14下村ビル,1952,代表取締役 下村 康信,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,阪和通工株式会社,設備管理・メンテナンス,求人なし,,大阪府大阪市天王寺区南河堀町3-34シグナルセンタービル 4Ｆ,1967,代表取締役 木下 正德,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社モリブチ,内装・インテリア・リフォーム,求人なし,,大阪府摂津市南別府町15-20,1973,代表取締役 森渕 徹,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社淀川美建,内装・インテリア・リフォーム,求人なし,,大阪府守口市大宮通4-5-14,1979,代表取締役 川畑 雅之,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社朝日測器,設備管理・メンテナンス,求人なし,,大阪府摂津市鳥飼下2-24-16,1983,代表取締役 中山 義俊,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
