更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,株式会社アール・エス・ティー,不動産管理,求人なし,東京都豊島区東池袋4-26-13東栄ビル 5Ｆ,2001,代表取締役 岩田 修一,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,泰和建設株式会社,ゼネコン,求人なし,東京都墨田区菊川1-1-17,1996,代表取締役 村井 源治,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エルマーノス,不動産仲介,求人なし,東京都港区南青山2-20-4ＳＡＴ・1ビル,1986,代表取締役 髙橋 一廣,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アリシア,不動産仲介,求人なし,東京都台東区蔵前3-12-8岡安ビル 9Ｆ,1961,代表取締役 岡安 尚子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東幸ブリス,建築設計事務所,求人なし,東京都渋谷区上原3-31-21,2000,代表取締役 末富 幸雄,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ミヤガワ,ゼネコン,求人なし,広島県広島市安佐南区大町西3-11-42宮川ビル 1Ｆ,1979,代表取締役 中村 好克,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ファイロン,不動産仲介,無,東京都荒川区西日暮里5-10-12Ｃｏｎｆｏｒｔ3－4Ｆ,2002,代表取締役 前畑 雅広,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,駐車場及び駐輪場のコンサルティング、無人・有人時間貸駐車場・駐輪場の運営・管理、駐車場機器の販売、管理業務・メンテナンス業務・集金業務、不動産業 2023年12月doda掲載求人より引用
2024-08-01,三州ビル株式会社,不動産仲介,求人なし,東京都港区赤坂7-8-7赤坂7丁目ビル,1969,代表取締役 大須賀 純一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,タフカ株式会社,設備管理・メンテナンス,求人なし,東京都中央区築地2-14-3ＮＩＴ築地ビル,1978,代表取締役 田邉 範樹,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ノックスコーポレーション,内装・インテリア・リフォーム,求人なし,東京都世田谷区弦巻4-11-2シェモア弦巻 1Ｆ,1995,代表取締役 菊家 淳,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ハウジングバンク,不動産管理,求人なし,東京都新宿区西新宿7-10-19西新宿ビル 701,1999,代表取締役 星 哲史,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,木山興産株式会社,サブコン,無,東京都墨田区江東橋2-7-10ホウエイビル 401,2007,代表取締役 木山 貢,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社オリエント技研,サブコン,求人なし,東京都江戸川区谷河内2-4-6メゾンエスユー 2Ｆ,1998,代表取締役 磯部 敞一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社キダマーブル,住宅設備・建材,求人なし,東京都江東区東陽5-21-5リバティーヴィル 2Ｆ,1999,代表取締役 木田 和弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社レジデンシャルサービス,不動産金融,求人なし,東京都港区芝3-8-2芝公園ファーストビル,2006,代表取締役 澤田 敏広,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社山壁解体,サブコン,無,東京都足立区西伊興1-18-22,1999,代表取締役 比嘉 喬,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
