更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,坂本設備株式会社,住宅設備・建材,求人なし,神奈川県横浜市都筑区葛が谷5-19プレミスト港北サウスヒルズ206,2006,代表取締役 坂本 浩二,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エイコー,住宅設備・建材,求人なし,神奈川県横浜市中区宮川町3-81日ノ出町第一石川ビル 3Ｆ,2006,代表取締役社長 石川 栄子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社セイフティージャパン,設備管理・メンテナンス,求人なし,東京都大田区西糀谷1-28-4スカイＭＫ 1Ｆ,2007,代表取締役 斉藤 政則,9 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アーサメジャー,不動産仲介,求人なし,大阪府大阪市天王寺区玉造元町2-31ヤマオカビル 1Ｆ,2007,代表取締役 大熊 昌行,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,あさひハウジング株式会社,不動産仲介,求人なし,大阪府大阪市旭区大宮2-27-13,2007,代表取締役 平田 貴久,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アプレスト,不動産仲介,求人なし,大阪府大阪市中央区南船場2-5-19心斎橋イーストビル 501,2007,代表取締役 川崎 竜輔,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ランドフィールド株式会社,不動産金融,求人なし,東京都西東京市富士町3-4-3ヴィラ信和 301,2006,代表取締役 加藤 美佐男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,明和エンジニアリング株式会社,建設・プラント・不動産業界,求人なし,大阪府大阪市北区天満4-3-1ＳＧビル 4Ｆ,1985,代表取締役 佐藤 鳴彦,27 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社セイインターナショナル,不動産仲介,求人なし,東京都大田区萩中2-8-15,1990,代表取締役 成田 多恵,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アパートマン,不動産仲介,求人なし,石川県野々市市御経塚1-422,2002,代表取締役 田上 育美,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
