更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社アイ・ケー・システム,不動産仲介,求人なし,宮城県仙台市宮城野区二十人町303-10108二十人町 101,1986,代表取締役 木村 友治,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アビクス,不動産仲介,求人なし,東京都杉並区阿佐谷南1-11-1,1991,代表取締役 田草川 滋,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社コモンズサービス,不動産仲介,求人なし,東京都杉並区阿佐谷南3-37-12コモンズビル 8Ｆ,1980,代表取締役 森田 淑,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社アルテ建築計画,建築設計事務所,求人なし,東京都文京区本郷3-20-7山の手ビル 4Ｆ,1999,代表取締役 山﨑 裕之,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アワジス,不動産管理,無,東京都新宿区西新宿1-25-1新宿センタービル 37Ｆ,1997,代表取締役 大石 啓太,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ダイサン住宅設備,内装・インテリア・リフォーム,求人なし,東京都杉並区上井草1-22-15ライオンズマンション井荻第三 101,1998,代表取締役 持田 清次,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アイドマ開発株式会社,サブコン,求人なし,東京都杉並区天沼3-14-9アイドマビル,1989,代表取締役 大林 健,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社日向興発,サブコン,無,東京都新宿区西新宿4-13-6,1998,代表取締役 前田 弘貴,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■建物建設請負工事事業■建物解体請負工事事業■建物内装請負工事事業■産業廃棄物収集運搬事業■不動産開発事業■不動産賃貸管理事業■不動産仲介事業■損害保険代理店事業 2022年9月doda掲載求人より引用,
2024-08-01,株式会社ホームテックス,内装・インテリア・リフォーム,求人なし,宮城県仙台市宮城野区出花1-9-10,1997,代表取締役 齋藤 壽男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社広学社,不動産仲介,求人なし,東京都杉並区浜田山2-1-14,1976,代表取締役 山口 妃,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社島本美術,不動産仲介,求人なし,東京都調布市柴崎2-21-1,1971,代表取締役 鈴木 真紀,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社雄和産業,内装・インテリア・リフォーム,求人なし,東京都杉並区下高井戸1-39-3,1989,取締役 斉藤 基治,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ベスト住販株式会社,不動産仲介,求人なし,東京都世田谷区桜上水5-30-7メゾン・エミーナ 101,1989,代表取締役社長 古川 清隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日本プロパテー株式会社,不動産仲介,無,東京都新宿区新宿6-28-8ラ・ベルティ新宿 4Ｆ,1987,代表取締役 木村 剛士,72 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,キャピタル・グリーン観光開発株式会社,不動産仲介,求人なし,東京都新宿区北新宿1-8-20,1987,代表取締役 渡邉 一春,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社丸巧,不動産仲介,無,東京都新宿区高田馬場4-28-20ＩＫビル 1Ｆ,1997,代表取締役 木名瀨 巧,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社イエステーション本部,不動産仲介,無,東京都新宿区高田馬場1-30-5千寿ビル 2Ｍ,2002,代表取締役 入江 みさ子,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ユニオン都市開発,不動産仲介,求人なし,東京都新宿区高田馬場3-1-5サンパティオ高田馬場 504,1990,代表取締役 島袋 賢,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アットホーム倶楽部株式会社,不動産仲介,求人なし,東京都豊島区巣鴨1-15-2,2001,代表取締役 吉田 逸郎,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社芙蓉不動産,不動産仲介,求人なし,東京都文京区千石3-28-5,1984,代表取締役 谷口 和彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ケイ・マックス,内装・インテリア・リフォーム,無,東京都豊島区南大塚2-45-8ニッセイ大塚駅前ビル4Ｆ,1997,代表取締役 河野 宗則,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ジャパンスチールスインターナショナル株式会社,設備管理・メンテナンス,無,東京都千代田区神田鍛冶町3-8-2ＫＩＢビル 5Ｆ,1990,代表取締役 與那原 一郎,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社旬建築総合計画,建築設計事務所,求人なし,東京都豊島区東池袋2-22-1信越ビル 504,1990,代表取締役 信原 利行,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ケン・オフィス,ディベロッパー,求人なし,東京都豊島区東池袋1-25-2朝日生命池袋ビル 3Ｆ,1996,代表取締役 眞野 晋昌,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社中央恒産,不動産仲介,無,東京都豊島区池袋2-9-1丸富ビル 1Ｆ,1995,代表取締役 青木 良平,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,恩田ビル施設株式会社,不動産仲介,求人なし,東京都豊島区池袋2-47-5オンダビル 1Ｆ,1988,代表取締役 恩田 純一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社東京賃貸管理,不動産仲介,求人なし,東京都豊島区池袋2-61-4沖田ビル 101,1996,代表取締役 村松 大輔,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社アーチエステート,不動産管理,求人なし,東京都豊島区池袋2-53-11小島ビル 2Ｆ,2001,取締役 丸茂 雅弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,太陽土地住宅株式会社,不動産管理,求人なし,東京都豊島区西池袋1-25-1恩田ビルディング 2Ｆ,1971,代表取締役 岩崎 崇,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ササキ設計,建築設計事務所,求人なし,宮城県石巻市北上町十三浜字小指33-1,1990,代表取締役 佐々木 文彦,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社トリムビルメンテナンス,設備管理・メンテナンス,求人なし,東京都豊島区池袋2-68-10703,1986,代表取締役 有泉 とし子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社中央アシスタ,不動産仲介,求人なし,東京都豊島区西池袋5-8-9藤和池袋コープ 207,1994,取締役 横山 寛,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アーツコンサルタント,建築設計事務所,無,東京都豊島区目白2-16-23エターニア目白 3・4Ｆ,1999,代表取締役 志岐 祐二,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社庄和都市開発,不動産仲介,求人なし,東京都大田区東矢口3-6-18,1992,代表取締役 白川 朋亮,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ウェイク,建築設計事務所,求人なし,東京都豊島区雑司が谷3-19-4106,1995,代表取締役 齋藤 悟,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＳＫＭ設計計画事務所,建築設計事務所,求人なし,東京都豊島区目白4-10-2パストラルコート 206,1977,代表取締役 柴田 知彦,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社デザインハウスワイ・ツー,建築設計事務所,求人なし,東京都豊島区千川1-17-16,1989,代表取締役 山田 泰彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アールズ・コーポレーション,不動産仲介,求人なし,東京都豊島区要町1-1-9正久ビル 2Ｆ,2001,代表取締役 川﨑 竜一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社タウンエージェンシー,不動産仲介,求人なし,東京都豊島区長崎2-1-8,1991,代表取締役 石原 教充,33 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アイガーホーム,不動産仲介,求人なし,東京都板橋区板橋1-18-6白井ビル,1979,代表取締役 臼井 洋平,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アーバンビルダーズ,建築設計事務所,無,東京都豊島区東池袋1-15-10池袋ビル 2Ｆ,2001,代表取締役 村田 昭浩,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,拓建技術株式会社,建設コンサルタント,求人なし,宮城県石巻市三ツ股3-2-21,1983,代表取締役 堀内 一春,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
