更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,株式会社眞和リビングサービス,サブコン,求人なし,神奈川県横浜市都筑区北山田5-5-14,1983,代表取締役 小澤 和男,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社作真,住宅設備・建材,無,東京都足立区入谷1-22-12コーポはさま 1Ｆ,2010,代表取締役 関 祐作,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社扇屋,不動産仲介,求人なし,神奈川県小田原市飯泉24,1978,,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,を組株式会社,サブコン,求人なし,福島県岩瀬郡鏡石町岡ノ内416,1994,代表取締役 廣瀬 鋭一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社速伸工業,住宅設備・建材,無,千葉県松戸市二十世紀が丘戸山町6クイーンズヒルＢ 101,1992,代表取締役 鈴木 茂,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社雄盛内装工業,内装・インテリア・リフォーム,求人なし,千葉県八街市富山1314-59,2005,代表取締役 西山 雄一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社佑星,サブコン,求人なし,千葉県松戸市東松戸3-5-7203,2011,代表取締役 月元 東秀,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社畑中建築設計,建築設計事務所,求人なし,千葉県柏市加賀3-25-2,2013,代表取締役 畑中 孝行,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社建晄,ゼネコン,求人なし,茨城県守谷市久保ケ丘3-7-12,2005,代表取締役 坂本 竜太郎,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社嶋工業,住宅設備・建材,無,神奈川県川崎市麻生区虹ケ丘1-14-10,1993,代表取締役 嶋 英美,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社ヒロキハウジング,不動産仲介,求人なし,山梨県甲府市貢川本町8-28,1997,代表取締役 手塚 英樹,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ノーベル不動産,不動産管理,求人なし,秋田県秋田市楢山川口境9-27,1979,代表取締役 最上 洋子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
