更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社トップコーポレーション,内装・インテリア・リフォーム,求人なし,千葉県習志野市本大久保5-5-25,1990,代表取締役 伊妻 美智,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社協同ビルテック,設備管理・メンテナンス,求人なし,神奈川県横浜市神奈川区神奈川本町14-2,1989,代表取締役 河野 光子,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社グラビス建築工房,建築設計事務所,求人なし,神奈川県横浜市神奈川区台町13-11ヒルトップ横浜 806,1988,代表取締役 志村 亥三六,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,柳澤工業株式会社,住宅設備・建材,求人なし,茨城県土浦市永井398,1975,代表取締役 栁澤 秀昭,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社保坂工業,内装・インテリア・リフォーム,求人なし,新潟県新潟市西区明田295-5,1982,代表取締役社長 保坂 秋夫,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社サン・コーポレーション,住宅（ハウスメーカー）,求人なし,千葉県習志野市東習志野3-8-3,1989,代表取締役 板橋 知一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,三幸工業株式会社,建築設計事務所,求人なし,千葉県習志野市茜浜1-2-5,1981,代表取締役 木村 雅道,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社習志野工業,サブコン,無,千葉県習志野市東習志野8-28-11,1987,代表取締役 川手 龍之進,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■給排水衛生設備・ガス工事全般■水道局、市役所等官庁発注の上下水道本管工事■建築物の外壁塗装・修繕・点検 2024年1月doda掲載求人より引用,
2024-08-01,株式会社イング,不動産仲介,求人なし,神奈川県横浜市神奈川区鶴屋町1-8-1ＡＬＰＳ横浜ビル 4Ｆ,1991,代表取締役 上原 隆,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社明貴,不動産仲介,求人なし,神奈川県横浜市南区弘明寺町字北ノ前56-1ＭＫビル,1996,代表取締役 塚田 賢一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
