更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社不動産ＢＡＮＫ,不動産仲介,無,東京都渋谷区円山町23-7桑原ビル 1Ｆ,2005,代表取締役 大竹 和之,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ガーデンテック株式会社,サブコン,求人なし,千葉県船橋市西船7-3-26,2006,代表取締役 成島 美行,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ｉ－ｓｉｘ株式会社,内装・インテリア・リフォーム,求人なし,埼玉県草加市高砂1-2-11001,2010,代表取締役 田村 真和,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,スペース・オブ・ファイブ株式会社,建築設計事務所,無,東京都港区南麻布1-20-9,2013,代表取締役 四十万 靖,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ファーストサービス,住宅設備・建材,無,愛知県名古屋市昭和区隼人町4-3ＬＡＫＥＳＩＤＥＩＲＩＮＡＫＡ 2Ｆ,1999,取締役 前田 信弘,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社シンエイ設備,内装・インテリア・リフォーム,求人なし,東京都練馬区関町南3-8-6アドバンス吉祥寺 1Ｆ,2006,代表取締役 北原 進一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社スリーピース,内装・インテリア・リフォーム,無,兵庫県神戸市中央区港島中町6-3-6,2007,代表取締役 鈴木 佳祐,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■事業内容：ビジネスプロダクション事業、不動産事業（サブリース）、アウトバンドコール事業、オンライン英会話事業、学習塾事業■営業拠点：東京、横浜、名古屋、大阪、神戸、福岡、ダバオ（フィリピン） 2024年1月doda掲載求人より引用,
2024-08-01,山之内工業株式会社,サブコン,求人なし,兵庫県尼崎市次屋3-11-21,1991,代表取締役 山之内 毅,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社川翔プログレス,不動産仲介,求人なし,東京都港区芝浦1-4-1芝浦ＳＦビル 6Ｆ,2004,代表取締役 川嶋 浩嗣,200 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社タクミ総建,内装・インテリア・リフォーム,求人なし,静岡県榛原郡吉田町片岡3397,2009,代表取締役 前地 一昭,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ローデックス株式会社,サブコン,求人なし,兵庫県神崎郡神河町上岩188-1,1997,代表取締役 田中 積,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社田中事務所,建築設計事務所,求人なし,愛知県名古屋市中区錦1-13-19名錦ビル,1991,代表取締役 田中 哲男,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社イーテック,建築設計事務所,求人なし,東京都江戸川区西瑞江5-4-9,2002,代表取締役 桐井 義則,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社サンデン,サブコン,求人なし,福岡県福岡市中央区笹丘1-35-6,2008,代表取締役 松村 圭一郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エヌアセット,不動産管理,無,神奈川県川崎市高津区溝口1-14-8石原ビル 2Ｆ,2008,代表取締役 宮川 恒雄,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
