更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社リヴシステム,不動産仲介,求人なし,東京都千代田区丸の内2-7-2ＪＰタワー 10Ｆ,2008,代表取締役 福元 恒徳,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,首都高機械メンテナンス株式会社,設備管理・メンテナンス,無,東京都千代田区神田小川町3-9-2,2008,代表取締役社長 高橋 三雅,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ビッグストリーム,不動産仲介,求人なし,東京都中央区日本橋本町3-1-6日本橋永谷ビル 513,2008,代表取締役 大沢 伸夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社三好空調,サブコン,求人なし,神奈川県横浜市青葉区大場町293-15,2008,代表取締役 三好 亮太,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大塚機工,サブコン,求人なし,神奈川県横浜市保土ケ谷区新井町459-8,2008,代表取締役 大塚 晃広,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ｉ．トータルエステート,不動産管理,無,東京都練馬区東大泉2-9-15,2008,代表取締役 元持 彰夫,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■戸建て・マンション・アパートの賃貸管理■リフォーム工事■不動産の売買及び仲介■火災保険取扱代理店（e-Net少額短期保険）■ケーブルテレビ取扱代理店（J:COM）東京都知事（3）89199号 2023年2月doda掲載求人より引用,
2024-08-01,株式会社清隆建設,サブコン,求人なし,大阪府東大阪市東山町4-10新石切ライトハウス 4Ｆ,1945,代表取締役 萩原 良隆,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,金城電設株式会社,サブコン,求人なし,大阪府藤井寺市沢田2-10-2,2008,代表取締役 金城 孝至,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東京ＤＡＮＯＩ,不動産仲介,無,東京都千代田区九段北4-1-14Ｆ,2008,代表取締役 日高 哲也,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エイチ・ビー,内装・インテリア・リフォーム,求人なし,東京都多摩市南野3-5-8,2008,代表取締役 細田 博之,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,エスアイシー株式会社,設備管理・メンテナンス,求人なし,大阪府守口市大日東町4Ａ3202,2008,代表取締役 佐川 智,1 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社銀座プライド,不動産仲介,求人なし,東京都中央区銀座3-8-4新聞会館 33,2008,,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,内村工業株式会社,サブコン,求人なし,大阪府豊中市大島町1-18-15,2008,代表取締役 内村 順一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社二葉屋,ゼネコン,求人なし,東京都豊島区目白2-1-1大下ビル 301,1965,代表取締役 大下 浩二,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＫＩＭ,住宅設備・建材,求人なし,福岡県北九州市八幡西区美吉野町10-19,2003,代表取締役 池上 幸二,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社西川ホームサービス,サブコン,求人なし,大阪府堺市美原区北余部220-8,2002,代表取締役 西川 能弘,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社メイクアップ,ゼネコン,求人なし,神奈川県横浜市旭区金が谷735-6,1994,代表取締役 宮崎 美奈子,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社総合ハイテック,設備管理・メンテナンス,求人なし,香川県坂出市林田町4285-147,1970,代表取締役 中井 康司,34 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＰＯＲＯＳＵＳ,不動産金融,求人なし,千葉県千葉市花見川区幕張町5-417-4菊栄ハイツ 106,2008,代表取締役 小田 徹,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ビルテック,ゼネコン,無,東京都葛飾区お花茶屋3-7-7,2004,代表取締役 宇田 考行,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,住まいの戸田株式会社,不動産仲介,求人なし,北海道千歳市千代田町5-5-1戸田ビル 1Ｆ,1960,代表取締役 戸田 貢介,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大誠ホーム,住宅（ハウスメーカー）,求人なし,熊本県熊本市中央区九品寺5-11-1,1988,代表取締役 宮本 一徳,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社コーボウ設備工業,住宅設備・建材,求人なし,大分県大分市大字三佐2122-8,1998,代表取締役 鶴原 一正,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社マーシャルホーム,不動産仲介,求人なし,東京都千代田区内神田1-18-11,2004,代表取締役 松本 聖紀,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社グッドハウス,内装・インテリア・リフォーム,求人なし,大阪府四條畷市雁屋南町11-12,2004,代表取締役 倉前 英明,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大塚設備,設備管理・メンテナンス,無,東京都日野市百草2027第5イースト 1Ｆ,1977,代表取締役 大塚 拓也,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■各種給排水衛生設備の設計、施工、保守管理■各種空気調和設備の設計、施工、保守管理 2024年4月doda掲載求人より引用,
2024-08-01,株式会社アセットホームサービス,ゼネコン,求人なし,埼玉県川越市中原町2-3-2,2003,代表取締役 内田 親也,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ムサシホームズ,不動産仲介,求人なし,東京都国分寺市本町2-7-4Ｍ・Ｈビル,2008,代表取締役 廣田 雅宣,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アセットマネジメント株式会社,不動産仲介,求人なし,神奈川県横浜市青葉区市ケ尾町1175-24パールマンション 1Ｆ 105,2006,代表取締役 大屋 悦生,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社マルエイプロパティマネジメント,ディベロッパー,求人なし,東京都港区六本木5-16-5インペリアル六本木1号館 510,2002,代表取締役 椎奈 孝樹,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
