更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,石井電設工事株式会社,設備管理・メンテナンス,求人なし,兵庫県加東市大門375-3,1981,代表取締役 石井 克彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社九州建物管理サービス,不動産管理,求人なし,鹿児島県鹿児島市武岡1-14-3,1992,代表取締役 髙橋昭壽,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社沖縄大洋工芸,内装・インテリア・リフォーム,求人なし,沖縄県糸満市西崎町4-15-10,1972,代表取締役 樫田 典明,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,高橋産業株式会社,サブコン,求人なし,神奈川県厚木市三田1755-1,1964,代表取締役 高橋 敏文,11 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ハウジングセンターミウラ,設備管理・メンテナンス,求人なし,愛知県知立市中町花山18,1992,代表取締役 可児 一也,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,昭和ドア有限会社,住宅設備・建材,求人なし,沖縄県那覇市小禄1-1-18,1982,代表取締役 上原 勇,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,愛豊技研株式会社,プラントメーカー・プラントエンジニアリング,求人なし,愛知県知立市上重原町曇り62,1975,代表取締役 濵島 竜二,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,太陽ハウジング株式会社,住宅（ハウスメーカー）,無,愛知県知立市鳥居3-3-12,1984,代表取締役 鈴木 浩太,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■注文住宅、分譲住宅の設計・施工・監理・販売■不動産の売買・仲介・買取■エクステリア・インテリアのプランニング・施工・監理■戸建・マンション等のリフォーム工事■ユニテハウス販売店(ユニテハウス愛知中央)■LIXILリフォームショップ 太陽■テクノストラクチャー販売店(Panasonic Builders Group) 2021年10月doda掲載求人より引用,
2024-08-01,株式会社木下輸送機,サブコン,求人なし,大阪府大阪市平野区加美北3-14-3,1988,代表取締役 木下 和智,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,沖縄環境企画株式会社,プラントメーカー・プラントエンジニアリング,求人なし,沖縄県那覇市字仲井真107,1982,代表取締役 大城 安世,28 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日新興業株式会社,サブコン,求人なし,宮崎県延岡市本小路74日新盛徳会館 2Ｆ,1950,代表取締役 河野 孝夫,60 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社横山建設工業,建築設計事務所,求人なし,兵庫県加東市東実105-260,1983,代表取締役社長 横山 欣吾,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社小溝技術サービス,建設コンサルタント,求人なし,鹿児島県鹿児島市天保山町16-18,1974,代表取締役 小溝 譲太,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ウィンデックス株式会社,内装・インテリア・リフォーム,求人なし,神奈川県厚木市妻田東3-10-7,1978,代表取締役 佐々木 誠一郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,シーズンライフ株式会社,設備管理・メンテナンス,求人なし,兵庫県小野市古川町642-1,1987,代表取締役 辻本 和哉,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ジーピー,サブコン,求人なし,大阪府大阪市平野区長吉川辺3-12-24,1996,代表取締役 柳澤 靖史,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社福田電気商会,設備管理・メンテナンス,求人なし,兵庫県加東市上滝野1346-1,1988,代表取締役 福田 歩,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社岸田電業,設備管理・メンテナンス,求人なし,宮崎県延岡市大貫町4-2918,1973,代表取締役 岸田 貴子,24 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
