更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,スターツコーポレートサービス株式会社,不動産管理,求人なし,東京都中央区日本橋3-1-8スターツ日本橋ビル 6Ｆ,2005,代表取締役 新井 俊也,156,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ピー・エイ・イー・デザイン・アンド・ファシリティー・マネージメント,建築設計事務所,求人なし,東京都港区芝公園1-3-10ＰＡＥ芝ビル,,日本代表兼社長 Ｓ．ゴールド,155,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社小田急ハウジング,不動産仲介,無,東京都渋谷区初台1-47-1小田急西新宿ビル 8Ｆ,1972,代表取締役 佐藤 敏晴,155,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社長谷工ビジネスプロクシー,不動産仲介,求人なし,東京都港区芝3-8-2芝公園ファーストビル 14Ｆ,2014,代表取締役社長 池田 直樹,155,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社深松組,サブコン,求人なし,宮城県仙台市青葉区荒巻本沢2-18-1,1953,代表取締役 深松 努,154,93 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ヤスダエンジニアリング株式会社,建設コンサルタント,求人なし,大阪府大阪市浪速区塩草3-2-26安田ビル,1991,代表取締役 安田 京一,154,300 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,アイカテック建材株式会社,住宅設備・建材,求人なし,東京都練馬区豊玉北6-5-15アイカ東京ビル 2Ｆ,2015,代表取締役 倉本 寛直,154,80 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,九州三菱電機販売株式会社,設備管理・メンテナンス,求人なし,福岡県福岡市中央区那の津4-4-25,1967,代表取締役 中村 佳嗣,153,300 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日進化成株式会社,設備管理・メンテナンス,求人なし,東京都新宿区神楽坂1-15神楽坂1丁目ビル 7Ｆ,1958,代表取締役 下田 一徳,153,48 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日信防災株式会社,設備管理・メンテナンス,求人なし,東京都千代田区岩本町3-2-4岩本町ビル 6Ｆ,1989,代表取締役 矢口 孝仁,151,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＴＦＤコーポレーション,不動産仲介,無,東京都港区赤坂4-2-6住友不動産新赤坂ビル 8Ｆ,1977,代表取締役 船間 隆文,151,80 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
