更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,有限会社イチペン,サブコン,求人なし,千葉県市川市原木3-6-8,2005,代表取締役 佐藤 寿志,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,内湾開発株式会社,不動産仲介,求人なし,千葉県市川市南八幡4-10-8,1961,代表取締役 田中 甲,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東営建設株式会社,サブコン,求人なし,千葉県市川市柏井町3-146-1,1973,代表取締役 白井 敏子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サカイ,内装・インテリア・リフォーム,求人なし,千葉県市川市押切3-18パレスダイヤモンド 101,2004,代表取締役 境 美和子,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社関東共同土建,ゼネコン,無,千葉県市川市行徳駅前2-8-20サントス 206,2000,代表取締役 中野 輝敏,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,飲食店の経営、企画及び管理【出資会社】株式会社関東共同土建 2024年1月doda掲載求人より引用
2024-08-01,株式会社アクアガード,サブコン,求人なし,千葉県市川市大野町4-2180,2007,代表取締役 三上 栄一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三陽不動産株式会社,不動産金融,求人なし,千葉県船橋市海神2-21-28,1997,代表取締役 上杉 みよ子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社拓実,不動産金融,求人なし,千葉県船橋市西船4-12-26,1986,代表取締役 井岡 禎一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＪｕｓｔＨｏｍｅ,不動産仲介,求人なし,千葉県船橋市二和東6-43-19ガーデンホームズ 101,2004,代表取締役 和泉 健二,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,船橋建設工業株式会社,ゼネコン,求人なし,千葉県船橋市浜町1-42-5,1949,代表取締役 清水 勉,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東葉アメニティ株式会社,設備管理・メンテナンス,求人なし,千葉県船橋市前原西7-17-20新京成前原駅前ビル 3Ｆ,1991,代表取締役 櫛田 陽介,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,グッドリビング株式会社,住宅（ハウスメーカー）,求人なし,静岡県浜松市中央区佐鳴台1-8-8,1988,代表取締役会長 相澤 健一,92 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
