更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,資本金,平均年齢,従業員数,企業URL,代表者,上場市場名
2024-08-01,うた防災株式会社,設備管理・メンテナンス,4,■事業内容： （1）防用設備の保守・点検・工事・販売・各種法定点検・消火設備：消火器（業務用・家庭用）・屋内消火栓設備（ホース）・スプリンクラー設備・警報設備：自動火災報知設備・受信機・非常放送設備・漏電火災警報器・避難設備：救助袋・緩降機・避難はしご・誘導灯・その他消防用設備全般の修繕、工事、点検（2）有料職業紹介・消防設備士の転職支援/紹介業務・フリーランスへの仕事紹介・独立援助※許可番号：12-ユ-300873,千葉県船橋市大穴南2-16-13,2018,1百万円,,,https://boutai.org,,
2024-07-01,株式会社小林建設ホールディングス,建築設計事務所,1,■事業内容：1954年創業の総合建設業者「小林建設」を中心として、一級建築士事務所の「アーキプラス」、建築家と建てるローコストのデザイナー住宅「R+house」などを展開している「AFFECT」、そしてグループ経営管理を行なう｢小林建設ホールディングス｣。,福岡県久留米市山川町1661-1,1960,35百万円,,25,http://cova01.com/,,
2024-08-01,Ｙｚｋ　ｔｅｃｈ株式会社,設備管理・メンテナンス,3,■事業内容： ・一般建設業の施工管理、原価管理、安全・品質パトロール・水処理設備の改修工事やメンテナンス作業・溶接配管、鍛冶作業、足場、機械据付、保温、塗装 等,三重県四日市市西坂部町2369,2018,5百万円,,3,https://www.yzktech.com/,,
2024-06-01,株式会社RCS,内装・インテリア・リフォーム,10,■事業内容：（1）建設技術者支援・企業の直接の指揮命令のもと、必要なとき、必要な人数、必要な場所で管理業務のサポートをすることが、同社の建設技術者支援です。（2）施工計画策定・管理・企業が施工計画の検討を進める過程で、手探りで不確実な想定条件の設定をしないで済むように、実勢の市場動向に基づいた現実的な指標を提供すると共に、幅広い専門分野の相談に応じることで、企業が実現可能な施工計画を立てるための支援を提供します。（3）総合施工コンサルティング業務・豊富な経験を有したコンサルタントが良きパートナーとなり、あらゆる施工に関する業務をトータルにサポートします。,兵庫県神戸市中央区八幡通3-1-14サンシポートビル6F,2018,20百万円,,151,https://www.r-c-s.jp/,,
2024-08-01,株式会社クラシアン,設備管理・メンテナンス,12,■事業内容：・水まわりの緊急メンテナンス・水道衛生設備工事、給水設備工事、排水設備工事・住宅設備機器の販売、施工・住まいのリフォーム,神奈川県横浜市港北区新横浜3-1-9アリーナタワー13F,1991,100百万円,,1121,http://www.qracian.co.jp/,,
2024-08-01,ミカタ株式会社,不動産仲介,2,■事業内容：・不動産業業務システムの改善または企画・提案のコンサルタント／インターネットポータルサイトの企画・運営・制作請負業務・不動産業務支援の オリジナル新商品開発の企画、立案／経営者、管理者並びに営業担当に対する教育・研修／各種情報システムの実施／不動産業者に対するコンサルティング業務,東京都千代田区神田須田町1-26ラシーヌ神田ビル6F,2018,10百万円,31.0,15,https://f-mikata.co.jp/,,
2024-08-01,株式会社Ａｉ ＴＲＵＳＴ,不動産金融,3,■事業内容： ・不動産販売業・不動産賃貸業・不動産仲介業・マンション管理業・建物管理業,大阪府大阪市淀川区西中島6-11-25第10新大阪ビル2F,2018,10百万円,26.2,25,https://aitrust-estate.co.jp/,,
2024-08-01,株式会社リック,サブコン,1,【太陽光発電事業】太陽光パネルの設置・メンテナンス、土地の買取・管理、電力買取【建築事業】リノベーション、リフォーム、戸建て建築、解体作業【その他の事業】ハチの巣の撤去・ハチの駆除、保険事業,兵庫県加古川市野口町坂元68-1 上月ビル301,2018,2000万円,,,https://rick1017.com/index.html,代表取締役 小倉 考喜,
2024-08-01,クレエ株式会社,不動産仲介,9,■事業内容： 不動産事業（企画開発、不動産販売、不動産買取、賃貸管理、建物管理）、太陽光事業（企画開発、販売、買取）わたしたちクレエは環境の変化に伴う不安を取り除き、人と街の豊かな暮らしをサポートするために、お客様それぞれの素晴らしき人生の中で、1人でも多くの方の「豊かさのキッカケ」を作る集団となります。社会に価値を生み出すために存在するという信念のもとサービスを提供しています。また、ミッションとバリューを定め、サービスづくりや組織づくりにおいて一貫した企業活動をしています。,東京都渋谷区渋谷2-10-13東信青山ビル2F,2018,100百万円,,27,https://creer-consul.co.jp/,,
2024-07-01,株式会社レックス,不動産管理,1,■事業内容： お客様の満足度を高めるために皆さまとの「対話」を第一に考え、以下の事業をベースに長期を要するご要望においても、課題解決まで経験豊富な専門スタッフが寄り添い着実に課題を解決してまいります。・不動産における企画・コンサルティング業務・不動産賃貸斡旋業・不動産売買事業・サブリース事業・不動産資産管理業務・不動産買取業務,大阪府大阪市西区南堀江1-11-1三共四ツ橋ビル8F,2018,10百万円,34.0,4,"Failed to retrieve page, status code: 410",,
2024-06-01,株式会社三光建設,サブコン,1,■事業内容：・土木建設工事：栃木県、群馬県を中心に関東全域を施工エリアとして、各種建設工事を承ります。民間の企業様からも多くのご依頼を頂いております。道路工事、河川工事といった土木工事を中心に造成工事、建設の基礎工事等、ごく小規模な工事から大規模な工事まで幅広く対応しています。重機などの自社設備が充実し、有資格スタッフも数多く在籍、その操縦・操作技術にも自信を持っております。,栃木県足利市瑞穂野町682-3,2018,5百万円,45.0,10,https://www.sankou-c.co.jp/,,
2024-07-01,株式会社那の川建設,サブコン,2,■事業内容：・建設工事の設計、施工・地域開発、都市開発に関する事業の企画、調査、設計、監理■事業の特徴：（1）建設工事／設計・施工・設計及び着工から引渡しまでの業務全般・施工品質、精度向上のため社内規定による特定工程検査の実施・既存建物の改修、リノベーション工事など,福岡県福岡市東区香椎駅前1-8-144F,2018,20百万円,,7,http://nanokawa.com/,,
2024-06-01,第一共創建設株式会社,サブコン,2,■事業内容について： 20年以上の経験を持つベテラン作業員を筆頭に、「素早く」「正確」「安全に」をモットーとして下記の工事に行っております。・各種土木工事：大規模造成からそれに伴う排水管等の敷設、各種外構工事など土木工事の全般を行います。・整備・鍛治工事：更に第一共創建設株式会社では、大手製鉄プラントにおいて整備を含む鍛治工事も展開しております。老朽化が進行する各種設備を新設・維持保全するのが私たちの仕事です,千葉県君津市下湯江217-2,2018,,,7,https://www.1st-kyoso.com/,,
2024-06-01,株式会社Ｔ’ｓアソシエーション,内装・インテリア・リフォーム,1,■事業内容・建設全般業・自動車販売業/新車、中古車販売・買取・板金塗装・整備・保険・コーティング その他,大阪府摂津市一津屋1-23-5,2019,10百万円,,15,https://ts-hq.com/,,
2024-08-01,Ｓ‐ｇｌｏｗ株式会社,不動産仲介,5,■不動産仲介業当社運営サイト「STELLA HOUSE」URL：https://www.s-house.jp/,東京都渋谷区渋谷3-18-8 よしむらビル5F,2019,1000万円,27.0,25,https://s-glow.com/,代表取締役社長 星野 秀輝,
2024-08-01,株式会社リプラス,不動産仲介,1,■当社について：当社は、建築・不動産のプロ集団です。大手ハウスメーカーや大手ゼネコンにて経験を積み、それらのノウハウを活かして安心・品質・安全をご提供します。当社の強みは資格を持った様々な専門分野の職人が手掛ける確かな施工技術を有し、企画、設計、管理を自社でワンストップ体制を整え、不動産の管理から建物の施工まで一気通貫で対応できることです。設計、デザイン、建設を一貫して取り組んでおり、幅広い領域に対応可能で、最新のテクノロジーを取り入れた建築領域も実現可能です。具体的には、新築戸建て（SW工法）、グループホーム、リノベーション、コンテナ出店等が得意領域と言えます。,愛知県名古屋市名東区上社1-1813-2,2019,1百万円,37.0,5,https://arch-replus.co.jp/,,
2024-08-01,株式会社モデスト,建設コンサルタント,6,■会社概要・当社は2019年に設立し、住宅、太陽光、土地といった住まいに関して様々な事業をしております。・時代の流れに沿ったご提案を心掛けていきます。■事業内容・注文住宅、リフォーム、店舗、建築設計、新築住宅・中古住宅・土地・マンションの売買及び仲介、住宅ローンコンサルティング、あいおいニッセイ同和損害保険代理店、太陽光発電システムの施工販売、エクステリア工事一式,群馬県太田市大原町2256-18,2019,3百万円,,6,https://modest.biz/,,
2024-08-01,ライフテラス株式会社,不動産仲介,1,任意売却業務リースバック業務共有名義不動産（持分）売買及びリースバック業務一棟収益不動産売買不動産買取業務不動産仲介業務相続不動産相談業務法律相談全般,大阪市北区梅田1-1-3大阪駅前第3ビル2階,2019,,,,https://www.l-terace.co.jp/,代表取締役 新井 一毅,
2024-08-01,株式会社Ｇ‐ＣＯＬＯＲ,サブコン,1,電気工事・通信工事（携帯基地局の置局工事・設備更新工事・メンテナンスなど）,千葉県市川市北方町4-1948-7 市川北方WELL'S 21パート2．B号室,2019,,,3,https://g-color.biz/,代表取締役 斉藤 真継,
2024-08-01,株式会社ネクスウィル,不動産仲介,2,■訳あり不動産買取事業■空き家、訳あり不動産CtoCプラットフォーム運営■FIREを目的とした不動産投資事業,東京都港区東新橋2-11-4 Mayapada Shiodome Plaza 3F,2019,4億4200万円（利益剰余金含む）,35.0,30,https://www.nexwill.co.jp/,代表取締役 丸岡 智幸,
2024-07-01,株式会社ＴＥＱＵＰ,プラントメーカー・プラントエンジニアリング,1,■医薬品のプラント設計・製造■安全な設備運用のための法令に基づいた計算■プラントの特性を考慮した図書の作成、実施・調整・校正、実施報告書作成■メンテナンス項目の策定・カイゼン提案等,大阪府豊中市寺内二丁目13番1号 緑地ステーションビル205号,2019,900万円,,,https://tequp.jp/,代表取締役 髙橋 直希,
