更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-07-01,株式会社コンストラクションサポート藤井,建設コンサルタント,3,■事業内容： ・建設コンサルタント…土木設計（道路設計・道路構造物設計・道路付属物設計・森林治山土木設計）・補償コンサルタント…事業損失調査（家屋調査・地下水調査・騒音振動調査） …物件調査（立木調査（国有林含む））・測量業…地形測量、用地測量、基準点測量・計量証明事業…騒音、振動、濃度（水質）・土壌汚染調査（土壌汚染対策法における指定調査機関）・アスベスト調査・分析・施工管理試験・労働者派遣事業…建設技術者専門の人材派遣（無期雇用のみ）,北海道旭川市大雪通8-508,1957,43.0,62,10百万円,https://www.consport.co.jp,,
2024-08-01,株式会社イシン住宅研究所,住宅（ハウスメーカー）,3,■事業内容： 研究会事業として住宅フランチャイズ(FC)事業 中小工務店を中心とした全国の会員店を対象に、施工・販売などのノウハウを提供しております。他、グループのイシンホーム津山、イシンホーム岡山では注文住宅事業を展開しています。,岡山県津山市二宮654-4,1990,36.7,173,271百万円,http://www.ishinhome.co.jp/company.html,,
2024-07-01,タカハタ建設株式会社,ゼネコン,1,■事業内容：官公庁、民間から土木工事、建築工事を受注し施工。不動産業、損害保険代理業■資格者内訳：（1）土木…1級土木施工管理技士：48名、1級造園施工管理技士：12名（2）建築…1級建築士：2名、2級建築士：4名、1級建築施工管理技士：9名（3）事務…1級建設業経理事務士：4名、2級建設業経理事務士：2名（4）VEリーダー…30名,北海道旭川市本町3-437-239,1957,,79,100百万円,http://www.takahata-kk.co.jp/,,
2024-07-01,東海産業株式会社,サブコン,2,東海産業株式会社 ～創設５８年 愛され信頼される会社～■企業概要 土木事業：道路・河川・橋梁・情報ボックス・下水道・管更生砂利事業：砂利採取、販売・火山灰、土販売資材販売：生コン・セメント・土木資材販売 ー会社の特徴ー●グループ会社多数あり（運輸・生コン工場・砕石場・橋梁調査）●財務状況安定●重機自社保有台数１００台以上●ICT施工対応重機自社保有（バックホウ：１３台・ブルドーザー：１台）●ICT施工対応測量機器自社保有●現場代理人・重機運転手・作業員を自社直接雇用●外国人材受入 増員中（現在：ベトナム７名・モンゴル４名）,北海道旭川市東三条6-1-36,1964,,116,81百万円,http://www.tokai-gp.com/,,
2024-08-01,株式会社カワムラホーム,住宅（ハウスメーカー）,10,■事業内容： ・新築住宅の販売・設計施工・住宅リフォームの販売・施工・不動産の仲介・売買■創業100年以上の中で時代のニーズに合わせ業態を変化させ安定成長を続けています。,北海道旭川市豊岡四条3-7-13,1966,35.7,188,74百万円,http://youtopia.jp/kawamura/,,
2024-07-01,株式会社石山工務店,建築設計事務所,3,■事業内容： ・注文住宅の設計・施工 ・店舗併用住宅の設計・施工 ・住宅用土地分譲販売 ・一般不動産売買業務（土地・中古住宅）・住宅リフォーム・リノベーション ・マンションリフォーム・リノベーション ・エクステリア、ガーデニング家具・雑貨販売,北海道旭川市東四条8-1-15,1968,,67,10百万円,https://www.1480.jp,,
2024-08-01,玉機プラントテックス株式会社,サブコン,3,■事業内容：プラントメンテナンス事業・機械器具設置工事業,岡山県岡山市南区西紅陽台2-58-463,1963,33.3,38,10百万円,https://tamaki-planttex.co.jp/,,
2024-06-01,株式会社コスモホーム,サブコン,1,■事業内容： ・不動産の売買、賃貸、管理及びその仲介 建築工事の設計、施工、請負■当社について：・1988年設立した当社、浦和を中心としたエリアで毎年100棟以上の戸建て住宅販売事業を行っています。直近ではこれまでのノウハウを活かし、貸しビル事業への参入も図り、順調に推移中となります。会社設立以来約2500棟以上の実績があります。,埼玉県川口市芝4-1-4,1988,,51,10百万円,なし,,
2024-08-01,株式会社イデアス,プラントメーカー・プラントエンジニアリング,1,■事業内容： ・2次元、3次元CAD設計製図・省力機械、産業用機械、食材加工機・コピー、製本・電子ファイリング・ソフト企画、開発,岡山県玉野市玉6-7-14,1966,,130,10百万円,http://www.ideass.co.jp/index.html,,
2024-07-01,株式会社玉組,住宅設備・建材,1,■事業内容立体トラス部材製作・施工テントハウス製作一般製缶加工船舶艤装品製作土木工事業とび土木工事業塗装工事業一般運送業造船所構内荷役運搬産業廃棄物収集運搬船舶清掃作業木工事業舶用エンジンの部分組立船舶・艦船の艤装ならびに修繕工事配管製作、等,岡山県玉野市玉1-1-20,1950,,80,40百万円,https://tamagumi.jp/,,
2024-06-01,株式会社合田建設,住宅設備・建材,1,■企業概要：同社は公共事業を主体とする総合建設業者です。特定建設業を取得しており、土木工事を主に玉野市近郊で活動しています。公共工事のみではなく、民間工事にも力を入れており、地域密着型企業として昭和40年の設立以来、地域に貢献し続けています。■事業内容：総合建築業（土木工事一式、ほ装、鋼構造物、水道施設、下水道施設）、水道指定工事店、下水道指定工事店■社員資格：1級土木施工管理技士7名、2級土木施工管理技士3名、2級建築施工管理技士1名、2級造園施工管理技士1名、推進工事技士1名、給水装置工事主任者3名、下水道排水設備3名、宅地建物取引士1名,岡山県玉野市用吉1679-1,1965,47.0,15,40百万円,http://gouda-kensetu.com/,,
2024-06-01,株式会社ユニパック,設備管理・メンテナンス,3,■事業内容： ・空調設備の保守メンテナンス業 ・空調機の販売及び据付業,埼玉県川口市西川口2-7-1協和ビル1F,1990,40.0,17,100百万円,https://www.unipac.co.jp/,,
2024-08-01,天野産業株式会社,サブコン,3,■事業内容： 土木工事業、建築工事業、鳶・土工工事業、石工事業、鋼構造物工事業、舗装工事業、浚渫工事業、水道施設工事業、大工工事業、左官工事業、屋根工事業、タイル・煉瓦・ブロック工事業、鉄筋工事業、板金工事業、ガラス工事業、塗装工事業、防水工事業、内装仕上工事業、熱絶縁工事業、建具工事業、解体工事業,岡山県笠岡市七番町1-76,1969,,63,60百万円,https://amano-sangyou.co.jp/,,
2024-08-01,株式会社ファイブイズホーム,不動産仲介,13,■事業概要：・不動産販売事業・建築請負事業,埼玉県行田市持田3-2-17,1979,,382,78百万円,https://www.fiveishome.jp/,,
2024-06-01,株式会社柏木興産,ゼネコン,1,■事業内容：コンクリート二次製品および生コンクリートの製造・販売,福岡県福岡市博多区上牟田1-27-71F,1957,40.0,135,35百万円,http://www.kashiwagi-k.co.jp/,,
2024-07-01,株式会社大島電氣工事,内装・インテリア・リフォーム,4,【企業概要】～創業1979年、高圧受変電設備や一般家庭をはじめとする電気工事を通じて、お客様の快適な生活環境の維持・向上に努めています。～,岐阜県土岐市鶴里町柿野2474,1984,45.6,78,40百万円,https://ohshimadenki.co.jp/,,
2024-07-01,小川工業株式会社,ゼネコン,4,■事業内容：(1)土木事業部:土木工事の設計・施工(2)建築事業部:建築工事の設計・施工(3)住宅・リフォーム事業部: 注文住宅建築、分譲住宅販売、住宅リフォーム施工(4)建材販売事業部: 生コン・アスファルト合材・再生路盤材の製造・販売,埼玉県行田市桜町1-5-16,1948,43.0,200,114百万円,https://www.ogawa-k.co.jp/,,
2024-07-01,土井建設株式会社,内装・インテリア・リフォーム,2,■事業内容：・総合建設業└建築：店舗・工場・マンションなどの大型建造物から戸建て住宅まであらゆる建築工事。└土木：造成・舗装・河川・下水道工事などあらゆる土木工事。└リフォーム工事：屋根・外装・外構・内装・水廻りなどの設備、電気工事まですべてのリフォーム工事。・不動産└ユーミーマンションの所有、不動産売買、賃貸、仲介、管理業務。,岡山県総社市総社1-1-50,1960,,50,40百万円,https://www.doikensetsu.co.jp/,,
2024-07-01,大同電設株式会社,サブコン,1,■企業概要：当社は、北海道室蘭市に本社を置き、電気やエネルギーの設備工事を主な事業とする会社です。電気設備工事、発変電設備、工場電気設備、情報通信、弱電設備、各種試験、劣化診断といった分野をカバーし、どの領域においても設計・施工・メンテナンスを一貫して自社で行えることが大きな強みです。これまでに培った経験と技術力を活かして、環境に配慮した事業展開を進めていきます。,北海道室蘭市東町2-25-16,1958,39.7,135,36百万円,https://daido-den.co.jp/,,
2024-08-01,大澤建設株式会社,建設コンサルタント,3,■事業内容：総合建設業■当社概要：公共工事を主に請負しております。数多くの実績で官公庁からの信頼の高い会社です。また「彩の国ロードサポート団体」に所属し、街の道路の清掃美化活動に取り組んでおります。埼玉県の優秀建設工事等各種表彰にも選出される等、技術力もある企業です。,埼玉県行田市須加4421,1949,,12,20百万円,なし,,
2024-08-01,小沢工業株式会社,サブコン,1,■事業内容： ・建築工事業、土木工事業、とび・土工工事業、舗装工事業、内装仕上工事業、解体工事業、設計・監理・施工・宅地建物取引業、石油製品販売業、損害保険代理店業,埼玉県行田市栄町13-32,1958,,35,100百万円,"Failed to retrieve page, status code: 410",,
2024-05-01,美濃冷暖株式会社,設備管理・メンテナンス,1,～～～設立から47年の実力派。1971年の設立以来、着実に実績を残して参りました～～～■事業概要：空調設備工事の請負、企画、設計、管理及びコンサルティング業給排水衛生機械工事の請負、企画、設計、管理及びコンサルティング業住宅「M style home」の請負、企画、設計、管理及びコンサルティング業リフォーム、リニューアルの請負、企画、設計、管理及びコンサルティング業空調設備、給排水衛生機械工事に付帯する保守点検,岐阜県土岐市土岐口南町3-25美濃ビル,1971,,24,43百万円,http://www.mrd-group.co.jp/,,
2024-08-01,彩光電気工業株式会社,設備管理・メンテナンス,1,■電気工事業■電気通信業■消防施設工事業,北海道札幌市清田区里塚2条3丁目1-37,1971,40.0,,,http://saikou-denki.co.jp/,代表取締役 田中 真比呂,
2024-08-01,中村建設株式会社,サブコン,11,■企業概要：道路・橋梁・河川などを中心とした主力の土木工事から、建築（公共、ビル・マンションなど）、リフォーム、メンテナンスまで一貫して行う建設会社です。先代からの「小さい工事を大切に。その信頼の延長線に大工事がある」をモットーとしており、大規模工事から一般住宅のメンテナンスまで自社所属の職人で請け負っています。,岡山県高梁市横町1541-5,1959,46.1,146,100百万円,http://www.nakamurakensetsu.com/,,
2024-08-01,株式会社シバサキ,住宅設備・建材,5,■事業概要：・アルミ製品の開発、設計、製造・LED製品の開発、設計、製造,埼玉県秩父市大字堀切507,1951,42.5,127,90百万円,http://www.shibasaki-inc.jp/,,
2024-06-01,株式会社内池建設,ゼネコン,1,■事業内容：建築工事・建築設計業務・土木工事・宅地建物取引業■事業の特徴：（1）法人事業部…経営理念を遂行する中核事業が法人事業部であり、あらゆる建築物の施工を4つの価値（工期・コスト・品質・安全）に基づいて創造し、理念遂行を目指します。施工管理者による現場管理、顧客のコストの中で最大限の価値を提案する積算専門部署（技術部）、品質をチェックする専門の担当部署（CS推進室）、日々の安全をチェックする専門の担当部署（安全推進室）を社内に配置し、万全の態勢を整え、快適な街づくりの創造に取り組んでいきます。など,北海道室蘭市入江町1-115,1980,40.0,48,100百万円,https://uchiike-co.com/,,
2024-07-01,有限会社中島土木,ゼネコン,1,■会社概要・埼玉県秩父市にて創業。土木工事業、とび、土工工事業、管工事業、舗装工事業、水道施設工事業の建設会社です。■事業内容・土木工事業,埼玉県秩父市大野原1337-6,1994,50.0,8,10百万円,なし,,
2024-06-01,中村建設工業株式会社,ゼネコン,2,■事業内容： 土木工事、建築工事、塗装工事、舗装工事、その他工事■同社の特徴 創業70年以上、戦後間もなくから岡山県新見市で地域に根差した安定経営を続けています。工事のほとんどは新見市や岡山県などから請け負う公共工事です。 ■売上比率土木8割、建築2割■土木8割が公共工事、2割が民間工場・農場等■建築公共：民間が半々、リフォーム工事が主,岡山県新見市唐松2567-1,1951,,19,25百万円,なし,,
2024-07-01,鐘建工業株式会社,サブコン,2,■事業内容： 建築・土木工事における防水工事全般、塗装・吹き付け工事全般、ビル・マンション・住宅リフォーム工事,岐阜県各務原市那加岩地町3-123,1968,50.0,21,12百万円,https://kanekenkogyo.com/company,,
2024-07-01,東亜電工株式会社,内装・インテリア・リフォーム,1,■事業内容： 電気工事、電気通信工事（インターネット等光通信ネットワークサービス）、管工事、土木工事、水道施設工事、消防施設工事、機械器具設置工事、太陽光発電事業■業務の特徴：会社創立以来、地域に密着したサービスを展開し、地元の方から信頼を頂いています。情報通信等新しい分野の仕事にもチャレンジしており、やりがいを体感できる会社です。,岡山県新見市正田104,1989,,27,20百万円,http://www.toa-denko.co.jp/,,
2024-07-01,足立建設株式会社,ゼネコン,3,■事業内容： 足立建設株式会社は、官公庁施設（庁舎・学校・住宅・警察署等）・中高層集合住宅・商業施設等の建築工事を各官公庁および各企業等から受注し、高い評価と信頼を得ております。本当にお客様のためになり、なおかつ、お客様に満足して頂ける建物作りをしたいと考えております。家屋であれば、毎日暮らす家だから家族の健康と環境を大切にしてほしい…そのためには、近い将来、遠い将来の事まで見越して家を設計する必要があります。,岐阜県各務原市前渡西町1061-1,,50.0,13,,なし,,
2024-06-01,石田水道株式会社,サブコン,1,■事業内容： ・各務原市発注の水道施設工事、管工事の施工・大手ハウスメーカーの1次下請け業者として給排水衛生設備工事の施工現在、地震などの災害が起きても皆さんの生活が守られるよう、公道に埋設されている古くなった水道本管を耐震化された水道管と交換する工事を各務原市から受注し施工しております。また新築戸建て住宅、アパートの水回り工事から、ご自宅のリフォームや水のトラブル対応など、皆様が日々生活していく上で切り離すことができない「水回り」のお悩みをトータルに解決しております。,岐阜県各務原市鵜沼羽場町1-172-1,1977,44.0,18,20百万円,なし,,
2024-07-01,株式会社地建防災,サブコン,1,■事業内容：・モルタル吹付、落石防止網工事等の請負施工・植生芝及び緑化資材等の製造販売・緑化用機械器具、用具等の製造販売・土木建築用資材及び器具の製造販売・土木及び造園工事の請負施工・法面緑化工事及び防災工事等の請負施工,岐阜県各務原市鵜沼宝積寺町4-7,1979,49.0,23,20百万円,http://www.chikenbousai.com/,,
2024-08-01,株式会社環境施設,サブコン,2,事業内容： ■建設業 （土木：シールド工事・推進工事など） （建築：賃貸マンション・商業ビルなど）■建設コンサルタント■一級建築士事務所■生コン・再生生コン製造・販売業■産業廃棄物処分（中間処理業）（九州全域）■産業廃棄物収集・運搬業（九州全域）■採石業（山家採石場）■管更生工事、Two-Wayライニング工法（建設技術審査証明取得）■管更生Two-Wayライニング材製造・販売■ビル管理業■工場関係プラントメンテナンス業■警備業,福岡県福岡市西区小戸3-50-20,1987,,231,40百万円,http://www.k-shisetsu.co.jp/,,
