更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容
2024-08-01,三巳建設株式会社,ゼネコン,求人なし,愛知県名古屋市昭和区山花町193ハイツサンミ 1Ｆ,1960,代表取締役 八代篤典,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社豊建築設計事務所,建築設計事務所,求人なし,滋賀県長浜市神照町696-5,1972,代表取締役 村田 寿郎,18 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アールイーシー・コーポレーション,不動産仲介,求人なし,東京都港区東麻布3-8-7麻布ＧＴビル 1Ｆ,1989,代表取締役 山賀 重興,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ベストフォーム,サブコン,求人なし,千葉県印西市岩戸3547,1960,代表取締役 山本 昭信,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社光洋,サブコン,求人なし,京都府京都市上京区今出川通七本松西入真盛町712-8,1990,代表取締役 川田 求,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社イシン,サブコン,求人なし,三重県四日市市大井手3-6-3,1965,代表取締役 奥田 英明,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アイビーエステート,不動産仲介,求人なし,東京都港区北青山3-12-14ＭＡＫＯ北青山 3Ｆ,1991,代表取締役 池田 伸幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,中部岩佐塗装株式会社,ゼネコン,求人なし,愛知県名古屋市昭和区川名本町4-4,1964,代表取締役社長 永井 宏明,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,赤坂恒産株式会社,不動産仲介,求人なし,東京都港区南青山1-26-16乃木坂リリエンハイム 201,1979,代表取締役 山田 一雄,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,太平美装興業株式会社,不動産管理,求人なし,三重県四日市市大字塩浜439-3,1967,代表取締役 坂 大輔,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アトコ,内装・インテリア・リフォーム,求人なし,愛知県名古屋市昭和区白金3-18-26ＡＴＧ西館 3Ｆ,1968,代表取締役 井上 哲夫,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アカネ,ゼネコン,求人なし,東京都港区芝大門1-3-15Ａ．Ｔ．ビル 3Ｆ,1991,代表取締役 金子 和平,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アジケン,サブコン,求人なし,愛知県名古屋市昭和区向山町2-58-2,1971,代表取締役 田中耕太郎,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大同施設工業,設備管理・メンテナンス,求人なし,愛知県名古屋市昭和区福江1-11-5,1970,代表取締役 佐藤 好美,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ＲＥＩＮＴ,不動産仲介,無,神奈川県横浜市港北区菊名6-17-8,1999,代表取締役 難波 和弘,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リフォームキング,設備管理・メンテナンス,無,神奈川県横浜市都筑区見花山15-15,1990,代表取締役 松本 一彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サンエイ工務店,サブコン,求人なし,三重県四日市市羽津中2-2-4,1974,代表取締役 田中 巧,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社国井組,ゼネコン,求人なし,新潟県阿賀野市寺社2815-1,1973,代表取締役 國井 元樹,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アルプス造園有限会社,住宅設備・建材,求人なし,三重県四日市市尾平町3610,1989,代表取締役 殿林 繁樹,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社フォレスト・オオモリ,建築設計事務所,求人なし,三重県四日市市札場町406,1986,代表取締役 岩田 雅之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社小林組,サブコン,求人なし,新潟県阿賀野市曽郷302,1952,代表取締役社長 小林 孝章,40 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アッセン,不動産仲介,求人なし,東京都港区南青山2-22-15内山ビル 1Ｆ～2Ｆ,1964,代表取締役 下髙山 正人,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社双葉メンテック,設備管理・メンテナンス,求人なし,三重県四日市市大治田2-733-1,1992,代表取締役 伊藤 一雄,26 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社前田工務店,建築設計事務所,求人なし,愛知県名古屋市昭和区緑町1-10,1973,代表取締役 前田 俊男,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,チューボ・ジャパン株式会社,設備管理・メンテナンス,求人なし,東京都港区芝2-3-12芝アビタシオンビル5Ｆ,1986,代表取締役 松井 政一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,北三重技建株式会社,建設コンサルタント,無,三重県四日市市八王子町2380-3,1981,代表取締役 小林 寛也,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・土木工事に関する施工及び管理業務・建築工事に関する施工及び管理業務・舗装工事に関する施工及び管理業務・鋼矢板・杭圧入・打設・引抜工事の施工業務 2023年2月doda掲載求人より引用
2024-08-01,株式会社ヤマサンコーポレーション,不動産仲介,求人なし,愛知県名古屋市昭和区御器所通3-15-2ごきそビル 2Ｆ,1971,代表取締役 栁澤 幸輝,85 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社黒川建築事務所,建築設計事務所,求人なし,愛知県名古屋市中区丸の内1-15-9スガキコ第2ビル 2Ｆ,1973,代表取締役 黒川 喜洋彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社コスモプランニング,不動産仲介,求人なし,三重県桑名市大字大福251,1982,代表取締役 小林 政雄,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社共同,サブコン,求人なし,三重県四日市市新正3-17-6,1991,代表取締役 石垣 和哉,22 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社阿紋,設備管理・メンテナンス,求人なし,東京都港区高輪1-26-20アムス高輪 8Ｆ,1982,代表取締役 國井 美代子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,中部住研株式会社,不動産仲介,求人なし,三重県四日市市青葉町780-4,1990,代表取締役 坂倉 慎一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アルファープランナー,不動産仲介,無,東京都港区六本木7-3-12六本木インターナショナルビル 6Ａ,1986,代表取締役 安齋 則彰,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ●都内及び都内近郊のデザイナーズ物件をメインに取り扱う不動産賃貸管理会社です 2023年7月doda掲載求人より引用
2024-08-01,株式会社いし満,内装・インテリア・リフォーム,求人なし,愛知県名古屋市中区千代田5-15-12千代田ヒルズ Ｂ1Ｆ,1948,代表取締役 石原 和典,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社第一塗装店,サブコン,求人なし,愛知県名古屋市昭和区鶴舞2-16-17,1959,代表取締役 山下 保佑,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,東海ビジネス開発株式会社,土地活用,求人なし,愛知県名古屋市昭和区福江1-7-1,1979,代表取締役 野々山 宗輝,55 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,三重コニックス株式会社,不動産管理,求人なし,三重県四日市市芝田1-2-13,1988,代表取締役 吉田 治伸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社アクティブ,不動産仲介,求人なし,京都府京都市上京区新町通今出川上る西入元本満寺町307-22,1997,代表取締役 岡本 隆,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,新星電機株式会社,サブコン,求人なし,愛知県名古屋市昭和区滝子通1-6-2,1973,代表取締役 長尾 泰幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社中部地質試験所,土地活用,求人なし,愛知県名古屋市昭和区白金1-14-27,1976,代表取締役 田中 悠平,35 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,国友工業株式会社,不動産仲介,求人なし,滋賀県長浜市神照町938,1960,代表取締役 國友 鉄平,37 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ＮｏｖｅＷｏｒｋｓ株式会社,住宅（ハウスメーカー）,求人なし,滋賀県長浜市八幡東町237,1949,代表取締役 伊藤 浩,90 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社フジケンホーム,住宅（ハウスメーカー）,求人なし,三重県四日市市ときわ2-8-9,1993,代表取締役 藤原 英雄,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社新光園,サブコン,求人なし,新潟県阿賀野市天神堂387-1,1992,代表取締役 野瀬 陽,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,キョウテク株式会社,不動産仲介,求人なし,京都府京都市下京区不明門通五条下る2丁目下平野町483-1,1996,代表取締役 兼本 尚幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,トーテクシステム有限会社,内装・インテリア・リフォーム,無,東京都港区赤坂7-9-9今野ビル 1Ｆ,1993,代表取締役 今野 邦浩,4 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社東京一高商会,サブコン,求人なし,東京都港区海岸1-13-19浜松町ビジネスマンション,1976,代表取締役 野尻 定亨,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ハウジング北野,不動産管理,求人なし,京都府京都市上京区今出川通七本松西入東今小路町744,1998,代表取締役社長 辻本 恭典,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社大和,内装・インテリア・リフォーム,求人なし,滋賀県長浜市下坂浜町98-1,1976,代表取締役 大神 信也,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社伊藤鈑金工作所,設備管理・メンテナンス,求人なし,三重県四日市市川原町33-1,1967,代表取締役 伊藤 豪人,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,アーステック株式会社,建設コンサルタント,求人なし,滋賀県長浜市口分田町789-1,1974,代表取締役 中川 明人,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社岩田造園,内装・インテリア・リフォーム,求人なし,三重県四日市市江村町920-5,1998,代表取締役 岩田 春樹,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社岡野組,ゼネコン,求人なし,京都府京都市左京区岡崎円勝寺町85-4,1952,代表取締役 岡野 真之,49 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社あめりか屋,内装・インテリア・リフォーム,求人なし,京都府京都市左京区下鴨松原町20,1948,代表取締役 山本 英夫,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,影近設備工業株式会社,設備管理・メンテナンス,求人なし,京都府京都市左京区北白川西町83,1951,代表取締役社長 影近 義之,99 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,都市計画サービス株式会社,設備管理・メンテナンス,無,東京都港区芝浦2-15-16田町Ｋ・Ｓビル 5Ｆ,1981,代表取締役 瀧澤 秀泰,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■ビル設備の清掃・メンテナンスサービス■ハウスクリーニングサービス■労働者派遣事業（派 13‐310164） 2024年2月doda掲載求人より引用
2024-08-01,大塚産業インテリア株式会社,内装・インテリア・リフォーム,無,滋賀県長浜市八幡中山町1,1957,代表取締役 大塚 道夫,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■建築内装施工管理 新築戸建住宅・建売分譲住宅・集合住宅（クロス施工・カーペット施工・ビニール床施工 オーダーカーテン縫製及び施工等）■リフォーム工事リフォーム施工全般（企画提案・工程管理・施工管理等） 2023年8月doda掲載求人より引用
2024-08-01,長和産業株式会社,住宅設備・建材,求人なし,滋賀県長浜市新庄中町158,1970,代表取締役 藤本 経次,80 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,内外土地開発株式会社,土地活用,求人なし,東京都港区三田2-14-7ローレル三田 505,1979,代表取締役 佐野 和幸,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社アスホ,サブコン,求人なし,滋賀県長浜市西上坂町336,1991,代表取締役 吉原 一勇,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ヤマト管工株式会社,サブコン,求人なし,滋賀県長浜市平方南町62,1975,代表取締役 大西 良明,42 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社羽田工業,設備管理・メンテナンス,求人なし,三重県四日市市西坂部町3591-2,1979,代表取締役 羽田 健,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,有限会社西川総合建設,サブコン,求人なし,滋賀県長浜市常喜町1370,1979,代表取締役 西川 善藏,6 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社富洋組,サブコン,求人なし,三重県四日市市高角町918-2,1984,代表取締役 近藤 雅幸,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エイチティー,不動産管理,求人なし,三重県四日市市安島1-2-25ＨＴ2ビル 7Ｆ,1989,代表取締役 堀木 雄一朗,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ジェイジェイエフ,建築設計事務所,求人なし,滋賀県近江八幡市鷹飼町北3-8-7ＪＪＦビル 1Ｆ,1987,代表取締役 志村 保秀,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,日本リアルト株式会社,不動産仲介,求人なし,東京都港区海岸1-6-1イトーピア浜離宮1111,1983,代表取締役 境 賢一郎,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社小川組,ゼネコン,求人なし,滋賀県近江八幡市千僧供町386,1970,代表取締役 小川 敏信,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社ピースオブマインド,不動産仲介,無,東京都港区六本木3-16-13アンバサダー六本木 304,1989,代表取締役 若月 宣子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社プレステージプランニング,内装・インテリア・リフォーム,無,東京都渋谷区恵比寿1-3-1朝日生命恵比寿ビル 3Ｆ,1991,代表取締役 新滿 守,79 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ◇原状回復コンサルティング◇リフォーム・リノベーション事業◆東京都知事許可（特-4）第114026号◆東京都知事登録第57022号 2023年3月doda掲載求人より引用
2024-08-01,有限会社牛田噴霧機工場,設備管理・メンテナンス,求人なし,東京都港区白金5-11-13,1941,代表取締役 牛田 清次,7 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社リフォックス,内装・インテリア・リフォーム,求人なし,三重県四日市市伊坂町1693-2,1995,代表取締役 柏原 修一,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社水戸舗道,サブコン,求人なし,三重県四日市市小杉新町13-2,1995,代表取締役 川﨑 博之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社サティスホーム,住宅（ハウスメーカー）,無,三重県四日市市石塚町8-24,1994,代表取締役 小林 克之,15 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,オリエント興産株式会社,不動産仲介,求人なし,東京都港区南青山2-27-22青山安田ビル 278,1975,代表取締役 矢延 実康,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社エイ・エス・ケイ・クラフト,内装・インテリア・リフォーム,無,三重県四日市市幸町1-21幸町ビル 2Ｆ,1999,代表取締役 堀江 敦,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社スイファ,内装・インテリア・リフォーム,求人なし,東京都港区三田5-10-3,1977,代表取締役 金井 由光,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,株式会社昭和電工社,設備管理・メンテナンス,求人なし,京都府京都市左京区下鴨北野々神町33,1965,代表取締役 進藤 久和,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
