更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,平均年齢,従業員数,企業URL,資本金,上場市場名
2024-08-01,株式会社Ｇｒａｎｄ　Ｃｅｎｔｒａｌ,経営・戦略コンサルティング,14,■事業内容：営業コンサルティング・営業代行 ”セールスの常識に、革命を”というミッションのもと、スタートアップ～大手上場企業様を対象に、市場のデータやクライアントの営業概況をもとに仮説立て～仮説を実際の営業活動に落とし込む実行支援まで行います。,愛知県名古屋市中区錦2-20-15広小路クロスタワー21F,2021,,26.0,220,https://grandcentral.jp,10百万円,
2024-06-01,株式会社ケインズアイホールディングス,税理士法人,1,■事業内容： ケインズアイコンサルティンググループは財務戦略コンサルティング、フランチャイズチェーンの総合的支援、電子化による業務改善コンサルティングが私たちの主な事業として展開しておりります。高度な専門士業の集結という強みを活かし、総合的なコンサルティングを行うことができます。財務会計コンサルティング、これまでの実績を活かしたフランチャイズチェーンの本部・店舗の支援、書類電子化を軸としたITによる業務改善コンサルティングと幅広い領域を手がけます。 コンサルティング事業：豊富な経験と知見をもとに、税務申告業務の枠を超え相続や承継、事業再生など高度なコンサルティングサービスをご提供します。,千葉県千葉市中央区問屋町1-35,,,,110,https://keinz-i.co.jp/,,
2024-08-01,株式会社シグマクシス,経営・戦略コンサルティング,24,シグマクシス は2008年に事業を開始。2021年10月に持株会社体制への移行に伴い会社分割により新設され、コンサルティング事業を承継しました。グループのビジョンである 「Create a Beautiful Tomorrow Together」 の実現に向け、企業の課題解決のみならず、企業と共に新たな社会を描き、業界の壁を超えて企業間を連携させながら実現していくコンサルティングファームです。多様な能力を持つコンサルタントが、社内はもちろん幅広い領域にわたるパートナー企業とのコラボレーションにより、新しい価値の創造を目指します。,東京都港区虎ノ門4-1-28虎ノ門タワーズオフィス9F,2021,,,565,https://www.sigmaxyz.com/sx/company/about/,200百万円,
2024-08-01,株式会社ＬＡＳＩＮＶＡ,経営・戦略コンサルティング,4,■事業内容： ・経営コンサルティング事業・ITコンサルティング事業・フリーコンサルタント向けの案件マッチング事業,東京都港区六本木6-2-5Bizflex六本木3F,2021,,,70,https://lasinva.com/,20百万円,
2024-06-01,株式会社Ｍ＆Ａ　ｗｏｒｋｓ,経営・戦略コンサルティング,1,M&A仲介・M&A仲介に付随するアドバイザー業（中小企業庁のM&A支援認定機関です）,東京都港区東麻布1-9-15東麻布一丁目ビル2F,2021,代表取締役 安藤 智之,33.6,11,https://maworks.co.jp/,8000万円,
2024-05-01,シーズ税理士法人,税理士法人,1,■事業内容： ◎税務業務全般・税務会計顧問業務／税務申告書作成業務・記帳代行・記帳指導・クラウド会計導入サポート・セカンドオピニオン・融資・補助金・助成金相談・申請手続き・年末調整・給与計算／決算・財務分析（節税対策）◎事業承継・資産承継サポート・相続税申告書作成業務・相続対策コンサルティング・税務上の株価評価（株価評価算定書の作成含む）・M&Aスキームの検討・財務DD＆税務DD◎コンサルティング業務◎金融機関向けセミナーの企画／実施,東京都中央区築地2-2-8,2021,,34.0,10,http://www.seass-tax.com/,,
2024-08-01,社会保険労務士法人AdjustHR,社会保険労務士事務所,2,■事業内容： 【社会保険労務士業務】・労務顧問業務・労働保険、社会保険等の手続き作成代行業務・給与計算、賞与計算の代行業務・雇用契約書、労働条件通知書、誓約書等の雇用に関わる書式の作成支援・終業規則や諸規定、人事ルール等の規程類の作成支援・雇用に関わる助成金のスキーム提案、申請代行【人事労務支援業務】・労務周りの書類、公文書等の保管、整理支援・人事労務業務のオペレーション改善支援・HRシステムの導入、運用支援・企業認証取得支援・人材派遣業の許可申請業務、有料職業紹介事業者の許可申請業務・企業合併における人事労務DDや人事労務PMIの支援業務,大阪府大阪市中央区南本町2-4-10,2019,,31.5,14,https://sharoushi.adjust-hr.com/,,
2024-08-01,ＭＢＫ　Ｗｅｌｌｎｅｓｓ　Ｈｏｌｄｉｎｇｓ株式会社,組織人事コンサルティング,16,■ビジョン： 人と組織と社会のWell-beingをつくるMBK Wellness Holdingsグループは、社会が抱える“人”に関わる課題に真摯に向き合い、唯一無二の複合的サービスの提供を通じて、Well-beingな社会の実現を目指します。,東京都港区新橋1-1-1日比谷ビルディング7F,2021,,,,https://www.mbk-wellness.co.jp/ja/index.html,305百万円,
2024-07-01,司法書士法人松野下事務所,司法書士事務所・行政書士事務所,2,■事業内容：（1）不動産登記…不動産の売買・相続等による名義変更、不動産の信託登記、新築建物の登記・担保権設定、住宅ローン完済による抵当権抹消、住宅ローン借換えによる登記等。（2）会社・法人登記…会社設立・役員変更等に関する登記、その他の法人・組合に関する登記等。（3）成年後見…認知症などにより判断能力が低下した人のための成年後見（任意・法定）に関する業務。（4）遺産整理業務…遺産管理人（遺産整理業務受任者）として行う相続財産の承継に必要な業務全般。,東京都豊島区池袋2-48-1,1981,,45.0,14,http://www.matsunoshita.gr.jp/,,
2024-08-01,株式会社楡,マーケティング・リサーチ,3,■事業内容 ・経営コンサルティング事業・マーケティング分析、広告制作、広告代理店事業・経理、情報システム業務のアウトソーシング事業■企業の特徴・当社は、業界最大手の司法書士法人中央事務所から分社化する形で独立しました。司法書士法人中央事務所では、「司法書士」という言葉の持つ堅いイメージを打ち壊し、合理性を追求した分業制の導入や積極的な広告展開を図ってきました。その中で培ってきた既存の業界イメージを打破するマーケティングや日々大きく成長していく組織を支える経理、情報システムといった経営インフラに対するノウハウを幅広く活かしていきたいと考えています。,東京都渋谷区代々木1-42-2-302,2021,,34.0,20,https://nire.work/,,
