更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,マルエネ・リテールサポート株式会社,石油・資源,求人なし,東京都千代田区富士見1-8-19住友不動産千代田富士見ビル 11Ｆ,2012,代表取締役 辛島 広一,20 百万円,,,,,
2024-08-01,エコカーボン株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,無,東京都千代田区飯田橋2-11-10山田ラインビルＩＩＩ 2Ｆ,2007,代表取締役 坂本 勝一,35 百万円,,,,◆省エネルギーシステム事業◆省エネルギー診断◆補助金・助成金コンサルティング◆機器販売事業 2024年3月doda掲載求人より引用,
2024-08-01,株式会社力電,石油・資源,無,東京都江戸川区船堀3-8-11202,2012,代表取締役 橋本 力,3 百万円,,,,,
2024-08-01,コムシスクリエイト株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都品川区東五反田2-17-1,2012,代表取締役 佐々木 和秋,10 百万円,,,,,
2024-08-01,株式会社フレックス東大阪,ガス,求人なし,大阪府東大阪市弥生町3-40,2012,代表取締役 中谷 賀典,9 百万円,,,,,
2024-08-01,ＣｏｍＰｏｗｅｒ株式会社,石油・資源,求人なし,東京都港区芝浦3-7-13,2012,代表取締役 福井 エドワード,50 百万円,,,,,
2024-08-01,株式会社デンオウ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,千葉県野田市木間ケ瀬2303,1994,代表取締役 坂口 俊和,10 百万円,,,,,
2024-08-01,株式会社ＲＥＴＲＹ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,東京都中央区日本橋小網町19-8ＩＷ日本橋ビル5Ｆ,2011,代表取締役 森下 悦道,20 百万円,,,,,
2024-08-01,光陽アストロ株式会社,電力,求人なし,東京都台東区東上野3-32-2,2012,代表取締役 山中 勇輝,51 百万円,,,,,
2024-08-01,株式会社ウィンド・パワー,石油・資源,求人なし,茨城県神栖市南浜3-226,2010,代表取締役 小松﨑 衞,30 百万円,,,,,
2024-08-01,ミズノ工業株式会社,石油・資源,求人なし,東京都大田区多摩川1-26-10,1967,代表取締役 水野 ひろみ,10 百万円,,,,,
2024-08-01,株式会社エコネット伊勢センター,ガス,求人なし,三重県伊勢市東大淀町128-11,2008,代表取締役 中川 吉弘,3 百万円,,,,,
2024-08-01,株式会社楽生,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,大阪府大阪市城東区鴫野西4-2-3902,2012,代表取締役 松村 拓朗,10 百万円,,,,,
2024-08-01,株式会社イノベーション・テクノロジー,石油・資源,求人なし,長野県松本市蟻ケ崎4-1-29201,2012,代表取締役 小松 茂美,,,,,,
2024-08-01,株式会社アイエステクノサービス,新エネルギー（太陽光・風力・地熱・バイオなど）,無,大阪府大阪市北区本庄東2-2-25クリエイト天八ビル 5Ｆ,2012,代表取締役 今井 直樹,30 百万円,,,,,
2024-08-01,アサヒエレベーション株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,福岡県福岡市中央区渡辺通1-1-1サンセルコ 317,2012,代表取締役 丸尾 義則,3 百万円,,,,,
2024-08-01,株式会社ＴＥＣインターナショナル,石油・資源,求人なし,東京都千代田区霞が関3-7-1霞が関東急ビル,2012,代表取締役 狩谷 薫,60 百万円,,,,,
2024-08-01,株式会社エコラインシステム,石油・資源,求人なし,東京都江戸川区本一色2-6-12,2012,代表取締役 丸山 武司,1 百万円,,,,,
2024-08-01,やまとソーラープラント株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,鹿児島県霧島市国分下井2297-10,2012,代表取締役 岩﨑 一美,5 百万円,,,,,
2024-08-01,うどん県電力株式会社,電力,求人なし,香川県高松市香南町西庄248-1（株）電工社エンジニアリング内,2012,代表取締役 十河 建志,20 百万円,,,,,
2024-08-01,Ｊ－Ａｌｉｖｅ株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,福岡県大野城市栄町3-1-24,2012,代表取締役 一山 賢介,24 百万円,,,,,
2024-08-01,株式会社ウィンド１９,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,静岡県富士市横割本町15-20曲松第2ビル 3Ｆ,2012,代表取締役 飯塚 久美子,21 百万円,,,,,
2024-08-01,株式会社Ｌ．Ａ．ＤＥＰＯ,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,石川県金沢市湊2-120-15,2012,代表取締役 玉田 善久,30 百万円,,,,,
2024-08-01,日本環境エネシステム株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,愛知県名古屋市中区大須4-13-46ウイストリアビル 202,2012,代表取締役 岡本 光生,24 百万円,,,,,
