更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,ハタエ石油株式会社,石油・資源,求人なし,,福岡県福岡市西区元浜1-8-22,1984,,10 百万円,,,,代表取締役 高松 克行
2024-08-01,株式会社ビー・エイド中西,ガス,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 新築、増築、リフォーム 設計・施工西部ガス(株) 委託業務全般ガス器具・住宅設備機器 販売・施工ガス器具・住宅設備機器 メンテナンス床暖房工事 設計・施工管工事（水道工事・ガス配管工事） 設計・施工不動産事業 2022年11月doda掲載求人より引用,福岡県福岡市西区大字飯氏935-6,1952,,70 百万円,,,,代表取締役 中西 秀成
2024-08-01,丸栄石油株式会社,石油・資源,求人なし,,岐阜県岐阜市東興町48丸栄ビル,1969,,200 百万円,,,,代表取締役 澤田 栄
2024-08-01,合田産業株式会社,ガス,求人なし,,岡山県岡山市南区洲崎1-7-47,1980,,10 百万円,,,,代表取締役 合田 一義
2024-08-01,埼玉電設株式会社,石油・資源,求人なし,,埼玉県さいたま市中央区上落合8-10-2,1948,,100 百万円,,,,代表取締役 川合 昭
2024-08-01,日の丸石油株式会社,石油・資源,求人なし,,岐阜県岐阜市西明見町8,1962,,20 百万円,,,,代表取締役 川上 秀人
2024-08-01,福友ガス株式会社,ガス,求人なし,,福岡県福岡市西区大字羽根戸200-1,1981,,10 百万円,,,,代表取締役 吉山 弘展
2024-08-01,大蔵機械株式会社,石油・資源,求人なし,,福岡県福岡市城南区東油山6-17-20,1970,,10 百万円,,,,代表取締役 小野 隆弘
2024-08-01,東光工栄株式会社,電力,無,■電気工事（架空配電・建柱）■舗装工事■除雪・排雪作業 2024年6月doda掲載求人より引用,北海道札幌市厚別区厚別東三条1-2-11,1967,,10 百万円,,,,代表取締役 岡川 眞
2024-08-01,株式会社ネクスト城南,石油・資源,求人なし,,福岡県福岡市博多区吉塚3-31-65岩吉ビル2号,1989,,20 百万円,,,,代表取締役 小林 澄雄
2024-08-01,有限会社エンヤ石油,石油・資源,求人なし,,岐阜県岐阜市細畑4-9-10,1978,,10 百万円,,,,代表取締役 塩谷 博英
2024-08-01,有限会社宮田商事,ガス,求人なし,,埼玉県さいたま市桜区町谷3-25-5,1969,,3 百万円,,,,代表取締役 井上 益宏
2024-08-01,末藤設備株式会社,石油・資源,求人なし,,岡山県岡山市南区福成3-2-13,1971,,10 百万円,,,,代表取締役 末藤 達也
2024-08-01,カジノン株式会社,新エネルギー（太陽光・風力・地熱・バイオなど）,求人なし,,岡山県岡山市北区番町1-11-25,1975,,30 百万円,,,,代表取締役 石井 貴朗
2024-08-01,株式会社エネルギーサービス岡山,石油・資源,求人なし,,岡山県岡山市中区神下429-2,1981,,10 百万円,,,,代表取締役 渡部 洋三
2024-08-01,大牟田瓦斯株式会社,ガス,求人なし,,福岡県大牟田市泉町4-5,1918,,200 百万円,,,,代表取締役 砥綿 孝幸
2024-08-01,ツルミエネルギー株式会社,石油・資源,求人なし,,埼玉県さいたま市南区四谷2-11-20,1952,,60 百万円,,,,代表取締役 鶴見 一也
2024-08-01,喜多村石油株式会社,石油・資源,求人なし,,福岡県久留米市中央町12-9,1950,,70 百万円,,,,代表取締役社長 喜多村 浩司
2024-08-01,株式会社アサヒ商会,石油・資源,無,,北海道函館市東山町185-1,1949,,50 百万円,,,,代表取締役 齊藤 巌
2024-08-01,株式会社坂田ガス住設,ガス,求人なし,,福岡県久留米市東櫛原町283,1980,,20 百万円,,,,代表取締役 坂田 博輝
2024-08-01,福岡スタンダードＲＥ株式会社,石油・資源,求人なし,,福岡県久留米市日吉町26-36福岡スタンダードビル 5Ｆ,1981,,21 百万円,,,,代表取締役 重野 正博
2024-08-01,横川石油ガス株式会社,ガス,求人なし,,埼玉県川越市大字山田958,1951,,10 百万円,,,,代表取締役 横川 勝規
2024-08-01,前側石油株式会社,石油・資源,求人なし,,北海道函館市大手町3-1前側石油ビル 2Ｆ,1949,,80 百万円,,,,代表取締役 平澤 博之
2024-08-01,久留米エル・ピー・ガス株式会社,ガス,求人なし,,福岡県久留米市国分町1519,1986,,10 百万円,,,,代表取締役 和田 博実
