更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-06-01,広島ファシリティマネジメント協同組合,人材紹介・職業紹介,1,■企業概要： ・技能実習生職業紹介事業/技能実習生受入監理事業/特定技能職業紹介事業/特定技能支援事業/外国人財教育・育成事業/外国人財活用コンサルティング事業/昇降機保守共同受注事業/各種共同購買事業現在、日本においては少子高齢化が進み、労働生産人口は急激に減少しており45年後には約40%減少し約4000万人になると予測されております。このような情勢の中で労働集約型事業においては、業務効率化や人財確保策は事業継続に大きな影響を及ぼす最重要課題と言えます。,広島県広島市中区千田町3-12-6,2002,,,7百万円,,https://www.midori-gr.com/hfmc/,
2024-08-01,株式会社ケイズビュー,人材紹介・職業紹介,1,■事業内容：・特定技能支援管理事業・高度専門外国人材紹介事業・国際ソリューション事業・アドバイザリー＆マッチング事業,東京都千代田区神田松永町14CIRCLES秋葉原駅前6F,2001,,20,10百万円,36.0,"Failed to retrieve page, status code: 410",
2024-07-01,株式会社グラスト,人材派遣,1,■スペースメディア事業■人材派遣事業：派13-313956■コンテンツプロバイダ事業,【本社】東京都港区赤坂5-3-1赤坂Bizタワー36F大阪オフィス：大阪府大阪市北区曾根崎2-12-7清和梅田ビル5F名古屋オフィス：愛知県名古屋市西区名駅1-1-17名駅ダイヤメイテツビル11F,2016,,43,1億円,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010682936/: 'NoneType' object has no attribute 'get',代表取締役 前田 翔平
2024-07-01,株式会社エルグッドヒューマー,アウトソーシング,3,■事業内容： （1）アウトソーシング事業（2）労働者派遣事業（3）有料職業紹介事業（4）ITシステムエンジニアリングサービス事業,埼玉県志木市本町6-21-9,2016,,27,20百万円,,https://lghum.co.jp/,
2024-06-01,株式会社あなぶき会計事務センター,アウトソーシング,1,【事業内容】分譲マンションの会計事務業務【請求業務】マンションを区分所有または居住されているお客様の口座より引落する金額の確定・チェックを行います【月次業務】管理組合の収支報告書・貸借対照表を作成・チェックを行います【決算業務】管理組合の決算報告書の作成・チェックを行います,沖縄県高松市紺屋町3-6,2016,,70,10百万円,,https://www.anabuki-housing.co.jp/kaikei/,
2024-06-01,株式会社ドライバンク,人材紹介・職業紹介,1,■同社について：株式会社ドライバンクは、物流・製造に特化した人材派遣・人材紹介サービスを提供しています。また、関連会社と連携し、採用支援サービスや物流業務請負・現場改善コンサルティングなど、様々なサービスでお客様のお困りごとを解決しています。■同社の特徴：同社の強みは、スタッフ教育と本部対応力によるサービス品質の高さと、提供サービスの幅広さ。お客様からは高い信頼を頂き、単発の派遣ではなく継続派遣のみを取り扱っていることが特徴です。お客様からは、「他社をお断りして全部ドライバンクさんにお願いしたい」と多数オファーを頂き、現在、派遣から請負の引き合いが増えております。,愛知県名古屋市千種区東山通5-20-1サン東山公園ウエストビル2F,2016,,42,20百万円,38.0,https://www.dribank.jp/,
2024-08-01,コクヨアンドパートナーズ株式会社,アウトソーシング,20,■事業概要： ・同社は”働く場の「運用」をサポートする”というビジョンのもと、総務業務を中心としたアウトソーシングサービスの提供しています。■事業詳細・同社は総務業務を中心としたアウトソーシングサービスを提供しています。歴史あるコクヨブランドの信頼が厚く、順調に顧客拡大を進めています。現在、コクヨ株式会社の約4割の売上は「ファニチャー事業」が占めており、オフィスを中心とした空間のデザイン・施工を実施しているビジネスです。その内装空間における、お客様の日々のビジネスを支えるのが同社の役割です。,東京都千代田区霞が関3-2-5霞が関ビル18F,2016,,320,50百万円,,https://www.kokuyo-partners.co.jp/,
2024-08-01,株式会社アズライト,アウトソーシング,3,AZURITEは、クライアントに適した「採用成功の仕組みづくり」をカスタマイズ提供する＜採用特化コンサルティングファーム＞です。実績をご評価いただき、売上成長180％・契約継続92％・支援企業数200社超と大きく成長。新規事業の立ち上げもあり、社員数は30名→45名→60名と急拡大フェーズを迎えています。HRTech・SaaSによって収集したビッグデータを元にしたコンサルティングによって企業の採用DX化を促進します。,東京都豊島区東池袋1-18-1HarezaTower20F WEWORK内,2014,,35,4百万円,29.0,http://www.azu-rite.co.jp/,
2024-08-01,パシフィック・スター株式会社,アウトソーシング,1,羽田空港における航空機地上支援サービス ■国内線の機内サービス品オペレーション業務■航空機外部の洗浄業務,東京都大田区羽田空港1-7-1 第二綜合ビル7階,2012,,24,1000万円,,https://www.hndpsc.jp/,代表取締役 間瀬 隆通
2024-08-01,株式会社テクノ・ファースト,技術系アウトソーシング（特定技術者派遣）,2,■概要：機械設計開発、電気・電子設計開発、制御システム設計開発、ソフト設計開発、各種技術サービス,群馬県太田市吉沢町1058-5太田市産業支援センター2F,2000,,40,30百万円,,http://www.techno-first.co.jp/,
2024-07-01,オールテック有限会社,アウトソーシング,1,■事業内容：船舶塗装今治造船の西条工場内で建造される大型船の船体の内部、外部の塗装工事,愛媛県今治市波方町小部甲914-3,1994,,30,3百万円,36.0,なし,
2024-06-01,あおぎり協同組合,人材派遣,1,■外国人技能実習生受け入れに係る職業紹介事業、共同購買事業、経営支援、指導情報提供事業■外国人技能実習生受け入れ機関として、日本入国から実習期間終了まで、受け入れ準備や実習生の方々へのフォロー、帰国まで、手厚いサポート体制で実習生と受け入れ企業をつないでいます。日本の国際協力、国際貢献の重要な一翼を担っている企業です。■あおぎり協同組合の特徴：・あおぎり協同組合は、受入企業の現状、ご希望、今後の展望をしっかりと把握させて頂いた上で、外国人技能実習生、特定技能外国人の受け入れ支援など、人材を必要とする企業にとって最適な提案と多角的なサポートを行っております。,広島県広島市中区鶴見町2-199F,2011,,13,1百万円,,https://aogiri.or.jp/,
2024-08-01,株式会社クイック,人材紹介・職業紹介,47,■事業内容：クイックグループは「関わった人全てをハッピーに」という経営理念のもと、人材サービス事業、リクルーティング事業、情報出版事業、ネット関連事業、海外事業を展開しています。これら5つの事業領域において、日本国内に加え、海外各拠点でも、人材・情報ビジネスを通じて社会に貢献していくことで総合人材サービス企業としての価値を高め、グループビジョンである「日本の人事部から世界の人事部へ」の実現を目指します。,大阪府大阪市北区小松原町2-4大阪富国生命ビル16F,1980,プライム市場,1759,351百万円,30.4,"Failed to retrieve page, status code: 410",
2024-07-01,アドプランナー株式会社,求人サイト・求人メディア,4,■事業内容： ＜人材総合サービス＞人材採用広告／採用コンサルティング／RSS（採用業務代行サービス）／人材採用ツール／キャリア開発支援（学生就職支援）／有料職業紹介およびコンサルティング（株式会社アドプランナー）／（有料職業紹介事業許可番号: 23-ユ-301373）／新卒・中途人材紹介,愛知県名古屋市瑞穂区妙音通4-29,2014,,100,90百万円,,https://www.ap-net.co.jp/,
2024-06-01,株式会社ワクトリ,人材紹介・職業紹介,1,■人材サービス業・一般労働者派遣・紹介予定派遣・人材紹介・採用アウトソーシング■事業部・リゾート事業・オフィスサポート事業【許認可】一般労働派遣許可番号 派13-316662有料職業紹介許可番号 派13-ユ-315298,東京都新宿区西新宿2-3-1 新宿モノリスビル21F,2016,,,2000万円,31.0,https://work-trip.co.jp/,代表取締役 原島 和也
