更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-08-01,株式会社ビップ,ブライダル・ウェディング,無,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■冠婚葬祭の施行及び諸行事施行、宴会、貸衣裳 2021年11月doda掲載求人より引用,新潟県新潟市中央区上所2-11-33,1981,代表取締役 加藤 峰孝,,,,50 百万円,
2024-08-01,有限会社坂巻葬祭店,葬儀,無,葬祭事業 2023年12月doda掲載求人より引用,千葉県流山市西初石2-6-17,1987,代表取締役 坂巻 仁志,,,,5 百万円,
2024-08-01,株式会社イガラシ,葬儀,求人なし,,福井県福井市定正町913-2,1981,代表取締役 五十嵐 啓二,,,,10 百万円,
2024-08-01,株式会社ブルームーンマリーン,ブライダル・ウェディング,求人なし,,神奈川県横浜市中区桜木町1-1,1993,代表取締役 大城 俊樹,,,,40 百万円,
2024-08-01,遠藤商事株式会社,ブライダル・ウェディング,求人なし,,東京都中央区銀座1-7-5小柳ビル 4Ｆ,1982,代表取締役 遠藤 彬,,,,10 百万円,
2024-08-01,マリエクラッセ株式会社,ブライダル・ウェディング,求人なし,,東京都中央区銀座2-6-5銀座トレシャス 5Ｆ,1977,代表取締役 塚本 喜左衛門,,,,30 百万円,
2024-08-01,株式会社安宅,ブライダル・ウェディング,求人なし,,千葉県八千代市ゆりのき台1-7-1,1981,代表取締役 安宅 照男,,,,10 百万円,
2024-08-01,合資会社清水葬具店,葬儀,求人なし,,神奈川県横浜市南区真金町1-1,1950,代表社員 清水 英雄,,,,,
2024-08-01,興典株式会社,葬儀,求人なし,,千葉県八千代市萱田1603,1935,代表取締役社長 溝上 俊之,,,,10 百万円,
2024-08-01,株式会社花安,葬儀,求人なし,,新潟県新発田市荒町1521,1989,代表取締役 渡邊 安之,,,,10 百万円,
2024-08-01,株式会社越後,葬儀,求人なし,,富山県射水市善光寺17-22,1960,代表取締役 越後 嘉一,,,,10 百万円,
2024-08-01,株式会社セントラルホール横浜葬儀社,ブライダル・ウェディング,求人なし,,神奈川県横浜市南区大岡5-3-28,1962,代表取締役 尾形真也,,,,12 百万円,
2024-08-01,株式会社葵大槻,ブライダル・ウェディング,求人なし,,東京都中央区日本橋浜町2-11-2メゾン日本橋 801,1968,代表取締役 大槻 捷子,,,,10 百万円,
2024-08-01,株式会社ジットセレモニー,葬儀,求人なし,,山梨県甲府市高畑2-19-2,1996,代表取締役 石坂 浩子,,,,20 百万円,
2024-08-01,株式会社さばえ典礼,葬儀,求人なし,,福井県鯖江市桜町2-3-11,1996,代表取締役 片山 輝彦,,,,10 百万円,
2024-08-01,株式会社ファミリーサービス,葬儀,求人なし,,神奈川県横浜市保土ケ谷区天王町1-1,1974,代表取締役 板橋 由紀,,,,50 百万円,
2024-08-01,株式会社十全社,ブライダル・ウェディング,求人なし,,千葉県君津市泉312-1,1986,代表取締役 戸波 亮,,,,10 百万円,
2024-08-01,株式会社アピオセレモニー,葬儀,求人なし,,山梨県中巨摩郡昭和町西条3600,1973,代表取締役 大石 竜二,,,,20 百万円,
2024-08-01,株式会社出雲,葬儀,求人なし,,山梨県北杜市須玉町若神子4010,2001,代表取締役 丸茂 孝司,,,,10 百万円,
2024-08-01,中日典礼株式会社,ブライダル・ウェディング,求人なし,,愛知県名古屋市中区平和2-1-1ダイセキビル 305,1981,代表取締役 三島 和子,,,,40 百万円,
2024-08-01,株式会社吉運堂,ブライダル・ウェディング,求人なし,,新潟県新潟市南区戸頭1347-1,1971,代表取締役 吉田 竹史,,,,10 百万円,
2024-08-01,中京葬儀株式会社,ブライダル・ウェディング,求人なし,,愛知県名古屋市中区伊勢山2-5-12,1949,代表取締役 佐治 勝,,,,48 百万円,
2024-08-01,平安セレモニー株式会社,葬儀,求人なし,,新潟県上越市高土町3-9-12,1973,代表取締役 青木 省一,,,,40 百万円,
2024-08-01,株式会社ふじや本店,葬儀,求人なし,,三重県四日市市大字松本2015,1968,代表取締役 柳川 和子,,,,20 百万円,
2024-08-01,株式会社三重平安閣,ブライダル・ウェディング,求人なし,,三重県四日市市元町8-5,1974,代表取締役 松嶌 康博,,,,80 百万円,
2024-08-01,株式会社ブライダル,ブライダル・ウェディング,求人なし,,愛知県名古屋市中区栄3-7-13コスモ栄ビル 9Ｆ,1987,代表取締役 菅沼 良樹,,,,30 百万円,
2024-08-01,ライフプラン株式会社,ブライダル・ウェディング,求人なし,,三重県桑名市八間通39,1971,代表取締役 坂井 賢一,,,,50 百万円,
2024-08-01,株式会社ダイヤモンドプロ,ブライダル・ウェディング,求人なし,,京都府京都市上京区下長者町通堀川東入紹巴町19-6,1987,代表取締役 嶋田 康麿,,,,10 百万円,
2024-08-01,合資会社笹野酒造部,ブライダル・ウェディング,求人なし,,三重県四日市市室山町1,1919,代表社員 笹野 恭史,,,,,
2024-08-01,株式会社京鐘,ブライダル・ウェディング,求人なし,,京都府京都市左京区北白川西瀬ノ内町2,1971,代表取締役 辻 順子,,,,30 百万円,
