更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,上場市場名,平均年齢,従業員数,資本金,企業URL
2024-06-01,株式会社ノバレーゼ,ブライダル・ウェディング,1,■ブライダル事業 （婚礼プロデュース部門・婚礼衣裳部門・レストラン部門）,東京都中央区銀座1-8-14 銀座YOMIKOビル4F,2000,代表取締役社長 荻野 洋基,スタンダード市場,33.1,820,1億円,https://www.novarese.co.jp/
2024-07-01,アイ・ケイ・ケイホールディングス株式会社,ブライダル・ウェディング,2,■事業内容：持株会社、グループ企業の経営管理・監督、国内外の結婚式場、レストラン、介護施設及びそれに類する施設の企画、運営、経営、顧客の斡旋・紹介及びコンサルタント,佐賀県伊万里市新天町722-5,1995,,プライム市場,28.7,948,351百万円,http://www.ikk-grp.jp/
2024-08-01,株式会社エスクリ,ブライダル・ウェディング,14,■事業内容：挙式披露宴の企画、運営等のブライダル関連事業を展開。2003年6月に設立後、急速な成長を遂げ、2012年11月には東証一部上場を果たし、旧態依然とした体質のブライダル業界において、圧倒的な差別化で成長し続けている業界のイノベーター企業です。「ハードにこだわらない高収益ブライダルオペレーション」を信条に掲げ、ハウスウェディング、ホテルウエディング、レストランウェディング等、ハードの形態は異なっても、高収益が獲得できる仕組み、ハードやスタイルの流行り廃りに左右されない安定的な収益モデルを構築しております。,東京都中央区日本橋小網町6-1山万ビル4F,2003,,スタンダード市場,31.7,794,50百万円,http://www.escrit.jp/
2024-07-01,アイ・ケイ・ケイ株式会社,ブライダル・ウェディング,2,■事業概要：1995年に「株式会社アイ・ケイ・ケイ不動産(現:株式会社アイ・エス)より、結婚式場とホテルの運営を引継ぎ、設立しました。現在は、九州を中心に、国内17都市19施設でウエディングプロデュース事業、ホテル事業を展開。挙式/披露宴に関する企画/運営等のサービスを提供しています。2020年には、インドネシア第二号店を出店、また同年の東京支店出店に伴い東京本部を設置し、2023年4月には関東2号店を水戸にオープンいたします。 2021年11月1日からは持株会社体制へ移行(ホールディングス化)し、今後は婚礼事業に留まらず、事業の多角化をすすめ、更なる発展を目指していきます。,佐賀県伊万里市新天町722-5,2020,,,,896,50百万円,https://www.ikk-grp.jp/group/ikk.html
2024-08-01,株式会社ティア,葬儀,18,～東証スタンダード市場上場・葬儀業界変革のために設立以降連続成長を続ける業界注目のパイオニア～■将来性：高齢化社会の為、国内では市場規模が拡大するという数少ない業界です。国のデータでは死亡人口は増加し年間160万人もお亡くなりになる時代がやってきます。■概要：日本で一番「ありがとう」と言われる葬儀社を目指し業界変革に取組むビジョン型葬儀会社。,愛知県名古屋市北区黒川本通3-35-1ティア黒川4F,1997,,スタンダード市場,39.0,646,"1,892百万円",https://www.tear.co.jp/
2024-06-01,株式会社ベスト‐アニバーサリー （東証スタンダード上場グループ企業）,ブライダル・ウェディング,42,■事業内容1. 婚礼衣装、フォーマルウェア、その他衣装の企画、製作、卸、販売及びレンタル 2. 前号に関連する衣料品雑貨品及び装身具の企画、製作、卸、販売及びレンタル 3. 貴金属、宝石、アクセサリーの卸、販売及びレンタル 4. 挙式、披露宴その他冠婚葬祭、会食、宴会及びパーティーの企画、運営、実施、斡旋及び紹介 5. 結婚式場その他冠婚葬祭に関する施設、ホテルその他宿泊施設、レストラン、カフェの企画、立案、運営、経営及びコンサルタント 6. 挙式、披露宴その他冠婚葬祭、会食、宴会及びパーティーに関する情報、の収集及び提供に関する業務,東京都港区海岸1-16-1ニューピア竹芝サウスタワー12F,2001,,,,720,13百万円,https://www.best-anniversary.co.jp/
2024-08-01,アニヴェルセル株式会社,ブライダル・ウェディング,無,■結婚式場及びパーティ会場の運営■記念日を軸とした商品の販売並びにサービスの提供■カフェの運営【株主：株式会社AOKIホールディングス】アニヴェルセル株式会社はファッション業界でトップクラスのシェアを誇る『株式会社AOKIホールディングス』のグループ企業です。 2024年6月doda掲載求人より引用,東京都港区北青山3-5-30,1986,代表取締役 松田 健一,,,461,100 百万円,"Failed to retrieve page, status code: 410"
2024-07-01,株式会社ウェブ,ブライダル・ウェディング,2,結婚情報サービス事業,千葉県市川市南行徳 1-16-22 ウェブビル2階,1994,代表取締役 鎗光 秀雄,,,390,1000万円,https://www.webclub.co.jp/
2024-07-01,タメニー株式会社,ブライダル・ウェディング,1,■婚活領域（パートナーエージェント・OTOCON など）■カジュアルウエディング領域（スマ婚・2次会くん・studioLUMINOUS など）■テック領域（CONNECT-ship・スマ婚縁結び など）■ライフスタイル領域（Tameny×保険クリニック など）■法人領域（地方自治体向け婚活支援 など）,東京都品川区大崎1-20-3 イマス大崎ビル3F,2006,代表取締役社長 栗沢 研丞,グロース市場,36.0,338,4400万円,https://tameny.jp/
2024-08-01,株式会社ベストブライダル,ブライダル・ウェディング,34,■事業内容： １.国内ゲストハウス、チャペルでの挙式、披露パーティーの企画、立案、運営 ２.宴会、立食、パーティー、イベントの企画、立案、運営 ３.旅館業法に基づくホテル業,東京都港区海岸1-16-1ニューピア竹芝サウスタワー12F,2014,,,,392,100百万円,http://www.bestbridal.co.jp/
2024-07-01,株式会社デコルテ,ブライダル・ウェディング,4,■事業内容： ・ウエディングフォトスタジオの運営・アニバーサリーフォトスタジオの運営■ビジョン： 「挑戦」が成長を支える「写真」を軸に、常に新たな価値を創造2001年の創業以来「Happiness（幸福）・Beauty（美）・Wellness（健康）」をテーマに掲げ、「こんなサービスがあったらいいな」というお客様のニーズに応えつつ新たな価値を生み出す、様々なサービスを手掛けています。,兵庫県芦屋市大桝町1-25アクセシオ芦屋3F,2018,,,,365,100百万円,https://www.decollte.co.jp
2024-08-01,株式会社ＺＷＥＩ,ブライダル・ウェディング,14,■事業概要：CMなどでおなじみの結婚相談所「ZWEI」。「一組でも多くの幸せを育む」というミッションを掲げ、結婚相談所を全国で50店舗経営しています。2020年に経営体制を刷新し、2021年には入会者数170％（前年比）と、業界屈指の成長を遂げています。,東京都中央区銀座5-9-8,1984,,,46.2,295,460百万円,https://www.zwei.com/about/
2024-08-01,株式会社家族葬のファミーユ,葬儀,13,■概要：「人生で最期の時間を、故人様とご家族だけで過ごしていただきたい」という想いから生まれた新しい葬儀ブランド「ファミーユ」は、フランス語で「家族」を意味します。ご家族の気持ちを重視し、温かい気持ちで納得してお別れできるような家族葬をご提供しています。,東京都港区浜松町2-2-12JEI浜松町ビル2F,2000,,,,593,100百万円,https://www.famille-kazokusou.com/
2024-07-01,株式会社備前屋,葬儀,2,■事業内容：葬儀全般・法要・アフターサポート 仏壇・仏具・墓石・墓地販売（全日本葬祭業協同組合連合会岡山県知事認可、岡山県霊柩葬祭事業協同組合、社団法人岡山県トラック協会霊柩支部 岡山県霊柩自動車協会）◇団体契約：日本税理士協同組合連合会、JAM共済統括事業本部、全日本郵政労働組合、NPO法人全国養護共済会、NTT労働組合西日本本部、JA岡山、AEON、イオンリテール株式会社、ちいさなお葬式・全国儀式サービス,岡山県瀬戸内市邑久町豊原90-1,1970,,,,40,,https://www.sougi-bizenya.jp/
2024-07-01,株式会社日比谷花壇,ブライダル・ウェディング,5,■事業内容花卉業界のリーディングカンパニーとして多岐にわたる事業を展開。バンケット事業・ショップ事業・法人事業・EC事業・ライフサポート事業・PPP事業（パブリックプライベートパートナーシップ）※企業hpより https://www.hibiya.co.jp/recruit/business/,東京都港区南麻布1-6-30,1950,,,,1790,100百万円,https://www.hibiya.co.jp/
2024-08-01,株式会社メモリアルアートの大野屋,ブライダル・ウェディング,12,■事業内容：(1)墓所・墓石の販売(2)墓所造営(3)葬祭業(4)仏壇・仏具の販売(5)保険など、葬儀業における「トータルサービス」を行っています。墓所や墓石の販売からスタートし、仏壇、保障プラン、環境事業、葬儀と独創性と先進性で事業領域を広げています。このようにトータル的なサポート体制が整備されているのは、同社のみになります(＝企業優位性)。「万一のときや困ったときには、ここへ相談すれば大丈夫」といった一社完結型のサービス提供により、お客様もご利用しやすく、かつ安心感を持ってお任せいただいております。,東京都小平市美園町3-2-5,1939,,,46.0,295,100百万円,http://www.ohnoya.co.jp/
2024-08-01,燦ホールディングス株式会社,葬儀,6,【総合葬祭サービスの提供】「シニア世代とそのご家族によりそい、ささえるライフエンディングパートナー」として、日本一お客様に満足と感動を与えるサービス提供を根幹とし、国内葬祭業では当社のみプライム上場として成長。今後は新１０年ビジョンをかかげ、既存葬儀事業の競争力強化・葬儀事業の拡大・終活に向けてのサポート～次世代以降の遺族の方々に対するフォローを始めとしたライフエンディングサポート事業の拡大を目指し、数多くの要素を組み合わせたトータルな葬祭サービスを提供をしております。,大阪府大阪市北区天神橋4-6-39,1944,,プライム市場,49.5,47,"2,568百万円",http://www.san-hd.co.jp/
2024-07-01,株式会社ワールドサービス,ブライダル・ウェディング,2,■事業内容：テーブルクロスレンタル事業、ゲストハウスウェディングの運営事業、バンケットスペースの企画・構成・演出、ドレスレンタル事業,大阪府泉佐野市葵町4-6-53,1993,,,35.1,581,70百万円,http://www.wsg-co.com/
2024-08-01,株式会社メモリード,ブライダル・ウェディング,1,◆グループ設立55年目を迎え、グループ全体で全国に187施設を運営、冠婚葬祭を軸に多角的に事業を展開する安定企業です。【事業内容】■婚礼事業■葬祭事業■互助会事業■ホテル事業■貸衣裳（レンタル衣裳）事業■婚活事業■終活事業■レストラン事業■洋菓子販売事業■保険・共済代理店事業■ウェルネス事業■IT事業,群馬県前橋市大友町1-3-14（群馬本社）〒100-0004東京都千代田区大手町 2-1-1 大手町野村ビル9F（東京本社）,1969,代表取締役 吉田 卓史,,,477,4億9500万円（2022年5月現在）,https://kanto.memolead.co.jp/
2024-05-01,株式会社ベルハース,葬儀,1,■会社概要群馬県藤岡市で創業し、地域に根差して116年続く専門葬儀会社です。県内6か所に自社葬儀・家族葬ホールを有し、前橋市・藤岡市・高崎市を中心にお葬式・葬儀・家族葬を行っております。令和4年11月には、前橋市三俣町に前橋市で2ホール目となる「ベルセレモニー前橋三俣」をオープンしました。■事業内容・総合葬祭業（葬儀全般、葬儀施行、葬儀会館運営、霊柩貨物自動車運送業、物販売）,群馬県藤岡市藤岡2434,1907,,,,28,17百万円,https://www.onishido.co.jp/company/
2024-08-01,株式会社渕上ファインズ,ブライダル・ウェディング,1,■ウェディングドレスショップの運営■オリジナルドレス、和装、タキシードの商品企画■神社挙式、写真婚のプロデュース,福岡県福岡市博多区冷泉町6-16,1978,代表取締役社長 渕上 芳亘,,32.0,430,"3,000万円",https://www.ffines.jp/
2024-07-01,株式会社あいプラン,ブライダル・ウェディング,7,■事業内容：・冠婚葬祭の施行を目的とする会員システムの運営（経済産業省許可事業）・結婚式場の経営、葬祭式場の経営、飲食店の経営、仏壇仏具墓石店の経営・貸衣裳事業・旅行業,北海道札幌市中央区南二条西8-12-1,1963,,,,1089,80百万円,http://www.apg-aiplan.com/
2024-07-01,アルファクラブ武蔵野株式会社,葬儀,3,■概要埼玉県を中心に冠婚葬祭事業を行っております。創業62年を迎える同社は、埼玉県の葬祭事業でトップシェアを獲得しております。■業務内容(1)互助会事業：「あるふぁくらぶ」を運営。(2)葬祭事業：「さがみ典礼」を運営。埼玉・栃木・福島で自社斎場数トップクラス。年間施行数約3万件。(3)ブライダル事業：「Belle vie」のブランドを運営。埼玉・福島を中心に全国10県にわたり、35ヶ所のウエディング会場を展開。(4)レジャー関連事業：グループで温泉施設、宿泊施設、レストラン等レジャー事業施設を運営。,埼玉県さいたま市大宮区上小町535,1972,,,35.0,1000,100百万円,http://www.alphaclub.co.jp/
2024-08-01,株式会社埼玉冠婚葬祭センター,ブライダル・ウェディング,15,■事業内容：（1）葬祭及び関連事業全般…霊柩車運行・葬祭・法事儀式設営・施行・生花・花環・仏壇・仏具・墓石・墓地斡旋等（2）婚礼及び慶事全般…婚礼挙式・披露宴設営・施行・貸衣装、引出物、記念品販売・七五三、成人式、祝賀会等の慶事・展示会、講演会等の催事及び宴会等（3）ケータリング,埼玉県さいたま市浦和区仲町1-12-1,1964,,,40.0,250,20百万円,https://www.sougi.info/company
2024-07-01,株式会社セレモニー,ブライダル・ウェディング,3,■冠婚葬祭互助会：冠婚葬祭互助会とは、月掛金（月額1500円から）を一定期間払えば「成人式」「結婚式」「お葬式」などを行う際にお得な価格でサービスを受けることができる仕組みです。式場や衣装の手配、費用のサポートを中心にご利用になれます。また、会員特典としてレストラン割引券、介護用品レンタルなど、ライフステージに合ったサービスを受けられます。経済産業大臣の許可を受けた団体だけが運営できる仕組みなので、安心してサービスを受けることができます。,埼玉県さいたま市浦和区常盤9-4-13,1964,,,,145,50百万円,http://www.ceremony.jp/
2024-06-01,木下株式会社,葬儀,1,■葬儀の施行業務■霊柩自動車による一般貨物自動車運送事業■各種セレモニー、催事、展示会場の企画運営管理に関する事業■婚礼に関する儀式業及び物品販売業■宴会、パーティー、会合の企画運営管理に関する事業■生花及び造花の販売業■ホテルの経営■レストランの経営■芸術文化のメセナ（支援活動）事業の企画、普及及び斡旋、前各号に付帯する一切の事業,福岡県久留米市野中町865,1948,取締役社長 福島 洋,,,237,4800万円,https://www.kinoshita-3s.jp/
2024-07-01,株式会社光,葬儀,1,■事業内容： ⇒・葬儀・法要会館運営 セレモニー光会館ゆうざき、ゆうざき新館（倉敷市） セレモニー光会館たましま（倉敷市） セレモニー光会館こんこう（浅口市） セレモニー光会館あさくち（浅口郡）・仏壇・墓石販売 おぶつだんの光（倉敷市）,岡山県倉敷市玉島勇崎1408-5,1981,,,,33,10百万円,https://hikarikaikan.com
2024-07-01,株式会社いのうえ,葬儀,1,■事業内容： 葬儀葬祭コンサルティング、セレモニー施行、葬祭式場 エヴァホール運営管理、慶弔花環、生花、店舗装飾,岡山県倉敷市二日市511-1,1965,,,37.5,162,30百万円,http://www.everhall.co.jp/
2024-06-01,翠宝商事株式会社,ブライダル・ウェディング,1,■事業内容：岡山県内において結婚式場を5店舗展開しています。,岡山県倉敷市船倉町1287-4,1983,,,26.0,120,10百万円,http://www.nishikiya-g.co.jp/
2024-08-01,有限会社福島造花店,葬儀,3,■事業内容： ・葬儀の企画・運営・施工管理事業・霊柩車・寝台車の搬送業務・セレモニーホール管理・運営事業・葬祭関連商品販売事業,埼玉県熊谷市河原町1-156,,,,,,,"Failed to retrieve page, status code: 410"
2024-07-01,株式会社天法堂,葬儀,3,■主な事業内容葬祭セレモニーの運営施工、仏具・墓石・生花等の葬祭関連商品の販売、宅地建物取引業■会社の特徴・創業40年の老舗葬儀社、市内初となる葬祭会館「天法堂ホール天界」を運営・顧客はリピーターが中心であり、地域での知名度がある・葬祭業では珍しく、宅地建物取引業を兼業。相続不動産の売却、家財整理など葬祭関連サービスの拡充に注力,岡山県高梁市松原通2133-1,1982,,,,7,10百万円,https://www.tenpodo.co.jp/
2024-08-01,株式会社出雲殿互助会,ブライダル・ウェディング,5,■当社の事業内容「出雲殿互助会」は、地域における相互扶助（助け合い）の精神のもと誕生しました。経済産業大臣認可事業として地域社会に密着した事業を展開しています。 冠婚葬祭を軸に、お宮参り・七五三・成人式・長寿祝いに至るまで、人生の節目を迎える方々へサービスを提供。 時代のニーズに合わせた新たなプランの提案にも積極的に取り組み、加入者の方々へ安心感と満足をお届けしています。,静岡県浜松市中央区連尺町307-14,1967,,,40.0,100,81百万円,http://www.izumoden.co.jp/
2024-08-01,～パルモグループ～イズモ株式会社,葬儀,27,～2022年11月、「パルモグループ」誕生。いつでも手を取り合える暮らしのパートナーへ～お葬式や結婚式は、時代の流れと共に大きく形が変わっています。それは、人々の生活が変化しているから。地域企業である私たちができることは皆さまの暮らしの一番近くで寄り添うこと。人生の節目も毎日の生活も、いつでも手を取り合える暮らしのパートナーを目指します。（1）ブライダル事業（2）葬祭事業（3）飲食事業（4）物流事業（5）生活サポート事業,静岡県浜松市中央区三組町185-1,2005,,,,1034,38百万円,https://www.if-izumo.jp/
2024-08-01,株式会社中央葬祭,葬儀,1,■事業内容： 当社は浜松市内に2ヶ所の葬儀場（こすもすホールたかつか、こすもすホールなかじま）を有し、こころを伝えるお葬式をモットーにご臨終から故人様の搬送・安置、お通夜、葬儀・告別式、三日目法要、精進落とし、ご遺骨安置までご遺族に寄り添いお手伝いいたします。また、JAのセレモニーホールを利用した葬儀も請け負っており、湖北地区、浜北地区、浜松東地区での葬儀も執り行っています。私たちは規模や形式に関わらず、大切な方とのお別れの時間を心行くまで、ゆっくりと過ごしていただくお葬式を考えています。個人ではなく、遺族ではなく”家族”があらためてひとつになれる場、それが「家族葬」です。,静岡県浜松市中央区領家1-1-3,1986,,,42.0,13,10百万円,"Failed to retrieve page, status code: 410"
2024-07-01,株式会社ミツギ,葬儀,1,■事業内容： 葬儀に関する企画・運営■社長挨拶：常に時代の変化、ニーズに合わせ、お客様そして何よりも亡くなられた方を中心にしたお葬儀を心がけ、提案しております。令和3年3月に、株式会社ミツギを金周グループに迎え入れました。金周は創立者の内田金太郎と長男（2代目）内田周一の『金』と『周』の一文字を取り【金周】となりました。金太郎のロゴは初代 故内田金太郎の名にあやかり、どなたにも慕われ、力になれる葬儀社を意味し目指しております。そっと一輪の花を添えるようなお手伝いを…。それが金周グループの心です。,埼玉県狭山市入間川2-15-24,1974,,,52.0,20,10百万円,https://www.mitsugi-sousai.jp
2024-07-01,株式会社総合センター,葬儀,2,■事業内容 冠婚葬祭業、ホテル経営（クレイトンベイホテル）,広島県呉市西中央2-2-12,1971,,,44.0,120,95百万円,https://sougou-center.co.jp/
2024-07-01,株式会社埼玉金周,葬儀,1,■事業内容： 葬儀に関する企画・運営,埼玉県ふじみ野市大原1-13-3,1986,,,,47,10百万円,http://www.saikane.com/
2024-06-01,株式会社平安閣,ブライダル・ウェディング,1,■事業内容： ・セレモニー事業／各種斎場の運営（平安会館77施設） ■設立経緯：助け合いの精神に共鳴した創業者・山本信嗣氏が全国2番目の互助会として、株式会社名古屋冠婚葬祭互助会を設立しました。 互助会はいわゆる営業部門という位置づけにあり、それに対し施行部門として弊社は設立されました。※互助会とは、会員が毎月掛け金を積立て、結婚式や葬儀を会員特別価格で利用していただける制度です。日本では、戦後の経済環境下では、個人で結婚式や葬儀を行う余裕など全くなかったため、そのような中でも冠婚葬祭は行いたいという人々の気持ちから「互助会」が誕生しました。,愛知県名古屋市北区辻本通1-21,1954,,,52.0,773,90百万円,https://www.heiankaku.co.jp/ring-net/
2024-07-01,株式会社日本セレモニー,ブライダル・ウェディング,4,■冠婚葬祭諸儀式の施行を目的とする各個人、団体を会員組織とし、この会員の募集および管理業務■冠婚葬祭施行に関する業務■結婚式場・葬祭式場の運営■宝石・貴金属の販売■貸衣裳■宿泊業■飲食業■一般区域貨物自動車運送事業■物流センター業務■仏壇・仏具・墓石販売■介護居宅サービス事業■前各号に付帯する一切の業務,山口県下関市王喜本町6-4-50（本社）,1972,代表取締役 神田 忠,,,4528,5.4億円,http://www.aigroup.co.jp/
2024-07-01,株式会社飛鳥会館,葬儀,1,飛鳥会館運営（10店舗）小さなお葬式の運営（7店舗）,山口県下関市山の田本町17-10,1980,代表者 梅津 雅徳,,,,"2,000万円",https://asuka-kaikan.com/
2024-07-01,株式会社ライフクリエイト,ブライダル・ウェディング,1,■企業概要創業から約半世紀、千葉県・茨城県・福島県に広がる自社総合葬祭式場46ヶ所を運営。「ライフケア」をはじめ、「メモリイパーク」や「メモリイプレイス」といった新しい葬祭式場のほか、洗練されたゴルフ場「豊里ゴルフクラブ」を展開しています。事業基盤として冠婚葬祭業を行っているため、非常に安定的です。■事業内容【総合葬祭事業】総合葬祭式場「ライフケア」「メモリイプレイス」「メモリイパーク」の企画・運営 【ゴルフ場事業】「豊里ゴルフクラブ」の運営,千葉県千葉市中央区祐光4-18-3,1967,,,38.0,967,155百万円,http://www.lifeland-group.jp/
2024-08-01,株式会社ライフランド,葬儀,9,■総合葬祭（フューネラル）事業 総合葬祭式場の運営■ライフランド会員運営事業 ライフランド会員の募集及び管理・運営■ゴルフ場事業 「豊里ゴルフクラブ」の運営,千葉県千葉市中央区祐光4-18-3,1967,代表取締役社長 大山 健一,,,611,"1億5,500万円（グループ3社合計）",https://www.lifeland-group.jp/
2024-06-01,ＳＯＵセレモニー株式会社,ブライダル・ウェディング,1,■事業内容：＜冠婚葬祭互助会の運営＞・葬儀／法要を中心とした葬祭事業（1）当社式場での葬儀（2）公営斎場での葬儀（3）提携式場での葬儀（4）ご自宅での葬儀（5）社葬／合同葬（6）ホテル等でのお別れの会・企業／団体へのセレモニーサポート・葬儀／供養相談サロンの運営・仏壇／仏具の販売■経営姿勢：・顧客満足：顧客の多様なニーズに対し、最適な商品とサービスを提供し顧客満足を目指します。・長期成長：経営基盤を確立し、社会環境に適応することにより長期安定企業を目指します。・社員尊重：人材の育成と働きがいのある企業風土の醸成を目指します。,千葉県千葉市美浜区新港32-1,1915,,,,400,50百万円,http://www.hakuzensha.co.jp/
2024-08-01,アルファクラブ株式会社,ブライダル・ウェディング,1,■事業内容：冠婚葬祭に関する業務、総合結婚式場の経営、葬儀場の経営、貸衣裳及び美容着付、寝台車、霊柩小型限定自動車運送事業、損害保険代理業、これらに附帯する一切の業務 他,栃木県宇都宮市大通り5-3-9,1973,,,,600,100百万円,"Failed to retrieve page, status code: 410"
2024-07-01,株式会社栃木こすもす,葬儀,1,■事業内容：生活関連（ライフサイクル）・ギフト品全般の卸、総合葬祭施行（セレモニーホールの運営）、仏壇・仏具の販売、その他付帯する一切の業務,栃木県栃木市大平町牛久31-1,1990,,,40.0,100,72百万円,http://www.tochigicosmos.co.jp/
2024-07-01,株式会社清月記,葬儀,1,◆葬祭事業会館葬、寺院葬、自宅葬、社葬、団体葬、ホテル葬、家族葬◆仏壇・仏具・墓石販売事業◆生花事業◆飲食事業◆ウェディング事業◆ハイヤー事業◆宿泊事業◆総合広告代理店◆企業・団体へのセレモニーサポート＜法人・団体指定店契約先＞,宮城県仙台市宮城野区日の出町2-5-4,1985,代表取締役 菅原 裕典,,,445,2500万円,https://www.seigetsuki.co.jp/
2024-08-01,有限会社油屋商店,葬儀,1,■会社概要・当社は天保8年(1837年) 、城下町であった大田原の商店街にて創業し、昭和51年に「有限会社 油屋商店」を設立。平成の時代に入ると、斎場を利用した葬儀へのニーズが高まり、平成9年に「セレモニーホールあぶらや」をオープンしました。・創業180年余、法人設立より45年余経過しておりますが、現在、1日1件真心を込めて年間150件以上の実績、家族葬比率は家族葬(一日葬・直葬を含む)：65%、一般葬(社葬を含む)：35%、エリアは大田原地区・野崎地区：70%、佐久山地区・親園地区・金田地区・旧湯津上村/旧黒羽町：20%、旧西那須野町：10%の実績となっております。,栃木県大田原市美原1-3523-5,1976,,,41.0,9,3百万円,"Failed to retrieve page, status code: 410"
2024-06-01,株式会社樋口屋商店,葬儀,1,■事業内容：弊社は創業６５年以上の歴史を持つ老舗葬儀社です。地域に密着した丁寧な心づかいで、お客さまの要望に合わせたセレモニーを運営しております。私たちは「地域で一番お客様から喜ばれる会社になる」ことを目標としており、お客さまの人生のライフイベントのためのお手伝いをしています。斎場は、国見町に大小２か所の斎場と福島市八島田の家族葬ホール、国見町のギフトショップを併設した法事会場がございます。その他、病院内の売店を営んでおります。,福島県伊達郡国見町大字藤田字日渡四16-2,1956,,,,20,10百万円,https://kouundou.co.jp/
2024-08-01,株式会社はぎの家石材店,葬儀,1,■事業内容：霊園運営事業／お墓販売事業／納骨・法要事業■経営理念：供養を通して心の健康づくりに貢献し、人生を豊かにする,千葉県松戸市河原塚353,1937,,,,,10百万円,https://haginoya.biz
2024-08-01,株式会社ハツコエンドウウェディングス,ブライダル・ウェディング,2,■企業概要：1905年の創業以来、100年以上にわたり「女性の美」をお手伝いしてきた当社。これまで培ってきた実績やノウハウをもとに、ブライダルエステや衣裳、ヘアメイクなど幅広く事業を展開しています。1人ひとりの社員が心を込めたおもてなしを行い、多くのお客様から愛されています。活躍の幅も広く、著名人の挙式を手掛けたり、ブライダル雑誌には常に登場しトレンドを発信し続ける、トータルビューティー企業です。,東京都中央区銀座1-7-5銀座小柳ビルディング 7Ｆ,1968,,,,120,10百万円,http://www.hatsuko-endo.co.jp/
2024-08-01,株式会社ＢＰ,ブライダル・ウェディング,5,■事業内容 （１）ホテル・ウェディング施設運営（横浜を中心に東京・千葉・京都・仙台・長崎に計10の直営ウェディング施設を運営）（２）全国ブライダル施設の再生コンサルティング事業（３）司会・映像・音楽などブライダル演出事業 （４）ブライダルコスチューム事業・ショップ運営（５）パティスリー運営,神奈川県横浜市南区永楽町1-8,1971,,,,583,50百万円,http://www.bridal-produce.co.jp/index.html
2024-06-01,株式会社福宝,葬儀,1,■当社について：福宝は、仏壇・墓石の製造販売だけではなく、ご葬儀・霊園を含めご供養全てのサポートが出来る企業を目指しています。仏壇・墓石という心をつなぐ大切な家宝を確かなカタチで残すために、伝統工芸士、一級石張技能士などの資格を有する職人を中心に、若い技術者の育成に力を注いでいます。「伝統工芸品」の認定を受けている「新潟・白根仏壇」の高い技術を礎に、伝統を守りながら技術の革新もすすめ、「心の寄りどころ」としての場所を残せるよう日々、精進しています。ご供養を通じて、お客様、地域と関わり、社会に貢献できるライフサービス企業として日々、努力しております。,新潟県新潟市南区根岸1511,1993,,,,200,10百万円,https://www.fukuhou.jp/
2024-07-01,株式会社八芳園,ブライダル・ウェディング,2,■事業内容・結婚式場／宴集会場、各パーティー会場のイベントプロデュース・運営・地方自治体関連のイベント・コンテンツプロデュース・レストラン・料亭の運営・DX推進事業（DXコンサルティング／システムソリューション、配信プラットフォーム開発）・フード事業（プライベートブランド、ミールキット、配送フード開発）・空間デザイン事業,東京都港区白金台1-1-6,1952,,,31.0,360,100百万円,https://www.happo-en.com/
2024-07-01,株式会社コープ葬祭,葬儀,2,"■事業内容：【年間1,500件のサポート 山口・萩・長門・防府エリア実績No.1】山口県中部・北部に8カ所の会館、10カ所の式場を展開し、それぞれの地域に根ざした葬儀を提案し、サービスを提供。年間1500件以上という多くの実績のもと、地域のお客様から高い信頼を寄せられる一方、山口県内各地のJAと業務委託契約を結ぶなど、安定した事業展開を継続しています。■事業詳細：葬儀、法要の請負、生花、花環の販売",山口県萩市大字椿東3043,1983,,,,60,35百万円,https://yamaguchihoufu-sougikazokusou.com/
2024-07-01,株式会社三公社,葬儀,1,■事業内容： 葬儀・法事・法要の相談・施行■同社の特徴：株式会社三公社「花水木会館」は奈良県大和郡山市を中心に奈良市、生駒郡、北葛城郡及びその周辺地域で、直葬、一日葬、家族葬、一般葬などの葬儀サービスをご提供しています。また、宗旨・宗派を問わず、少人数から100名以上規模にも対応する自社の葬儀場を3会館完備しています。私たちは、ご利用いただくすべての方に安心と満足を目指し、さりげない目配り・気配り・心配りを常に意識し「花水木会館」に葬儀を頼んで良かったと言っていただけるよう、ご遺族様の不安や悲しみに寄り添い、支え続けると共に、想い出に残るセレモニーをご提供して参ります。,奈良県大和郡山市九条町739-5,1974,,,,9,20百万円,https://sankousha.co.jp
2024-08-01,モリノブライズ株式会社,ブライダル・ウェディング,1,１．貸衣装業２．ウェディングドレスの販売３．写真撮影業４．ブライダル衣装の着付け及びメイクアップの技術指導５．結婚式場の斡旋及びブライダルコーディネート６．不動産の賃貸７．前各号に附帯する一切の業務,神奈川県横浜市中区寿町2-6-10,1954,代表取締役社長 森野 秀昭,,,85,3200万円,https://www.morinobrides.com/
2024-08-01,株式会社ブライダルハート,ブライダル・ウェディング,1,■事業内容：1988年の設立以来、一貫してトータルウエディングプロデュース業を展開しています。・トータルウエディングプロデュース業・結婚式場運営事業・ウエディング関連商品などの貿易事業（中国青島事務所）,兵庫県神戸市中央区港島中町6-6-1,1988,,,33.0,40,10百万円,http://bridalheart.com/
