更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,アラインテック株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,25,■事業内容：（1）生産システム・自動化システム分野…自動車・自動車部品・建機・住宅・住宅部材・家電・液晶・医療機器・化学・プラスチック・食品等の分野の加工、組立、検査、搬送、梱包、メンテナンス等様々な作業の自動化システムを製作しています。（2）住宅関連分野…工業化住宅（プレハブ住宅、低層マンション等）や、住宅設備・部材の生産ライン構築で多くの実績があります。（3）自動車、家電分野…自動車組立ラインにおける各種製品の搬送・加工・組立・検査・梱包等様々な実績があります。,山口県岩国市長野1815-7,1950,42.3,175,64百万円,https://alinetech.co.jp,,
2024-06-01,株式会社愛工舎,機械部品・金型メーカー,2,■会社概要：金属精密切削部品の製造・販売を手がけています（半導体等の通電検査用コンタクトプローブの部品・医療機器部品・産業機器部品等の微細部品加工がメイン）。1934年の創業以来、時計の部品製作にて身につけた微細切削加工技術を高め、顧客の精度要求に応えてきました。今では、φ0.1mm以下の超微細切削加工も可能で、現在では国内で業界トップレベルのシェアを誇る老舗企業です。■事業内容：(1)丸物微細精密切削加工品（NC加工）の製造・販売(2)マシニングセンタ関連加工品（MC加工）の製造・販売(3)微細部品の組立受託(4)X線検査受託,愛知県名古屋市昭和区滝川町112-1,1951,38.0,76,30百万円,http://www.aikosha.com/,,
2024-07-01,中京重機株式会社,建設機械・その他輸送機器メーカー,1,■事業内容： 建設機械器具及び付随する機械の販売・整備・修理、レンタル【中古建設機械の専門商社…インターネットを通じた国内外売買と修理・整備】私達を一言で言えば『価値の再生屋』さんです。インターネットを駆使し、ブルドーザやショベルなどの中古建設機械の売買情報を国内外へ発信し、それに伴う修理や整備並びに買取・販売をしています。私達の手で息を吹き返した建設機械は、日本国内はもちろん、世界中のインフラ整備、災害や戦禍の復旧・復興現場で再び活躍し、経済発展に貢献をしています。,愛知県名古屋市名東区陸前町1705,1959,,25,10百万円,https://www.chukyo-juki.co.jp/,,
2024-08-01,不二精機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,3,■事業内容：【精密金型事業】：情報関連・医療・食品をはじめ、光学機器・家電・自動車・その他産業機器関連などの分野の精密金型をご提供しています。【精密成形品事業】：超精密、ハイサイクル、ロングライフの金型を活かした精密成形品の製造販売です。国内だけでなく、グローバルに展開しており、取引先のニーズに合わせて、主力製品も変遷しています。同社の精密金型および成形システムにより、過去において、世界中のCDケースの90%近くも生産されておりましたが、現在では、大量生産品である注射器等医療機器用精密金型が主力製品となっています。,大阪府大阪市中央区瓦町4-8-4井門瓦町第2ビル5F,1965,40.9,135,500百万円,https://www.fujiseiki.com/,スタンダード市場,
2024-08-01,辰巳電子工業株式会社,アミューズメント・エンタメ・ゲームメーカー,42,■事業内容：（1）アーケードゲーム機の企画・開発・製造・販売・・・1984年に業界初の3画面マルチスクリーンシステムを採用したレースゲーム「TX-1」の開発を皮切りに、2001年からプリントシール機事業に参入して以降、現在までアミューズメント業界に関わる商品の企画・設計・開発・運用、の担当チームを自社内に持ち、ワンストップで市場に提供してきました。（2）業務用ゲームソフトの企画・開発・販売,奈良県橿原市十市町7,1970,34.7,180,30百万円,http://www.tatsu-mi.co.jp/,,
2024-07-01,日本ぱちんこ部品株式会社,アミューズメント・エンタメ・ゲームメーカー,4,■概要：ぱちんこ関連の各種機器・装置、各種ﾌﾟﾗｽﾁｯｸ製品の企画・制作・販売を総合ﾒｰｶｰです。■詳細：ぱちんこの顔とも言えるｾﾝﾀｰ役物(ﾔｸﾓﾉ)を中心にぱちんこの周辺機器の企画からﾃﾞｻﾞｲﾝ・設計・製造・販売までを行っている会社です。国内にある約30社の遊技機ﾒｰｶｰのうちのﾄｯﾌﾟﾒｰｶｰを中心に半数以上のﾒｰｶｰに製品を提供しています。近年ではﾎｰﾙへ直接販売する商品の開発にも取り組んでおり、全国1万4000件余りもある大きな市場のぱちんこﾎｰﾙから厚い信頼を得ています。,愛知県名古屋市名東区牧の里3-803,1966,44.0,181,30百万円,http://www.nippachi.co.jp/index.html,,
2024-05-01,株式会社エンドー電子,自動車部品メーカー,1,■自動制御・専用機・検査機・計測機器・自動車部品の設計製作,愛知県名古屋市名東区藤森西町907,1994,,,1000万円,https://www.eps-endo.jp/index.html,,代表取締役 遠藤 功
2024-07-01,株式会社大谷加工,受託加工業（各種加工・表面処理）,1,■企業概要1958年創業し、神奈川県に本社に置き、ステンレス及び特殊鋼の切断加工販売を行っております。■当社の特徴国内に数社のみ保有するステンレス切断機などの設備が充実しているだけでなく、長年の実績を通したノウハウを用いて、ステンレス厚板の加工に対して競合優位性のある事業運営しております。競合優位性のある事業運営や実績を通して、大手電機メーカーやプラントメーカーとの取引実績に繋げております。,神奈川県川崎市川崎区東田町2-11大谷加工川崎大通りビル,1958,,69,46百万円,http://www.ohtani-kakoh.co.jp/,,
2024-08-01,サニー工業株式会社,受託加工業（各種加工・表面処理）,1,■上水道、下水道用硬質塩化ビニール製製品の加工及び販売■特殊配管部品の加工及び製造■超純水、薬液、冷却水輸送用配管システム製作（PVDF配管システム・PE、PP及びPVDF配管システム）,神奈川県川崎市川崎区浅野町4-9,1963,43.0,21,4600万円,http://www.sunny-web.com,,代表取締役 林 哲郎
2024-06-01,和乃工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容： 和乃工業株式会社は、専用機械（主にリークテスター）その他諸用途、諸条件に適した機械装置を設計から製作まで行うメーカーです。本田技研工業株式会社様とは長年にわたり直接取引させていただき、強い信頼をいただいております。,愛知県名古屋市熱田区八番2-22-6,1969,,20,10百万円,https://wano.jp/,,
2024-08-01,株式会社ナカイ,機械部品・金型メーカー,2,■事業内容：タイヤ製造用設備の設計・製作・メンテナンス（タイヤ成形機・成形用フォーマー・成形用サービサー・ビード成形機・トリミングマシーン他、タイヤ製造ライン設備全般）一般産業用機械全般設計製作■事業所所在地：本社工場／兵庫県神戸市中央区筒井町2-2-22ポーアイ第一工場／兵庫県神戸市中央区港島南町3-5-8ポーアイ第二工場／兵庫県神戸市中央区港島南町7-2-12西神倉庫／兵庫県神戸市西区伊川谷町潤和上古川1159-3白河工場／福島県白河市大字双石字広久保1(住友ゴム工業白河工場内),兵庫県神戸市中央区筒井町2-2-22,1960,,98,10百万円,https://meet-source.com/co/nakai/,,
2024-07-01,株式会社京楽,アミューズメント・エンタメ・ゲームメーカー,1,■事業内容：・補給機器及び周辺機器の開発、販売・遊技場の経営（サンシャインKYORAKU栄・サンシャインKYORAKU南・サンシャインKYORAKU平針・サンシャインKYORAKU植田）,愛知県名古屋市天白区中砂町420,1974,,101,15百万円,https://www.kyoraku.co.jp/,,
2024-08-01,株式会社オッケー．,アミューズメント・エンタメ・ゲームメーカー,2,■事業内容： パチンコ遊技機の企画、開発、製造、販売■トピックス：パチンコ、パチスロ遊技機の企画、開発、製造、販売を行う京楽産業．株式会社のグル－プ会社で安定しています。,愛知県名古屋市天白区中砂町145,1983,50.0,15,10百万円,https://www.ok777.co.jp/,,
2024-06-01,株式会社河合工業,自動車部品メーカー,2,■事業内容：自動車板金小物部品の試作品、プレス金型の設計製作、プレス加工、スポット溶接,愛知県名古屋市天白区中砂町280,1965,,24,19百万円,https://www.kawai-kogyo.nagoya/index.html,,
2024-06-01,株式会社セキュリティハウス・センター,電子部品メーカー,2,■事業内容：「セキュリティハウス」という統一ブランド名のもと、日本で最初のセキュリティシステム専門店の全国チェーン展開を推進しています。北海道から沖縄まで、地域に密着した防犯活動を行う全国の加盟企業を組織化し、その本部機能として、機器仕入、機器開発、システム開発、宣伝・広告、広報・販促キャンペーン、教育活動等を行っています。※業務提携…東京海上日動火災保険、三井住友海上火災保険,京都府京都市山科区西野離宮町16-1,1982,45.0,35,45百万円,http://www.securityhouse.net/,,
2024-08-01,株式会社テクレコ,電子部品メーカー,1,■事業内容： ・各種磁気ヘッドの開発・試作・製造・販売・磁気カードリーダーの開発・試作・製造・販売・ICコネクターの開発・試作・製造・販売・カードリーダー用デコーダーICの開発・販売・各種電子部品の輸出入販売,神奈川県川崎市川崎区砂子2-5-11りそな川崎ビル5F,1960,50.0,34,98百万円,http://www.techreco.co.jp/,,
2024-06-01,関西ロール株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容： （1）ゴム製品及び樹脂製品等の製造用機械の設計・製造・販売（2）ロール安全装置「ミラクルMKブレーキ」の設計・製作・販売■当社製品：当社が製造・開発を行っているメカの全ては、オーダーメードによるものです。ユーザーそれぞれのニーズに合わせたものを製作するという、いわゆる受注生産の形態で進められています。とりわけ、主要機種であるロール機、プレス機、圧力容器、押出機は、高性能を誇り、高度な技術力の結晶として多方面の分野で活躍しています。,大阪府大阪市大正区三軒家東3-11-54,1949,,60,30百万円,http://kansai-roll.co.jp/,,
