更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-07-01,京和工業株式会社,自動車部品メーカー,1,■事業内容：メーカー向け資材の提供（自動車部品／エレクトロニクス）,東京都港区高輪2-21-40,1947,,50百万円,,https://www.kyowa-kogyo.jp,,
2024-07-01,国際サービスシステム株式会社,建設機械・その他輸送機器メーカー,10,"■事業内容：・建設機械、産業用車両、土木特殊機械等の修理、改造、販売・工場設備機械、空調設備の設計、施工,修理、メンテナンス、販売・不動産賃貸■事業の特徴：（1）建設機械…顧客のホームドクターとして70年、建築現場で活躍するトップメーカー機械メンテナンスをスをしています。（2）工場設備…顧客の工場設備と生産システムに軸をおいたメンテナンス、診断、設計、施工の一貫したサービスを提供します。■同社の特徴：「顧客にとって価値ある機械」と「真心をこめたメンテサービス」を提供する同社。建機・産機・凡用機械のサービス、総合エンジニアリング企業として顧客と共に歩み続けていきます。",東京都港区海岸1-9-18,1946,103,40百万円,,http://www.kokusai-s.co.jp,,
2024-08-01,ケンブリッジフィルターコーポレーション株式会社（旧社名　近藤工業株式会社）,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,6,■事業内容： 半導体・液晶製造工場、製薬工場、食品工場 等に対して、お客様のニーズを基に超高性能なエアフィルタ、またそのフィルタを搭載した機器を販売、お客さまにクリーンな空気環境を提供しています。,東京都港区芝3-14-2芝ケンブリッジビル,1953,350,80百万円,42.0,https://cambridgefilter.com,,
2024-08-01,熱田精機株式会社,自動車部品メーカー,4,■事業内容自動車内装品用金型の設計・製作、治工具・検査治具・専用機の設計製作、ダイクエンチ型・プレス板金型の設計･製作,愛知県名古屋市港区稲永2-11-11,1977,43,40百万円,,http://www.atsuta.co.jp/index.html,,
2024-06-01,日本特殊研砥株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,1,◆事業概要：「磨けないものを磨く(R)」ことにチャレンジし続ける、創業71年の工業用研磨材のメーカー当社は、1953年の創業以来、工業用研磨材の中でも「やわらかい砥石＝弾性砥石」の研究開発・製造販売をしています。砥石は馴染みのない商材かと思いますが、あらゆる製造業の基礎になる“研磨”という工程の中で使われており、当社の弾性砥石はその中でも最も重要な仕上研磨に使用されています。研磨するものの材質や使い方など、お客様のニーズに合わせた様々な弾性砥石を開発し、国内外を問わず、様々な産業の製造工程を支えています。,京都府京都市南区吉祥院御池町18,1953,100,99百万円,,http://www.nittokuken.co.jp/,,
2024-07-01,株式会社新栄電器製作所,計測機器・光学機器・精密機器・分析機器メーカー,1,■企業概要：～生産設備製作分野で50年以上の実績を持つエンジニアリングカンパニー～同社は、制御技術に力を注ぎ、電気応用技術を極めてまいりました。最近は、次代へのステップの為、精密機械の開発も含めたトータルシステムで貢献できる企業へと変化しております。我社の名前はほとんど知られることはありませんが、我社が携わった設備で生産された製品が自動車やスマートフォンなどの部品となり、皆様の生活に貢献できることを喜びとし、より一層精進して参ります。,京都府京都市南区吉祥院這登中町43,1970,19,10百万円,50.0,http://www.shinyeidk.co.jp/index.html,,
2024-08-01,中部産機有限会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,3,当社は、発電機・溶接機のメンテナンス・点検・修理やエンジン付発電機・コンプレッサーの修理、部品の販売を行う会社です。■事業概要：(１)修理メンテナンス事業(２)発電機や溶接機の運搬(３)部品の販売,愛知県名古屋市港区当知1-909,1964,10,3百万円,50.0,https://chubusanki.jp/,,
2024-08-01,株式会社佐藤製作所,機械部品・金型メーカー,19,■事業詳細：(1)基板（半導体ウェハー、プリント基板等）の大手顧客ニーズの検査装置の製造、設計(2)車載関係（電装装置関係の組立、試験等ライン設備をメーカ様の要求により設計から製造、据付を国内外で行っています。）(3)IT設備、加工装置の設計から製造(4)特殊機器:ユニットの分解、部品の検査、部品の調達、再組立、調整＜主要生産品目＞・自動化開発設計製造・検査装置・防爆モータ・機器の組立，配線，調整，分解，修理，メンテナンス,京都府京都市南区久世東土川町298-3,1956,200,65百万円,40.0,https://www.sato-web.co.jp/,,
2024-07-01,株式会社丸一ハイテック,電子部品メーカー,2,■事業内容： プリント配線基板製造・三重県唯一のプリント配線基板の量産工場です。片面基板、両面基板をメインに、お客様の多種多様なニーズに合わせた多層基板、金属基板などを幅広く販売しております。,三重県員弁郡東員町大字瀬古泉317,1994,24,10百万円,,http://www.maruichi-hightec.co.jp/,,
2024-07-01,清水長金属工業株式会社,受託加工業（各種加工・表面処理）,2,■事業内容： ・金属製品製造業（電気めっき業）,京都府京都市南区西九条高畠町31,1944,51,15百万円,,https://www.shimizucho.com/,,
2024-07-01,株式会社松本工業,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,2,■事業内容：（1）搬送装置、空調設備、省力化機械等の設計・製作（2）各種装置の電気制御、設計、施工、据付け（3）各種設備機器の点検、保守、管理（4）溶接ヒューム用集塵機「ジェネフレッシュ」の製造・販売■設計ツール：CATIA（3D CAD）、AUTO CAD,愛知県名古屋市港区小碓1-44,1989,16,10百万円,34.0,http://www.matsu-kou.jp/,,
