更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,アルナ車両株式会社,建設機械・その他輸送機器メーカー,求人なし,,大阪府摂津市阪急正雀1-2,1967,132,20 百万円,,,代表取締役 田島 辰哉,
2024-08-01,株式会社ヨネイ,機械部品・金型メーカー,無,,東京都中央区銀座2-8-20ヨネイビル,1920,131,900 百万円,,,代表取締役 大田 健治,
2024-08-01,エムジープレシジヨン株式会社,自動車部品メーカー,求人なし,,広島県広島市安芸区船越南1-6-1,1996,131,90 百万円,,,代表取締役 梶川 浩,
2024-08-01,株式会社キリウ大分,自動車部品メーカー,求人なし,,大分県宇佐市院内町香下1703,2008,131,90 百万円,,,代表取締役 関川 俊彦,
2024-08-01,明陽電機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,,静岡県静岡市清水区七ツ新屋485,1948,130,45 百万円,,,代表取締役社長 吉田 幸一,
2024-08-01,大高精工株式会社,機械部品・金型メーカー,求人なし,,愛知県新城市有海字高田1-10,1951,130,89 百万円,,,代表取締役 髙屋 秀行,
2024-08-01,株式会社五光製作所,自動車部品メーカー,求人なし,,東京都目黒区中根2-9-5,1948,130,100 百万円,,,代表取締役 中園 英太郎,
2024-08-01,株式会社空研,自動車部品メーカー,求人なし,,大阪府羽曳野市野々上3-6-15,1968,130,100 百万円,,,代表取締役 中川 禎之,
2024-08-01,アンリツインフィビス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,神奈川県厚木市恩名5-1-1,1967,129,100 百万円,,,代表取締役 西脇 力,
2024-08-01,京三精機株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,神奈川県横浜市鶴見区平安町2-29,1986,129,90 百万円,,,代表取締役 藤井 達也,
2024-08-01,株式会社ＭＥＣＸ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,,埼玉県さいたま市西区三橋6-70（株）ＮＩＰＰＯ総合技術センター技術研究所 4Ｆ,1991,129,30 百万円,,,代表取締役 真田 昭彦,
2024-08-01,株式会社庄内ヨロズ,自動車部品メーカー,求人なし,,山形県鶴岡市宝田3-7-30,1970,129,100 百万円,,,代表取締役 村上 聡,
2024-08-01,大洋商事株式会社,機械部品・金型メーカー,求人なし,,東京都中央区新富2-15-5ＲＢＭ築地ビル 8Ｆ,1947,129,400 百万円,,,代表取締役社長 北代 広明,
