更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,サークル機工株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,北海道滝川市幸町3-3-12,2009,代表取締役 木山 邦樹,39,15 百万円,,,,
2024-08-01,株式会社福岡機器製作所,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,佐賀県三養基郡基山町大字園部3173-2,1976,代表取締役 宮本 公信,38,20 百万円,,,,
2024-08-01,北斗電気工業株式会社,受託加工業（各種加工・表面処理）,求人なし,広島県呉市阿賀中央7-7-12,1958,代表取締役 福田 多喜二,38,80 百万円,,,,
2024-08-01,ボッシュセキュリティシステムズ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都渋谷区渋谷3-6-7,1981,代表取締役 金 勇一,38,10 百万円,,,,
2024-08-01,ユニック関東販売株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都江東区亀戸1-38-4朝日生命江東ビル 9Ｆ,1977,代表取締役 金井 秀巳,38,30 百万円,,,,
2024-08-01,大同磨鋼材工業株式会社,受託加工業（各種加工・表面処理）,求人なし,広島県広島市西区小河内町1-25-13,1956,代表取締役 八木 信郎,38,20 百万円,,,,
2024-08-01,ＪＳＷアフティ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,東京都八王子市兵衛2-35-2,2014,代表取締役 上野 五郎,38,100 百万円,,,,
2024-08-01,ジェミックス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,兵庫県神戸市東灘区向洋町東2-7-9,1968,代表取締役 平松 慶大,37,99 百万円,,,,
2024-08-01,マイクロジェニックス株式会社,電子部品メーカー,求人なし,富山県砺波市三島町1-10,1985,代表取締役 木村 準,37,20 百万円,,,,
2024-08-01,株式会社東洋高圧,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,広島県広島市西区楠木町2-1-22東洋ビル 3Ｆ,1981,代表取締役 野口 琢史,37,10 百万円,,,,
2024-08-01,光電機産業株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都新宿区西新宿3-18-20ＬＵＣＫ ＯＦＦＩＣＥ 4Ｆ,1974,代表取締役 窪田 良,37,25 百万円,,,,
2024-08-01,株式会社ＡＯＩ開発センター,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,長野県岡谷市加茂町1-7-39,2009,代表取締役 頼 以仁,37,90 百万円,,,,
2024-08-01,株式会社ナガノ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都大田区中央3-15-16,1970,代表取締役 髙橋 聡,36,30 百万円,,,,
2024-08-01,田中科学機器製作株式会社,計測機器・光学機器・精密機器・分析機器メーカー,無,東京都足立区綾瀬7-10-3,1918,代表取締役 下平 克彦,36,30 百万円,,,,
2024-08-01,綾目精機株式会社,受託加工業（各種加工・表面処理）,求人なし,広島県府中市河面町811,1988,代表取締役 石田 徹,36,10 百万円,,,,
2024-08-01,沖縄電機工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,沖縄県うるま市字州崎12-55,1971,代表取締役 新垣 昌明,36,23 百万円,,,,
2024-08-01,ジャパンカーボライン株式会社,電子部品メーカー,求人なし,東京都江東区深川1-1-5和倉ビル,1971,代表取締役 猿渡 晋吾,36,100 百万円,,,,
2024-08-01,平和オート株式会社,自動車（四輪・二輪）メーカー,無,大阪府泉大津市なぎさ町6-1,1966,代表取締役 阿部 潤志,36,90 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ・世界10数ヶ国を対象とした中古車の輸出販売業務・インターネットオークションの運営【取引先国・地域】ニュージーランド、オーストラリア、マレーシア、キプロス、ほか 2022年4月doda掲載求人より引用,
2024-08-01,株式会社青森芝浦電子,機械部品・金型メーカー,求人なし,青森県三戸郡三戸町大字川守田字草鞋平74-1,1995,代表取締役 鈴木 竜行,36,100 百万円,,,,
2024-08-01,株式会社ファンドリー,受託加工業（各種加工・表面処理）,求人なし,新潟県燕市長所1031,2001,代表取締役 吉田 貴之,36,60 百万円,,,,
2024-08-01,アドバンエンジ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,新潟県新潟市北区島見町3399-34,1966,代表取締役 松井 達俊,36,45 百万円,,,,
2024-08-01,日邦メカトロニクス広島株式会社,自動車部品メーカー,求人なし,広島県広島市安芸区上瀬野2-1-10,2015,代表取締役 本城 裕司,36,45 百万円,,,,
2024-08-01,ユウアイ電子株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,埼玉県川越市かし野台2-22-20,1974,代表取締役 荒川 克之,35,20 百万円,,,,
2024-08-01,ＴＳＭＣジャパン株式会社,半導体メーカー,求人なし,神奈川県横浜市西区みなとみらい2-3-5クイーンズスクエア横浜クイーンズタワーＣ 21Ｆ,1997,代表取締役 小野寺 誠,35,300 百万円,,,,
2024-08-01,高嶋技研株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,福井県あわら市伊井15-11,1964,代表取締役 庄野 統夫,35,45 百万円,,,,
2024-08-01,株式会社カーネル,自動車部品メーカー,求人なし,京都府京都市中京区烏丸通錦小路上る手洗水町659烏丸中央ビル 2Ｆ,1978,代表取締役 柏原 晋哉,35,10 百万円,,,,
2024-08-01,株式会社ジャパンシステム,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,愛知県小牧市大字三ツ渕1440,1988,代表取締役 丸山 将一,35,15 百万円,,,,
2024-08-01,山田マシンツール株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都台東区台東1-23-6山田ビル,1953,代表取締役 山田 雅英,35,10 百万円,,,,
2024-08-01,平和金属株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,大阪府大阪市中央区北浜2-6-18淀屋橋スクエア 14Ｆ,1939,代表取締役 益満 信一郎,35,97 百万円,,,,
2024-08-01,バルコ株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,東京都大田区平和島5-1-1ヤマトインターナショナルビル 8Ｆ,1995,代表取締役 加藤 浩典,35,301 百万円,,,,
2024-08-01,株式会社ニューテック,機械部品・金型メーカー,求人なし,長野県長野市若穂綿内1136-18,1987,代表取締役 宮寺 健,35,20 百万円,,,,
2024-08-01,ペリー・ジャパン株式会社,建設機械・その他輸送機器メーカー,求人なし,東京都中央区日本橋箱崎町31-4ＯＮＥＳＴ箱崎ビル 7～8Ｆ,2006,代表取締役 秋葉 知史,35,99 百万円,,,,
2024-08-01,マン・ウント・フンメル・ジャパン株式会社,自動車部品メーカー,求人なし,神奈川県横浜市港北区新横浜2-15-10ＹＳ新横浜ビル 6Ｆ,1999,代表取締役 ビュンホ・キム,35,100 百万円,,,,
2024-08-01,メディアテックジャパン株式会社,機械部品・金型メーカー,求人なし,東京都品川区東五反田2-10-2東五反田スクエア 16Ｆ,1997,代表取締役 クー・ターウェイ,35,1 百万円,,,,
2024-08-01,東海プリントメディア株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,愛知県清須市西市場5-5-2,2007,代表取締役 福浦 徹,35,50 百万円,,,,
2024-08-01,株式会社ＮＦブロッサムテクノロジーズ,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,神奈川県横浜市港北区綱島東6-3-26,2019,代表取締役 古城 隆三,35,400 百万円,,,,
2024-08-01,大阪電装工業株式会社,機械部品・金型メーカー,求人なし,大阪府大阪市東淀川区西淡路3-1-47,1955,代表取締役 頭本 博司,34,12 百万円,,,,
2024-08-01,東亜鉄工株式会社,造船・重工業,求人なし,神奈川県横浜市鶴見区安善町1-3,1978,代表取締役 金子 功,34,100 百万円,,,,
2024-08-01,株式会社ジャスト,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,広島県広島市南区堀越3-2-1,1997,代表取締役 中本 和彦,34,10 百万円,,,,
2024-08-01,アイコーエンジニアリング株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,大阪府東大阪市菱江2-15-7,1976,代表取締役 吉岡 和哉,34,50 百万円,,,,
2024-08-01,タチバナ精機株式会社,機械部品・金型メーカー,求人なし,大阪府東大阪市若江東町2-3-25,1961,代表取締役 岩淵 和仁,34,19 百万円,,,,
2024-08-01,大同電興株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都杉並区高円寺南5-41-1,1976,代表取締役 橋本 久,34,20 百万円,,,,
2024-08-01,志賀機械工業株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,愛知県知立市上重原町鍜治荒井13,1959,代表取締役 樋口 直行,34,48 百万円,,,,
2024-08-01,東洋スチール株式会社,機械部品・金型メーカー,求人なし,大阪府東大阪市加納4-8-13,1969,代表取締役 久司 泰二,34,30 百万円,,,,
2024-08-01,松井ワルターシャイド株式会社,電子部品メーカー,求人なし,茨城県古河市駒込937-5,1980,代表取締役 飯原 幸男,34,60 百万円,,,,
2024-08-01,白山技研株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,石川県白山市旭丘1-5-1,1978,代表取締役 渡辺 恭介,34,50 百万円,,,,
2024-08-01,株式会社北九州ファルテック,受託加工業（各種加工・表面処理）,求人なし,福岡県北九州市若松区向洋町10-1,2017,代表取締役 上田 敦,34,100 百万円,,,,
2024-08-01,株式会社フィッシャー・インストルメンツ,計測機器・光学機器・精密機器・分析機器メーカー,無,埼玉県草加市神明1-9-16,1987,代表取締役 安田 光春,33,40 百万円,,,膜厚測定器、素材分析器、微小硬さ試験機、材料試験器の販売・保守サービス等※『ヘルムート・フィッシャー社（ドイツ本社）』の日本法人である当社は、 ドイツ本社と共に、製品企画や開発を行っています。 2024年4月doda掲載求人より引用,
2024-08-01,日金電磁工業株式会社,電子部品メーカー,求人なし,埼玉県川口市大字安行領根岸1308-1,1958,代表取締役 西村 彰,33,60 百万円,,,,
2024-08-01,株式会社ＩＫＫ,機械部品・金型メーカー,1,静岡県沼津市足高396-59,1959,,47,90百万円,40.0,,■事業内容： 建設機械・油圧工具などの製造・販売＜概要＞株式会社IKKでは「切る」「孔(あ)ける」「曲げる」を製品コンセプトにDIAMONDのブランド名で、油圧製品を中心とした各種工具の製造・販売を行っております。,
2024-08-01,東京コンクリート株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都江東区新砂1-3-12,1952,代表取締役 要 秀和,33,150 百万円,,,,
2024-08-01,フォイトターボ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,神奈川県川崎市川崎区駅前本町11-2川崎フロンティアビル 4Ｆ,1986,代表取締役 アヒム・ブルダー,33,38 百万円,,,,
2024-08-01,株式会社野田テック,機械部品・金型メーカー,求人なし,大阪府吹田市南金田2-16-14,1968,代表取締役 野田 雄之,33,50 百万円,,,,
2024-08-01,西武電機株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,東京都八王子市狭間町1458-7,1988,代表取締役 三吉 昭,33,10 百万円,,,,
2024-08-01,ティアックマニュファクチャリングソリューションズ株式会社,半導体メーカー,求人なし,東京都青梅市新町8-10-12,1982,代表取締役 高山 久,33,64 百万円,,,,
2024-08-01,ＪＣＭシステムズ株式会社,アミューズメント・エンタメ・ゲームメーカー,求人なし,大阪府大阪市浪速区難波中2-11-18,1954,代表取締役 中武 一男,33,100 百万円,,,,
2024-08-01,大正エム・ティ・シー株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都中央区八重洲2-2-1,1993,代表取締役 富樫 和彦,33,400 百万円,,,,
2024-08-01,タレスジャパン株式会社,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,東京都港区赤坂2-17-7赤坂溜池タワー 8Ｆ,1993,代表取締役 アラン・コレイア,33,250 百万円,,,,
2024-08-01,マパール株式会社,機械部品・金型メーカー,無,埼玉県三郷市栄4-235-1,1996,代表取締役 ヨッヘン・クレス,33,100 百万円,,,,
2024-08-01,株式会社ストラタシス・ジャパン,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,東京都中央区新川1-16-3住友不動産茅場町ビル 3Ｆ,2012,代表取締役 クリスチャン・アルバレス,33,99 百万円,,,,
2024-08-01,エプソンスワン株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,山形県酒田市十里塚字村東山166-3,2001,代表取締役 松田 善則,33,3 百万円,,,,
2024-08-01,株式会社ＩＨＩターボサービス,総合電機メーカー,求人なし,神奈川県横浜市磯子区新中原町1横浜エンジニアリングセンター1号館,2014,代表取締役 小泉 政男,33,70 百万円,,,,
2024-08-01,日本分析工業株式会社,計測機器・光学機器・精密機器・分析機器メーカー,無,東京都西多摩郡瑞穂町大字武蔵208,1965,代表取締役 大栗 直毅,32,75 百万円,,,■分析装置の研究開発および製造・販売■有機混合物を分離精製する装置、微量の発生ガスの分析、ゴム・プラスチックの組成分析装置の製造販売◎各種表彰受賞：2019年 分取液体クロマトグラフ LaboACE LC-5060が 世界発信コンペティション「東京都ベンチャー技術特別賞」受賞、 2020年 経済産業省が認定する「グローバルニッチトップ」100選および「地域未来索引企業」に選定 2023年11月doda掲載求人より引用,
2024-08-01,日本化工食品株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,千葉県市原市青柳北1-6-33特別工場地区内,1960,代表取締役 藤井 宗徳,32,95 百万円,,,,
2024-08-01,豊通非鉄センター株式会社,機械部品・金型メーカー,無,愛知県安城市尾崎町大縄1,1998,代表取締役 今原 克典,32,200 百万円,,,,
2024-08-01,日本メカニック株式会社,受託加工業（各種加工・表面処理）,求人なし,茨城県稲敷郡阿見町大字福田84-1,1970,代表取締役 洞下 英人,32,30 百万円,,,,
2024-08-01,株式会社スリーディー,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,神奈川県横浜市港北区新横浜2-3-8ＫＤＸ新横浜ビル 4Ｆ,2012,代表取締役 彦坂 隆,32,75 百万円,,,,
2024-08-01,Ｓｍｉｔｈｓ　Ｄｅｔｅｃｔｉｏｎ　Ｇｅｒｍａｎｙ　ＧｍｂＨ,計測機器・光学機器・精密機器・分析機器メーカー,無,東京都千代田区大手町1-6-1,,日本における代表者 竹原 秀清,32,,,,,
2024-08-01,株式会社ワイエイシイダステック,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,埼玉県戸田市美女木3-8-5,2014,代表取締役 皆川 直人,32,40 百万円,,,,
2024-08-01,株式会社Ａ－Ｓｔａｇｅ,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,東京都千代田区神田三崎町2-18-5Ｓｕｉｄｏｂａｓｈｉ ＢＵＳＩＮＥＳＳ ＣＵＢＥ 4Ｆ,2018,代表取締役 藤岡 毅,32,50 百万円,,,,
2024-08-01,日本エリーズマグネチックス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,求人なし,千葉県浦安市鉄鋼通り2-5-6,1989,代表取締役 丹野 秀昭,31,99 百万円,,,,
2024-08-01,株式会社マイテック,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,富山県富山市八尾町保内1-2,1994,代表取締役 伊東 崇,31,80 百万円,,,,
2024-08-01,株式会社山梨オーバル,計測機器・光学機器・精密機器・分析機器メーカー,求人なし,山梨県甲府市善光寺1-27-25,1945,代表取締役 長田 裕,31,80 百万円,,,,
2024-08-01,株式会社オーバルテック,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,求人なし,神奈川県小田原市中町1-11-3,1999,代表取締役 稲葉 輝樹,31,10 百万円,,,,
2024-08-01,株式会社ビーエス,アミューズメント・エンタメ・ゲームメーカー,無,東京都台東区駒形2-7-4駒形ビル,1998,代表取締役 石田 大次郎,31,95 百万円,,,,
2024-08-01,ダイヘンスタッド株式会社,機械部品・金型メーカー,求人なし,兵庫県神戸市東灘区向洋町西4-1（株）ダイヘン 六甲事業所内,1974,代表取締役 奥村 尚也,31,250 百万円,,,,
2024-08-01,富士エンジニアリング株式会社,機械部品・金型メーカー,求人なし,愛知県豊田市吉原町平子26,1984,代表取締役 鈴木 聡,31,50 百万円,,,,
2024-08-01,株式会社ネツレンハイメック,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,無,神奈川県平塚市大神3060-3,1999,代表取締役 山﨑 隆良,31,80 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 航空機用および一般産業用各種油圧試験装置、高圧ガス関連装置、熱交換器システムの製造・修理・販売及び附帯する技術サービス・コンサルタント業務。特に油圧・高圧ガス関連装置の製造、修理における高圧流体制御技術は高い評価をいただいております。 2022年3月doda掲載求人より引用,
2024-08-01,株式会社フロージャパン,機械部品・金型メーカー,求人なし,愛知県名古屋市中区栄4-5-3ＫＤＸ名古屋栄ビル9Ｆ,1975,代表取締役 益子 克之,31,40 百万円,,,,
2024-08-01,フォルシア・ニッパツ株式会社,自動車部品メーカー,求人なし,神奈川県横浜市中区相生町3-56-1ＫＤＸ横浜関内ビル 3Ｆ,2001,代表取締役 武居 裕史,31,400 百万円,,,,
