更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-08-01,キヤノン 株式会社,計測機器・光学機器・精密機器・分析機器メーカー,55,◆企業概要：同社は、創業80年超／連結売上高4兆円／連結従業員数約20万人の東証一部上場の大手優良メーカーです。米国特許登録数ランキングでも同社は14年連続で日本企業1位にランクインしています。,東京都大田区下丸子3-30-2,1937,44.4,23931,"174,762百万円",https://global.canon/ja/,プライム市場,
2024-08-01,共立電気計器株式会社,計測機器・光学機器・精密機器・分析機器メーカー,4,■事業内容： 現場用電気計測機器等の製造および販売。■主な製品：(1)クランプメータ：架線電流計とも言われます。電流による磁界を測る事によって電気回路を開く事なく測定可能な電流計です。(2)絶縁抵抗計：メガーとも呼ばれる、電力回路の絶縁抵抗測定試験に使用される保守点検用電気計測器です。(3)回路計：直流及び交流の電圧・電流等、複数の事象を広範囲にわたって計測可能な保守点検用電気計測器です。,東京都目黒区中根2-5-20,1950,45.0,192,42百万円,http://www.kew-ltd.co.jp/jp/index.html,,
2024-07-01,共同印刷株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,1,■企業概要：2017年に創業120年を越えた総合印刷会社で、お客さまに寄り添って最適なソリューションを提供しています。当社の魅力は事業領域の幅広さです。書籍や販促物はもちろん、ICカードや個人宛の郵送物、食品や医薬品や生活雑貨のパッケージなども当社の取扱い製品です。さらに、印刷物のみならずITを活用したさまざまなサービスも提供しています。,東京都文京区小石川4-14-12,1925,41.0,3217,"4,510百万円",http://www.kyodoprinting.co.jp/,プライム市場,
2024-07-01,鉱研工業株式会社,建設機械・その他輸送機器メーカー,1,■概要：鉱研工業はボーリングマシンの最大手であるとともに､国内有数のボーリング工事施工会社でもあります。昭和22年の設立以来常にボーリング・グラウト機器のトップメーカーとして新しい技術や製品の開発に邁進してきました。例えば、大口径岩盤掘削工法｢ビッグマン・レイズボーリング工法｣やパーカッションワイヤラインサンプリング工法（PS-WL工法）は独自の工事種目であり国内外で高いご評価を得ています。今後も直径数センチから6メートルにおよぶ大口径まで幅広いボーリング機器を生産する世界唯一のメーカーとして事業展開してまいります。,東京都豊島区高田2-17-22目白中野ビル1F,1947,,245,"1,165百万円",http://www.koken-boring.co.jp/,スタンダード市場,
2024-08-01,株式会社小森コーポレーション,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,18,■事業内容：印刷機器の製造・販売・メンテナンスを一貫して手がけております。国内シェアは50%を超え、特に紙幣印刷機器は当社が独占しております。大日本印刷様や凸版印刷様などの大手印刷企業をはじめ、多くの中小企業を顧客としております。また、海外展開も活発に進めており、近年では特にＡＳＥＡＮ、インドなどでの売上拡大を目指しております。その他新規事業としてＤＰＳ事業、ＰＥ／精密機器事業にも取り組み、オフセット印刷機事業主体の事業構造からより複合的な事業構造への転換を進めております。,東京都墨田区吾妻橋3-11-1,1946,43.1,2572,"37,714百万円",http://www.komori.co.jp/,プライム市場,
2024-08-01,株式会社小松製作所,建設機械・その他輸送機器メーカー,86,同社は、東証プライムに上場するブルドーザーやショベルカーといった建設機械・車両、鉱山機械、林業機械、産業機械などを展開する世界トップクラスの建機メーカーです。「ものづくりと技術の革新で”新たな価値”を創る」という信念をもち、一つひとつの現場の課題から社会・地球規模の環境問題などに向き合い、ずっとつづく豊かさを追求し、支えつづけます。,東京都港区海岸1-2-20,1921,40.4,65738,"70,336百万円",https://home.komatsu/jp/,プライム市場,
2024-08-01,株式会社小糸製作所,自動車部品メーカー,51,～創業から108年、海外12カ国でグローバル展開している、自動車用ヘッドランプの世界トップシェアメーカーです～■主要製品：自動車関連品（LEDヘッドランプ・リアコンビネーションランプ／ディスチャージヘッドランプ、リアコンビネーションランプなど）航空・船舶関連製品（信号灯／分散EL式非常誘導灯／航空機用ウインドーヒートコントロールユニット／マリン用ランプなど） 特殊機器（鉄道用ディスチャージランプ／LED電子方向幕、LEDワーキングランプなど）他,東京都品川区北品川5-1-18住友不動産大崎ツインビル東館,1936,42.0,4310,"14,270百万円",https://www.koito.co.jp/,プライム市場,
2024-07-01,株式会社コーギケン,計測機器・光学機器・精密機器・分析機器メーカー,8,■事業内容:・計測制御機器の製造・販売,東京都中央区銀座7-17-14松岡銀七ビル,1957,,90,100百万円,https://www.kohgiken.co.jp/index.html,,
2024-08-01,三桜工業株式会社,自動車部品メーカー,18,■特徴：どこの自動車メーカーの系列にも属さない独立系企業です。系列関係に縛られないため、国内外の自動車メーカーとの取引拡大に自由に取り組むことができ、現在国内の全自動車メーカーに製品を供給しています。自動車メーカーでは国境を越えた部品の共通化が進行しています。製品の優位性が認められ採用されれば、一挙に販路を世界中に拡大できるチャンスが同社にはあります。■主要製品：ブレーキチューブ、フューエルチューブ、フューエルインジェクションレール、スチールチューブ製品及び樹脂チューブ製品、クイックコネクター、シートベルト用バックル・ショルダーアジャスター等,東京都渋谷区渋谷3-6-6,1939,,8000,"3,481百万円",http://www.sanoh.com,プライム市場,
2024-07-01,インターワイヤード株式会社,機械部品・金型メーカー,1,電線・ケーブル・ヒーター線・光ファイバー類の製造・加工・販売インターネットを利用した市場調査 DIMSDRIVE の運営,東京都品川区南大井5-19-8,1936,,,,https://www.interwired.co.jp/,,代表取締役 斉藤 義弘
