更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,京セラドキュメントソリューションズ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,26,■事業内容：複合機、プリンター、インクジェットプロダクションプリンティングシステム、ドキュメントソリューション、アプリケーションソフトウェアおよびサプライ製品の開発・製造・販売,大阪府大阪市中央区玉造1-2-28,1948,21794,"12,000百万円",,https://www.kyoceradocumentsolutions.co.jp/,,
2024-08-01,ヤンマーホールディングス株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,44,■事業内容：世界の都市・大地・海で人々の豊かな暮らしを支えています。（1）農業機械・農業施設（トラクタ、コンバイン、田植機、管理機ほか）（2）建設機械（ミニショベル、ポータブル発電機、投光機）（3）エネルギーシステム（マイクロコージェネ、ガスヒートポンプほか）（4）小形エンジン（産業用小形ディーゼルエンジンほか）（5）大形エンジン（船舶発電用／推進用ディーゼルエンジンほか）（6）マリン（中小形マリンディーゼルエンジン、プレジャーボートほか）（7）コンポーネント（油圧機器、トランスミッションほか） 等の研究・開発、製造、販売,大阪府大阪市北区茶屋町1-32YANMAR FLYING-Y BUILDING,2013,20135,90百万円,,https://www.yanmar.com/jp/,,
2024-08-01,テイ･エス テック株式会社,自動車部品メーカー,41,■事業内容：・自動車用シート、自動車用内装品の製造販売。・バイク用シート、バイク用樹脂部品等の製造販売。自動車内装品：ドアトリム等。バイク部品：フェンダー、メーターパネル、ラゲージボックス等。,埼玉県朝霞市栄町3-7-27,1960,1710,"4,700百万円",41.0,http://www.tstech.co.jp,プライム市場,
2024-08-01,ホシザキ株式会社,総合電機メーカー,8,■事業内容：全自動製氷機、業務用冷凍冷蔵庫、業務用食器洗浄機をはじめとする各種フードサービス機器の研究開発及び製造販売,愛知県豊明市栄町南館3-16,1947,13271,"8,052百万円",44.0,http://www.hoshizaki.co.jp,プライム市場,
2024-08-01,三菱電機ビルソリューションズ株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,77,■事業内容：同社の事業内容は、大きく分けて2種類あります。具体的には以下となります。(1)昇降機事業（エレベーター・エスカレーター）(2)ファシリティ事業,東京都千代田区有楽町1-7-1,1954,13000,"5,000百万円",,http://www.meltec.co.jp/,,
2024-08-01,トヨタ車体株式会社,自動車（四輪・二輪）メーカー,14,■事業内容：トヨタ自動車100％出資会社として、トヨタ車の企画・開発・生産を行っています。ミニバン・商用車・SUV製造でトヨタグループの中核完成車メーカーです。,愛知県刈谷市一里山町金山100,1945,17807,"10,370百万円",,http://www.toyota-body.co.jp,,
2024-08-01,ダイハツ工業株式会社,自動車（四輪・二輪）メーカー,99+,■概要：＜スローガン＞創業以来「世界中の人々に愛されるスモールカーづくり」を使命と考え、事業を展開してまいりました。新スローガン「Light you up」には「光」「軽やかさ」の２つの意味を持たせています。お客様一人ひとりを照らし、きめ細やかな商品やサービスを実現することで、輝いたライフスタイルを提供すること暮らしや環境への負担が少ないスモールカーで軽やかな気持ちを提供すること。この２つのミッションに、今後も変わらずに取り組み続けることを決意し、その想いを新たなスローガンとして表現しました。,大阪府池田市ダイハツ町1-1,1907,13156,"28,404百万円",40.6,http://www.daihatsu.co.jp/,,
2024-08-01,株式会社キーエンス,電子部品メーカー,43,【過去25％の平均成長率１0％超/営業利益率51.2％/世界で最も革新的な企業TOP100 8年連続ランクイン※フォーブス】■事業内容：下記製品の開発・製造・販売を行っています。・センサ、測定器・画像処理機器・制御・計測機器・研究・開発用 解析機器,大阪府大阪市東淀川区東中島1-3-14,1974,12286,"30,637百万円",35.2,http://www.keyence.co.jp/,プライム市場,
2024-08-01,ソニーセミコンダクタマニュファクチャリング株式会社,半導体メーカー,40,■企業情報：ソニーグループのなかで半導体事業を担うI＆SS（イメージング＆センシング・ソリューション）セグメントに属し、世界シェアトップのイメージセンサーを中心とし、マイクロディスプレイ、各種LSI、半導体レーザーなどを含むデバイスソリューションを提供しています。ソニーセミコンダクタソリューションズグループとして、研究開発、商品企画、設計、販売担当のソニーセミコンダクタソリューションズ（SSS）、これら企画された半導体製品の量産開発、並びに最先端のプロセス開発とデバイス開発、製造技術でものづくりを実現する当社（SCK）で構成されています。,熊本県菊池郡菊陽町大字原水4000-1,2001,11400,100百万円,42.3,https://www.sony-semicon.com/ja/company/about/index.html,,
2024-08-01,パナソニックコネクト株式会社,産業用装置（工作機械・半導体製造装置・ロボットなど）メーカー,60,～2022年4月1日パナソニックホールディングス株式会社の発足とともに設立 ※2021年3月までの組織：パナソニック株式会社 コネクティッドソリューションズ社～ハードウェア、ソフトウェア、ソリューション、私たちがつくるものはすべて、お客様の「現場」で活用され、よりよい社会、持続可能な未来の実現に貢献します。「現場」で活かされる専鋭化したハードウェアに、ソフトウェアや、IoT、AIなど最新のテクノロジーをつなげることで、さらなる付加価値を生み出し、モノづくりで培った知見とノウハウをサービスやソリューションとつなげることでさまざまな「現場」にイノベーションをもたらします。,福岡県福岡市博多区美野島4-1-62,2022,28500,350百万円,,https://connect.panasonic.com/jp-ja/,,
2024-06-01,三菱ふそうトラック・バス株式会社,自動車（四輪・二輪）メーカー,1,【世界最大級の商用車メーカー】■事業概要：世界最大級の商用車グループであるダイムラーの一員として、トラック、バス、産業用エンジンの開発と製造を行うグローバルメーカーです。世界中のお客様に燃費性、安全性と信頼性の高い確かな品質のトラック・バスを世界に提供しております。日本事業では、ダイムラーのアジア戦略組織であるダイムラー・トラック・アジアとして、インドのダイムラー・インディア・コマーシャル・ビークルズ社と、研究開発から調達、生産、輸出、販売と協業しています。,神奈川県川崎市中原区大倉町10,2003,10000,"35,000百万円",,http://www.mitsubishi-fuso.com/,,
2024-08-01,ソニーセミコンダクタソリューションズ株式会社,半導体メーカー,94,■事業内容： 半導体関連製品と電子 ・電気機械器具の研究、開発、生産、販売事業、およびこれに関連、附帯する事業当グループは、イメージセンサーを中心として、マイクロディスプレイ、各種LSI、半導体レーザーなどを含むデバイス事業を展開しています。中でも世界シェアのトップを走るイメージセンサーはモバイル向けを中核として、今後は車載カメラやセキュリティカメラ、ファクトリーオートメーションなど新規領域における成長が期待されています。,神奈川県厚木市旭町4-14-1,2015,9000,400百万円,,https://www.sony-semicon.com/ja/index.html,,
2024-08-01,セガサミーホールディングス株式会社,アミューズメント・エンタメ・ゲームメーカー,14,■事業内容：総合エンタテインメント企業グループの持株会社として、グループの経営管理及びそれに附帯する業務,東京都品川区西品川1-1-1住友不動産大崎ガーデンタワー,2004,484,"29,953百万円",41.6,http://www.segasammy.co.jp/japanese/,プライム市場,
2024-08-01,ＮＥＣプラットフォームズ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,7,■概要：同社は、ICTシステム機器の開発、製造、販売、設置、保守及びシステムソリューションを行っており、営業事業については、企業ネットワーク分野と流通情報端末分野において主に2つの事業展開を行っています。,東京都千代田区神田司町2-3,1918,6934,"10,331百万円",,http://www.necplatforms.co.jp/index.html,,
2024-08-01,住友電装株式会社,自動車部品メーカー,99+,■事業概要：自動車用ワイヤーハーネス及び機器用ハーネス開発設計/製造販売、自動車用接続部品の開発設計/製造販売、車載用電子部品(高機能JB、ECU・GW等)の開発設計/製造販売,三重県四日市市浜田町5-28,1917,7141,"20,042百万円",41.0,http://www.sws.co.jp/,,
2024-07-01,トヨタ自動車東日本株式会社,自動車部品メーカー,5,■事業内容：トヨタ車の企画・研究開発・生産■製品：（1）乗用車（2）福祉車（3）自動車部品,宮城県黒川郡大衡村中央平1,2012,7300,"6,850百万円",,http://www.toyota-ej.co.jp/,,
2024-07-01,株式会社ＳＣＲＥＥＮホールディングス,半導体メーカー,10,同社はSCREENグループにおける経営管理、R&Dの役割を担っています。持株会社として、5つの事業会社と1つの機能会社を取りまとめ、技術部門と管理部門、大きく2つの側面からグループを支えています。,京都府京都市上京区堀川通寺之内上ル四丁目天神北町1-1,1943,5943,"54,044百万円",43.0,http://www.screen.co.jp/,プライム市場,
2024-08-01,パナソニックマーケティングジャパン株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,13,■事業内容：パナソニックブランド家電商品の卸販売、および修理・サービス業務、太陽光・リフォーム・システムに関するエンジニアリング事業 等■同社の事業領域：地域電器専門店・家電量販店・生活業態店など国内すべての流通チャネル、並びにインターネットを核としたダイレクトビジネスを通じて、あらゆるお客様へ「パナソニック」ブランドの商品のご提案・サービスのご提供を行っています。エリア社：地域電器専門店部門／家電量販店・業態部門／生活業態店部門eCBU：eコマース部門CS社：修理・サービス部門SSBU：BtoBソリューション部門,大阪府大阪市中央区城見2-1-61OBPパナソニックタワー,2006,6263,"1,000百万円",,http://www.panasonic.com/jp/company/pcmc.html,,
2024-08-01,UDトラックス株式会社,自動車（四輪・二輪）メーカー,91,■事業：・UDトラックスブランドの大型／中型トラックの開発／製造／販売、UDトラックスブランドの小型トラックの販売・ディーゼルエンジンの製造／販売、自動車用部品の製造／販売・トラック／バスの整備及び補修部品等の販売,埼玉県上尾市大字壱丁目1,1935,6243,"10,000百万円",,https://www.udtrucks.com/japan,,
2024-08-01,ユー・エム・シー・エレクトロニクス株式会社,電子部品メーカー,15,■事業内容:EMS事業(＝Electronics Manufacturing Services)電子回路基板や電子機器の「開発設計／部品調達／基板実装／完成品組立」までを受託生産しております。当社の電子回路基板は、車載やOA機器、デジタル家電、産業用機器まで様々な業界で使用されております。電子機器メーカの「ものづくり」の一端を支えています。,埼玉県上尾市瓦葺721,1968,6697,"4,729百万円",46.5,http://www.umc.co.jp,プライム市場,
2024-08-01,ダイキョーニシカワ株式会社,自動車部品メーカー,19,バンパーなどの外装品や、インストルメントパネルなどの内装品などの樹脂製品を中心とした、マツダ等カーメーカーへの1次サプライヤーです。2012-2013日本カー・オブ・ザ・イヤー受賞の「CX-5」向けバンパー・フロントグリル、2013-2014日本カー・オブ・ザ・イヤー エモーショナル部門賞の「アテンザ」向けバンパー・インパネ」など、多くの受賞を支えています。樹脂製品のスペシャリストとしてこれまで多くの製品を開発しており、特に近年では、自動車のバックドアを、従来の鋼板製品から樹脂製に置き換えるなど、次世代製品の開発も加速しています。,広島県東広島市寺家産業団地5-1,2007,2906,"5,426百万円",40.0,http://www.daikyonishikawa.co.jp/jp/,プライム市場,
2024-08-01,日立グローバルライフソリューションズ株式会社,家電・モバイル・ネットワーク機器・複写機・プリンタメーカー,34,■企業概要：｢日立グローバルライフソリューションズ株式会社｣は、商品企画から設計･製造･営業、そして、アフターサービスまでのバリューチェーンを統合して価値あるプロダクト･サービスをお客さまにお届けするため、日立コンシューマ･マーケティング株式会社と日立アプライアンス株式会社の合併により、2019年4月1日に誕生しました。「360°ハピネス ひとりひとりにうれしい暮らしを」という想いのもと、お客さまの暮らしに寄り添います。,東京都港区西新橋2-15-12日立愛宕別館,2019,5500,"20,000百万円",,https://www.hitachi-gls.co.jp/,,
2024-08-01,三菱電機エンジニアリング株式会社,総合電機メーカー,99+,■事業概要：同社は、優れた技術力と全国規模のネットワークで社会と暮らしに貢献する総合エンジニアリング企業です。三菱電機株式会社の各種製品、システムの設計・開発業務等で培った多様な技術に加え、最新の技術と設備を積極的に取り入れることにより、市場ニーズに応えたソリューションや機器を提供しています。,東京都千代田区九段北1-13-5,1962,5459,"1,000百万円",42.2,http://www.mee.co.jp,,
2024-08-01,株式会社出雲村田製作所,電子部品メーカー,6,■事業内容：セラミックコンデンサ（積層セラミックコンデンサ、金属端子付き積層セラミックコンデンサ、高電圧用セラミックコンデンサ）の開発・生産を行っています。,島根県出雲市斐川町上直江2308,1983,4849,430百万円,38.0,http://www.murata.co.jp/izumomurata/,,
2024-08-01,株式会社日立ハイテク,計測機器・光学機器・精密機器・分析機器メーカー,99+,■概要：2001年、日立製作所計測器グループ、同半導体製造装置グループ、エレクトロニクス専門商社である日製産業が統合し、日立ハイテクが誕生しました。その後、表面実装システム事業、液晶・ハードディスク関連製造装置事業、半導体後工程製造装置事業を承継し、商社機能にメーカー機能を有機的に統合しながら今日に至っています。,東京都港区虎ノ門1-17-1虎ノ門ヒルズビジネスタワー,1947,5288,"7,938百万円",42.9,https://www.hitachi-hightech.com/jp/,,
2024-08-01,ボッシュ株式会社,自動車部品メーカー,22,～世界最大級の自動車システムサプライヤー/ボッシュ・グループの日本拠点/日本に長く根差したドイツ企業で多種多様な従業員が働いています～■事業内容ディーゼルおよびガソリン用エンジンマネジメントシステム・コンポーネント、乗用車向けブレーキシステム、トランスミッション制御、エアバッグ用コントロールユニット、自動車用センサー類、ステアリングシステム等の開発・製造・販売。自動車機器アフターマーケット製品、自動車整備機器、電動工具の輸入販売・サービスなど。,神奈川県横浜市都筑区中川中央1-9-32,1939,6024,"17,000百万円",,http://www.bosch.co.jp/jp/rbjp/,,
