更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,上場市場名,代表者
2024-06-01,堅田漁業協同組合,水産・農林・鉱業,3,■事業内容： 養殖部（マダイの養殖魚）、とれとれ市場（全ての魚介類）、海上釣堀（カタタの釣堀）、釣イカダ（カタタの筏釣り）、かがやき屋（屋形船）～これまでの漁業のあり方にとらわれない～漁協としてだけでなく観光事業者としても、枠にとらわれず独自の道を切り開いてきた私たち。白浜観光No.1の存在を目指し、拡大を続けています。,和歌山県西牟婁郡白浜町堅田2521,1949,,131,28百万円,https://toretore.com/,,
2024-07-01,有限会社小川精麦,水産・農林・鉱業,1,■会社概要：当社は、明治35年の創業以来、群馬県安中市にて精麦業を営んでおり、「食糧」という、人が生きて行く上でなくてはならない物を供給している会社です。,群馬県安中市中宿30-2,1968,,32,9百万円,http://ogawa-seibaku.com/,,
2024-06-01,福岡大同青果株式会社,水産・農林・鉱業,1,■事業内容野菜、果実、きのこ、鳥卵、漬物類、農産加工品の卸売並びに、輸入青果物及びその加工品の卸売業,福岡県福岡市東区みなと香椎3-1-1204,1960,,145,200百万円,http://fdydo.co.jp/,,
2024-07-01,養老ミート株式会社,水産・農林・鉱業,2,■事業内容： 1. 牛の肥育2. 牛肉・豚肉・鶏肉・馬肉・食肉加工品の加工 / 販売3. 牛の輸出 ■ビジョン： 感謝を忘れず誠心誠意、肉作りに取り組む曲がったことを認めないのが、弊社の気風です。お客様はもちろん、同じ仕事をしている仲間にも誠意を持って対応する。多くの人に助けてもらいここまで来られたことへの感謝を忘れない。そういった当たり前のことを大切に、まじめに商売をする伝統が弊社にはあります。,岐阜県養老郡養老町石畑288-1,1972,,,45百万円,https://www.yoro-meat.co.jp/company/,,
2024-07-01,マルカイチ水産株式会社,水産・農林・鉱業,4,■事業内容：水産物の輸入・販売・卸売・加工・小売業,北海道紋別市新港町2-11-7,1983,,200,20百万円,http://www.marukaichi.co.jp,,
2024-07-01,株式会社西村鐵工所,水産・農林・鉱業,1,■事業概要：・液体乾燥機と垂直輸送機（コンベヤ）を主軸に事業を展開。オリジナル製品であるCDドライヤー、I-Bコンベヤの開発・設計・製造・据付までを一貫して行っており、省コスト・省エネ・生産性向上などを支援。 ※CDドライヤー（ディスク型伝導加熱式液体乾燥機）は国内でもトップクラスの技術・粉体製造、廃水・廃液の処理やリサイクル分野で貢献,佐賀県小城市牛津町柿樋瀬286-4,1945,,49,20百万円,http://www.nisitec.co.jp/,,
2024-07-01,厚岸共冷株式会社,水産・農林・鉱業,1,当社は、養殖飼料・水産物の卸売業を展開する企業です。■事業概要：・糠さんま、糠いわし、糠ホッケ、糠にしんの販売・干しししゃもの販売・北海道で水揚げされる鮮魚全般の販売・その他、鮮魚・貝類・冷凍魚の販売 等■関連会社：・株式会社共冷,北海道厚岸郡厚岸町港町4-127,1991,,4,40百万円,https://www.3ma.jp/index.html,,
2024-07-01,朝霧乳業株式会社,水産・農林・鉱業,1,■事業内容： 牛乳・乳製品の製造／販売、ミネラルウォーターの製造／販売,静岡県富士宮市根原449-1あさぎりフードパーク内,1971,,50,8百万円,https://www.asagiri-milk.jp/,,
2024-06-01,有限会社京都丹波牧場,水産・農林・鉱業,1,■事業内容： 黒毛和牛の繁殖・肥育の一貫経営,京都府南丹市八木町北屋賀一ツ橋53,1992,,20,5百万円,https://hiraigyu.com/,,
2024-07-01,株式会社前田屋,水産・農林・鉱業,1,■営業品目 味付海苔・焼海苔の製造販売、板海苔販売 椎茸・干瓢・その他、乾物販売,広島県広島市西区商工センター7-1-6,1969,38.0,38,67百万円,https://www.nori-maedaya.com/,,
2024-05-01,海洋曳船株式会社,水産・農林・鉱業,1,■事業内容：釜石港、宮古港、大船渡港の三陸の港湾を中心に、大型船の入出港サポート、海上・港湾工事、造船所作業、海上防災、海難救助などの事業で、港湾インフラの役割を担っています。,岩手県釜石市浜町1-1,1978,,27,10百万円,https://www.kaiyo-eisen.co.jp,,
2024-07-01,有限会社津口ファーム,水産・農林・鉱業,3,■事業内容：初生ひな（ひよこ）から成鶏まで一貫飼育、たまごの卸／通信販売■同社について毎日の食卓に欠かせないものと言えば「たまご」。たまごは、栄養の宝庫と言われておりますが、すばらしいたまごを 皆様にお届けできるよう努力しております。私たち人間にとって完全な栄養食品といえば、乳児期の母乳です。これに匹敵するものは、「牛乳」と「たまご」です。牛乳には、牛が成長に必要な成分が含まれていますが、「たまご」にも、ひよこになるために必要なタンパク質やミネラルなどの栄養分がすべて備わっています。その「たまご」に、よりこだわりを持って生産しています。,広島県世羅郡世羅町大字津口711,1996,,40,5百万円,http://www.tsukuchifarm.co.jp/kaisya.html,,
2024-06-01,山田水産株式会社,水産・農林・鉱業,5,■事業内容：・鰻事業部…鰻養殖、鰻加工・石巻事業部…さんま蒲焼、いわし蒲焼、さば照焼、加工冷凍原料販売・水産加工部…シシャモ、うるめ若干、焼きいか・冷凍餌料部…養殖用飼料、モイストペレット,大分県佐伯市野岡町1-5-3,1973,38.0,475,294百万円,http://yamadasuisan.com/,,
2024-06-01,株式会社南東北クボタ,水産・農林・鉱業,3,■事業内容：（1）農業機械の販売、修理（2）農業資材、農業関連商品・畜産・農業施設の販売施工（3）農業用倉庫・低温貯蔵庫・車庫の販売（4）土木・建築の請負及び設計施工、住宅用建材・資材の販売（5）自動車（マツダ・ダイハツ）の販売、修理（6）建設機械の販売、修理（7）除雪機・芝刈機・格納庫の販売、修理（8）電動カート、他健康生活関連商品の販売（9）コイン精米機・コインランドリー・生ゴミ処理機・計量機・防災用発電機の販売、設置（10）コイン精米機の運営、コインランドリー店舗の運営、損害保険代理店,宮城県名取市田高字原182-1,2012,39.3,600,160百万円,http://www.minamitohoku-kubota.co.jp/,,
2024-08-01,アイアグリ株式会社,水産・農林・鉱業,11,■事業内容：農業支援、農業資材の通信販売、農業情報発信基地「農家の店 しんしん」の全国展開■事業の特徴：（1）農業資材による効率化（2）販路拡大の支援（3）生産管理・栽培技術支援（4）新規就農支援,茨城県土浦市北神立町2-12,1986,41.5,265,97百万円,http://www.sinsingr.co.jp/,,
2024-07-01,株式会社山形ピッグファーム,水産・農林・鉱業,2,■事業内容：・豚の飼育管理・ブランド豚の販売(舞米豚・平牧三元豚・みちのく花笠豚)■当社の特徴：「安全で最高においしい豚肉を真心で」を至上命題に掲げ豚肉を生産し、おかげさまで半世紀が過ぎました。創業からの理念を引き継ぎ、次代の変化に対応し食卓に笑顔を届けるために社員一丸となって日々努力を行っています。地域から愛される企業となるべく、地域への貢献を今後も大切にしていきます。,山形県東村山郡山辺町大字根際249,1965,40.0,42,10百万円,http://www.pigfarm.co.jp/,,
2024-07-01,株式会社阿部長商店,水産・農林・鉱業,2,■事業内容： （1）水産事業部…水産加工品の販売代表的な商品としては、震災による困難な状況を乗り越えて復活を遂げた地域ブランド「気仙沼ふかひれ濃縮スープ」や日本国内の水産加工評価の頂点「天皇杯」を受賞した「あぶりさんま」があります。（2）観光事業部…リゾート開発事業21世紀は新しいリゾートの時代。人々が心身共にくつろげる真のリゾート開発事業を、地域開発に貢献しながら、自然の恩恵あふれる気仙沼・南三陸で進めていきます。ホテル観洋、気仙沼プラザホテルを運営。（3）物販事業（4）飲食事業（5）不動産事業,宮城県気仙沼市港町2-13,1968,45.4,639,50百万円,https://www.abecho.co.jp/,,
2024-07-01,有限会社瑞穂農場,水産・農林・鉱業,1,"■事業内容：肉用牛育成、飼育管理及び販売／乳牛の飼育、搾乳、牛乳の販売■販売数：・肉牛販売頭数：6,045頭・肉用子牛販売頭数：8,632頭・年間生乳販売量：149,364ﾄﾝ■飼育頭数：合計31,662頭・和牛繁殖：558頭・肉牛13,700頭（和牛：5,582頭、交雑：8118頭）・乳牛17,404頭（搾乳牛：14,383頭、育成牛：3,021頭）",茨城県常陸大宮市小祝1535,1951,37.0,457,23百万円,http://mizuho-farm.co.jp/,,
2024-07-01,協和水産株式会社,水産・農林・鉱業,3,■企業概要：・当社は1947年の設立以来、海産物、一般食料品の卸売りを生業とし、国内の各商社から仕入れた様々な商品を小売店や同業他社への販売を行っています。また、ロシアやアメリカをはじめとした水産物の貿易を積極的に行っています。・日本国内はもちろんのこと、中国や韓国などへのマーケットにも販売しております。・当社は「お客様に喜んで頂ける品揃えと品質の維持・向上をさせる」ことを信念として掲げ、お取引先さまと良好な関係を築き継続させることで共に成長できるよう心がけてきました。これまでに培ってきた経験と実績にとらわれず、新しいことへのチャレンジを積極的に行い100年企業を目指しています。,新潟県新潟市東区卸新町3-1-2,1947,43.0,29,75百万円,https://kyowasuisan.co.jp,,
2024-08-01,イワタニ・ケンボロー株式会社,水産・農林・鉱業,4,■企業概要： 世界最大の種豚会社であるPIC社（Pig Improvement Company）の日本における総代理店として、岩谷産業株式会社の全額出資によって1982年に設立されました。岩谷産業株式会社創業以来の企業理念である「世の中に必要なものは栄える」をたゆまなく実践し、イワタニグループの一員として日本の養豚産業発展に貢献してまいりました。現在では、PIC社の総代理店として、最先端の遺伝子・技術を供給する一方、確かなノウハウ・理論に基づく畜舎・設備の提供ができる国内唯一の企業です。「安全で高品質な豚肉」の生産に貢献しています。,東京都中央区日本橋小網町3-11,1982,41.0,109,109百万円,http://www.camb.co.jp/,,
2024-06-01,株式会社浅井農園,水産・農林・鉱業,1,■企業概要：「常に現場を科学する」研究開発型の農業カンパニー,三重県津市高野尾町4951,1975,,33,74百万円,https://www.asainursery.com/,,
2024-05-01,有限会社亀井園芸,水産・農林・鉱業,1,■事業内容花壇苗・切花苗・野菜苗・接木野菜苗、生産・卸、花壇設計・施工,三重県津市河辺町45,1996,,50,55百万円,http://www.kameiengei.com/,,
2024-08-01,一般財団法人カーボンフロンティア機構,水産・農林・鉱業,5,■設立目的：石炭及び関連する各種エネルギー等に関する調査研究、情報の収集・提供、人材の育成、技術開発、技術の普及・移転及び事業化の支援等を行うことにより、国際的な石炭供給の増大及び地球環境に調和する石炭利用の推進を図り、もって我が国におけるエネルギーの安定確保及び産業経済の健全な発展に寄与することを目的とする。,東京都港区西新橋3-2-1Daiwa西新橋ビル3F,1990,,65,804百万円,http://www.jcoal.or.jp/index.html,,
2024-08-01,山城農産株式会社,水産・農林・鉱業,1,■事業内容： あい鴨肉の生産、加工、販売国産合鴨「京鴨」ブランドのヒナの孵化から、育成、処理、精肉販売まで一貫専業しております。,京都府宇治市木幡南山3-4,1983,47.0,86,10百万円,https://www.kyogamo.com/,,
2024-07-01,株式会社イシイ,水産・農林・鉱業,11,■事業内容：・ブロイラーひなの生産・販売・ブロイラーの飼養受託・販売・インフルエンザワクチン製造用鶏卵の生産・販売・養鶏機器の輸入・販売・施工・孵卵場機器の輸入・販売・施工・システム鶏舎の建設・販売・ワクチン卵内接種機のシステム契約による技術サービス・オーガニックペットフードの輸入・販売,徳島県徳島市国府町 矢野485,1969,48.0,450,98百万円,https://ishii1969.com/,,
2024-07-01,株式会社高松東魚市場,水産・農林・鉱業,1,■事業内容：生鮮、冷凍・塩干魚介類卸売業■当社の魅力：当社では多種多様の品物を取り扱っており、その扱い方からお取引先まで多岐に渡ります。その為、当社での働き方も多様化しており、一人ひとりにあった仕事や働き方をご提案できます。魚市場というと早朝や深夜の業務というイメージから敬遠される方もいらっしゃるかもしれませんが、その分昼間の時間を家族と過ごしたり趣味に費やしたりして実際に有効活用している社員も多くいます。,香川県高松市瀬戸内町30-5,,,45,43百万円,http://t-higashiuo.co.jp/,,
2024-07-01,バイオ科学株式会社,水産・農林・鉱業,10,■事業内容：（1）水産関連事業（2）畜産関連企業,徳島県阿南市那賀川町工地246-1,1983,41.0,90,100百万円,http://bioscience.co.jp/,,
2024-08-01,株式会社瀬戸水産,水産・農林・鉱業,1,■主な製品・事業内容：サーモン等鮮魚加工/卸売/委託加工、活魚運送/卸■瀬戸水産について：首都圏の複合大型施設・外食チェーン・居酒屋や寿司店等、大切なお取引先様へ、相模湾の朝どれ新鮮な魚や北欧のサーモン等を様々な加工スタイルでスピーディにお届けいたしております。また、仕入れた魚介類は当社開発の水槽で管理し、ご希望の納品期間に合わせ活締め、スピーディーに加工し、高鮮度の状態でお届けしております。,香川県三豊市詫間町松崎2817-17,1987,,57,10百万円,https://www.setosuisan.com/,,
2024-08-01,小林種苗株式会社,水産・農林・鉱業,1,■事業内容： 種子の開発から輸出までを手掛ける種苗メーカーです。販売される種子は約2万種で、そのうち自社開発品種の95％が海外向けです。日本国内はもちろん、アフリカ、南米諸国など約70カ国へ直接販売され、世界の食を支えています。,兵庫県加古川市加古川町粟津404,1948,,45,30百万円,http://www.kobayashi-seed.co.jp/,,
2024-06-01,株式会社山口園芸,水産・農林・鉱業,1,＜企業概要＞当社は「閉鎖型苗生産システム」により連作障害や病害虫に強い苗を育てていくことでも広く周知され「野菜接木苗」の国内トップメーカーであるベルグアース（株）の原点となった企業であり、今日ベルグアース社発展の礎となった企業でもある。,愛媛県宇和島市津島町山財4925,1996,,81,25百万円,http://www.e-nae.co.jp/,,
2024-07-01,上原ファーム株式会社,水産・農林・鉱業,1,■事業内容：養豚業経営,宮崎県都城市山之口町大字富吉6630,,,150,10百万円,http://www.ueharafarm.com/index.html,,
2024-05-01,株式会社タカスイ,水産・農林・鉱業,1,■事業内容： 同社は宮崎に本社を置く、昭和42年創業より営む漁業を基に水産加工業、鮮魚・活魚販売、飲食業を幅広く展開している六次産業化のリーディングカンパニーです。同社の主軸事業である漁業(鹿児島)で獲れた鮮魚などを、市場や飲食店舗などに直接供給しています。水揚げ量では九州の東から南エリアにかけてNO.１を保持し続けており、更に蓄養することにより安定的な供給が可能になっています。同社の鮮魚を提供する海鮮レストラン「大漁市場 こんぴら丸」をホテルと併設して開業した後、平成24年には福岡、鹿児島、熊本にも出店し、現在5店舗となっています。今後も更なる成長、発展を遂げて行きます。,宮崎県延岡市出北2-2-13,1967,42.0,215,"1,000百万円",http://www.takasui.co.jp/index2.html,,
2024-07-01,株式会社ホソヤ,水産・農林・鉱業,2,■事業内容： ・各種畜産設備（養鶏・養豚・養鶉）開発・製造・販売・採卵養鶏場経営・GPセンター運営・不動産事業,神奈川県綾瀬市落合南6-8-37,1972,,89,22百万円,http://www.k-hosoya.co.jp/,,
2024-08-01,月形町農業協同組合,水産・農林・鉱業,2,・国道275号線沿い、北海道空知総合振興局管内の南西部に位置する月形町は、人口約3000人、面積にして約15000haの小さな町です。・歴史的には明治初期に開庁された「樺戸集治監」。そしてそこの初代典獄月形潔氏がここに開いた「月形村」がこの町の始まりです。,北海道樺戸郡月形町1069,1948,44.2,44,587百万円,https://jamoon.hamanasu.to/,,
