更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,代表者,上場市場名
2024-08-01,株式会社フォレストヒルズ,ホテル・旅館・宿泊施設,1,■会社概要・平成26年、東京建物、東京建物リゾートより分割新設され、愛犬と泊まれるホテルを運営している企業です。・ホテルフォレストヒルズ那須は、那須高原の成熟の森に包まれたレストランと温泉付きコテージホテルなどからなる大人の隠れ家リゾートです。厳選した地元食材を中心に心を込めて提供する自然派欧風料理と、小川が流れる深い森を五感で愉しみながら愛犬とお過ごしいただけます。■事業内容・ホテルフォレストヒルズ那須の経営、那須上の原高原別荘地の分譲・管理、ホテル・旅館・ゴルフ場・保養所の経営、経営コンサルティング、運営受託、戸建別荘の商品企画・販売。オリジナル商品の企画・開発、販売。,栃木県那須郡那須町大字高久乙1880,2014,40,3百万円,,https://www.forest-hills.jp/,,
2024-06-01,株式会社ホテルエムズ,ホテル・旅館・宿泊施設,2,■事業内容：ホテルエムズブランドであるM's Hotelは、ここにしかないモノ、ここにしかない時間にこだわり、上質な京都らしいサービスを日々考え、追求しております。お客様の京都滞在をさらに素敵なものにするため、京都で育った経験・知識・繋がりを活かし様々なプランやコラボ企画に挑戦しています。宿泊は私たちのホテルでくつろいでいただき、美味しいご飯や楽しい時間は京都の素晴らしいお店やスポットで過ごしていただく。,京都府京都市中京区両替町通御池上る龍池町449-1,2014,69,3百万円,,https://www.hotelms.jp/,,
2024-06-01,ミニッツラウンドゴルフ株式会社,レジャー・アミューズメント,1,■事業内容： 日本国内GOLFZON正規販売代理店として、GOLFZON装置の販売や直営店として、インドアゴルフ練習施設を京都、名古屋、仙台、岐阜、三重など全国に『ARAVAGOLF』16店舗展開しております。設立10年、ARAVAGOLF店舗展開は3年目、増益増収を継続しています。・GOLFZON正規販売代理店業務・会員制インドアゴルフ練習施設『ARAVAGOLF』店舗運営・インドアゴルフスクールの運営（1店舗）,岐阜県岐阜市茜部本郷1-79,2014,3,10百万円,,https://aravagolf.com/company/,,
2024-06-01,株式会社ラグーナテンボス,レジャー・アミューズメント,2,■事業概要：複合レジャー施設「ラグーナテンボス」の運営・管理,愛知県蒲郡市海陽町2-3-1,2014,94,"1,588百万円",32.0,http://www.lagunatenbosch.co.jp/index.html,,
2024-08-01,株式会社KANAYA RESORTS,ホテル・旅館・宿泊施設,1,■会社概要株式会社KANAYA RESORTSは、金谷ホテル観光グループの事業拡張を牽引していく組織です。■事業概要・ホテル・旅館における運営受託業務・リノベーション、改装などの設計企画・経営企画、総務人事、リクルーティング、営業販売、インフラ整備、財務経理、商品投資計画など,東京都渋谷区渋谷3-10-5,2014,153,9百万円,,http://www.kanayaresorts.com/,,
2024-06-01,株式会社ユニオンアルファ,レジャー・アミューズメント,10,■事業概要◇イベント資材のレンタル：ダスキンレントオールとのフランチャイズにより、テント、音響・照明等の機材、演出アイテム、セレモニー用品、スポーツ用品など、イベント運営に必要な資材を貸し出しすることができます。◇イベント設営・撤去：イベントの設営・撤去を中心に事務局代行、各種クリエイティブの制作、運営、申請代行まで、トータルに対応できることもユニオンアルファの強みです。◇サイン制作：イベントに欠かせないサインの制作も行っていますバルーン、木工など、装飾全般の制作にも対応しています。◇ホール管理：「神戸サンボーホール」の運営も行っています。,兵庫県加古川市野口町坂元329-60,2014,65,30百万円,36.0,https://www.union-alpha.jp/,,
2024-08-01,株式会社ほねごり,スポーツ・ヘルス関連施設,5,■事業内容：同社は骨盤矯正専門の整骨院・鍼灸院を運営する企業です。来院していただいたお客様に対し、お身体の状態を細かく把握し、模型を用いてわかりやすく現状をご説明のち、お身体の状態にあった治療法で施術いたします。,神奈川県相模原市緑区橋本3-13-1パークスクウェア101,2014,281,50百万円,28.0,http://www.honegori-group.com/,,
2024-05-01,株式会社おさるランド,レジャー・アミューズメント,1,■事業概要：2014年設立、栃木に本社を置きテーマパーク『おさるランド』の経営を行っております。■事業内容： テーマパーク『おさるランド』の経営■当社の特徴・強み：おさるのエンターテインメントを提供する当社は、『見て、遊んで、ふれあえる』をコンセプトに、劇場、特設ステージなども備えており、何度観ても飽きのこない新しいパフォーマンスを日々研究・開発しています。2022年には、おさる以外のペンギン、カピバラ、猫などの新たな動物も仲間に加わり、アニタウンが誕生し、日々進化をしております。,栃木県日光市柄倉763,2014,6,1百万円,35.0,https://www.osaruland.jp/,,
2024-06-01,株式会社SQUEEZE,ホテル・旅館・宿泊施設,1,■事業内容：プロダクト開発とオペレーション構築の両面をご支援できる強みを生かし、クライアントのニーズに合わせた下記3つの事業を展開しています。・不動産バリューアップ…アパートメントホテルやその他コンセプトホテルの企画・設計と運営・ホテル運営ソリューション…宿泊管理システム、オンラインコンシェルジュの提案を活用した「クラウド運営ソリューション」を体現する様々な運営施設を展開・街づくり・DX企画…施設運営だけでなく、エリア全体の空間活用やデジタル戦略を支援,東京都渋谷区神山町6-4,2014,94,468百万円,34.0,https://squeeze-inc.co.jp/,,
2024-07-01,株式会社伊東園ホテルズ,ホテル・旅館・宿泊施設,5,■事業内容： 当社は東日本を中心とした、地方の有名温泉地に伊東園ホテルズ（北海道・福島・茨城・群馬・栃木・千葉・神奈川・静岡・山梨・新潟・長野）49拠点を展開しています。,東京都豊島区南池袋1-10-13荒井ビル6F,2014,3432,30百万円,,https://www.itoenhotel.com/,,
