更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,株式会社明智ゴルフ倶楽部,レジャー・アミューズメント,求人なし,岐阜県恵那市明智町吉良見980-2,1977,代表取締役社長 萩野 剛年,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,サーラスポーツ株式会社,スポーツ・ヘルス関連施設,求人なし,静岡県浜松市中央区砂山町1107サーラシティ浜松,1981,代表取締役 赤間 真吾,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ＡＣＡＯ　ＳＰＡ＆ＲＥＳＯＲＴ株式会社,ホテル・旅館・宿泊施設,求人なし,静岡県熱海市上多賀1027-8,1970,代表取締役会長・ＣＥＯ 中野 善壽,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社芦の湖カントリークラブ,レジャー・アミューズメント,求人なし,静岡県三島市南原菅4708,1958,代表取締役社長 大川 浩,200 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ヤマハマリーナ株式会社,レジャー・アミューズメント,求人なし,静岡県湖西市入出1380,1980,代表取締役 鈴木 雅文,73 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社伊豆今井浜東急ホテル,ホテル・旅館・宿泊施設,求人なし,静岡県賀茂郡河津町見高字今井35-1,1974,代表取締役 飯塚 雅人,13 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,伊豆大仁開発株式会社,レジャー・アミューズメント,求人なし,静岡県伊豆の国市浮橋1198,1973,代表取締役 柿沼 岳史,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,オールドレイク株式会社,スポーツ・ヘルス関連施設,求人なし,愛知県春日井市西尾町986-1,1987,代表取締役 松岡 敏和,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,春日井開発株式会社,スポーツ・ヘルス関連施設,求人なし,愛知県春日井市西尾町1071-10,1961,代表取締役 松岡 敏和,25 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社グリーンホテル,ホテル・旅館・宿泊施設,求人なし,三重県三重郡菰野町大字千草7054-173湯の山,1969,代表取締役 伊藤 俊男,70 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,山田青果市場株式会社,レジャー・アミューズメント,求人なし,三重県伊勢市御薗町高向1860,1950,代表取締役 田邉 洋二,18 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ナカサン,レジャー・アミューズメント,無,京都府京都市右京区西院平町25ライフプラザ西大路四条9040,1963,代表取締役 中山 秀夫,33 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社京都ホテル,ホテル・旅館・宿泊施設,無,京都府京都市中京区河原町通二条下る一之船入町537-4,1927,代表取締役社長 福永 法弘,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,スタンダード
2024-08-01,株式会社京都ガーデンホテル,ホテル・旅館・宿泊施設,求人なし,京都府京都市中京区室町通御池下る円福寺町351,1963,代表取締役 宮川 叔子,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社日昇館,ホテル・旅館・宿泊施設,求人なし,京都府京都市東山区三条通大橋東入二町目57,1951,代表取締役 野村 一雄,96 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社京家旅館,ホテル・旅館・宿泊施設,求人なし,京都府京都市中京区御倉町75ファーストコート三条両替町ビル4Ｆ,1961,代表取締役 大友 篤,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,司観光株式会社,ホテル・旅館・宿泊施設,求人なし,京都府舞鶴市字上福井1611,1969,代表取締役 井上 宏章,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,グリーンランドみずほ株式会社,ホテル・旅館・宿泊施設,求人なし,京都府船井郡京丹波町大朴皿引1-4,1998,代表取締役 藤山 英二（山森英二）,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大阪シティドーム,スポーツ・ヘルス関連施設,求人なし,大阪府大阪市西区千代崎3-中2-1,1992,代表取締役 湊 通夫,250 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社菊水ゴルフクラブ,レジャー・アミューズメント,求人なし,兵庫県神戸市兵庫区烏原町ヌク谷1,1965,代表取締役 押領司 隆,16 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社タイセイ,スポーツ・ヘルス関連施設,無,兵庫県神戸市北区山田町西下字押部道15,1965,代表取締役 加藤 博俊,17 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,六甲国際株式会社,スポーツ・ヘルス関連施設,求人なし,兵庫県神戸市北区山田町西下16-1,1966,代表取締役 加藤 千恵子,53 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,読売ゴルフ株式会社,レジャー・アミューズメント,求人なし,兵庫県西宮市塩瀬町名塩5313,1973,代表取締役 吉村 秀男,450 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社西宮高原ゴルフ倶楽部,スポーツ・ヘルス関連施設,求人なし,兵庫県西宮市山口町船坂2013,1959,代表取締役 山田 圭一,33 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,サントピアマリーナ株式会社,レジャー・アミューズメント,求人なし,兵庫県洲本市小路谷1276,1980,代表取締役 木下 紘一,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,赤穂開発株式会社,レジャー・アミューズメント,求人なし,兵庫県赤穂市鷏和909,1965,代表取締役 市川 金次郎,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,三木槇山開発株式会社,レジャー・アミューズメント,求人なし,兵庫県三木市細川町垂穂894-827,1969,,45 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,千刈興産株式会社,レジャー・アミューズメント,求人なし,兵庫県西宮市上ケ原一番町1-155,1962,代表取締役 森下 征郎,72 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,新有馬開発株式会社,レジャー・アミューズメント,求人なし,兵庫県三田市中内神841,1959,代表取締役 谷 光高,30 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,西日本観光株式会社,レジャー・アミューズメント,求人なし,兵庫県丹波篠山市和田32-1,1971,代表取締役 井上 高文,43 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社シルバー生野,レジャー・アミューズメント,求人なし,兵庫県朝来市生野町小野33-5,1973,代表取締役 髙山 孝一,20 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社うめ丸,ホテル・旅館・宿泊施設,求人なし,兵庫県南あわじ市阿那賀1137-9,1972,代表取締役 藤川 啓治郎,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社濱観光サービス,旅行・旅行代理業,求人なし,奈良県桜井市大字三輪115-1,1983,代表取締役 吉田 瑛,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ジェイク,レジャー・アミューズメント,求人なし,和歌山県岩出市船戸1110-1,1996,代表取締役 廣原 早登司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
