更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,GMOメイクショップ株式会社,Webマーケティング（広告代理店・コンサルティング・制作）,23,■事業内容：・プラットフォーム事業（EC構築支援・ECマーケティング支援・EC運用受託）・システムインテグレーション事業,東京都渋谷区桜丘町26-1セルリアンタワー,2004,36.0,340,50百万円,http://www.makeshop.jp/,,
2024-07-01,株式会社トップゲート,Webサービス・Webメディア（EC・ポータル・ソーシャル）,4,同社はGoogleのプレミアサービスパートナー企業であり、GCPやGoogle App Engine（GAE）、Android、機械学習などを用いたWebアプリ開発やコンサルを実施しています。■ 事業内容：▼ GCP を活用したシステム・アプリ開発・コンサルティング▼ Google Workspace の販売及び導入支援・カスタマイズ▼ GCP 認定トレーニングの実施・GCP 関連イベントへの出展・セミナー開催・執筆,東京都新宿区揚場町1-21飯田橋升本ビル2F,2006,33.0,75,15百万円,https://www.topgate.co.jp/,,
2024-08-01,ネットチャート株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,2,■事業内容：ネットワーク構築および保守サービス ネットワーク関連機器の販売,神奈川県横浜市港北区新横浜2-15-10YS新横浜ビル8F,2006,37.3,181,55百万円,https://www.ncj.co.jp/,,
2024-07-01,虎の穴ラボ株式会社,放送・新聞・出版,6,■事業内容：同人誌などのECサイト「とらのあな通信販売」とクリエイター支援プラットフォーム「Fantia」等自社サービスの開発・運営及びデジタルマーケティング,東京都千代田区外神田3-5-12,2019,32.0,64,35百万円,https://toranoana-lab.co.jp/,,
2024-08-01,株式会社ＫＰＩソリューションズ,Webマーケティング（広告代理店・コンサルティング・制作）,15,「マーケが変える、変わる世界」 持続可能な経済成長や産業と技術革新の基盤づくりに貢献し、デジタルプラットフォームを通じて、「人がより人らしく」生きるための豊かで明るい未来を創造し続けます。 【当社のサービス】 ・SocialCommerceBeney…D2CコマースにSNS、ポイントの販促効果を加えブランドマーケティングをサポートするソーシャルコマースプラットフォーム,東京都中央区銀座8-15-2ACN銀座ビル,2006,36.0,30,161百万円,http://kpis.jp/,,
2024-08-01,株式会社ゼネラルリンク,Webマーケティング（広告代理店・コンサルティング・制作）,14,□■2004年設立。「ＨＲ×マーケ」を主軸に、幅広い事業展開を行っています■□1000年続く社会機関を創る”というビジョンのもと、人材領域からスタートし、現在は「人材」と「マーケ」を軸に、幅広い事業を展開する多角化経営企業です。新規事業への投資を年々加速させており、積極的なM&Aや新規事業戦略を行っています。＜人材領域＞人材紹介事業＜WEB領域＞WEBブランディング事業、インターネット広告事業＜マーケティング領域＞メディア事業＜社会貢献領域＞カンボジア「ゆめのまち」プロジェクト,東京都渋谷区渋谷2-12-9エスティ青山ビル2F,2004,29.0,191,143百万円,https://general-link.co.jp/,,
2024-08-01,ジェイ・ライン株式会社,Webマーケティング（広告代理店・コンサルティング・制作）,2,【人材採用コンサルティング】■採用戦略の立案、コンサルティング■採用支援ツール【広告代理業】■WEB・SNS広告 など【インターネット事業】■ホームページの企画・制作、リニューアル提案■Groovy★Nail【地域プロモーション事業】■東京シティーブログの企画・制作・運営■地域ブログの企画・制作・運営（オオサカジン／京つう）,大阪府大阪市西区南堀江1-11-1 三共四ツ橋ビル8F,1993,28.0,105,1000万円,https://www.j-line.co.jp/,代表取締役社長 野上 尚繁,
2024-08-01,ステッチ株式会社,総合広告代理店,2,セールスプロモーション、クリエイティブ、インターネット広告、メディア開発・運営、システム・アプリケーション開発など、幅広い事業領域でビジネスを展開し、プランニング・メディアバイイングなどの広告代理業と、自社でクリエイティブを手掛ける制作会社としての機能を持っています。,東京都千代田区内神田2-5-5ヒューリック大手町北ビル7F,2006,35.0,20,42百万円,https://www.stitch-pro.jp/,,
2024-06-01,株式会社クロステレビビジョン,放送・新聞・出版,4,■企業概要：国内大手キー局やローカル局からスポーツ中継をメインに請け負う老舗制作会社です。自社で中継車を保有し、そのフットワークの軽さでスポーツ中継からバラエティまで幅広く受注をしております。■事業内容：（1）放送番組、ビデオ等の制作 （2）広告の企画及び制作 （3）音楽、美術、スポーツ、その他文化事業等のイベントの企画及び制作（4）映像、音声機材のレンタル（5）労働者派遣事業(派13-307970),東京都新宿区早稲田南町52-5,1972,43.1,163,50百万円,http://www.crosstvv.co.jp/,,
2024-07-01,株式会社ギミックインターナショナル,PR会社・代理店,1,東京都港区赤坂に拠点を持つイベント業務代理店■プロモーション・イベント企画■クリエイティブ制作■キャスティングプロデュース,東京都港区赤坂4-2-8 カランドリエビル4F,1977,,,"1,000万円",http://gimmickinternational.com/,代表取締役 山下 大悟,
2024-07-01,オプティマイズ株式会社,Webサービス・Webメディア（EC・ポータル・ソーシャル）,3,■概要：円谷フィールズホールディングスのIT領域の戦略部門子会社として設立。「社員全員が企画者」の方針の下、新たなテクノロジーを用いたWEＢマーケティングビジネス（B.I.ツールの企画・開発や広告配信サービス等）を行う。,東京都渋谷区南平台町16-11MFPR渋谷南平台ビル9F,2006,31.0,24,60百万円,https://www.optimize.co.jp/,,
2024-08-01,株式会社キュー,広告制作,1,■事業内容：・広告宣伝、販売促進の企画、制作・自社アパレルブランドの企画、制作、および販売・ウェブデザインの開発および制作,東京都渋谷区代々木1-11-2フロンティア代々木6F,1988,,110,20百万円,http://www.q-co.jp/,,
2024-08-01,株式会社プレジデント社,放送・新聞・出版,3,■『PRESIDENT』『PRESIDENT Family』『dancyu』『七緒』等の雑誌/ビジネス書/ファッションやタレントの書籍等を発行■月間1億PVを達成したオンラインメディア『PRESIDENT Online』の運営等、時代に即したコンテンツ・事業も展開,東京都千代田区平河町2-16-1平河町森タワー13F,2001,42.7,121,10百万円,http://www.president.co.jp/information/company/,,
2024-06-01,株式会社三光アド,総合広告代理店,1,■事業内容：求人広告の企画・制作・発行及び付帯業務,愛知県名古屋市東区泉1-23-30名古屋パナソニックビル6F,2000,34.0,100,100百万円,http://www.sanko-kyujin.co.jp/,,
