更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-08-01,株式会社カンリー,Webサービス・Webメディア（EC・ポータル・ソーシャル）,13,「店舗経営を支える、世界的なインフラを創る」【事業内容】・Googleビジネスプロフィール一括管理SaaS「カンリー」の開発・提供・自社HP内に使いやすい店舗検索ページを作成できる「カンリーホームページ 」の開発・提供・SNS運用コンサル事業・インターネットメディア、広告事業等,東京都品川区西五反田2-29-5,2018,,70,"1,200百万円",https://biz.can-ly.com/,,
2024-07-01,株式会社Ｓｗｉｔｃｈ,SP代理店（イベント・販促提案など）,1,■事業内容： イベントプランニング、イベントプロデュース、キャスティング、ライセンスプロモーション、クリエイティブ、空間デザイン、メディアデザイン、メディアプランニング具体的には、イベントの企画・運営、イベント業務全般 ／ PR・プロモーション ／ 装飾、会場設営 ／ タレント、セミナー講師の紹介 ／ セミナー、トークショー運営 ／ キャラクターショー、子供向けイベントの企画 ／ ワークショップの企画・運営 ／など ■イベント実績：・住宅展示場の年間プロモーション・住宅総合施設の年間プロモーション・イベント企画・セミナー・商業施設のプロモーション・イベント など,大阪府吹田市豊津町13-45第3暁ビル6F,2018,32.0,12,20百万円,https://switch-jp.com/#,,
2024-08-01,株式会社ピクルス,Webマーケティング（広告代理店・コンサルティング・制作）,1,■事業内容：一人ひとりにあったちょうどいい情報を届ける「一人ひとりにあったちょうどいい情報を届ける」というミッションのもと、「探す」と「選ぶ」がたのしく、かんたんになるようサービスを提供しています。,東京都千代田区神田小川町3-7-15ボナ神田小川町ビル6F,2018,33.0,10,,https://pickless.co.jp/,,
2024-06-01,株式会社Resilire,Webサービス・Webメディア（EC・ポータル・ソーシャル）,7,【事業概要】サプライチェーンの寸断を予防し、製品の安定供給を実現するため、サプライヤーネットワークの可視化とインシデントデータの連携を可能にするSaaSを提供しています。コロナ禍による衛生用品の不足や、半導体不足による自動車の減産等、製品の供給が滞っているニュースなど、サプライチェーン寸断による影響は大きい。この背景として、製造業にとってサプライヤー（調達先）がブラックボックス化し、災害等のインシデント発生時の影響把握が遅れてしまうことで、需給バランスが変化することにあるためです。これらの課題を解決するSaaSを提供しています。,東京都港区海岸1-7-1東京ポートシティ竹芝10F,2018,35.0,18,20百万円,https://corp.resilire.jp/,,
2024-08-01,株式会社ヒューマンプラス,Webマーケティング（広告代理店・コンサルティング・制作）,5,■事業内容：私たちは、起業、美容、健康といった各業界の著名な先生方をプロデュースし、主にリアル・オンラインでの講座やスクールを運営しています。弊社で運営している講座の一例・セルビューティ：関西コレクションにてファッションショーのステージにて小顔矯正のデモンストレーションを行う先生による、小顔矯正や骨格矯正などの手技を交えた美容系講座・ひとりビジネスオーナー：2000社以上の中小企業の売上アップに成功してきた先生による、売り上げの仕組みづくりや労働社長脱却のノウハウなどをレクチャーする企業系講座,東京都港区赤坂7-11-7赤坂栗原ビル3F,2018,,20,2百万円,https://humanplus.co.jp/,,
2024-07-01,株式会社くふう住まい,Webマーケティング（広告代理店・コンサルティング・制作）,19,■ミッション「住まいにまつわる後悔をなくす」不動産業界は、その独自な商習慣から売り手と買い手の間に情報格差が生じています。適正な価格を知ることが難しかったり、売り手から依頼された物件を意図的に他社に紹介しない囲い込みが行われたりと、ユーザーが損をしてしまうことが多く、これらを社会問題と捉えています。これまで長く続いてきた慣習を変革するのは容易ではありませんが、「住まいにまつわる後悔をなくす」をミッションに、チャレンジします。情報格差による不利益が生まれない、ユーザーファーストな世界観の実現を目指しています。,東京都港区三田1-4-28三田国際ビル,2018,,95,90百万円,https://kufusumai.co.jp/,,
2024-06-01,合同会社Ｃａｐｓｕｌｅ,広告制作,2,■最新映像撮影機材レンタル業務全般■映像撮影機材コーディネート■CM・映画・ドラマ・ドキュメンタリー・MV撮影業務,東京都渋谷区道玄坂1-9-5 渋谷スクエアA 1階,2018,,16,,https://jp.capsule.rentals/,代表 ラティマ ・ジェイムス,
2024-07-01,株式会社セブンデックス,Webマーケティング（広告代理店・コンサルティング・制作）,6,"【事業内容】■ビジネスクリエティブスタジオ事業・新規事業開発・ブランディング・UIUXデザイン・マーケティング・DX支援■HRソリューション事業https://goal-s.jp/ GOALS（20代,30代ハイキャリア人材に特化した転職エージェント）GOALSは「20代・30代ハイキャリアに特化した転職エージェント」として、求職者の方が持つビジョンを叶えるために、短期でなく長期的なキャリアを考え、８万件の求人の中からご提案させていただき、市場価値を上げるサポートをしています。",東京都渋谷区渋谷3-9-9東京建物渋谷ビル 5F,2018,30.0,30,40百万円,https://sevendex.com/,,
2024-07-01,株式会社ＨｕｍａｎＡｒｘ（ヒューマンアークス）,広告制作,2,■求人広告代理店業■営業コンサルティング業■人事コンサルティング業■コールセンター業,東京都新宿区下落合1-2-16 大堀ビル2F,2018,,15,500万円,https://humanarx.co.jp/,代表者 小森 周,
2024-07-01,株式会社スタープロジェクト,Webサービス・Webメディア（EC・ポータル・ソーシャル）,1,事業概要私たちスタープロジェクトは自宅で診療を受診できるオンライン診療部門を2022年2月に開設しました。まだあまり馴染みではないオンライン診療ですが、コロナウイルス流行に伴い普及が広がり始めた『医師の診療を来店せず携帯電話やパソコンなどでオンライン上で受診できるサービス』となっております。全国どこにお住まいでも隙間時間などに自宅や外出先などで医師の診療を受ける事が可能です。,千葉県船橋市前原西2-14-2津田沼駅前安田ビル,2018,,5,9百万円,https://starproject.co.jp/#1,,
