更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,株式会社Ｌｉｃｏ,理容・美容・エステ,求人なし,,宮城県仙台市青葉区本町2-6-35第七広瀬ビル,2008,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,
2024-08-01,ソフトメディ株式会社,理容・美容・エステ,求人なし,,京都府京都市伏見区竹田七瀬川町86-8,2008,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 山本 江示子
2024-08-01,株式会社燦,理容・美容・エステ,求人なし,,福岡県福岡市中央区赤坂1-13-8赤坂ウイングビル Ｂ1Ｆ,1983,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 梶野 明子
2024-08-01,株式会社ａｆｆｅｃｔｉｏｎ,理容・美容・エステ,求人なし,,千葉県船橋市本町7-18-3,2013,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 望月 進司
2024-08-01,株式会社ＨＢＡＺ,理容・美容・エステ,求人なし,,東京都台東区小島2-19-12,2013,,,,5 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 長井 竜太
2024-08-01,株式会社フラヴ,理容・美容・エステ,求人なし,,大阪府大阪市北区曾根崎新地2-3-21ａｘビル 5Ｆ,2013,,,,6 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤本 雄作
2024-08-01,株式会社リンクスホールディングス,理容・美容・エステ,求人なし,,大阪府大阪市北区中之島3-3-3中之島三井ビルディング 2101,2013,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 長嶺 拓
2024-08-01,株式会社キレイライフ,理容・美容・エステ,求人なし,,東京都中央区銀座1-21-10,2013,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 馬野 麗納
2024-08-01,株式会社Ｌｏｎｄ,理容・美容・エステ,求人なし,,東京都中央区銀座2-8-19銀座Ａビル 2Ｆ,2013,,,,9 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 斉藤 信太郎
2024-08-01,アットモア株式会社,理容・美容・エステ,求人なし,,沖縄県浦添市宮城6-7-1,2013,,,,11 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 加藤 かおり
2024-08-01,ＨＡＫＵＡ株式会社,理容・美容・エステ,求人なし,,静岡県浜松市中央区上島4-7-3101,2013,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 池野谷 幸良
2024-08-01,株式会社Ｉｎｆｉｎｉｔｙ,理容・美容・エステ,求人なし,,神奈川県川崎市多摩区登戸3351-6オリオンコート 1Ｆ,2013,,,,1 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 井上 亮
2024-08-01,株式会社Ｙ，Ｐｌａｎ,理容・美容・エステ,求人なし,,神奈川県横浜市西区岡野1-10-3ストーク横浜参番館 401,2013,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 稲橋 進
2024-08-01,株式会社Ｕｐｌｉｇｈｔ,理容・美容・エステ,求人なし,,愛知県名古屋市東区徳川町2310ノイエクラッセ徳川園パルクブリック 502,2010,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 吉田 亮介
2024-08-01,株式会社プロジェクトジャパン,理容・美容・エステ,求人なし,,滋賀県大津市瀬田3-22-13,1983,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 平田 恵子
2024-08-01,株式会社Ｌａｎｄｓｃａｐｅ,理容・美容・エステ,求人なし,,東京都港区北青山3-5-8青山ＯＫビル 6Ｆ,2010,,,,15 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 藤間 英光
2024-08-01,株式会社ラヴィール,理容・美容・エステ,求人なし,,福岡県福岡市南区大楠1-34-18,1994,,,,10 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 福原 栄子
2024-08-01,有限会社美容室サエ,理容・美容・エステ,求人なし,,新潟県新潟市西区寺尾上5-9-10,1997,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 元村 孝志
2024-08-01,株式会社アヴァンシア,理容・美容・エステ,無,,大阪府大阪市淀川区木川東3-1-26ビル,2010,,,,7 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 川又 恵
2024-08-01,有限会社ブルーム,理容・美容・エステ,求人なし,,大阪府茨木市高田町25-13,1995,,,,3 百万円,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,代表取締役 日髙 浩一
